the premise of the new teen-targeted horror film `final destination' causes a recollection of a memorable `simpsons' halloween episode . 	Translation	Positive	Negative	EmotionRationale
after attempting to repair a malfunctioning toaster , lovably ignorant patriarch homer realizes he has created a portable time-machine . 	after attempting to repair a malfunctioning toaster , lovably ignorant patriarch homer realizes he has created a portable time-machine .	1	-3	 after[0] attempting[0] to[0] repair[0] a[0] malfunctioning[0] toaster[0] lovably[0] ignorant[-2] patriarch[0] homer[0] realizes[0] he[0] has[0] created[0] a[0] portable[0] time[0] machine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a trek into the cretaceous period , homer observes that any minor alteration made there will erupt into a starling chain of events and seriously modify the present world . 	after a trek into the cretaceous period , homer observes that any minor alteration made there will erupt into a starling chain of events and seriously modify the present world .	1	-1	 after[0] a[0] trek[0] into[0] the[0] cretaceous[0] period[0] homer[0] observes[0] that[0] any[0] minor[0] alteration[0] made[0] there[0] will[0] erupt[0] into[0] a[0] starling[0] chain[0] of[0] events[0] and[0] seriously[0] modify[0] the[0] present[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again and again , homer toys with the master plan and pays dearly for it . 	again and again , homer toys with the master plan and pays dearly for it .	1	-1	 again[0] and[0] again[0] homer[0] toys[0] with[0] the[0] master[0] plan[0] and[0] pays[0] dearly[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters of  final destination' have also tampered with the blueprint schematics of their existence - their  design' . 	the characters of  final destination' have also tampered with the blueprint schematics of their existence - their  design' .	1	-2	 the[0] characters[0] of[0] final[0] destination'[0] have[0] also[0] tampered[-1] with[0] the[0] blueprint[0] schematics[0] of[0] their[0] existence[0] their[0] design'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
someone is after them with the strict intent of correcting the mistake . 	someone is after them with the strict intent of correcting the mistake .	1	-2	 someone[0] is[0] after[0] them[0] with[0] the[0] strict[-1] intent[0] of[0] correcting[0] the[0] mistake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that someone is death . 	that someone is death .	1	-3	 that[0] someone[0] is[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you see , alex browning ( devon sawa ) and six others have cheated the grim reaper . . . . 	you see , alex browning ( devon sawa ) and six others have cheated the grim reaper .<br> .<br> .<br> .	1	-3	 you[0] see[0] alex[0] browning[0] devon[0] sawa[0] and[0] six[0] others[0] have[0] cheated[-2] the[0] grim[-2] reaper[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the dude has got some tricks up his sleeve . 	but the dude has got some tricks up his sleeve .	1	-1	 but[0] the[0] dude[0] has[0] got[0] some[0] tricks[-1][--1 LastWordBoosterStrength] up[0] his[0] sleeve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a high school excursion , alex's french class is traveling to paris by airline transport . 	for a high school excursion , alex's french class is traveling to paris by airline transport .	1	-1	 for[0] a[0] high[0] school[0] excursion[0] alex's[0] french[0] class[0] is[0] traveling[0] to[0] paris[0] by[0] airline[0] transport[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alex , tense and neurotic , has a shocking premonition after boarding : he sees the plane , and every passenger on it , spontaneously explode in mid-air . 	alex , tense and neurotic , has a shocking premonition after boarding : he sees the plane , and every passenger on it , spontaneously explode in mid-air .	1	-3	 alex[0] tense[-2] and[0] neurotic[-2] has[0] a[0] shocking[-2] premonition[0] after[0] boarding[0] he[0] sees[0] the[0] plane[0] and[0] every[0] passenger[0] on[0] it[0] spontaneously[0] explode[-1] in[0] mid[0] air[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
