steven spielberg's second epic film on world war ii is an unquestioned masterpiece of film . 	Translation	Positive	Negative	EmotionRationale
spielberg , ever the student on film , has managed to resurrect the war genre by producing one of its grittiest , and most powerful entries . 	spielberg , ever the student on film , has managed to resurrect the war genre by producing one of its grittiest , and most powerful entries .	1	-3	 spielberg[0] ever[0] the[0] student[0] on[0] film[0] has[0] managed[0] to[0] resurrect[0] the[0] war[-2] genre[0] by[0] producing[0] one[0] of[0] its[0] grittiest[0] and[0] most[0] powerful[0] entries[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he also managed to cast this era's greatest answer to jimmy stewart , tom hanks , who delivers a performance that is nothing short of an astonishing miracle . 	he also managed to cast this era's greatest answer to jimmy stewart , tom hanks , who delivers a performance that is nothing short of an astonishing miracle .	3	-1	 he[0] also[0] managed[0] to[0] cast[0] this[0] era's[0] greatest[2] answer[0] to[0] jimmy[0] stewart[0] tom[0] hanks[0] who[0] delivers[0] a[0] performance[0] that[0] is[0] nothing[0] short[0] of[0] an[0] astonishing[0] miracle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for about 160 out of its 170 minutes , " saving private ryan " is flawless . 	for about 160 out of its 170 minutes , " saving private ryan " is flawless .	2	-1	 for[0] about[0] 160[0] out[0] of[0] its[0] 170[0] minutes[0] saving[0] private[0] ryan[0] is[0] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
literally . 	literally .	1	-1	 literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is simple enough . 	the plot is simple enough .	1	-1	 the[0] plot[0] is[0] simple[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the epic d-day invasion ( whose sequences are nothing short of spectacular ) , capt . john miller ( hanks ) and his team are forced to search for a pvt . 	after the epic d-day invasion ( whose sequences are nothing short of spectacular ) , capt .<br> john miller ( hanks ) and his team are forced to search for a pvt .	1	-1	 after[0] the[0] epic[0] d[0] day[0] invasion[0] whose[0] sequences[0] are[0] nothing[0] short[0] of[0] spectacular[0] capt[0] [[Sentence=-1,1=word max, 1-5]] john[0] miller[0] hanks[0] and[0] his[0] team[0] are[0] forced[0] to[0] search[0] for[0] a[0] pvt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james ryan ( damon ) , whose brothers have all died in battle . 	james ryan ( damon ) , whose brothers have all died in battle .	1	-2	 james[0] ryan[0] damon[0] whose[0] brothers[0] have[0] all[0] died[0] in[0] battle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once they find him , they are to bring him back for immediate discharge so that he can go home . 	once they find him , they are to bring him back for immediate discharge so that he can go home .	1	-2	 once[0] they[0] find[0] him[0] they[0] are[0] to[0] bring[0] him[0] back[0] for[0] immediate[0] discharge[-1] so[0] that[0] he[0] can[0] go[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
accompanying miller are his crew , played with astonishing perfection by a group of character actors that are simply sensational . 	accompanying miller are his crew , played with astonishing perfection by a group of character actors that are simply sensational .	2	-1	 accompanying[0] miller[0] are[0] his[0] crew[0] played[0] with[0] astonishing[0] perfection[1] by[0] a[0] group[0] of[0] character[0] actors[0] that[0] are[0] simply[0] sensational[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
barry pepper , adam goldberg , vin diesel , giovanni ribisi , davies , and burns are the team sent to find one man , and bring him home . 	barry pepper , adam goldberg , vin diesel , giovanni ribisi , davies , and burns are the team sent to find one man , and bring him home .	1	-2	 barry[0] pepper[0] adam[0] goldberg[0] vin[0] diesel[0] giovanni[0] ribisi[0] davies[0] and[0] burns[-1] are[0] the[0] team[0] sent[0] to[0] find[0] one[0] man[0] and[0] bring[0] him[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the battle sequences that bookend the film are extraordinary . 	the battle sequences that bookend the film are extraordinary .	1	-2	 the[0] battle[-1] sequences[0] that[0] bookend[0] the[0] film[0] are[0] extraordinary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
literally . 	literally .	1	-1	 literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is nothing in film that has ever been recorded that will prepare you for the sheer onslaught of terrorizing violence in the film's first 20 minutes . 	there is nothing in film that has ever been recorded that will prepare you for the sheer onslaught of terrorizing violence in the film's first 20 minutes .	1	-5	 there[0] is[0] nothing[0] in[0] film[0] that[0] has[0] ever[0] been[0] recorded[0] that[0] will[0] prepare[0] you[0] for[0] the[0] sheer[0] onslaught[0] of[0] terrorizing[-2] violence[-3][-1 MultiplePositiveWords] in[0] the[0] film's[0] first[0] 20[0] minutes[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
spielberg films almost the entire movie without music , leaving it up to the characters to generate emotion , and they do to perfection . 	spielberg films almost the entire movie without music , leaving it up to the characters to generate emotion , and they do to perfection .	2	-1	 spielberg[0] films[0] almost[0] the[0] entire[0] movie[0] without[0] music[0] leaving[0] it[0] up[0] to[0] the[0] characters[0] to[0] generate[0] emotion[0] and[0] they[0] do[0] to[0] perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
