the characters in " palmetto " collectively sweat enough to fill lake erie , and it's just the right way to capture the film's ripe atmosphere of sensuality , tension and even farce . 	Translation	Positive	Negative	EmotionRationale
this humid florida-set thriller nurtures a modestly absurd edginess that often winks at itself , which is very much a good thing since the actors and director are in on the joke . 	this humid florida-set thriller nurtures a modestly absurd edginess that often winks at itself , which is very much a good thing since the actors and director are in on the joke .	2	-2	 this[0] humid[0] florida[0] set[0] thriller[1] nurtures[0] a[0] modestly[0] absurd[-1] edginess[0] that[0] often[0] winks[0] at[0] itself[0] which[0] is[0] very[0] much[0] a[0] good[1] thing[0] since[0] the[0] actors[0] and[0] director[0] are[0] in[0] on[0] the[0] joke[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as far as set-up is concerned , the movie is nothing we haven't seen before , but be patient -- " palmetto " spins some pretty wicked story twists that we really don't see coming . 	as far as set-up is concerned , the movie is nothing we haven't seen before , but be patient - " palmetto " spins some pretty wicked story twists that we really don't see coming .	3	-2	 as[0] far[0] as[0] set[0] up[0] is[0] concerned[-1] the[0] movie[0] is[0] nothing[0] we[0] haven't[0] seen[0] before[0] but[0] be[0] patient[0] palmetto[0] spins[0] some[0] pretty[2][-1 LastWordBoosterStrength] wicked[2] story[0] twists[0] that[0] we[0] really[0] don't[0] see[0] coming[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's not a classic by any means , but it sure is quite an engaging surprise . 	it's not a classic by any means , but it sure is quite an engaging surprise .	1	-1	 it's[0] not[0] a[0] classic[0] by[0] any[0] means[0] but[0] it[0] sure[0] is[0] quite[0] an[0] engaging[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harry barber ( woody harrelson ) is fresh out of prison , where he's served a couple of years for a crime he didn't commit . 	harry barber ( woody harrelson ) is fresh out of prison , where he's served a couple of years for a crime he didn't commit .	1	-2	 harry[0] barber[0] woody[0] harrelson[0] is[0] fresh[0] out[0] of[0] prison[-1] where[0] he's[0] served[0] a[0] couple[0] of[0] years[0] for[0] a[0] crime[-1] he[0] didn't[0] commit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though he harbors animosity towards the obtuse local officials , harry's first order of business is to return to his home town of palmetto to be with his sculptor girlfriend nina ( gina gershon ) . 	even though he harbors animosity towards the obtuse local officials , harry's first order of business is to return to his home town of palmetto to be with his sculptor girlfriend nina ( gina gershon ) .	1	-2	 even[0] though[0] he[0] harbors[0] animosity[-1] towards[0] the[0] obtuse[0] local[0] officials[0] harry's[0] first[0] order[0] of[0] business[0] is[0] to[0] return[0] to[0] his[0] home[0] town[0] of[0] palmetto[0] to[0] be[0] with[0] his[0] sculptor[0] girlfriend[0] nina[0] gina[0] gershon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while searching for work , he catches the eye of rhea malroux ( elisabeth shue ) , the mysterious sexbomb wife of a palmetto millionaire . 	while searching for work , he catches the eye of rhea malroux ( elisabeth shue ) , the mysterious sexbomb wife of a palmetto millionaire .	1	-1	 while[0] searching[0] for[0] work[0] he[0] catches[0] the[0] eye[0] of[0] rhea[0] malroux[0] elisabeth[0] shue[0] the[0] mysterious[0] sexbomb[0] wife[0] of[0] a[0] palmetto[0] millionaire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rhea proposes a scheme that'll get harry  50 , 000 easy -- to play a small part in the staged kidnaping of her jailbait stepdaughter odette ( chloe sevigny ) . 	rhea proposes a scheme that'll get harry  50 , 00 easy - to play a small part in the staged kidnaping of her jailbait stepdaughter odette ( chloe sevigny ) .	1	-2	 rhea[0] proposes[0] a[0] scheme[0] that'll[0] get[0] harry[0] 50[0] 000/00[0] easy[0] to[0] play[0] a[0] small[0] part[0] in[0] the[0] staged[0] kidnaping[0] of[0] her[0] jailbait[-1] stepdaughter[0] odette[0] chloe[0] sevigny[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " you do like risks , don't you , mr . barber ? " 	 " you do like risks , don't you , mr .<br> barber ?<br> "	2	-2	 you[0] do[0] like[1] risks[-1] don't[0] you[0] mr[0] [[Sentence=-2,2=word max, 1-5]] barber[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
rhea alluringly coos . 	rhea alluringly coos .	1	-1	 rhea[0] alluringly[0] coos[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boys , form a line behind me . 	boys , form a line behind me .	1	-1	 boys[0] form[0] a[0] line[0] behind[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of " palmetto " 's success can be attributed to the performance of elisabeth shue , who demonstrates here that her oscar-nominated turn in " leaving las vegas " might merely be foreshadowing great things to come . 	part of " palmetto " 's success can be attributed to the performance of elisabeth shue , who demonstrates here that her oscar-nominated turn in " leaving las vegas " might merely be foreshadowing great things to come .	3	-1	 part[0] of[0] palmetto[0] 's[0] success[2] can[0] be[0] attributed[0] to[0] the[0] performance[0] of[0] elisabeth[0] shue[0] who[0] demonstrates[0] here[0] that[0] her[0] oscar[0] nominated[0] turn[0] in[0] leaving[0] las[0] vegas[0] might[0] merely[0] be[0] foreshadowing[0] great[2] things[0] to[0] come[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shue's a seductive , campy delight , and pulls off a barbara stanwyck-gloria swanson combo with admirable relish . 	shue's a seductive , campy delight , and pulls off a barbara stanwyck-gloria swanson combo with admirable relish .	3	-1	 shue's[0] a[0] seductive[0] campy[0] delight[2] and[0] pulls[0] off[0] a[0] barbara[0] stanwyck[0] gloria[1] swanson[0] combo[0] with[0] admirable[2] relish[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
