eddie murphy has had his share of ups and downs during his career . 	Translation	Positive	Negative	EmotionRationale
known for his notorious late 80's slump , murphy has still managed to bounce back with a handful of hits in the past few years . 	known for his notorious late 80's slump , murphy has still managed to bounce back with a handful of hits in the past few years .	1	-2	 known[0] for[0] his[0] notorious[-1] late[0] 80's[0] slump[-1] murphy[0] has[0] still[0] managed[0] to[0] bounce[0] back[0] with[0] a[0] handful[0] of[0] hits[0] in[0] the[0] past[0] few[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the exception of the dreadful holy man , he appears to be on pace for a full-fledged comeback . 	with the exception of the dreadful holy man , he appears to be on pace for a full-fledged comeback .	1	-4	 with[0] the[0] exception[0] of[0] the[0] dreadful[-3] holy[0] man[0] he[0] appears[0] to[0] be[0] on[0] pace[0] for[0] a[0] full[0] fledged[0] comeback[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
life was a great move on the part of murphy and co-star martin lawrence , because it's a great showcase for both actors that never resorts to slap-sticky drivel . 	life was a great move on the part of murphy and co-star martin lawrence , because it's a great showcase for both actors that never resorts to slap-sticky drivel .	3	-2	 life[0] was[0] a[0] great[2] move[0] on[0] the[0] part[0] of[0] murphy[0] and[0] co[0] star[0] martin[0] lawrence[0] because[0] it's[0] a[0] great[2] showcase[0] for[0] both[0] actors[0] that[0] never[0] resorts[0] to[0] slap[-1] sticky[0] drivel[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director ted demme is smart enough to realize that the two comedians can generate enough genuine laughs on their own , and doesn't insert a distracting plot to back them up . 	director ted demme is smart enough to realize that the two comedians can generate enough genuine laughs on their own , and doesn't insert a distracting plot to back them up .	2	-2	 director[0] ted[0] demme[0] is[0] smart[1] enough[0] to[0] realize[0] that[0] the[0] two[0] comedians[0] can[0] generate[0] enough[0] genuine[0] laughs[1] on[0] their[0] own[0] and[0] doesn't[0] insert[0] a[0] distracting[-1] plot[0] to[0] back[0] them[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
life is , in a sense , one great balancing act with murphy on one end and lawrence on the other . 	life is , in a sense , one great balancing act with murphy on one end and lawrence on the other .	3	-1	 life[0] is[0] in[0] a[0] sense[0] one[0] great[2] balancing[0] act[0] with[0] murphy[0] on[0] one[0] end[0] and[0] lawrence[0] on[0] the[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
amazingly , the scale never tips in either's favor due to the marvelous chemistry and wonderful contrast that each actor allows the other . 	amazingly , the scale never tips in either's favor due to the marvelous chemistry and wonderful contrast that each actor allows the other .	3	-1	 amazingly[2] the[0] scale[0] never[0] tips[0] in[0] either's[0] favor[1] due[0] to[0] the[0] marvelous[0] chemistry[0] and[0] wonderful[2] contrast[0] that[0] each[0] actor[0] allows[0] the[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the movie opens , we're introduced to ray gibson ( eddie murphy ) , a two-timing pickpocket who schmoozes his way into a club . 	as the movie opens , we're introduced to ray gibson ( eddie murphy ) , a two-timing pickpocket who schmoozes his way into a club .	1	-1	 as[0] the[0] movie[0] opens[0] we're[0] introduced[0] to[0] ray[0] gibson[0] eddie[0] murphy[0] a[0] two[0] timing[0] pickpocket[0] who[0] schmoozes[0] his[0] way[0] into[0] a[0] club[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there he meets a successful businessman named claude banks ( martin lawrence ) . 	there he meets a successful businessman named claude banks ( martin lawrence ) .	3	-1	 there[0] he[0] meets[0] a[0] successful[2] businessman[0] named[0] claude[0] banks[0] martin[0] lawrence[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
somehow , after multiple contrivances , the mismatched pair find themselves on their way to mississippi on a moonshine run . 	somehow , after multiple contrivances , the mismatched pair find themselves on their way to mississippi on a moonshine run .	1	-1	 somehow[0] after[0] multiple[0] contrivances[0] the[0] mismatched[0] pair[0] find[0] themselves[0] on[0] their[0] way[0] to[0] mississippi[0] on[0] a[0] moonshine[0] run[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when all is said and done , ray and claude have been framed for a murder that was actually committed by the town sheriff . 	when all is said and done , ray and claude have been framed for a murder that was actually committed by the town sheriff .	1	-4	 when[0] all[0] is[0] said[0] and[0] done[0] ray[0] and[0] claude[0] have[0] been[0] framed[0] for[0] a[0] murder[-3] that[0] was[0] actually[0] committed[0] by[0] the[0] town[0] sheriff[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hence the setting of life : mississippi state prison , where the main characters come to realize their unlikely friendship is important , and become set on finding an fool-proof escape plan . 	hence the setting of life : mississippi state prison , where the main characters come to realize their unlikely friendship is important , and become set on finding an fool-proof escape plan .	2	-2	 hence[0] the[0] setting[0] of[0] life[0] mississippi[0] state[0] prison[-1] where[0] the[0] main[0] characters[0] come[0] to[0] realize[0] their[0] unlikely[0] friendship[1] is[0] important[0] and[0] become[0] set[0] on[0] finding[0] an[0] fool[-1] proof[0] escape[0] plan[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film takes us from the 30's all the way to the 90's , presenting a difficult task in showing how the aging process affects ray and claude . 	the film takes us from the 30's all the way to the 90's , presenting a difficult task in showing how the aging process affects ray and claude .	1	-2	 the[0] film[0] takes[0] us[0] from[0] the[0] 30's[0] all[0] the[0] way[0] to[0] the[0] 90's[0] presenting[0] a[0] difficult[-1] task[0] in[0] showing[0] how[0] the[0] aging[0] process[0] affects[0] ray[0] and[0] claude[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
luckily , rick baker handles the makeup effects of the two actors in a fantastic , academy award caliber manner . 	luckily , rick baker handles the makeup effects of the two actors in a fantastic , academy award caliber manner .	3	-1	 luckily[2] rick[0] baker[0] handles[0] the[0] makeup[0] effects[0] of[0] the[0] two[0] actors[0] in[0] a[0] fantastic[2] academy[0] award[0] caliber[0] manner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not only do we believe the characters look as if they're 90 years old , but they sound like it , too . 	not only do we believe the characters look as if they're 90 years old , but they sound like it , too .	2	-1	 not[0] only[0] do[0] we[0] believe[0] the[0] characters[0] look[0] as[0] if[0] they're[0] 90[0] years[0] old[0] but[0] they[0] sound[0] like[1] it[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
