carla gugino graduates from high school and instead of staying in her small farming town , she goes to college in california . 	Translation	Positive	Negative	EmotionRationale
there she meets the residential advisor pauly shore , who is a city boy . 	there she meets the residential advisor pauly shore , who is a city boy .	1	-1	 there[0] she[0] meets[0] the[0] residential[0] advisor[0] pauly[0] shore[0] who[0] is[0] a[0] city[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when gugino goes back home for thanksgiving , she brings shore with her , and her parents ( lane smith and cindy pickett ) are less than thrilled . 	when gugino goes back home for thanksgiving , she brings shore with her , and her parents ( lane smith and cindy picket ) are less than thrilled .	4	-1	 when[0] gugino[0] goes[0] back[0] home[0] for[0] thanksgiving[0] she[0] brings[0] shore[0] with[0] her[0] and[0] her[0] parents[0] lane[0] smith[0] and[0] cindy[0] pickett/picket[0] are[0] less[0] than[0] thrilled[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
dan gauthier , gugino's boyfriend from high school , proposes to gugino . 	dan gauthier , gugino's boyfriend from high school , proposes to gugino .	1	-1	 dan[0] gauthier[0] gugino's[0] boyfriend[0] from[0] high[0] school[0] proposes[0] to[0] gugino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gugino isn't ready for anything like this so she makes up the story that she is engaged to shore . 	gugino isn't ready for anything like this so she makes up the story that she is engaged to shore .	2	-1	 gugino[0] isn't[0] ready[0] for[0] anything[0] like[1] this[0] so[0] she[0] makes[0] up[0] the[0] story[0] that[0] she[0] is[0] engaged[0] to[0] shore[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she and shore have to make it look like they are engaged while her parents try to make it end . 	she and shore have to make it look like they are engaged while her parents try to make it end .	2	-1	 she[0] and[0] shore[0] have[0] to[0] make[0] it[0] look[0] like[1] they[0] are[0] engaged[0] while[0] her[0] parents[0] try[0] to[0] make[0] it[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
forget jurassic park , cliffhanger , the firm and last action hero , son-in-law is the film to see this summer . 	forget jurassic park , cliffhanger , the firm and last action hero , son-in-law is the film to see this summer .	3	-1	 forget[0] jurassic[0] park[0] cliffhanger[0] the[0] firm[0] and[0] last[0] action[0] hero[2] son[0] in[0] law[0] is[0] the[0] film[0] to[0] see[0] this[0] summer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
son-in-law is a great romantic comedy that should please the viewers , especially fans of the wiez . 	son-in-law is a great romantic comedy that should please the viewers , especially fans of the wiez .	5	-1	 son[0] in[0] law[0] is[0] a[0] great[2] romantic[3][+1 MultiplePositiveWords] comedy[0] that[0] should[0] please[1][-1 LastWordBoosterStrength] the[0] viewers[0] especially[0] fans[0] of[0] the[0] wiez[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
when son-in-law is long gone and forgotten , the blockbuster summer films will still be playing and you will have a chance to see them then . 	when son-in-law is long gone and forgotten , the blockbuster summer films will still be playing and you will have a chance to see them then .	2	-2	 when[0] son[0] in[0] law[0] is[0] long[0] gone[0] and[0] forgotten[0] the[0] blockbuster[-1] summer[0] films[0] will[0] still[0] be[0] playing[1] and[0] you[0] will[0] have[0] a[0] chance[0] to[0] see[0] them[0] then[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film could also make great video fare for those that are leery of spending seven dollars on it . 	this film could also make great video fare for those that are leery of spending seven dollars on it .	3	-1	 this[0] film[0] could[0] also[0] make[0] great[2] video[0] fare[0] for[0] those[0] that[0] are[0] leery[0] of[0] spending[0] seven[0] dollars[0] on[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nothing will be lost by watching it on a television screen . 	nothing will be lost by watching it on a television screen .	1	-1	 nothing[0] will[0] be[0] lost[0] by[0] watching[0] it[0] on[0] a[0] television[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the basic story line has been done many , many times before , the film is still fun to watch . 	although the basic story line has been done many , many times before , the film is still fun to watch .	2	-1	 although[0] the[0] basic[0] story[0] line[0] has[0] been[0] done[0] many[0] many[0] times[0] before[0] the[0] film[0] is[0] still[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the laughs are plentiful , especially when the wiez is around . 	the laughs are plentiful , especially when the wiez is around .	2	-1	 the[0] laughs[1] are[0] plentiful[0] especially[0] when[0] the[0] wiez[0] is[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the way some of the jokes are done are new , even though some of the jokes are old . 	the way some of the jokes are done are new , even though some of the jokes are old .	2	-1	 the[0] way[0] some[0] of[0] the[0] jokes[1] are[0] done[0] are[0] new[0] even[0] though[0] some[0] of[0] the[0] jokes[1] are[0] old[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
