since most movies about slavery shield us from the true horrors of what they're portraying , it's fitting to say that " beloved " come as a real shock as a film . 	Translation	Positive	Negative	EmotionRationale
it's confusing , bizarre , and as tough a film to watch as any film i've seen all year , and that's not necessarily because of the three-hour running time . 	it's confusing , bizarre , and as tough a film to watch as any film i've seen all year , and that's not necessarily because of the three-hour running time .	1	-2	 it's[0] confusing[-1] bizarre[-1] and[0] as[0] tough[-1] a[0] film[0] to[0] watch[0] as[0] any[0] film[0] i've[0] seen[0] all[0] year[0] and[0] that's[0] not[0] necessarily[0] because[0] of[0] the[0] three[0] hour[0] running[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " beloved " is challenging to watch , filled with tough and powerful poetry that takes us completely off guard , and instead of a straight-forward , hollywood-ized story about what happened to the slaves after they were freed , " beloved " comes off as a cry of anguish from all those who actually lived through what happened ( or , rather , toni morrison , who wrote the novel upon which this is based ) . 	 " beloved " is challenging to watch , filled with tough and powerful poetry that takes us completely off guard , and instead of a straight-forward , hollywood-ized story about what happened to the slaves after they were freed , " beloved " comes off as a cry of anguish from all those who actually lived through what happened ( or , rather , toni morrison , who wrote the novel upon which this is based ) .	3	-4	 beloved[2] is[0] challenging[0] to[0] watch[0] filled[0] with[0] tough[-1] and[0] powerful[0] poetry[0] that[0] takes[0] us[0] completely[0] off[0] guard[0] and[0] instead[0] of[0] a[0] straight[0] forward[0] hollywood[0] ized[0] story[0] about[0] what[0] happened[0] to[0] the[0] slaves[0] after[0] they[0] were[0] freed[0] beloved[2] comes[0] off[0] as[0] a[0] cry[-3] of[0] anguish[-3] from[0] all[0] those[0] who[0] actually[0] lived[0] through[0] what[0] happened[0] or[0] rather[0] toni[0] morrison[0] who[0] wrote[0] the[0] novel[0] upon[0] which[0] this[0] is[0] based[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " beloved " tells the story of an ex-slave named sethe , played by oprah winfrey , who lives on a large farm in the north with her children . 	 " beloved " tells the story of an ex-slave named sethe , played by oprah winfrey , who lives on a large farm in the north with her children .	3	-1	 beloved[2] tells[0] the[0] story[0] of[0] an[0] ex[0] slave[0] named[0] sethe[0] played[0] by[0] oprah[0] winfrey[0] who[0] lives[0] on[0] a[0] large[0] farm[0] in[0] the[0] north[0] with[0] her[0] children[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the film opens , her house is being terrorized by a poltergeist , which shakes things up , wounds the dog , and makes things generally uncomfortable for the family . 	when the film opens , her house is being terrorized by a poltergeist , which shakes things up , wounds the dog , and makes things generally uncomfortable for the family .	1	-3	 when[0] the[0] film[0] opens[0] her[0] house[0] is[0] being[0] terrorized[-2] by[0] a[0] poltergeist[0] which[0] shakes[-1] things[0] up[0] wounds[-1] the[0] dog[0] and[0] makes[0] things[0] generally[0] uncomfortable[-2] for[0] the[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sethe is proud , though , and will not move . 	sethe is proud , though , and will not move .	2	-1	 sethe[0] is[0] proud[1] though[0] and[0] will[0] not[0] move[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her sons run away , leaving only her and her daughter , denver ( kimberly elise ) alone with the ghost which is there without any factual explanation . 	her sons run away , leaving only her and her daughter , denver ( kimberly elise ) alone with the ghost which is there without any factual explanation .	1	-1	 her[0] sons[0] run[0] away[0] leaving[0] only[0] her[0] and[0] her[0] daughter[0] denver[0] kimberly[0] elise[0] alone[0] with[0] the[0] ghost[0] which[0] is[0] there[0] without[0] any[0] factual[0] explanation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a couple years pass , and the ghost remains , and one day , a man named paul d ( danny glover ) , another ex-slave who knew sethe years ago when they worked on a plantation together , arrives , asking for lodging . 	a couple years pass , and the ghost remains , and one day , a man named paul d ( danny glover ) , another ex-slave who knew sethe years ago when they worked on a plantation together , arrives , asking for lodging .	1	-1	 a[0] couple[0] years[0] pass[0] and[0] the[0] ghost[0] remains[0] and[0] one[0] day[0] a[0] man[0] named[0] paul[0] d[0] danny[0] glover[0] another[0] ex[0] slave[0] who[0] knew[0] sethe[0] years[0] ago[0] when[0] they[0] worked[0] on[0] a[0] plantation[0] together[0] arrives[0] asking[0] for[0] lodging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has been wandering around since he left the plantation , and when he enters the house , it turns red and becomes incredibly hot . 	he has been wandering around since he left the plantation , and when he enters the house , it turns red and becomes incredibly hot .	1	-1	 he[0] has[0] been[0] wandering[0] around[0] since[0] he[0] left[0] the[0] plantation[0] and[0] when[0] he[0] enters[0] the[0] house[0] it[0] turns[0] red[0] and[0] becomes[0] incredibly[0] hot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he remarks about what he thinks is evil , sethe replies " it ain't evil . 	when he remarks about what he thinks is evil , sethe replies " it ain't evil .	1	-3	 when[0] he[0] remarks[0] about[0] what[0] he[0] thinks[0] is[0] evil[-2] sethe[0] replies[0] it[0] ain't[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just sad . " 	it's just sad .<br> "	1	-3	 it's[0] just[0] sad[-3][--1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
