it is an understood passion and an understood calm . 	Translation	Positive	Negative	EmotionRationale
bud white walks into the home of lynn bracken , a prostitute " cut to look like veronica lake . " 	bud white walks into the home of lyn bracken , a prostitute " cut to look like veronica lake .<br> "	2	-1	 bud[0] white[0] walks[0] into[0] the[0] home[0] of[0] lynn/lyn[0] bracken[0] a[0] prostitute[0] cut[0] to[0] look[0] like[1] veronica[0] lake[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's one of l . a . 's finest investigating the murder of fellow cop , and one of the leads takes him to her home . 	he's one of l .<br> a .<br> 's finest investigating the murder of fellow cop , and one of the leads takes him to her home .	1	-4	 he's[0] one[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] 's[0] finest[0] investigating[0] the[0] murder[-3] of[0] fellow[0] cop[0] and[0] one[0] of[0] the[0] leads[0] takes[0] him[0] to[0] her[0] home[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's understood that he is quiet thunder , a guy who's calm voice is more powerful than his arms . 	it's understood that he is quiet thunder , a guy who's calm voice is more powerful than his arms .	2	-1	 it's[0] understood[0] that[0] he[0] is[0] quiet[0] thunder[0] a[0] guy[0] who's[0] calm[1] voice[0] is[0] more[0] powerful[0] than[0] his[0] arms[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's understood that she's supposed to be beautiful , but underneath her face is pain and scraped out lines that say her life could have been so much more . 	it's understood that she's supposed to be beautiful , but underneath her face is pain and scraped out lines that say her life could have been so much more .	3	-4	 it's[0] understood[0] that[0] she's[0] supposed[0] to[0] be[0] beautiful[2] but[0] underneath[0] her[0] face[0] is[0] pain[-3] and[0] scraped[0] out[0] lines[0] that[0] say[0] her[0] life[0] could[0] have[0] been[0] so[0] much[0] more[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
you know without having to be told . 	you know without having to be told .	1	-1	 you[0] know[0] without[0] having[0] to[0] be[0] told[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you're the first guy who hasn't told me i look like veronicca lake in under a minute , " she says . 	 " you're the first guy who hasn't told me i look like veronicca lake in under a minute , " she says .	2	-1	 you're[0] the[0] first[0] guy[0] who[0] hasn't[0] told[0] me[0] i[0] look[0] like[1] veronicca[0] lake[0] in[0] under[0] a[0] minute[0] she[0] says[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " you look ten times better . " 	 " you look ten times better .<br> "	1	-1	 you[0] look[0] ten[0] times[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he says it without thinking . 	he says it without thinking .	1	-1	 he[0] says[0] it[0] without[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like he knows without her having to say anything . 	like he knows without her having to say anything .	2	-1	 like[1] he[0] knows[0] without[0] her[0] having[0] to[0] say[0] anything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
white's face doesn't turn , it doesn't blush . 	white's face doesn't turn , it doesn't blush .	1	-1	 white's[0] face[0] doesn't[0] turn[0] it[0] doesn't[0] blush[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see his eyes , and you believe him . 	you see his eyes , and you believe him .	1	-1	 you[0] see[0] his[0] eyes[0] and[0] you[0] believe[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a perfect moment in a near perfect movie . 	it's a perfect moment in a near perfect movie .	2	-1	 it's[0] a[0] perfect[1] moment[0] in[0] a[0] near[0] perfect[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
l . a . confidential is the best movie of the year . 	l .<br> a .<br> confidential is the best movie of the year .	2	-1	 l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential[0] is[0] the[0] best[1] movie[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is grace and poetry ; a richly layered work of pure entertainment . 	it is grace and poetry ; a richly layered work of pure entertainment .	3	-1	 it[0] is[0] grace[2] and[0] poetry[0] a[0] richly[0] layered[0] work[0] of[0] pure[0] entertainment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is a portrait of police and morality as it works it's way through characters that are so real on screen that you believe that they might have a soul . 	it is a portrait of police and morality as it works it's way through characters that are so real on screen that you believe that they might have a soul .	1	-1	 it[0] is[0] a[0] portrait[0] of[0] police[0] and[0] morality[0] as[0] it[0] works[0] it's[0] way[0] through[0] characters[0] that[0] are[0] so[0] real[0] on[0] screen[0] that[0] you[0] believe[0] that[0] they[0] might[0] have[0] a[0] soul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a phrase , it is everything . 	in a phrase , it is everything .	1	-1	 in[0] a[0] phrase[0] it[0] is[0] everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is funny , it is exciting , has enough action and adventure and mystery and grace and suspense . 	it is funny , it is exciting , has enough action and adventure and mystery and grace and suspense .	3	-1	 it[0] is[0] funny[1] it[0] is[0] exciting[2] has[0] enough[0] action[0] and[0] adventure[0] and[0] mystery[0] and[0] grace[2] and[0] suspense[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is the pinnacle of a movie , a complete work , a flawless film . 	it is the pinnacle of a movie , a complete work , a flawless film .	2	-1	 it[0] is[0] the[0] pinnacle[0] of[0] a[0] movie[0] a[0] complete[0] work[0] a[0] flawless[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's hard to tell you about the plot , because it's about so much more than plot . 	it's hard to tell you about the plot , because it's about so much more than plot .	1	-1	 it's[0] hard[0] to[0] tell[0] you[0] about[0] the[0] plot[0] because[0] it's[0] about[0] so[0] much[0] more[0] than[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besides , there's too much to describe . 	besides , there's too much to describe .	1	-1	 besides[0] there's[0] too[0] much[0] to[0] describe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , it's about police and searching for corruption and who fights for the right reasons and the definition of justice . 	sure , it's about police and searching for corruption and who fights for the right reasons and the definition of justice .	1	-3	 sure[0] it's[0] about[0] police[0] and[0] searching[0] for[0] corruption[-2] and[0] who[0] fights[-2] for[0] the[0] right[0] reasons[0] and[0] the[0] definition[0] of[0] justice[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it's also about what you feel when you look into the eyes of the characters in the film . 	but it's also about what you feel when you look into the eyes of the characters in the film .	1	-1	 but[0] it's[0] also[0] about[0] what[0] you[0] feel[0] when[0] you[0] look[0] into[0] the[0] eyes[0] of[0] the[0] characters[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director curtis hanson has perfectly framed each character , letting you see into them , rooting for them one moment , doubting them the next . 	director curtis hanson has perfectly framed each character , letting you see into them , rooting for them one moment , doubting them the next .	2	-2	 director[0] curtis[0] hanson[0] has[0] perfectly[1] framed[0] each[0] character[0] letting[0] you[0] see[0] into[0] them[0] rooting[0] for[0] them[0] one[0] moment[0] doubting[-1] them[0] the[0] next[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
