the long and illustrious career of robin williams , which has included both forgettable turns like mrs . 	Translation	Positive	Negative	EmotionRationale
doubtfire and flubber , was punctuated with the actor's first academy award in 1998 for his role in good will hunting . 	doubtfire and flubber , was punctuated with the actor's first academy award in 1998 for his role in good will hunting .	2	-2	 doubtfire[-1] and[0] flubber[0] was[0] punctuated[0] with[0] the[0] actor's[0] first[0] academy[0] award[0] in[0] 1998[0] for[0] his[0] role[0] in[0] good[1] will[0] hunting[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it was his first truly dramatic role since 1989's dead poets society , and critical remarks were unanimously positive . 	it was his first truly dramatic role since 1989's dead poets society , and critical remarks were unanimously positive .	3	-3	 it[0] was[0] his[0] first[0] truly[1] dramatic[0] role[0] since[0] 1989's[0] dead[-2] poets[0] society[0] and[0] critical[-1] remarks[0] were[0] unanimously[0] positive[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his next role , that of a deceased pediatrician in what dreams may come , was unfortunately lackluster . 	his next role , that of a deceased pediatrician in what dreams may come , was unfortunately lackluster .	1	-2	 his[0] next[0] role[0] that[0] of[0] a[0] deceased[0] pediatrician[0] in[0] what[0] dreams[0] may[0] come[0] was[0] unfortunately[-1] lackluster[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and so , after a six-year stint as a comedic actor , the proof on whether or not williams can cut it in the dramatic league has come down to patch adams . 	and so , after a six-year stint as a comedic actor , the proof on whether or not williams can cut it in the dramatic league has come down to patch adams .	1	-1	 and[0] so[0] after[0] a[0] six[0] year[0] stint[0] as[0] a[0] comedic[0] actor[0] the[0] proof[0] on[0] whether[0] or[0] not[0] williams[0] can[0] cut[0] it[0] in[0] the[0] dramatic[0] league[0] has[0] come[0] down[0] to[0] patch[0] adams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
williams is the title character , hunter " patch " adams , sporting scruffy facial hair that falls between the clean-shavenness of dreams and the grotesque hairiness of will hunting . 	williams is the title character , hunter " patch " adams , sporting scruffy facial hair that falls between the clean-shavenness of dreams and the grotesque hairiness of will hunting .	1	-2	 williams[0] is[0] the[0] title[0] character[0] hunter[-1] patch[0] adams[0] sporting[0] scruffy[0] facial[0] hair[0] that[0] falls[0] between[0] the[0] clean[0] shavenness[0] of[0] dreams[0] and[0] the[0] grotesque[-1] hairiness[0] of[0] will[0] hunting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're introduced to patch as he commits himself to a mental institution because of his suicidal tendancies . 	we're introduced to patch as he commits himself to a mental institution because of his suicidal tendancies .	1	-1	 we're[0] introduced[0] to[0] patch[0] as[0] he[0] commits[0] himself[0] to[0] a[0] mental[0] institution[0] because[0] of[0] his[0] suicidal[0] tendancies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's at the institution , however , that he discovers a latent talent for relating to people . 	it's at the institution , however , that he discovers a latent talent for relating to people .	2	-1	 it's[0] at[0] the[0] institution[0] however[0] that[0] he[0] discovers[0] a[0] latent[0] talent[1] for[0] relating[0] to[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he removes himself from the institution and enrolls at the university of virginia's medical college , where he finds that medical doctrine is a calculating , impersonal trade . 	he removes himself from the institution and enrolls at the university of virginia's medical college , where he finds that medical doctrine is a calculating , impersonal trade .	1	-1	 he[0] removes[0] himself[0] from[0] the[0] institution[0] and[0] enrolls[0] at[0] the[0] university[0] of[0] virginia's[0] medical[0] college[0] where[0] he[0] finds[0] that[0] medical[0] doctrine[0] is[0] a[0] calculating[0] impersonal[0] trade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his attempts to inject humanity into the profession result in several bouts with expulsion , and the movie climaxes with patch's appearance before the state medical board . 	his attempts to inject humanity into the profession result in several bouts with expulsion , and the movie climaxes with patch's appearance before the state medical board .	1	-1	 his[0] attempts[0] to[0] inject[0] humanity[0] into[0] the[0] profession[0] result[0] in[0] several[0] bouts[0] with[0] expulsion[0] and[0] the[0] movie[0] climaxes[0] with[0] patch's[0] appearance[0] before[0] the[0] state[0] medical[0] board[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are well-defined in an oscar-worthy sense . 	the characters are well-defined in an oscar-worthy sense .	1	-1	 the[0] characters[0] are[0] well[0] defined[0] in[0] an[0] oscar[0] worthy[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
