 " i've been told by several people , 'you're old fashioned . 	Translation	Positive	Negative	EmotionRationale
you want to do everything by hand , ' " topiary gardener george mendonca complains , defending his continued resort to hand shears in trimming his intricately privet-sculpted animal creations . 	you want to do everything by hand , ' " topiary gardener george mendonca complains , defending his continued resort to hand shears in trimming his intricately privet-sculpted animal creations .	1	-2	 you[0] want[0] to[0] do[0] everything[0] by[0] hand[0] '[0] topiary[0] gardener[0] george[0] mendonca[0] complains[-1] defending[0] his[0] continued[0] resort[0] to[0] hand[0] shears[0] in[0] trimming[0] his[0] intricately[0] privet[0] sculpted[0] animal[0] creations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " this is the only way you can do it and do it right . " 	 " this is the only way you can do it and do it right .<br> "	1	-1	 this[0] is[0] the[0] only[0] way[0] you[0] can[0] do[0] it[0] and[0] do[0] it[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
snip , snip . 	snip , snip .	1	-1	 snip[0] snip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " some people believe that we are gonna replace ourselves by building these machines , and that may be , " muses mit robot scientist rodney brooks , who builds robots that run on instinct . 	 " some people believe that we are gonna replace ourselves by building these machines , and that may be , " muses mit robot scientist rodney brooks , who builds robots that run on instinct .	1	-1	 some[0] people[0] believe[0] that[0] we[0] are[0] gonna[0] replace[0] ourselves[0] by[0] building[0] these[0] machines[0] and[0] that[0] may[0] be[0] muses[0] mit[0] robot[0] scientist[0] rodney[0] brooks[0] who[0] builds[0] robots[0] that[0] run[0] on[0] instinct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " there may not be a place for humans in the future , if we're really successful . " 	 " there may not be a place for humans in the future , if we're really successful .<br> "	4	-1	 there[0] may[0] not[0] be[0] a[0] place[0] for[0] humans[0] in[0] the[0] future[0] if[0] we're[0] really[0] successful[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " you feel that there's a and looking directly into errol morris's camera . 	 " you feel that there's a and looking directly into errol morris's camera .	1	-1	 you[0] feel[0] that[0] there's[0] a[0] and[0] looking[0] directly[0] into[0] errol[0] morris's[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i know you are . 	 " i know you are .	1	-1	 i[0] know[0] you[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know i am . " 	you know i am .<br> "	1	-1	 you[0] know[0] i[0] am[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in some ways the slickest film yet from nonfiction auteur morris ( the thin blue line , a brief history of time ) , fast , cheap & out of control is reportage of the highest order . 	in some ways the slickest film yet from nonfiction auteur morris ( the thin blue line , a brief history of time ) , fast , cheap & out of control is reportage of the highest order .	1	-2	 in[0] some[0] ways[0] the[0] slickest[0] film[0] yet[0] from[0] nonfiction[0] auteur[0] morris[0] the[0] thin[0] blue[0] line[0] a[0] brief[0] history[0] of[0] time[0] fast[0] cheap[-1] &[0] out[0] of[0] control[0] is[0] reportage[0] of[0] the[0] highest[0] order[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
journalism students should dream of making connections like these . 	journalism students should dream of making connections like these .	2	-1	 journalism[0] students[0] should[0] dream[0] of[0] making[0] connections[0] like[1] these[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cross-cutting among interviews and filmed segments , morris traces the lives of four disparate professionals who seem to share nothing but an immersion in their work , and then threads them around one another in an intricate quadruple helix . 	cross-cutting among interviews and filmed segments , morris traces the lives of four disparate professionals who seem to share nothing but an immersion in their work , and then threads them around one another in an intricate quadruple helix .	1	-2	 cross[-1] cutting[0] among[0] interviews[0] and[0] filmed[0] segments[0] morris[0] traces[0] the[0] lives[0] of[0] four[0] disparate[0] professionals[0] who[0] seem[0] to[0] share[0] nothing[0] but[0] an[0] immersion[0] in[0] their[0] work[0] and[0] then[0] threads[0] them[0] around[0] one[0] another[0] in[0] an[0] intricate[0] quadruple[0] helix[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fun is settling into your theater seat and wondering just what the hell one story can possibly have to do with the other . 	the fun is settling into your theater seat and wondering just what the hell one story can possibly have to do with the other .	2	-2	 the[0] fun[1] is[0] settling[0] into[0] your[0] theater[0] seat[0] and[0] wondering[0] just[0] what[0] the[0] hell[-1] one[0] story[0] can[0] possibly[0] have[0] to[0] do[0] with[0] the[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what morris manages is something akin to an intellectual magic trick , an interrogative sleight of hand . 	what morris manages is something akin to an intellectual magic trick , an interrogative sleight of hand .	1	-2	 what[0] morris[0] manages[0] is[0] something[0] akin[0] to[0] an[0] intellectual[0] magic[0] trick[-1] an[0] interrogative[0] sleight[0] of[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the things that feels different about an errol morris documentary -- besides the always-striking visuals -- is the interview style , where subjects seem to look directly at the viewer . 	one of the things that feels different about an errol morris documentary - besides the always-striking visuals - is the interview style , where subjects seem to look directly at the viewer .	1	-1	 one[0] of[0] the[0] things[0] that[0] feels[0] different[0] about[0] an[0] errol[0] morris[0] documentary[0] besides[0] the[0] always[0] striking[0] visuals[0] is[0] the[0] interview[0] style[0] where[0] subjects[0] seem[0] to[0] look[0] directly[0] at[0] the[0] viewer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weary of pressing his cheek against the camera lens to get this effect during conversations , morris developed an elaborate double-camera gadget he calls , half-jokingly , the interrotron . 	weary of pressing his cheek against the camera lens to get this effect during conversations , morris developed an elaborate double-camera gadget he calls , half-jokingly , the interrotron .	1	-2	 weary[0] of[0] pressing[0] his[0] cheek[0] against[-1] the[0] camera[0] lens[0] to[0] get[0] this[0] effect[0] during[0] conversations[0] morris[0] developed[0] an[0] elaborate[0] double[0] camera[0] gadget[0] he[0] calls[0] half[0] jokingly[0] the[0] interrotron[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
through a rig that uses a pair of teleprompters to project video images of the interviewer for the subject and vice versa , these folks talk , startlingly , right to the camera -- to the video image of morris , and by extension to the audience . 	through a rig that uses a pair of teleprompters to project video images of the interviewer for the subject and vice versa , these folks talk , startlingly , right to the camera - to the video image of morris , and by extension to the audience .	1	-2	 through[0] a[0] rig[0] that[0] uses[0] a[0] pair[0] of[0] teleprompters[0] to[0] project[0] video[0] images[0] of[0] the[0] interviewer[0] for[0] the[0] subject[0] and[0] vice[-1] versa[0] these[0] folks[0] talk[0] startlingly[-1] right[0] to[0] the[0] camera[0] to[0] the[0] video[0] image[0] of[0] morris[0] and[0] by[0] extension[0] to[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the gardener wonders whether , after his death , anyone will be interested in maintaining the garden that he's devoted half his life to tending . 	the gardener wonders whether , after his death , anyone will be interested in maintaining the garden that he's devoted half his life to tending .	3	-3	 the[0] gardener[0] wonders[0] whether[0] after[0] his[0] death[-2] anyone[0] will[0] be[0] interested[1] in[0] maintaining[0] the[0] garden[0] that[0] he's[0] devoted[2] half[0] his[0] life[0] to[0] tending[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the robot scientist is more than a little pleased to note that his creations may be primal examples of what an insect or even an animal is -- a complicated set of sensory receptors . 	the robot scientist is more than a little pleased to note that his creations may be primal examples of what an insect or even an animal is - a complicated set of sensory receptors .	2	-2	 the[0] robot[0] scientist[0] is[0] more[0] than[0] a[0] little[0] pleased[1] to[0] note[0] that[0] his[0] creations[0] may[0] be[0] primal[0] examples[0] of[0] what[0] an[0] insect[0] or[0] even[0] an[0] animal[0] is[0] a[0] complicated[-1] set[0] of[0] sensory[0] receptors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the mole rat specialist is delighted to catalog the ways in which these vermin animals behave like insects , and notes that they may be more suited to long-term survival than people . 	the mole rat specialist is delighted to catalog the ways in which these vermin animals behave like insects , and notes that they may be more suited to long-term survival than people .	3	-2	 the[0] mole[0] rat[-1] specialist[1] is[0] delighted[2] to[0] catalog[0] the[0] ways[0] in[0] which[0] these[0] vermin[0] animals[0] behave[0] like[1] insects[0] and[0] notes[0] that[0] they[0] may[0] be[0] more[0] suited[0] to[0] long[0] term[0] survival[0] than[0] people[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and the circus trainer pines for a long-lost ideal that was exemplified by world-renowned trainer and showman clyde beatty , who starred in such serials as zombies of the stratosphere ( excerpted at some length here , with affection ) . 	and the circus trainer pines for a long-lost ideal that was exemplified by world-renowned trainer and showman clyde beatty , who starred in such serials as zombies of the stratosphere ( excerpted at some length here , with affection ) .	3	-1	 and[0] the[0] circus[0] trainer[0] pines[0] for[0] a[0] long[0] lost[0] ideal[0] that[0] was[0] exemplified[0] by[0] world[0] renowned[0] trainer[0] and[0] showman[0] clyde[0] beatty[0] who[0] starred[0] in[0] such[0] serials[0] as[0] zombies[0] of[0] the[0] stratosphere[0] excerpted[0] at[0] some[0] length[0] here[0] with[0] affection[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
starting to detect the patterns ? 	starting to detect the patterns ?	1	-1	 starting[0] to[0] detect[0] the[0] patterns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fast , cheap & out of control contains a multitude of parallels and tiny intersections , culminating in what feels like an elegy ( the film is dedicated to morris's late mother and stepfather ) . 	fast , cheap & out of control contains a multitude of parallels and tiny intersections , culminating in what feels like an elegy ( the film is dedicated to morris's late mother and stepfather ) .	2	-2	 fast[0] cheap[-1] &[0] out[0] of[0] control[0] contains[0] a[0] multitude[0] of[0] parallels[0] and[0] tiny[0] intersections[0] culminating[0] in[0] what[0] feels[0] like[1] an[0] elegy[0] the[0] film[0] is[0] dedicated[0] to[0] morris's[0] late[0] mother[0] and[0] stepfather[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is balanced on that airy precipice dividing the already musty past from the alternately exhilarating and terrifying space that is the future . 	the film is balanced on that airy precipice dividing the already musty past from the alternately exhilarating and terrifying space that is the future .	1	-4	 the[0] film[0] is[0] balanced[0] on[0] that[0] airy[0] precipice[0] dividing[0] the[0] already[0] musty[0] past[0] from[0] the[0] alternately[0] exhilarating[0] and[0] terrifying[-3] space[0] that[0] is[0] the[0] future[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( the title is taken from brooks' wish that nasa would send a payload of hundreds of expendable robots to scurry about the martian surface , creating a sort of road map for the terrain -- fast , cheap , and out of control . ) 	 ( the title is taken from brooks' wish that nasa would send a payload of hundreds of expendable robots to scurry about the martian surface , creating a sort of road map for the terrain - fast , cheap , and out of control .<br> )	1	-2	 the[0] title[0] is[0] taken[0] from[0] brooks'[0] wish[0] that[0] nasa[0] would[0] send[0] a[0] payload[0] of[0] hundreds[0] of[0] expendable[0] robots[0] to[0] scurry[0] about[0] the[0] martian[0] surface[0] creating[0] a[0] sort[0] of[0] road[0] map[0] for[0] the[0] terrain[0] fast[0] cheap[-1] and[0] out[0] of[0] control[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with able assists from editors karen schmeer and shondra merrill and cinematographer robert richardson ( oliver stone's longtime collaborator ) , this becomes a cinematic contraption that's a wonder of narrative divergence and coherence . 	with able assists from editors karen schmeer and shondra merrill and cinematographer robert richardson ( oliver stone's longtime collaborator ) , this becomes a cinematic contraption that's a wonder of narrative divergence and coherence .	2	-1	 with[0] able[0] assists[0] from[0] editors[0] karen[0] schmeer[0] and[0] shondra[0] merrill[1] and[0] cinematographer[0] robert[0] richardson[0] oliver[0] stone's[0] longtime[0] collaborator[0] this[0] becomes[0] a[0] cinematic[0] contraption[0] that's[0] a[0] wonder[0] of[0] narrative[0] divergence[0] and[0] coherence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( further enhancing the picture's wacky intellectual mood is the playful score by alloy orchestra founder caleb sampson . ) 	 ( further enhancing the picture's wacky intellectual mood is the playful score by alloy orchestra founder caleb sampson .<br> )	2	-2	 further[0] enhancing[0] the[0] picture's[0] wacky[0] intellectual[0] mood[0] is[0] the[0] playful[1] score[0] by[0] alloy[0] orchestra[0] founder[-1] caleb[0] sampson[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
different story threads inform and comment on one another with the serene inscrutability of a kieslowski film , or a surrealist dream . 	different story threads inform and comment on one another with the serene inscrutability of a kieslowski film , or a surrealist dream .	1	-1	 different[0] story[0] threads[0] inform[0] and[0] comment[0] on[0] one[0] another[0] with[0] the[0] serene[0] inscrutability[0] of[0] a[0] kieslowski[0] film[0] or[0] a[0] surrealist[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by cobbling together out of these motley musings a thesis on the nature of craftsmanship , invention , and existence itself , morris reveals the presence of cosmic themes -- creation , evolution , death -- in earthbound lives . 	by cobbling together out of these motley musings a thesis on the nature of craftsmanship , invention , and existence itself , morris reveals the presence of cosmic themes - creation , evolution , death - in earthbound lives .	1	-3	 by[0] cobbling[0] together[0] out[0] of[0] these[0] motley[-1] musings[0] a[0] thesis[0] on[0] the[0] nature[0] of[0] craftsmanship[0] invention[0] and[0] existence[0] itself[0] morris[0] reveals[0] the[0] presence[0] of[0] cosmic[0] themes[0] creation[0] evolution[0] death[-2] in[0] earthbound[0] lives[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at the same time , and just as significantly , he pays tribute to a consuming passion for one's work . 	at the same time , and just as significantly , he pays tribute to a consuming passion for one's work .	3	-1	 at[0] the[0] same[0] time[0] and[0] just[0] as[0] significantly[0] he[0] pays[0] tribute[0] to[0] a[0] consuming[0] passion[2] for[0] one's[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this breakdown of the dichotomy between the everyday and the extraordinary is likely as profound as anything you'll encounter in pop culture this year , and the visuals cry out for the big screen . 	this breakdown of the dichotomy between the everyday and the extraordinary is likely as profound as anything you'll encounter in pop culture this year , and the visuals cry out for the big screen .	1	-4	 this[0] breakdown[-1] of[0] the[0] dichotomy[0] between[0] the[0] everyday[0] and[0] the[0] extraordinary[0] is[0] likely[0] as[0] profound[0] as[0] anything[0] you'll[0] encounter[0] in[0] pop[0] culture[0] this[0] year[0] and[0] the[0] visuals[0] cry[-3] out[0] for[0] the[0] big[0] screen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
don't miss it . 	don't miss it .	2	-1	 don't[0] miss[-1][NegatedDueToPreviousWord] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
-------------------------------------------------------------- directed by errol morris edited by karen schmeer and shondra merrill cinematography by robert richardson music by caleb sampson u . s . , 1997 -------------------------------------------------------------- 	- directed by errol morris edited by karen schmeer and shondra merrill cinematography by robert richardson music by caleb sampson you .<br> s .<br> , 1997 -	2	-1	 directed[0] by[0] errol[0] morris[0] edited[0] by[0] karen[0] schmeer[0] and[0] shondra[0] merrill[1] cinematography[0] by[0] robert[0] richardson[0] music[0] by[0] caleb[0] sampson[0] u[0] [[Sentence=-1,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
