with many big-budget science fiction films , great ideas are often wasted by bad scripts , cheesy plot twists , and , terrible acting . 	Translation	Positive	Negative	EmotionRationale
the fifth element , the abyss , and godzilla had great concepts squandered by bad acting , writing , or both . 	the fifth element , the abyss , and godzilla had great concepts squandered by bad acting , writing , or both .	3	-2	 the[0] fifth[0] element[0] the[0] abyss[-1] and[0] godzilla[0] had[0] great[2] concepts[0] squandered[-1] by[0] bad[-1] acting[0] writing[0] or[0] both[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at first glance , the matrix , larry & andy wachowski's sci-fi/kung-fu/shoot-em-up spectacular , looks like a prime candidate to join the list of high-concept bad movies , especially with dopey keanu reeves in the leading role . 	at first glance , the matrix , larry & andy wachowski's sci-fi/kung-fu/shoot-em-up spectacular , looks like a prime candidate to join the list of high-concept bad movies , especially with dopey keanu reeves in the leading role .	2	-2	 at[0] first[0] glance[0] the[0] matrix[0] larry[0] &[0] andy[0] wachowski's[0] sci[0] fi/kung[0] fu/shoot[0] em[0] up[0] spectacular[0] looks[0] like[1] a[0] prime[0] candidate[0] to[0] join[0] the[0] list[0] of[0] high[0] concept[0] bad[-1] movies[0] especially[0] with[0] dopey[0] keanu[0] reeves[0] in[0] the[0] leading[0] role[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but despite high levels of cheese and gaudy dialogue , the matrix works . 	but despite high levels of cheese and gaudy dialogue , the matrix works .	1	-2	 but[0] despite[0] high[0] levels[0] of[0] cheese[0] and[0] gaudy[-1] dialogue[0] the[0] matrix[0] works[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's an uncanny blend of action and surreal fantasy that borrows from dozens of other films ( most obviously the terminator films , star wars , and total recall ) , but remains refreshingly original and interesting throughout . 	it's an uncanny blend of action and surreal fantasy that borrows from dozens of other films ( most obviously the terminator films , star wars , and total recall ) , but remains refreshingly original and interesting throughout .	2	-3	 it's[0] an[0] uncanny[0] blend[0] of[0] action[0] and[0] surreal[0] fantasy[0] that[0] borrows[0] from[0] dozens[0] of[0] other[0] films[0] most[0] obviously[0] the[0] terminator[0] films[0] star[0] wars[-2] and[0] total[0] recall[0] but[0] remains[0] refreshingly[0] original[0] and[0] interesting[1] throughout[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
reeves plays neo , a computer hacker who stumbles into an initially bewildering set of encounters with " trinity " ( carrie-anne moss ) , a rival hacker who has supernatural powers and stunning good looks , a unseen , omniscient cult figure known as " morpheus " ( lawrence fishburne ) , and a trio of creepy men in dark suits who act like irs agents from hell . 	reeves plays neo , a computer hacker who stumbles into an initially bewildering set of encounters with " trinity " ( carrie-anne moss ) , a rival hacker who has supernatural powers and stunning good looks , a unseen , omniscient cult figure known as " morpheus " ( lawrence fishburne ) , and a trio of creepy men in dark suits who act like irs agents from hell .	2	-3	 reeves[0] plays[1] neo[0] a[0] computer[0] hacker[0] who[0] stumbles[0] into[0] an[0] initially[0] bewildering[-2] set[0] of[0] encounters[0] with[0] trinity[0] carrie[0] anne[0] moss[0] a[0] rival[-1] hacker[0] who[0] has[0] supernatural[0] powers[0] and[0] stunning[0] good[1] looks[0] a[0] unseen[0] omniscient[0] cult[0] figure[0] known[0] as[0] morpheus[0] lawrence[0] fishburne[0] and[0] a[0] trio[0] of[0] creepy[0] men[0] in[0] dark[0] suits[0] who[0] act[0] like[1] irs[0] agents[0] from[0] hell[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
neo quickly learns that the world he has known all his life is not what it seems . 	neo quickly learns that the world he has known all his life is not what it seems .	1	-1	 neo[0] quickly[0] learns[0] that[0] the[0] world[0] he[0] has[0] known[0] all[0] his[0] life[0] is[0] not[0] what[0] it[0] seems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moreover , he discovers that the grim , bleak world he is introduced to has been waiting for him to save it . 	moreover , he discovers that the grim , bleak world he is introduced to has been waiting for him to save it .	2	-3	 moreover[0] he[0] discovers[0] that[0] the[0] grim[-2] bleak[-1] world[0] he[0] is[0] introduced[0] to[0] has[0] been[0] waiting[0] for[0] him[0] to[0] save[1] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
neo is reluctant to assume the role of messiah , with grave doubts that he is actually " the one " prophesized to come and save the world . 	neo is reluctant to assume the role of messiah , with grave doubts that he is actually " the one " prophesized to come and save the world .	2	-3	 neo[0] is[0] reluctant[-1] to[0] assume[0] the[0] role[0] of[0] messiah[0] with[0] grave[-2] doubts[-1] that[0] he[0] is[0] actually[0] the[0] one[0] prophesized[0] to[0] come[0] and[0] save[1] the[0] world[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
reluctant or not , what follows is a mix of hong kong-style slow-motion shootouts , surreal dream sequences , high speed chases , and comic book kung-fu fights . 	reluctant or not , what follows is a mix of hong kong-style slow-motion shootouts , surreal dream sequences , high speed chases , and comic book kung-fu fights .	1	-3	 reluctant[-1] or[0] not[0] what[0] follows[0] is[0] a[0] mix[0] of[0] hong[0] kong[0] style[0] slow[0] motion[0] shootouts[-1] surreal[0] dream[0] sequences[0] high[0] speed[0] chases[-1] and[0] comic[0] book[0] kung[0] fu[0] fights[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film also raises interesting philosophical questions about reality . 	the film also raises interesting philosophical questions about reality .	2	-1	 the[0] film[0] also[0] raises[0] interesting[1] philosophical[0] questions[0] about[0] reality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
