the caveman's valentine starring samuel l . jackson , ann magnuson , aunjanue ellis , tamara tunie screenplay by george dawes green , based on his novel directed by kasi lemmons 	Translation	Positive	Negative	EmotionRationale
 * * * for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit _film freak central_ - http : //filmfreakcentral . net 	 * * * for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit _film freak central_ - http : //filmfreakcentral .<br> net	1	-2	 for[0] more[0] film[0] dvd[0] and[0] books[0] about[0] movie[0] reviews[0] plus[0] annual[0] coverage[0] of[0] the[0] toronto[0] international[0] film[0] festival[0] visit[0] _film[0] freak[-1] central_[0] http[0] //filmfreakcentral[0] [[Sentence=-2,1=word max, 1-5]] net[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
  now with search engine * * * 	  now with search engine * * *	1	-1	 now[0] with[0] search[0] engine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a strange mixture of _shine_ , _basquiat_ , _angel heart_ , and grant morrison & dave mckean's graphic novel " arkham asylum " , _the caveman's valentine_ is a feverish tale of a homeless madman-cum-detective who , on the morning of february 14th , discovers a " valentine " just outside his new york cave : one of ella fitzgerald's strange fruit , stuck in the crotch of a tree--a young male model murdered and frozen to a branch . 	a strange mixture of _shine_ , _basquiat_ , _angel heart_ , and grant morrison & dave mckean's graphic novel " arkham asylum " , _the caveman's valentine_ is a feverish tale of a homeless madman-cum-detective who , on the morning of february 14th , discovers a " valentine " just outside his new york cave : one of ella fitzgerald's strange fruit , stuck in the crotch of a tree-a young male model murdered and frozen to a branch .	1	-4	 a[0] strange[0] mixture[0] of[0] _shine_[0] _basquiat_[0] _angel[0] heart_[0] and[0] grant[0] morrison[0] &[0] dave[0] mckean's[0] graphic[0] novel[0] arkham[0] asylum[0] _the[0] caveman's[0] valentine_[0] is[0] a[0] feverish[-1] tale[0] of[0] a[0] homeless[0] madman[-1] cum[0] detective[0] who[0] on[0] the[0] morning[0] of[0] february[0] 14th[0] discovers[0] a[0] valentine[0] just[0] outside[0] his[0] new[0] york[0] cave[0] one[0] of[0] ella[0] fitzgerald's[0] strange[0] fruit[0] stuck[0] in[0] the[0] crotch[0] of[0] a[0] tree[0] a[0] young[0] male[0] model[0] murdered[-3] and[0] frozen[0] to[0] a[0] branch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
believing at first that his imagined nemesis stuyvesant , shooting evil rays into his mind from atop the chrysler building , is responsible for the murder , romulus ( samuel l . jackson ) is put on the trail of an avant-garde photographer in the mapplethorpe mould , david leppenraub ( colm feore ) . 	believing at first that his imagined nemesis stuyvesant , shooting evil rays into his mind from atop the chrysler building , is responsible for the murder , romulus ( samuel l .<br> jackson ) is put on the trail of an avant-garde photographer in the mapplethorpe mould , david leppenraub ( colm feore ) .	1	-4	 believing[0] at[0] first[0] that[0] his[0] imagined[0] nemesis[0] stuyvesant[0] shooting[-1] evil[-2] rays[0] into[0] his[0] mind[0] from[0] atop[0] the[0] chrysler[0] building[0] is[0] responsible[0] for[0] the[0] murder[-3] romulus[0] samuel[0] l[0] [[Sentence=-4,1=word max, 1-5]] jackson[0] is[0] put[0] on[0] the[0] trail[0] of[0] an[0] avant[0] garde[0] photographer[0] in[0] the[0] mapplethorpe[0] mould[0] david[0] leppenraub[0] colm[0] feore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
his minor sleuthing interrupted by the occasional delusional fit and bouts with an ecstasy of creation ( romulus was a brilliant julliard-trained pianist prior to his psychosis ) , romulus uncovers clues and harasses suspects on his way to convincing his police-woman daughter ( aunjanue ellis ) that even though he's a nut , that doesn't mean that he can't solve a high-profile society murder . 	his minor sleuthing interrupted by the occasional delusional fit and bouts with an ecstasy of creation ( romulus was a brilliant julliard-trained pianist prior to his psychosis ) , romulus uncovers clues and harasses suspects on his way to convincing his police-woman daughter ( aunjanue ellis ) that even though he's a nut , that doesn't mean that he can't solve a high-profile society murder .	4	-4	 his[0] minor[0] sleuthing[0] interrupted[-1] by[0] the[0] occasional[0] delusional[-1] fit[0] and[0] bouts[0] with[0] an[0] ecstasy[3] of[0] creation[0] romulus[0] was[0] a[0] brilliant[1] julliard[0] trained[0] pianist[0] prior[0] to[0] his[0] psychosis[0] romulus[0] uncovers[0] clues[0] and[0] harasses[-2] suspects[0] on[0] his[0] way[0] to[0] convincing[0] his[0] police[0] woman[0] daughter[0] aunjanue[0] ellis[0] that[0] even[0] though[0] he's[0] a[0] nut[0] that[0] doesn't[0] mean[0] that[0] he[0] can't[0] solve[0] a[0] high[0] profile[0] society[0] murder[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
every moment an exhausting workshop of ideas , and every character the same , _the caveman's valentine_ is a concept so " high concept " that it suddenly became clear to me that the film fits into the comic book genre of entertainment , with romulus's " caveman " a slightly more mundane version of todd mcfarlane's urban noir hero , spawn . 	every moment an exhausting workshop of ideas , and every character the same , _the caveman's valentine_ is a concept so " high concept " that it suddenly became clear to me that the film fits into the comic book genre of entertainment , with romulus's " caveman " a slightly more mundane version of todd mcfarlane's urban noir hero , spawn .	3	-2	 every[0] moment[0] an[0] exhausting[-1] workshop[0] of[0] ideas[0] and[0] every[0] character[0] the[0] same[0] _the[0] caveman's[0] valentine_[0] is[0] a[0] concept[0] so[0] high[0] concept[0] that[0] it[0] suddenly[0] became[0] clear[0] to[0] me[0] that[0] the[0] film[0] fits[0] into[0] the[0] comic[0] book[0] genre[0] of[0] entertainment[0] with[0] romulus's[0] caveman[0] a[0] slightly[0] more[0] mundane[-1] version[0] of[0] todd[0] mcfarlane's[0] urban[0] noir[0] hero[2] spawn[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with a long-vanished wife ( tamara tunie ) acting as a spiritual guide , the occasional social caste commentary , the secret base in a cave , a divergent genius personality with a network of informants and supporters , and a wickedly colourful arch-enemy , the film piles on the lurid comic book details and dizzying slapdash colours to such a lavish extent that i was vaguely surprised that the blue police cars weren't inscribed with " gotham pd . " 	with a long-vanished wife ( tamara tunie ) acting as a spiritual guide , the occasional social caste commentary , the secret base in a cave , a divergent genius personality with a network of informants and supporters , and a wickedly colourful arch-enemy , the film piles on the lurid comic book details and dizying slapdash colours to such a lavish extent that i was vaguely surprised that the blue police cars weren't inscribed with " gotham pd .<br> "	3	-2	 with[0] a[0] long[0] vanished[-1] wife[0] tamara[0] tunie[0] acting[0] as[0] a[0] spiritual[0] guide[0] the[0] occasional[0] social[0] caste[0] commentary[0] the[0] secret[0] base[0] in[0] a[0] cave[0] a[0] divergent[0] genius[0] personality[0] with[0] a[0] network[0] of[0] informants[0] and[0] supporters[1] and[0] a[0] wickedly[2] colourful[0] arch[0] enemy[-1] the[0] film[0] piles[0] on[0] the[0] lurid[0] comic[0] book[0] details[0] and[0] dizzying/dizying[0] slapdash[-1] colours[0] to[0] such[0] a[0] lavish[0] extent[0] that[0] i[0] was[0] vaguely[-1] surprised[0] that[0] the[0] blue[0] police[0] cars[0] weren't[0] inscribed[0] with[0] gotham[0] pd[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that being said , _the caveman's valentine_ can only really succeed as a heroic fantasy , a frank miller graphic novel that has the audacity to portray the blood staining a field of virgin snow expanding to form the shape of a heart . 	that being said , _the caveman's valentine_ can only really succeed as a heroic fantasy , a frank miller graphic novel that has the audacity to portray the blood staining a field of virgin snow expanding to form the shape of a heart .	4	-2	 that[0] being[0] said[0] _the[0] caveman's[0] valentine_[0] can[0] only[0] really[0] succeed[2][1 LastWordBoosterStrength] as[0] a[0] heroic[2] fantasy[0] a[0] frank[0] miller[0] graphic[0] novel[0] that[0] has[0] the[0] audacity[0] to[0] portray[0] the[0] blood[0] staining[-1] a[0] field[0] of[0] virgin[0] snow[0] expanding[0] to[0] form[0] the[0] shape[0] of[0] a[0] heart[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the difficulties with the film spring from the misunderstanding that it somehow adheres to the conventions of a thriller or a police procedural when , in fact , _the caveman's valentine_ is a superhero fable that takes on the cause of the homeless ( again like mcfarlane's spawn ) while attacking the entrenched ruling classes in government and the arts . 	the difficulties with the film spring from the misunderstanding that it somehow adheres to the conventions of a thriller or a police procedural when , in fact , _the caveman's valentine_ is a superhero fable that takes on the cause of the homeless ( again like mcfarlane's spawn ) while attacking the entrenched ruling classes in government and the arts .	2	-3	 the[0] difficulties[-1] with[0] the[0] film[0] spring[0] from[0] the[0] misunderstanding[-1] that[0] it[0] somehow[0] adheres[0] to[0] the[0] conventions[0] of[0] a[0] thriller[1] or[0] a[0] police[0] procedural[0] when[0] in[0] fact[0] _the[0] caveman's[0] valentine_[0] is[0] a[0] superhero[0] fable[0] that[0] takes[0] on[0] the[0] cause[0] of[0] the[0] homeless[0] again[0] like[1] mcfarlane's[0] spawn[0] while[0] attacking[-2] the[0] entrenched[0] ruling[0] classes[0] in[0] government[0] and[0] the[0] arts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is no small detail that our hero , romulus , is not only named for a member of the ruling class who lived his life ( in legend ) without knowledge of his royal birth , but also that our romulus has turned his back on the comforts of the literati in favour of a mystical existence living in a cave in a park . in the romulus mythology , signs of romulus' royal blood is brought by twelve vultures , while in the film , the call to action for our hero comes in the form of not the carrion birds , but of the carrion itself . 	it is no small detail that our hero , romulus , is not only named for a member of the ruling class who lived his life ( in legend ) without knowledge of his royal birth , but also that our romulus has turned his back on the comforts of the literati in favour of a mystical existence living in a cave in a park .<br> in the romulus mythology , signs of romulus' royal blood is brought by twelve vultures , while in the film , the call to action for our hero comes in the form of not the carrion birds , but of the carrion itself .	3	-3	 it[0] is[0] no[0] small[0] detail[0] that[0] our[0] hero[2] romulus[0] is[0] not[0] only[0] named[0] for[0] a[0] member[0] of[0] the[0] ruling[0] class[0] who[0] lived[0] his[0] life[0] in[0] legend[0] without[0] knowledge[0] of[0] his[0] royal[0] birth[0] but[0] also[0] that[0] our[0] romulus[0] has[0] turned[0] his[0] back[0] on[0] the[0] comforts[1] of[0] the[0] literati[0] in[0] favour[1] of[0] a[0] mystical[0] existence[0] living[0] in[0] a[0] cave[0] in[0] a[0] park[0] [[Sentence=-1,3=word max, 1-5]] in[0] the[0] romulus[0] mythology[0] signs[0] of[0] romulus'[0] royal[0] blood[0] is[0] brought[0] by[0] twelve[0] vultures[-2] while[0] in[0] the[0] film[0] the[0] call[0] to[0] action[0] for[0] our[0] hero[2] comes[0] in[0] the[0] form[0] of[0] not[0] the[0] carrion[0] birds[0] but[0] of[0] the[0] carrion[0] itself[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
