marie ( charlotte rampling , " aberdeen " ) and jean ( bruno cremet , " sorcerer " ) are a comfortable , sixty-ish married couple looking forward to a peaceful vacation at their second home in lit et mix . 	Translation	Positive	Negative	EmotionRationale
on their first , full day , marie sunbathes as jean goes for a swim . 	on their first , full day , marie sunbathes as jean goes for a swim .	1	-1	 on[0] their[0] first[0] full[0] day[0] marie[0] sunbathes[0] as[0] jean[0] goes[0] for[0] a[0] swim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hours later , marie's initiated a full scale search when jean hasn't returned , but no trace of him is found . 	hours later , marie's initiated a full scale search when jean hasn't returned , but no trace of him is found .	1	-1	 hours[0] later[0] marie's[0] initiated[0] a[0] full[0] scale[0] search[0] when[0] jean[0] hasn't[0] returned[0] but[0] no[0] trace[0] of[0] him[0] is[0] found[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marie returns to paris and resumes her life , including chats with jean at the end of each day in francois ozon's " under the sand . " 	marie returns to paris and resumes her life , including chats with jean at the end of each day in francois ozon's " under the sand .<br> "	1	-1	 marie[0] returns[0] to[0] paris[0] and[0] resumes[0] her[0] life[0] including[0] chats[0] with[0] jean[0] at[0] the[0] end[0] of[0] each[0] day[0] in[0] francois[0] ozon's[0] under[0] the[0] sand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marie's ex-pat british friend amanda ( alexandra stewart , " frantic " ) and her french husband gerard ( pierre vernier ) try to snap marie out of her denial with a dinner party , where they introduce her to the handsome vincent ( jacques nolot , " nenette et boni " ) , yet marie suggests that gerard accompany her and jean to their gym the next morning . 	marie's ex-pat british friend amanda ( alexandra stewart , " frantic " ) and her french husband gerard ( pierre vernier ) try to snap marie out of her denial with a dinner party , where they introduce her to the handsome vincent ( jacques nolot , " nenette et boni " ) , yet marie suggests that gerard accompany her and jean to their gym the next morning .	2	-2	 marie's[0] ex[0] pat[0] british[0] friend[1] amanda[0] alexandra[0] stewart[0] frantic[-1] and[0] her[0] french[0] husband[0] gerard[0] pierre[0] vernier[0] try[0] to[0] snap[0] marie[0] out[0] of[0] her[0] denial[-1] with[0] a[0] dinner[0] party[0] where[0] they[0] introduce[0] her[0] to[0] the[0] handsome[1] vincent[0] jacques[0] nolot[0] nenette[0] et[0] boni[0] yet[0] marie[0] suggests[0] that[0] gerard[0] accompany[0] her[0] and[0] jean[0] to[0] their[0] gym[0] the[0] next[0] morning[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually marie does begin dating vincent , but she discusses him with jean and even smiles at jean , hidden behind a bedroom curtain , when she makes love to vincent . 	eventually marie does begin dating vincent , but she discusses him with jean and even smiles at jean , hidden behind a bedroom curtain , when she makes love to vincent .	3	-1	 eventually[0] marie[0] does[0] begin[0] dating[0] vincent[0] but[0] she[0] discusses[0] him[0] with[0] jean[0] and[0] even[0] smiles[2] at[0] jean[0] hidden[0] behind[0] a[0] bedroom[0] curtain[0] when[0] she[0] makes[0] love[2] to[0] vincent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
slowly , though , reality continues to chip away at marie's fantasy life . 	slowly , though , reality continues to chip away at marie's fantasy life .	1	-1	 slowly[0] though[0] reality[0] continues[0] to[0] chip[0] away[0] at[0] marie's[0] fantasy[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her bank advises her that without access to jean's account , she needs to reduce her spending . 	her bank advises her that without access to jean's account , she needs to reduce her spending .	1	-1	 her[0] bank[0] advises[0] her[0] that[0] without[0] access[0] to[0] jean's[0] account[0] she[0] needs[0] to[0] reduce[0] her[0] spending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of her university students ( she's reading virginia woolf's " the waves " ) turns out to be one of the young men who participated in the beach search . 	one of her university students ( she's reading virginia woolf's " the waves " ) turns out to be one of the young men who participated in the beach search .	1	-1	 one[0] of[0] her[0] university[0] students[0] she's[0] reading[0] virginia[0] woolf's[0] the[0] waves[0] turns[0] out[0] to[0] be[0] one[0] of[0] the[0] young[0] men[0] who[0] participated[0] in[0] the[0] beach[0] search[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then police arrive asking her to identify the clothing of a body they've found washed up from the ocean . 	then police arrive asking her to identify the clothing of a body they've found washed up from the ocean .	1	-1	 then[0] police[0] arrive[0] asking[0] her[0] to[0] identify[0] the[0] clothing[0] of[0] a[0] body[0] they've[0] found[0] washed[0] up[0] from[0] the[0] ocean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that night , jean's not at home when she returns to their apartment . 	that night , jean's not at home when she returns to their apartment .	1	-1	 that[0] night[0] jean's[0] not[0] at[0] home[0] when[0] she[0] returns[0] to[0] their[0] apartment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
