touchstone pictures and spyglass entertainment presents a birnbaum / barber production in association with a jackie chan films limited production jackie chan owen wilson " shanghai noon " lucy liu music by randy edelman co producers ned dowd jules daly executive producer jackie chan willie chan and solon so produced by roger birnbaum gary barber and jonathan glickman written by alfred gough & miles millar directed by tom dey 	Translation	Positive	Negative	EmotionRationale
rated pg-13 for mild language , adult situations , drug use , martial art action and violence . 	rated pg-13 for mild language , adult situations , drug use , martial art action and violence .	1	-4	 rated[0] pg[0] -13[0] for[0] mild[0] language[0] adult[0] situations[0] drug[0] use[0] martial[0] art[0] action[0] and[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
107 minutes . 	107 minutes .	1	-1	 107[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
super 35mm / panavision ( 2 . 35 : 1 ) 	super 35m / panavision ( 2 .<br> 35 : 1 )	3	-1	 super[2] 35mm/35m[0] /[0] panavision[0] 2[0] [[Sentence=-1,3=word max, 1-5]] 35[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
what can you say about jackie chan that hasn't already been said . 	what can you say about jackie chan that hasn't already been said .	1	-1	 what[0] can[0] you[0] say[0] about[0] jackie[0] chan[0] that[0] hasn't[0] already[0] been[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since the release of 'rumble in the bronx " back in 1996 ( the u . s . release ) , jackie has become a fairly recognizable commodity on america's video shelves . 	since the release of 'rumble in the bronx " back in 1996 ( the you .<br> s .<br> release ) , jackie has become a fairly recognizable commodity on america's video shelves .	1	-1	 since[0] the[0] release[0] of[0] 'rumble[0] in[0] the[0] bronx[0] back[0] in[0] 1996[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] release[0] jackie[0] has[0] become[0] a[0] fairly[0] recognizable[0] commodity[0] on[0] america's[0] video[0] shelves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having made over 80 films , jackie has finally succeeded in bringing his style of action-comedy to the west . 	having made over 80 films , jackie has finally succeeded in bringing his style of action-comedy to the west .	3	-1	 having[0] made[0] over[0] 80[0] films[0] jackie[0] has[0] finally[0] succeeded[2] in[0] bringing[0] his[0] style[0] of[0] action[0] comedy[0] to[0] the[0] west[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his latest release , " shanghai noon " , is a joyful tribute / spoof of the classic western . 	his latest release , " shanghai noon " , is a joyful tribute / spoof of the classic western .	3	-1	 his[0] latest[0] release[0] shanghai[0] noon[0] is[0] a[0] joyful[2] tribute[0] /[0] spoof[0] of[0] the[0] classic[0] western[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and by adding jackie chan into the genre , the tag line for the film ( " the western gets a kick in the pants " ) rings true . 	and by adding jackie chan into the genre , the tag line for the film ( " the western gets a kick in the pants " ) rings true .	2	-2	 and[0] by[0] adding[0] jackie[0] chan[0] into[0] the[0] genre[0] the[0] tag[0] line[0] for[0] the[0] film[0] the[0] western[0] gets[0] a[0] kick[-1] in[0] the[0] pants[0] rings[0] true[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackie stars as chon wang , a lesser imperial guard in the forbidden city of china . 	jackie stars as chon wang , a lesser imperial guard in the forbidden city of china .	1	-2	 jackie[0] stars[0] as[0] chon[0] wang[0] a[0] lesser[0] imperial[0] guard[0] in[0] the[0] forbidden[-1] city[0] of[0] china[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the royal princess pei pei ( lucy liu ) is set to be married to the obnoxious son of a nobleman from another prefecture . 	the royal princess pei pei ( lucy liu ) is set to be married to the obnoxious son of a nobleman from another prefecture .	1	-3	 the[0] royal[0] princess[0] pei[0] pei[0] lucy[0] liu[0] is[0] set[0] to[0] be[0] married[0] to[0] the[0] obnoxious[-2] son[0] of[0] a[0] nobleman[0] from[0] another[0] prefecture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
