note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the teaser trailers for my best friend's wedding scarsely gave reason for hope - it looked like the sort of goofy , light-hearted comedy than might put julia roberts back in the limelight , but little more ; i'd frankly rarely seen a trailer place such an emphasis on people falling over for laughs so often . 	the teaser trailers for my best friend's wedding scarsely gave reason for hope - it looked like the sort of goofy , light-hearted comedy than might put julia roberts back in the limelight , but little more ; i'd frankly rarely seen a trailer place such an emphasis on people falling over for laughs so often .	3	-2	 the[0] teaser[-1] trailers[0] for[0] my[0] best[1] friend's[1] wedding[0] scarsely[0] gave[0] reason[0] for[0] hope[2] it[0] looked[0] like[1] the[0] sort[0] of[0] goofy[0] light[0] hearted[0] comedy[0] than[0] might[0] put[0] julia[0] roberts[0] back[0] in[0] the[0] limelight[0] but[0] little[0] more[0] i'd[0] frankly[0] rarely[0] seen[0] a[0] trailer[0] place[0] such[0] an[0] emphasis[0] on[0] people[0] falling[0] over[0] for[0] laughs[1] so[0] often[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it was then to both my surprise and my delight to find that my best friend's wedding was such a success - a strong , bouyant romantic-comedy with some decidedly unconventionally quirky comic aspects , featuring a triumphant performance from ms . roberts . 	it was then to both my surprise and my delight to find that my best friend's wedding was such a success - a strong , bouyant romantic-comedy with some decidedly unconventionally quirky comic aspects , featuring a triumphant performance from ms .<br> roberts .	4	-1	 it[0] was[0] then[0] to[0] both[0] my[0] surprise[0] and[0] my[0] delight[2] to[0] find[0] that[0] my[0] best[1] friend's[1] wedding[0] was[0] such[0] a[0] success[2] a[0] strong[0] bouyant[0] romantic[3] comedy[0] with[0] some[0] decidedly[0] unconventionally[0] quirky[0] comic[0] aspects[0] featuring[0] a[0] triumphant[2] performance[0] from[0] ms[0] [[Sentence=-1,4=word max, 1-5]] roberts[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
the heroine of my best friend's wedding is julianne potter ( julia roberts ) , a successful new york restaurant critic , and we open the film with a whimsical revelation to her editor george downes ( rupert everett ) that years ago , she had made a pact with her dear best friend and ex-lover michael o'neal ( dermot mulroney ) , a sports writer , that if they both hadn't married by the time they reached 28 , they had promised to marry each other . 	the heroine of my best friend's wedding is julianne potter ( julia roberts ) , a successful new york restaurant critic , and we open the film with a whimsical revelation to her editor george downes ( rupert everett ) that years ago , she had made a pact with her dear best friend and ex-lover michael o'neal ( dermot mulroney ) , a sports writer , that if they both hadn't married by the time they reached 28 , they had promised to marry each other .	4	-2	 the[0] heroine[2] of[0] my[0] best[1] friend's[1] wedding[0] is[0] julianne[0] potter[0] julia[0] roberts[0] a[0] successful[2] new[0] york[0] restaurant[0] critic[-1] and[0] we[0] open[0] the[0] film[0] with[0] a[0] whimsical[0] revelation[0] to[0] her[0] editor[0] george[0] downes[0] rupert[0] everett[0] that[0] years[0] ago[0] she[0] had[0] made[0] a[0] pact[0] with[0] her[0] dear[1] best[1] friend[1] and[0] ex[0] lover[3] michael[0] o'neal[0] dermot[0] mulroney[0] a[0] sports[0] writer[0] that[0] if[0] they[0] both[0] hadn't[0] married[0] by[0] the[0] time[0] they[0] reached[0] 28[0] they[0] had[0] promised[1] to[0] marry[0] each[0] other[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
both julianne and michael are both single , of course , and when george inquires about michael's age , julianne realizes that he's mere weeks away from his 28th birthday , and is quite distressed when she receives a phone call from michael later that day . 	both julianne and michael are both single , of course , and when george inquires about michael's age , julianne realizes that he's mere weeks away from his 28th birthday , and is quite distressed when she receives a phone call from michael later that day .	1	-3	 both[0] julianne[0] and[0] michael[0] are[0] both[0] single[0] of[0] course[0] and[0] when[0] george[0] inquires[0] about[0] michael's[0] age[0] julianne[0] realizes[0] that[0] he's[0] mere[0] weeks[0] away[0] from[0] his[0] 28th[0] birthday[0] and[0] is[0] quite[0] distressed[-2] when[0] she[0] receives[0] a[0] phone[0] call[0] from[0] michael[0] later[0] that[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , she finds herself even more distraught when michael's call is in regards to his impending marriage to heiress kimmy wallace ( cameron diaz ) , and when he asks julianne to fly down to chicago for the wedding , julianne suddenly realizes that she loves michael , and resolves to break up the wedding and steal the groom by any means necessary . 	however , she finds herself even more distraught when michael's call is in regards to his impending marriage to heiress kimmy wallace ( cameron diaz ) , and when he asks julianne to fly down to chicago for the wedding , julianne suddenly realizes that she loves michael , and resolves to break up the wedding and steal the groom by any means necessary .	3	-4	 however[0] she[0] finds[0] herself[0] even[0] more[0] distraught[-3] when[0] michael's[0] call[0] is[0] in[0] regards[0] to[0] his[0] impending[0] marriage[0] to[0] heiress[0] kimmy[0] wallace[0] cameron[0] diaz[0] and[0] when[0] he[0] asks[0] julianne[0] to[0] fly[0] down[0] to[0] chicago[0] for[0] the[0] wedding[0] julianne[0] suddenly[0] realizes[0] that[0] she[0] loves[2] michael[0] and[0] resolves[1] to[0] break[0] up[0] the[0] wedding[0] and[0] steal[-2] the[0] groom[0] by[0] any[0] means[0] necessary[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the setup for my best friend's wedding , then , is a fairly conventional one , and in many ways the film's storyline is formulaic - but only to a certain extent : the film was directed by p . j . hogan , whose first feature , muriel's wedding , had quite an offbeat tone for a traditional uplifting ugly-duckling story , and the same holds true for my best friend's wedding , which confidently combines traditional romantic-comedy elements with a really eccentric sense of humour . 	the setup for my best friend's wedding , then , is a fairly conventional one , and in many ways the film's storyline is formulaic - but only to a certain extent : the film was directed by p .<br> j .<br> hogan , whose first feature , muriel's wedding , had quite an offbeat tone for a traditional uplifting ugly-duckling story , and the same holds true for my best friend's wedding , which confidently combines traditional romantic-comedy elements with a really eccentric sense of humour .	4	-3	 the[0] setup[0] for[0] my[0] best[1] friend's[1] wedding[0] then[0] is[0] a[0] fairly[0] conventional[0] one[0] and[0] in[0] many[0] ways[0] the[0] film's[0] storyline[0] is[0] formulaic[0] but[0] only[0] to[0] a[0] certain[0] extent[0] the[0] film[0] was[0] directed[0] by[0] p[0] [[Sentence=-1,2=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]] hogan[0] whose[0] first[0] feature[0] muriel's[0] wedding[0] had[0] quite[0] an[0] offbeat[0] tone[0] for[0] a[0] traditional[0] uplifting[0] ugly[-2] duckling[0] story[0] and[0] the[0] same[0] holds[0] true[1] for[0] my[0] best[1] friend's[1] wedding[0] which[0] confidently[1] combines[0] traditional[0] romantic[3] comedy[0] elements[0] with[0] a[0] really[0] eccentric[-1][-1 LastWordBoosterStrength] sense[0] of[0] humour[2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the film is innundated with sly mischievousness which seems clearly the influence of mr . hogan . 	the film is inundated with sly mischievousness which seems clearly the influence of mr .<br> hogan .	1	-2	 the[0] film[0] is[0] innundated/inundated[-1] with[0] sly[-1] mischievousness[-1] which[0] seems[0] clearly[0] the[0] influence[0] of[0] mr[0] [[Sentence=-2,1=word max, 1-5]] hogan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , there's a heartfelt , emotional exchange between julianne and michael late in the film - with a trio of teenagers , inhaling helium and sounding every bit like alvin and the chipmunks , harmonizing in the background . 	for example , there's a heartfelt , emotional exchange between julianne and michael late in the film - with a trio of teenagers , inhaling helium and sounding every bit like alvin and the chipmunks , harmonizing in the background .	2	-2	 for[0] example[0] there's[0] a[0] heartfelt[1] emotional[-1] exchange[0] between[0] julianne[0] and[0] michael[0] late[0] in[0] the[0] film[0] with[0] a[0] trio[0] of[0] teenagers[0] inhaling[0] helium[0] and[0] sounding[0] every[0] bit[0] like[1] alvin[0] and[0] the[0] chipmunks[0] harmonizing[1] in[0] the[0] background[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my best friend's wedding opens with an inspired opening credit sequence which sets the tone for the film , and there are scenes where actors spontaneously burst into song to good comic effect - it could almost be argued that this film is nearly as much of a musical as woody allen's everyone says i love you ; i'd even assert it's a more successful one . 	my best friend's wedding opens with an inspired opening credit sequence which sets the tone for the film , and there are scenes where actors spontaneously burst into song to good comic effect - it could almost be argued that this film is nearly as much of a musical as woody allen's everyone says i love you ; i'd even assert it's a more successful one .	3	-2	 my[0] best[1] friend's[1] wedding[0] opens[0] with[0] an[0] inspired[2] opening[0] credit[0] sequence[0] which[0] sets[0] the[0] tone[0] for[0] the[0] film[0] and[0] there[0] are[0] scenes[0] where[0] actors[0] spontaneously[0] burst[0] into[0] song[0] to[0] good[1] comic[0] effect[0] it[0] could[0] almost[0] be[0] argued[-1] that[0] this[0] film[0] is[0] nearly[0] as[0] much[0] of[0] a[0] musical[0] as[0] woody[0] allen's[0] everyone[0] says[0] i[0] love[2] you[0] i'd[0] even[0] assert[0] it's[0] a[0] more[0] successful[2] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
