what's shocking about " carlito's way " is how good it is . 	Translation	Positive	Negative	EmotionRationale
having gotten a bit of a bad rap for not being a big box office hit like pacino's previous film , " scent of a woman , " and not having as strong a performance as he did in that one ( he had just won an oscar ) , " carlito's way " was destined for underrated heaven . 	having gotten a bit of a bad rap for not being a big box office hit like pacino's previous film , " scent of a woman , " and not having as strong a performance as he did in that one ( he had just won an oscar ) , " carlito's way " was destined for underrated heaven .	2	-2	 having[0] gotten[0] a[0] bit[0] of[0] a[0] bad[-1] rap[0] for[0] not[0] being[0] a[0] big[0] box[0] office[0] hit[0] like[1] pacino's[0] previous[0] film[0] scent[0] of[0] a[0] woman[0] and[0] not[0] having[0] as[0] strong[0] a[0] performance[0] as[0] he[0] did[0] in[0] that[0] one[0] he[0] had[0] just[0] won[0] an[0] oscar[0] carlito's[0] way[0] was[0] destined[0] for[0] underrated[0] heaven[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's what it is : an underrated gem of a movie . 	that's what it is : an underrated gem of a movie .	1	-1	 that's[0] what[0] it[0] is[0] an[0] underrated[0] gem[0] of[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what a shame because pacino and de palma both do amazing jobs with it , and turn it into a great piece of a pulpy character study . 	and what a shame because pacino and de palma both do amazing jobs with it , and turn it into a great piece of a pulpy character study .	3	-3	 and[0] what[0] a[0] shame[-2] because[0] pacino[0] and[0] de[0] palma[0] both[0] do[0] amazing[2] jobs[0] with[0] it[0] and[0] turn[0] it[0] into[0] a[0] great[2] piece[0] of[0] a[0] pulpy[0] character[0] study[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " carlito's way " deals with , well , carlito brigante ( pacino ) , a puerto rican ex-drug kingpin , who gets out of a long jailterm when his coke-addicted , curly-haired lawyer ( sean penn ) points out a legal technicality . 	 " carlito's way " deals with , well , carlito brigante ( pacino ) , a puerto rican ex-drug kingpin , who gets out of a long jailterm when his coke-addicted , curly-haired lawyer ( sean pen ) points out a legal technicality .	1	-2	 carlito's[0] way[0] deals[0] with[0] well[0] carlito[0] brigante[0] pacino[0] a[0] puerto[0] rican[0] ex[0] drug[0] kingpin[0] who[0] gets[0] out[0] of[0] a[0] long[0] jailterm[-1] when[0] his[0] coke[0] addicted[-1] curly[0] haired[0] lawyer[0] sean[0] penn/pen[0] points[0] out[0] a[0] legal[0] technicality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , carlito was actually awoken in prison , and has decided to go straight , even if he's really a crook at heart . 	of course , carlito was actually awoken in prison , and has decided to go straight , even if he's really a crook at heart .	1	-2	 of[0] course[0] carlito[0] was[0] actually[0] awoken[0] in[0] prison[-1] and[0] has[0] decided[0] to[0] go[0] straight[0] even[0] if[0] he's[0] really[0] a[0] crook[-1] at[0] heart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carlito , like barry lyndon , is a man who is trapped by fate at every turn , and can't escape into something he is not . 	carlito , like barry lyndon , is a man who is trapped by fate at every turn , and can't escape into something he is not .	2	-1	 carlito[0] like[1] barry[0] lyndon[0] is[0] a[0] man[0] who[0] is[0] trapped[0] by[0] fate[0] at[0] every[0] turn[0] and[0] can't[0] escape[0] into[0] something[0] he[0] is[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carlito's attempts at a clean , legal life are thwarted at nearly every turn . 	carlito's attempts at a clean , legal life are thwarted at nearly every turn .	1	-2	 carlito's[0] attempts[0] at[0] a[0] clean[0] legal[0] life[0] are[0] thwarted[-1] at[0] nearly[0] every[0] turn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he first gets out , a friend of his ends up leading him into a big shoot-out , where he has to kill a couple people to survive . 	when he first gets out , a friend of his ends up leading him into a big shoot-out , where he has to kill a couple people to survive .	2	-2	 when[0] he[0] first[0] gets[0] out[0] a[0] friend[1] of[0] his[0] ends[0] up[0] leading[0] him[0] into[0] a[0] big[0] shoot[-1] out[0] where[0] he[0] has[0] to[0] kill[-1] a[0] couple[0] people[0] to[0] survive[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's constantly getting bugged by the government to see if he's doing anything illegal , and his lawyer finds himself neck-deep in a pile of shit , needing him to try and help him out , which includes him doing some prison breaking . 	he's constantly getting bugged by the government to see if he's doing anything illegal , and his lawyer finds himself neck-deep in a pile of shit , needing him to try and help him out , which includes him doing some prison breaking .	1	-2	 he's[0] constantly[0] getting[0] bugged[0] by[0] the[0] government[0] to[0] see[0] if[0] he's[0] doing[0] anything[0] illegal[-1] and[0] his[0] lawyer[0] finds[0] himself[0] neck[0] deep[0] in[0] a[0] pile[0] of[0] shit[-1] needing[0] him[0] to[0] try[0] and[0] help[0] him[0] out[0] which[0] includes[0] him[0] doing[0] some[0] prison[-1][--1 LastWordBoosterStrength] breaking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carlito , like ratso rizzo , wants to go to miami ( since , according to film logic , that's where it's at ) , but needs some funding . 	carlito , like ratso rizo , wants to go to miami ( since , according to film logic , that's where it's at ) , but needs some funding .	2	-1	 carlito[0] like[1] ratso[0] rizzo/rizo[0] wants[0] to[0] go[0] to[0] miami[0] since[0] according[0] to[0] film[0] logic[0] that's[0] where[0] it's[0] at[0] but[0] needs[0] some[0] funding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
