when i initially set out to review this film , my tag line was going to be " you too can believe whales can fly " . 	Translation	Positive	Negative	EmotionRationale
then it was going to be " you too can believe pastel triangles can fly " . 	then it was going to be " you too can believe pastel triangles can fly " .	1	-1	 then[0] it[0] was[0] going[0] to[0] be[0] you[0] too[0] can[0] believe[0] pastel[0] triangles[0] can[0] fly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then , it was going to be " you too can believe wood sprites can fly " . 	then , it was going to be " you too can believe wood sprites can fly " .	1	-1	 then[0] it[0] was[0] going[0] to[0] be[0] you[0] too[0] can[0] believe[0] wood[0] sprites[0] can[0] fly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , i just gave up trying to come up with a tag line and decided to say . . . 	finally , i just gave up trying to come up with a tag line and decided to say .<br> .<br> .	1	-1	 finally[0] i[0] just[0] gave[0] up[0] trying[0] to[0] come[0] up[0] with[0] a[0] tag[0] line[0] and[0] decided[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a lot of flying going on in this film ! 	there's a lot of flying going on in this film !	1	-1	 there's[0] a[0] lot[0] of[0] flying[0] going[0] on[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as our first host steve martin tells us , the original concept behind fantasia was to bring it out every year with some old segments retained and some new segments added in . 	as our first host steve martin tells us , the original concept behind fantasia was to bring it out every year with some old segments retained and some new segments added in .	1	-1	 as[0] our[0] first[0] host[0] steve[0] martin[0] tells[0] us[0] the[0] original[0] concept[0] behind[0] fantasia[0] was[0] to[0] bring[0] it[0] out[0] every[0] year[0] with[0] some[0] old[0] segments[0] retained[0] and[0] some[0] new[0] segments[0] added[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well apparently that plan fell by the wayside for a while , because approximately sixty years have passed since the original classic was released . 	well apparently that plan fell by the wayside for a while , because approximately sixty years have passed since the original classic was released .	1	-1	 well[0] apparently[0] that[0] plan[0] fell[0] by[0] the[0] wayside[0] for[0] a[0] while[0] because[0] approximately[0] sixty[0] years[0] have[0] passed[0] since[0] the[0] original[0] classic[0] was[0] released[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of this might have something to do with the cold reception the film got when it was first released in 1940 ( grossing somewhere close to  110 , 000 in its original month of release ) . 	part of this might have something to do with the cold reception the film got when it was first released in 1940 ( grossing somewhere close to  110 , 00 in its original month of release ) .	1	-2	 part[0] of[0] this[0] might[0] have[0] something[0] to[0] do[0] with[0] the[0] cold[-1] reception[0] the[0] film[0] got[0] when[0] it[0] was[0] first[0] released[0] in[0] 1940[0] grossing[-1] somewhere[0] close[0] to[0] 110[0] 000/00[0] in[0] its[0] original[0] month[0] of[0] release[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
subsequent re-releases of the film have elevated the popularity of the film to the classic status it has finally achieved ( and rightfully deserved ) . 	subsequent re-releases of the film have elevated the popularity of the film to the classic status it has finally achieved ( and rightfully deserved ) .	2	-1	 subsequent[0] re[0] releases[0] of[0] the[0] film[0] have[0] elevated[0] the[0] popularity[1] of[0] the[0] film[0] to[0] the[0] classic[0] status[0] it[0] has[0] finally[0] achieved[0] and[0] rightfully[0] deserved[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to celebrate the release of an updated version of fantasia , disney and imax teamed up to present the animated film in a fashion no one had seen before : six stories high . 	to celebrate the release of an updated version of fantasia , disney and imax teamed up to present the animated film in a fashion no one had seen before : six stories high .	2	-1	 to[0] celebrate[1] the[0] release[0] of[0] an[0] updated[0] version[0] of[0] fantasia[0] disney[0] and[0] imax[0] teamed[0] up[0] to[0] present[0] the[0] animated[0] film[0] in[0] a[0] fashion[0] no[0] one[0] had[0] seen[0] before[0] six[0] stories[0] high[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in an exclusive four month engagement ( from january 1st to april 30th , 2000 ) , fantasia 2000 can be seen at many imax theaters across the us . 	in an exclusive four month engagement ( from january 1st to april 30th , 200 ) , fantasia 200 can be seen at many imax theaters across the us .	1	-1	 in[0] an[0] exclusive[0] four[0] month[0] engagement[0] from[0] january[0] 1st[0] to[0] april[0] 30th[0] 2000/200[0] fantasia[0] 2000/200[0] can[0] be[0] seen[0] at[0] many[0] imax[0] theaters[0] across[0] the[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the engagement is over , the film will be shown at regular theaters . 	after the engagement is over , the film will be shown at regular theaters .	1	-1	 after[0] the[0] engagement[0] is[0] over[0] the[0] film[0] will[0] be[0] shown[0] at[0] regular[0] theaters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is the format effective for the film ? 	is the format effective for the film ?	1	-1	 is[0] the[0] format[0] effective[0] for[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a few exceptions , yes . 	with a few exceptions , yes .	1	-1	 with[0] a[0] few[0] exceptions[0] yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first segment we are presented with is set to beethoven's fifth symphony . 	the first segment we are presented with is set to beethoven's fifth symphony .	1	-1	 the[0] first[0] segment[0] we[0] are[0] presented[0] with[0] is[0] set[0] to[0] beethoven's[0] fifth[0] symphony[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's hard to describe exactly what this segment is about , but it involves a bunch of brightly colored butterfly looking triangles flitting about happily . 	it's hard to describe exactly what this segment is about , but it involves a bunch of brightly colored butterfly looking triangles flitting about happily .	3	-1	 it's[0] hard[0] to[0] describe[0] exactly[0] what[0] this[0] segment[0] is[0] about[0] but[0] it[0] involves[0] a[0] bunch[0] of[0] brightly[0] colored[0] butterfly[0] looking[0] triangles[0] flitting[0] about[0] happily[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everything seems to be going great for these little things until the ground erupts with swarms of evil , black bat-like triangles that attack and engulf their lighter counterparts . 	everything seems to be going great for these little things until the ground erupts with swarms of evil , black bat-like triangles that attack and engulf their lighter counterparts .	3	-3	 everything[0] seems[0] to[0] be[0] going[0] great[2] for[0] these[0] little[0] things[0] until[0] the[0] ground[0] erupts[0] with[0] swarms[0] of[0] evil[-2] black[0] bat[0] like[1] triangles[0] that[0] attack[-2] and[0] engulf[-1] their[0] lighter[0] counterparts[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
eventually , shafts of light from above help drive away the evil bat-like things and peace returns to the butterfly things . 	eventually , shafts of light from above help drive away the evil bat-like things and peace returns to the butterfly things .	2	-3	 eventually[0] shafts[0] of[0] light[0] from[0] above[0] help[0] drive[0] away[0] the[0] evil[-2] bat[0] like[1] things[0] and[0] peace[0] returns[0] to[0] the[0] butterfly[0] things[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
though this segment isn't very story driven , some of the images are very visually strong , especially the scene in which the dark cloud of bat things ( who are all outlined in blood red colors ) begin to overtake the skies . 	though this segment isn't very story driven , some of the images are very visually strong , especially the scene in which the dark cloud of bat things ( who are all outlined in blood red colors ) begin to overtake the skies .	1	-1	 though[0] this[0] segment[0] isn't[0] very[0] story[0] driven[0] some[0] of[0] the[0] images[0] are[0] very[0] visually[0] strong[0] especially[0] the[0] scene[0] in[0] which[0] the[0] dark[0] cloud[0] of[0] bat[0] things[0] who[0] are[0] all[0] outlined[0] in[0] blood[0] red[0] colors[0] begin[0] to[0] overtake[0] the[0] skies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next segment is set to ottorino respighi's " the pines of rome " . 	the next segment is set to ottorino respighi's " the pines of rome " .	1	-1	 the[0] next[0] segment[0] is[0] set[0] to[0] ottorino[0] respighi's[0] the[0] pines[0] of[0] rome[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this segment , some humpback whales swim happily through the ocean and eventually emerge from the water and fly around the massive icebergs that pepper the oceanscape . 	in this segment , some humpback whales swim happily through the ocean and eventually emerge from the water and fly around the massive icebergs that pepper the oceanscape .	3	-1	 in[0] this[0] segment[0] some[0] humpback[0] whales[0] swim[0] happily[2] through[0] the[0] ocean[0] and[0] eventually[0] emerge[0] from[0] the[0] water[0] and[0] fly[0] around[0] the[0] massive[0] icebergs[0] that[0] pepper[0] the[0] oceanscape[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a whale calf gets into a scuffle with some nearby birds during the flight and ends up getting trapped in a giant iceberg he smashes into while trying to avoid the birds attack . 	a whale calf gets into a scuffle with some nearby birds during the flight and ends up getting trapped in a giant iceberg he smashes into while trying to avoid the birds attack .	1	-3	 a[0] whale[0] calf[0] gets[0] into[0] a[0] scuffle[-1] with[0] some[0] nearby[0] birds[0] during[0] the[0] flight[0] and[0] ends[0] up[0] getting[0] trapped[0] in[0] a[0] giant[0] iceberg[0] he[0] smashes[0] into[0] while[0] trying[0] to[0] avoid[-1] the[0] birds[0] attack[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
