the andromeda strain is the greatest science fiction film ever made . 	Translation	Positive	Negative	EmotionRationale
i know that is very sweeping statement , so i'll qualify it by adding that the andromeda strain is one of the few films made that genuinely deserve the label of " science fiction , " stories in which speculative science is at the core of the plot . 	i know that is very sweeping statement , so i'll qualify it by adding that the andromeda strain is one of the few films made that genuinely deserve the label of " science fiction , " stories in which speculative science is at the core of the plot .	1	-2	 i[0] know[0] that[0] is[0] very[0] sweeping[0] statement[0] so[0] i'll[0] qualify[0] it[0] by[0] adding[0] that[0] the[0] andromeda[0] strain[-1] is[0] one[0] of[0] the[0] few[0] films[0] made[0] that[0] genuinely[0] deserve[0] the[0] label[0] of[0] science[0] fiction[0] stories[0] in[0] which[0] speculative[0] science[0] is[0] at[0] the[0] core[0] of[0] the[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2001 : a space odyssey is probably a better film , but it really only qualifies as science fiction if you consider metaphysics to be a science . 	2001 : a space odyssey is probably a better film , but it really only qualifies as science fiction if you consider metaphysics to be a science .	1	-1	 2001[0] a[0] space[0] odyssey[0] is[0] probably[0] a[0] better[0] film[0] but[0] it[0] really[0] only[0] qualifies[0] as[0] science[0] fiction[0] if[0] you[0] consider[0] metaphysics[0] to[0] be[0] a[0] science[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most all other films we normally classify as science fiction , or sf , are really just fantasy , action or horror stories set in a futuristic setting . 	most all other films we normally classify as science fiction , or sf , are really just fantasy , action or horror stories set in a futuristic setting .	1	-4	 most[0] all[0] other[0] films[0] we[0] normally[0] classify[0] as[0] science[0] fiction[0] or[0] sf[0] are[0] really[0] just[0] fantasy[0] action[0] or[0] horror[-3] stories[0] set[0] in[0] a[0] futuristic[0] setting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the andromeda strain starts out with two soldiers in a high-tech ( for 1970 ) van looking for a crashed satellite in a tiny new mexico town . 	the andromeda strain starts out with two soldiers in a high-tech ( for 1970 ) van looking for a crashed satellite in a tiny new mexico town .	1	-2	 the[0] andromeda[0] strain[-1] starts[0] out[0] with[0] two[0] soldiers[0] in[0] a[0] high[0] tech[0] for[0] 1970[0] van[0] looking[0] for[0] a[0] crashed[0] satellite[0] in[0] a[0] tiny[0] new[0] mexico[0] town[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
something bad happens to them . 	something bad happens to them .	1	-2	 something[0] bad[-1] happens[0] to[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pictures from a reconnaissance plane show a shocking sight . 	pictures from a reconnaissance plane show a shocking sight .	1	-3	 pictures[0] from[0] a[0] reconnaissance[0] plane[0] show[0] a[0] shocking[-2] sight[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
apparently everyone in the town is dead . 	apparently everyone in the town is dead .	1	-3	 apparently[0] everyone[0] in[0] the[0] town[0] is[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the authorities call a " wildfire alert , " summoning four scientists , all but one of them somewhat reluctant , to a super-secret underground germ warfare laboratory in nevada . 	the authorities call a " wildfire alert , " summoning four scientists , all but one of them somewhat reluctant , to a super-secret underground germ warfare laboratory in nevada .	3	-3	 the[0] authorities[0] call[0] a[0] wildfire[0] alert[0] summoning[0] four[0] scientists[0] all[0] but[0] one[0] of[0] them[0] somewhat[0] reluctant[-1] to[0] a[0] super[2] secret[0] underground[0] germ[-1] warfare[-2] laboratory[0] in[0] nevada[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
two of scientists , stone and hall , fly directly to the town in space suits and find a town where almost every single resident literally dropped in their tracks , their blood turned to powder in their veins . 	two of scientists , stone and hall , fly directly to the town in space suits and find a town where almost every single resident literally dropped in their tracks , their blood turned to powder in their veins .	1	-1	 two[0] of[0] scientists[0] stone[0] and[0] hall[0] fly[0] directly[0] to[0] the[0] town[0] in[0] space[0] suits[0] and[0] find[0] a[0] town[0] where[0] almost[0] every[0] single[0] resident[0] literally[0] dropped[0] in[0] their[0] tracks[0] their[0] blood[0] turned[0] to[0] powder[0] in[0] their[0] veins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some went insane before they died and two of them , a baby and an old wino , are miraculously still alive . 	some went insane before they died and two of them , a baby and an old wino , are miraculously still alive .	2	-2	 some[0] went[0] insane[-1] before[0] they[0] died[0] and[0] two[0] of[0] them[0] a[0] baby[1] and[0] an[0] old[0] wino[0] are[0] miraculously[0] still[0] alive[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
