mike myers , you certainly did throw us a ? frickin' bone here in what you call ? the biggest austin powers adventure yet . ' 	Translation	Positive	Negative	EmotionRationale
austin powers : the spy who shagged me is the sequel to the 1997 smash comedy austin powers : international man of mystery . 	austin powers : the spy who shagged me is the sequel to the 1997 smash comedy austin powers : international man of mystery .	1	-2	 austin[0] powers[0] the[0] spy[0] who[0] shagged[0] me[0] is[0] the[0] sequel[0] to[0] the[0] 1997[0] smash[-1] comedy[0] austin[0] powers[0] international[0] man[0] of[0] mystery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many are skeptical about sequels , saying that the sequel is never better or as good as the original , but austin powers : tswsm goes beyond the first film . 	many are skeptical about sequels , saying that the sequel is never better or as good as the original , but austin powers : tswsm goes beyond the first film .	2	-2	 many[0] are[0] skeptical[-1] about[0] sequels[0] saying[0] that[0] the[0] sequel[0] is[0] never[0] better[0] or[0] as[0] good[1] as[0] the[0] original[0] but[0] austin[0] powers[0] tswsm[0] goes[0] beyond[0] the[0] first[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
austin powers : the spy who shagged me stars mike myers in three different roles . 	austin powers : the spy who shagged me stars mike myers in three different roles .	1	-1	 austin[0] powers[0] the[0] spy[0] who[0] shagged[0] me[0] stars[0] mike[0] myers[0] in[0] three[0] different[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he reprises his role as the title character , austin powers , the shagadelic spy whose body was frozen in 1967 , and unfrozen in 1997 to stop his long time nemesis dr . evil , also played by mike myers , from destroying the earth . 	he reprises his role as the title character , austin powers , the shagadelic spy whose body was frozen in 1967 , and unfrozen in 1997 to stop his long time nemesis dr .<br> evil , also played by mike myers , from destroying the earth .	1	-3	 he[0] reprises[0] his[0] role[0] as[0] the[0] title[0] character[0] austin[0] powers[0] the[0] shagadelic[0] spy[0] whose[0] body[0] was[0] frozen[0] in[0] 1967[0] and[0] unfrozen[0] in[0] 1997[0] to[0] stop[0] his[0] long[0] time[0] nemesis[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] also[0] played[0] by[0] mike[0] myers[0] from[0] destroying[-2] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tswsm leaves off where the original stopped , with dr . evil's ? frisch's big boy' space capsule floating through space . 	tswsm leaves off where the original stopped , with dr .<br> evil's ?<br> frisch's big boy' space capsule floating through space .	1	-3	 tswsm[0] leaves[0] off[0] where[0] the[0] original[0] stopped[0] with[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil's[-2] [[Sentence=-3,1=word max, 1-5]] frisch's[0] big[0] boy'[0] space[0] capsule[0] floating[0] through[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . evil returns back to earth by ejecting from his capsule , plotting to go back in his time machine to the year 1967 , in which he plans to steal austin powers' " mojo " , what keeps austin going with spy talents . 	dr .<br> evil returns back to earth by ejecting from his capsule , plotting to go back in his time machine to the year 1967 , in which he plans to steal austin powers' " mojo " , what keeps austin going with spy talents .	2	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] returns[0] back[0] to[0] earth[0] by[0] ejecting[0] from[0] his[0] capsule[0] plotting[0] to[0] go[0] back[0] in[0] his[0] time[0] machine[0] to[0] the[0] year[0] 1967[0] in[0] which[0] he[0] plans[0] to[0] steal[-2] austin[0] powers'[0] mojo[0] what[0] keeps[0] austin[0] going[0] with[0] spy[0] talents[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
upon his return to his secret lair , which is now a starbucks coffee shop , dr . evil learns that his evil henchman , which includes the returning robert wagner as number 2 and mindy sterling as frau , have created a 1/8 size clone of dr . evil , which is later named mini me . 	upon his return to his secret lair , which is now a starbucks coffee shop , dr .<br> evil learns that his evil henchman , which includes the returning robert wagner as number 2 and mindy sterling as frau , have created a 1/8 size clone of dr .<br> evil , which is later named mini me .	1	-3	 upon[0] his[0] return[0] to[0] his[0] secret[0] lair[0] which[0] is[0] now[0] a[0] starbucks[0] coffee[0] shop[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] learns[0] that[0] his[0] evil[-2] henchman[0] which[0] includes[0] the[0] returning[0] robert[0] wagner[0] as[0] number[0] 2[0] and[0] mindy[0] sterling[0] as[0] frau[0] have[0] created[0] a[0] 1/8[0] size[0] clone[0] of[0] dr[0] [[Sentence=-3,1=word max, 1-5]] evil[-2] which[0] is[0] later[0] named[0] mini[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the evil mini me replaces scott evil , played by seth green , as dr . evil's son in the madman's mind , because dr . evil thinks of scott to be only " quasi-evil . " 	the evil mini me replaces scot evil , played by seth green , as dr .<br> evil's son in the madman's mind , because dr .<br> evil thinks of scot to be only " quasi-evil .<br> "	1	-3	 the[0] evil[-2] mini[0] me[0] replaces[0] scott/scot[0] evil[-2] played[0] by[0] seth[0] green[0] as[0] dr[0] [[Sentence=-3,1=word max, 1-5]] evil's[-2] son[0] in[0] the[0] madman's[0] mind[0] because[0] dr[0] [[Sentence=-3,1=word max, 1-5]] evil[-2] thinks[0] of[0] scott/scot[0] to[0] be[0] only[0] quasi[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . evil has always wanted a son that is evil just like him , and now he has one . 	dr .<br> evil has always wanted a son that is evil just like him , and now he has one .	1	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] has[0] always[0] wanted[0] a[0] son[0] that[0] is[0] evil[-2] just[0] like[1][-1 LastWordBoosterStrength] him[0] and[0] now[0] he[0] has[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . evil tells mini me , " you complete me , " in a loving manner . 	dr .<br> evil tells mini me , " you complete me , " in a loving manner .	4	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] tells[0] mini[0] me[0] you[0] complete[0] me[0] in[0] a[0] loving[3] manner[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
dr . evil loving ? 	dr .<br> evil loving ?	4	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] loving[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
wow ! 	wow !	3	-1	 wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mike myers' third role is as fat bastard , a scottish henchman of dr . evil's , who is sent to steal the mojo from austin powers' frozen body . 	mike myers' third role is as fat bastard , a scottish henchman of dr .<br> evil's , who is sent to steal the mojo from austin powers' frozen body .	1	-3	 mike[0] myers'[0] third[0] role[0] is[0] as[0] fat[-1] bastard[-2] a[0] scottish[0] henchman[0] of[0] dr[0] [[Sentence=-3,1=word max, 1-5]] evil's[-2] who[0] is[0] sent[0] to[0] steal[-2] the[0] mojo[0] from[0] austin[0] powers'[0] frozen[0] body[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
austin powers learns of dr . evil's trip back into the 60s , and uses his own time machine to take him back to 1967 , to try to save his mojo before fat bastard gets a hold of it . 	austin powers learns of dr .<br> evil's trip back into the 60s , and uses his own time machine to take him back to 1967 , to try to save his mojo before fat bastard gets a hold of it .	2	-3	 austin[0] powers[0] learns[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil's[-2] trip[0] back[0] into[0] the[0] 60s[0] and[0] uses[0] his[0] own[0] time[0] machine[0] to[0] take[0] him[0] back[0] to[0] 1967[0] to[0] try[0] to[0] save[1] his[0] mojo[0] before[0] fat[-1] bastard[-2] gets[0] a[0] hold[0] of[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
once arriving in the year 1967 , austin travels to his " pad " , his smashing home/dance club , where he meets felicity shagwell , played by heather graham , a cia agent who is willing to help him in his journey to stop dr . evil . 	once arriving in the year 1967 , austin travels to his " pad " , his smashing home/dance club , where he meets felicity shagwell , played by heather graham , a cia agent who is willing to help him in his journey to stop dr .<br> evil .	1	-3	 once[0] arriving[0] in[0] the[0] year[0] 1967[0] austin[0] travels[0] to[0] his[0] pad[0] his[0] smashing[0] home/dance[0] club[0] where[0] he[0] meets[0] felicity[0] shagwell[0] played[0] by[0] heather[0] graham[0] a[0] cia[0] agent[0] who[0] is[0] willing[0] to[0] help[0] him[0] in[0] his[0] journey[0] to[0] stop[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the film progresses , hilarious one liners are thrown at us , mainly by dr . evil , for example , " don't go there , girlfriend ! " 	as the film progresses , hilarious one liners are thrown at us , mainly by dr .<br> evil , for example , " don't go there , girlfriend !<br> "	3	-3	 as[0] the[0] film[0] progresses[0] hilarious[2] one[0] liners[0] are[0] thrown[0] at[0] us[0] mainly[0] by[0] dr[0] [[Sentence=-1,3=word max, 1-5]] evil[-2] for[0] example[0] don't[0] go[0] there[0] girlfriend[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
to the president of the united states . 	to the president of the united states .	1	-1	 to[0] the[0] president[0] of[0] the[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many witty gags take place , note the entire tent scene , and just plain , funny scenes which are so stupid- they're funny come a dozen per fifteen minutes . 	many witty gags take place , note the entire tent scene , and just plain , funny scenes which are so stupid- they're funny come a dozen per fifteen minutes .	2	-2	 many[0] witty[0] gags[0] take[0] place[0] note[0] the[0] entire[0] tent[0] scene[0] and[0] just[0] plain[0] funny[1] scenes[0] which[0] are[0] so[0] stupid[-1] they're[0] funny[1] come[0] a[0] dozen[0] per[0] fifteen[0] minutes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
take for example , scott evil going on the jerry springer show complaining about how evil his father is . 	take for example , scot evil going on the jerry springer show complaining about how evil his father is .	1	-3	 take[0] for[0] example[0] scott/scot[0] evil[-2] going[0] on[0] the[0] jerry[0] springer[0] show[0] complaining[-1] about[0] how[0] evil[-2] his[0] father[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the way austin powers : tswsm uses its humor is clever , throwing a hilarious scene at you , followed by five minutes of one liners , followed by another outrageous scene , so you never stop laughing . 	the way austin powers : tswsm uses its humor is clever , throwing a hilarious scene at you , followed by five minutes of one liners , followed by another outrageous scene , so you never stop laughing .	3	-3	 the[0] way[0] austin[0] powers[0] tswsm[0] uses[0] its[0] humor[2] is[0] clever[0] throwing[0] a[0] hilarious[2] scene[0] at[0] you[0] followed[0] by[0] five[0] minutes[0] of[0] one[0] liners[0] followed[0] by[0] another[0] outrageous[-2] scene[0] so[0] you[0] never[0] stop[0] laughing[1][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there was honestly not one moment in austin powers : tswsm where i wasn't laughing . 	there was honestly not one moment in austin powers : tswsm where i wasn't laughing .	2	-1	 there[0] was[0] honestly[0] not[0] one[0] moment[0] in[0] austin[0] powers[0] tswsm[0] where[0] i[0] wasn't[0] laughing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the last film that i laughed so hard in , was well , austin powers ! 	the last film that i laughed so hard in , was well , austin powers !	2	-1	 the[0] last[0] film[0] that[0] i[0] laughed[1] so[0] hard[0] in[0] was[0] well[0] austin[0] powers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is apparent that mike myers knew how funny this film was while writing it . 	it is apparent that mike myers knew how funny this film was while writing it .	2	-1	 it[0] is[0] apparent[0] that[0] mike[0] myers[0] knew[0] how[0] funny[1] this[0] film[0] was[0] while[0] writing[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film even makes fun of itself in a line , something along the lines of , " it's funny how england and southern california look nothing alike . " 	the film even makes fun of itself in a line , something along the lines of , " it's funny how england and southern california look nothing alike .<br> "	2	-1	 the[0] film[0] even[0] makes[0] fun[1] of[0] itself[0] in[0] a[0] line[0] something[0] along[0] the[0] lines[0] of[0] it's[0] funny[1] how[0] england[0] and[0] southern[0] california[0] look[0] nothing[0] alike[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tswsm was filmed in southern california , but was supposed to take place in england . 	tswsm was filmed in southern california , but was supposed to take place in england .	1	-1	 tswsm[0] was[0] filmed[0] in[0] southern[0] california[0] but[0] was[0] supposed[0] to[0] take[0] place[0] in[0] england[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can tell you one thing- he is having a lot of fun with this enormously popular character , which is all over television , newspapers , magazines , and the movie theaters . 	i can tell you one thing- he is having a lot of fun with this enormously popular character , which is all over television , newspapers , magazines , and the movie theaters .	2	-1	 i[0] can[0] tell[0] you[0] one[0] thing[0] he[0] is[0] having[0] a[0] lot[0] of[0] fun[1] with[0] this[0] enormously[0] popular[0] character[0] which[0] is[0] all[0] over[0] television[0] newspapers[0] magazines[0] and[0] the[0] movie[0] theaters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i believe that dr . evil got more attention in the tswsm than austin powers did . 	i believe that dr .<br> evil got more attention in the tswsm than austin powers did .	1	-3	 i[0] believe[0] that[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] got[0] more[0] attention[0] in[0] the[0] tswsm[0] than[0] austin[0] powers[0] did[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . evil provided more laughs , more memorable moments , and more interesting dialogue than austin did this time around , who seems to missing the funny touch that he had in the first film . 	dr .<br> evil provided more laughs , more memorable moments , and more interesting dialogue than austin did this time around , who seems to missing the funny touch that he had in the first film .	2	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] provided[0] more[0] laughs[1] more[0] memorable[0] moments[0] and[0] more[0] interesting[1] dialogue[0] than[0] austin[0] did[0] this[0] time[0] around[0] who[0] seems[0] to[0] missing[0] the[0] funny[1] touch[0] that[0] he[0] had[0] in[0] the[0] first[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i felt that austin really did have his mojo taken away , but from screenplay writer mike myers , not fat bastard . 	i felt that austin really did have his mojo taken away , but from screenplay writer mike myers , not fat bastard .	3	-1	 i[0] felt[0] that[0] austin[0] really[0] did[0] have[0] his[0] mojo[0] taken[0] away[0] but[0] from[0] screenplay[0] writer[0] mike[0] myers[0] not[0] fat[-1][NegatedDueToPreviousWord] bastard[-2][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also making a great addition to the series is mini me , who is played by verne troyer . 	also making a great addition to the series is mini me , who is played by verne troyer .	3	-1	 also[0] making[0] a[0] great[2] addition[0] to[0] the[0] series[0] is[0] mini[0] me[0] who[0] is[0] played[0] by[0] verne[0] troyer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even though the midget actor is 30 years old , he is adorable by dr . evil's side constantly . 	even though the midget actor is 30 years old , he is adorable by dr .<br> evil's side constantly .	4	-3	 even[0] though[0] the[0] midget[0] actor[0] is[0] 30[0] years[0] old[0] he[0] is[0] adorable[3] by[0] dr[0] [[Sentence=-1,4=word max, 1-5]] evil's[-2] side[0] constantly[0] [[Sentence=-3,1=word max, 1-5]][[[4,-3 max of sentences]]]
the first austin powers film had barely any sentimental quality , such as lack of character development , barely any detailed plot characteristics , and barely any good acting , but austin powers tswsm actually shows some quality behind the frequent humor . 	the first austin powers film had barely any sentimental quality , such as lack of character development , barely any detailed plot characteristics , and barely any good acting , but austin powers tswsm actually shows some quality behind the frequent humor .	3	-2	 the[0] first[0] austin[0] powers[0] film[0] had[0] barely[0] any[0] sentimental[2] quality[0] such[0] as[0] lack[-1] of[0] character[0] development[0] barely[0] any[0] detailed[0] plot[0] characteristics[0] and[0] barely[0] any[0] good[1] acting[0] but[0] austin[0] powers[0] tswsm[0] actually[0] shows[0] some[0] quality[0] behind[0] the[0] frequent[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
mike myers , with his three roles , acts as eddie murphy did in the nutty professor , disguising himself completely in one of the roles . 	mike myers , with his three roles , acts as eddie murphy did in the nutty professor , disguising himself completely in one of the roles .	1	-1	 mike[0] myers[0] with[0] his[0] three[0] roles[0] acts[0] as[0] eddie[0] murphy[0] did[0] in[0] the[0] nutty[0] professor[0] disguising[0] himself[0] completely[0] in[0] one[0] of[0] the[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( fat bastard ) all three characters are different , and mike myers does do a good job handling each one of them . 	 ( fat bastard ) all three characters are different , and mike myers does do a good job handling each one of them .	2	-3	 fat[-1] bastard[-2] all[0] three[0] characters[0] are[0] different[0] and[0] mike[0] myers[0] does[0] do[0] a[0] good[1] job[0] handling[0] each[0] one[0] of[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
heather graham made a great addition with her talent to tswsm , and does a much better job than elizabeth hurley did , who gave a very flat performance in the original , speaking her lines without any feeling or emotion . 	heather graham made a great addition with her talent to tswsm , and does a much better job than elizabeth hurley did , who gave a very flat performance in the original , speaking her lines without any feeling or emotion .	3	-1	 heather[0] graham[0] made[0] a[0] great[2] addition[0] with[0] her[0] talent[1] to[0] tswsm[0] and[0] does[0] a[0] much[0] better[0] job[0] than[0] elizabeth[0] hurley[0] did[0] who[0] gave[0] a[0] very[0] flat[0] performance[0] in[0] the[0] original[0] speaking[0] her[0] lines[0] without[0] any[0] feeling[0] or[0] emotion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
speaking of hurley , she can be seen in tswsm for a few brief moments . 	speaking of hurley , she can be seen in tswsm for a few brief moments .	1	-1	 speaking[0] of[0] hurley[0] she[0] can[0] be[0] seen[0] in[0] tswsm[0] for[0] a[0] few[0] brief[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopefully , graham tags along for future austin powers adventures . 	hopefully , graham tags along for future austin powers adventures .	1	-1	 hopefully[0] graham[0] tags[0] along[0] for[0] future[0] austin[0] powers[0] adventures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bottom line- a groovy sequel that mike myers put all of his mojo into writing . 	the bottom line- a groovy sequel that mike myers put all of his mojo into writing .	1	-1	 the[0] bottom[0] line[0] a[0] groovy[0] sequel[0] that[0] mike[0] myers[0] put[0] all[0] of[0] his[0] mojo[0] into[0] writing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
