virtual reality is a topic that has almost defined its own genre . 	Translation	Positive	Negative	EmotionRationale
since 'dark city' ( 1998 ) , films about alternative universes and parallel worlds have been coming one after another . 	since 'dark city' ( 1998 ) , films about alternative universes and parallel worlds have been coming one after another .	1	-1	 since[0] 'dark[0] city'[0] 1998[0] films[0] about[0] alternative[0] universes[0] and[0] parallel[0] worlds[0] have[0] been[0] coming[0] one[0] after[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most popular and original of them all has been the matrix . 	the most popular and original of them all has been the matrix .	1	-1	 the[0] most[0] popular[0] and[0] original[0] of[0] them[0] all[0] has[0] been[0] the[0] matrix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the films released after it , have been less successful . 	all the films released after it , have been less successful .	3	-1	 all[0] the[0] films[0] released[0] after[0] it[0] have[0] been[0] less[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
david cronenberg's existenz , released only a couple of months after the matrix , was accepted and even appreciated ( by some ) , but the hype was gone . 	david cronenberg's existenz , released only a couple of months after the matrix , was accepted and even appreciated ( by some ) , but the hype was gone .	2	-1	 david[0] cronenberg's[0] existenz[0] released[0] only[0] a[0] couple[0] of[0] months[0] after[0] the[0] matrix[0] was[0] accepted[0] and[0] even[0] appreciated[1] by[0] some[0] but[0] the[0] hype[0] was[0] gone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and when 'the thirteenth floor' aired this fall , it was completely overseen and ignored . 	and when 'the thirteenth floor' aired this fall , it was completely overseen and ignored .	1	-1	 and[0] when[0] 'the[0] thirteenth[0] floor'[0] aired[0] this[0] fall[0] it[0] was[0] completely[0] overseen[0] and[0] ignored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i admit that this issue has become something between tiring and annoying , feeling like eating the same meal over and over again . 	i admit that this issue has become something between tiring and annoying , feeling like eating the same meal over and over again .	2	-3	 i[0] admit[0] that[0] this[0] issue[0] has[0] become[0] something[0] between[0] tiring[0] and[0] annoying[-2] feeling[0] like[1] eating[0] the[0] same[0] meal[0] over[0] and[0] over[0] again[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it was therefore i was less than excited , when i went out to see to 'the thirteenth floor' . 	it was therefore i was less than excited , when i went out to see to 'the thirteenth floor' .	3	-1	 it[0] was[0] therefore[0] i[0] was[0] less[0] than[0] excited[2] when[0] i[0] went[0] out[0] to[0] see[0] to[0] 'the[0] thirteenth[0] floor'[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , i was positively surprised by josef rusnak's latest picture . 	however , i was positively surprised by josef rusnak's latest picture .	3	-1	 however[0] i[0] was[0] positively[2] surprised[0] by[0] josef[0] rusnak's[0] latest[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
matrix was an entertaining thrill ride through dreams and reality , combining the best of hollywood's action and effects with an intelligent story . 	matrix was an entertaining thrill ride through dreams and reality , combining the best of hollywood's action and effects with an intelligent story .	4	-1	 matrix[0] was[0] an[0] entertaining[0] thrill[3] ride[0] through[0] dreams[0] and[0] reality[0] combining[0] the[0] best[1] of[0] hollywood's[0] action[0] and[0] effects[0] with[0] an[0] intelligent[1] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
existenz was a violent , gory and unsettling journey through reality and virtual reality , ending in blood and madness . 	existenz was a violent , gory and unsettling journey through reality and virtual reality , ending in blood and madness .	1	-3	 existenz[0] was[0] a[0] violent[-2] gory[0] and[0] unsettling[-1] journey[0] through[0] reality[0] and[0] virtual[0] reality[0] ending[0] in[0] blood[0] and[0] madness[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
