not too many people know who james whale is , but it's a safe bet that a good chunk of them have seen his movies . 	Translation	Positive	Negative	EmotionRationale
if we are to believe the semi- biographical gods and monsters , whale would have wanted it to be that way . 	if we are to believe the semi- biographical gods and monsters , whale would have wanted it to be that way .	1	-1	 if[0] we[0] are[0] to[0] believe[0] the[0] semi[0] biographical[0] gods[0] and[0] monsters[0] whale[0] would[0] have[0] wanted[0] it[0] to[0] be[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an insightful , haunting exploration of the last days of the frankenstein and bride of frankenstein director , and it is notable for introducing one of the first complicated gay characters in a hollywood movie . 	this is an insightful , haunting exploration of the last days of the frankenstein and bride of frankenstein director , and it is notable for introducing one of the first complicated gay characters in a hollywood movie .	1	-2	 this[0] is[0] an[0] insightful[0] haunting[0] exploration[0] of[0] the[0] last[0] days[0] of[0] the[0] frankenstein[0] and[0] bride[0] of[0] frankenstein[0] director[0] and[0] it[0] is[0] notable[0] for[0] introducing[0] one[0] of[0] the[0] first[0] complicated[-1] gay[-1] characters[0] in[0] a[0] hollywood[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gods and monsters has no interest in being a biopic of whale's life because it tracks only the final few days of his life , and it's probably a better movie for it . 	gods and monsters has no interest in being a biopic of whale's life because it tracks only the final few days of his life , and it's probably a better movie for it .	2	-1	 gods[0] and[0] monsters[0] has[0] no[0] interest[1] in[0] being[0] a[0] biopic[0] of[0] whale's[0] life[0] because[0] it[0] tracks[0] only[0] the[0] final[0] few[0] days[0] of[0] his[0] life[0] and[0] it's[0] probably[0] a[0] better[0] movie[0] for[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's focus is on whale's ( ian mckellen ) untraditional and deceptive lust for heterosexual gardener clayton boone ( brendan fraser ) . 	it's focus is on whale's ( ian mckellen ) untraditional and deceptive lust for heterosexual gardener clayton bone ( brendan fraser ) .	1	-2	 it's[0] focus[0] is[0] on[0] whale's[0] ian[0] mckellen[0] untraditional[0] and[0] deceptive[-1] lust[0] for[0] heterosexual[0] gardener[0] clayton[0] boone/bone[0] brendan[0] fraser[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it begins with whale ( a fairly talented artist , aside from being a director ) asking boone to " sit for him , " ( pose for a portrait ) . 	it begins with whale ( a fairly talented artist , aside from being a director ) asking bone to " sit for him , " ( pose for a portrait ) .	2	-1	 it[0] begins[0] with[0] whale[0] a[0] fairly[0] talented[1] artist[0] aside[0] from[0] being[0] a[0] director[0] asking[0] boone/bone[0] to[0] sit[0] for[0] him[0] pose[0] for[0] a[0] portrait[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at first , boone doesn't realize that whale is gay and grows fascinated with the old man . 	at first , bone doesn't realize that whale is gay and grows fascinated with the old man .	1	-2	 at[0] first[0] boone/bone[0] doesn't[0] realize[0] that[0] whale[0] is[0] gay[-1] and[0] grows[0] fascinated[0] with[0] the[0] old[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he does discover whale's sexual orientation from his dedicated and protective maid ( lynn redgrave ) , he is frightened , refusing to sit for the guy . 	when he does discover whale's sexual orientation from his dedicated and protective maid ( lyn redgrave ) , he is frightened , refusing to sit for the guy .	1	-4	 when[0] he[0] does[0] discover[0] whale's[0] sexual[0] orientation[0] from[0] his[0] dedicated[0] and[0] protective[0] maid[0] lynn/lyn[0] redgrave[0] he[0] is[0] frightened[-3] refusing[0] to[0] sit[0] for[0] the[0] guy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but he comes back , only to storm out again , disgusted with whale's " locker room talk . " 	but he comes back , only to storm out again , disgusted with whale's " locker room talk .<br> "	1	-4	 but[0] he[0] comes[0] back[0] only[0] to[0] storm[-1] out[0] again[0] disgusted[-3] with[0] whale's[0] locker[0] room[0] talk[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
boone returns yet another time , after whale promises to tone down the aforementioned " locker room talk , " and finds their platonic relationship to be strengthening . 	bone returns yet another time , after whale promises to tone down the aforementioned " locker room talk , " and finds their platonic relationship to be strengthening .	2	-1	 boone/bone[0] returns[0] yet[0] another[0] time[0] after[0] whale[0] promises[1] to[0] tone[0] down[0] the[0] aforementioned[0] locker[0] room[0] talk[0] and[0] finds[0] their[0] platonic[0] relationship[0] to[0] be[0] strengthening[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile , jimmy himself is suffering from hallucinations and mental attacks as a result of his stroke not long ago . 	meanwhile , jimmy himself is suffering from hallucinations and mental attacks as a result of his stroke not long ago .	1	-4	 meanwhile[0] jimmy[0] himself[0] is[0] suffering[-3] from[0] hallucinations[0] and[0] mental[0] attacks[-2] as[0] a[0] result[0] of[0] his[0] stroke[0] not[0] long[0] ago[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
