titanic is , without a doubt , the best movie i've seen all year . 	Translation	Positive	Negative	EmotionRationale
and believe me , i'm not an easy critic to impress : the english patient was too long , men in black was over-hyped , and several of the " big summer releases " were dead in the water . 	and believe me , i'm not an easy critic to impress : the english patient was too long , men in black was over-hyped , and several of the " big summer releases " were dead in the water .	2	-3	 and[0] believe[0] me[0] i'm[0] not[0] an[0] easy[0] critic[-1] to[0] impress[1] the[0] english[0] patient[0] was[0] too[0] long[0] men[0] in[0] black[0] was[0] over[0] hyped[0] and[0] several[0] of[0] the[0] big[0] summer[0] releases[0] were[0] dead[-2] in[0] the[0] water[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
thank god this film got delayed until december . 	thank god this film got delayed until december .	2	-1	 thank[1] god[0] this[0] film[0] got[0] delayed[0] until[0] december[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's my christmas present . 	it's my christmas present .	1	-1	 it's[0] my[0] christmas[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
titanic is in the tradition of the old hollywood epics of years-gone-by , and it is truly a stunning film . 	titanic is in the tradition of the old hollywood epics of years-gone-by , and it is truly a stunning film .	2	-1	 titanic[0] is[0] in[0] the[0] tradition[0] of[0] the[0] old[0] hollywood[0] epics[0] of[0] years[0] gone[0] by[0] and[0] it[0] is[0] truly[1] a[0] stunning[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while watching this picture you are completely mesmerized , never taking your eyes off the screen , nor checking your watch to see how much longer it's gonna last , despite its 3 hour plus running time . 	while watching this picture you are completely mesmerized , never taking your eyes off the screen , nor checking your watch to see how much longer it's gonna last , despite its 3 hour plus running time .	1	-1	 while[0] watching[0] this[0] picture[0] you[0] are[0] completely[0] mesmerized[0] never[0] taking[0] your[0] eyes[0] off[0] the[0] screen[0] nor[0] checking[0] your[0] watch[0] to[0] see[0] how[0] much[0] longer[0] it's[0] gonna[0] last[0] despite[0] its[0] 3[0] hour[0] plus[0] running[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a friend of mine , who's a true titanic-buff , said " if someone doesn't like this film , it's because they didn't want to . " 	as a friend of mine , who's a true titanic-buff , said " if someone doesn't like this film , it's because they didn't want to .<br> "	2	-1	 as[0] a[0] friend[1] of[0] mine[0] who's[0] a[0] true[1] titanic[0] buff[0] said[0] if[0] someone[0] doesn't[0] like[1] this[0] film[0] it's[0] because[0] they[0] didn't[0] want[0] to[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
truer words are hard to come by . 	truer words are hard to come by .	2	-1	 truer[1] words[0] are[0] hard[0] to[0] come[0] by[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , it doesn't hurt that this film comes from one of my favorite directors , james cameron , who is unarguably the greatest action director of all time . 	of course , it doesn't hurt that this film comes from one of my favorite directors , james cameron , who is unarguably the greatest action director of all time .	3	-3	 of[0] course[0] it[0] doesn't[0] hurt[-2] that[0] this[0] film[0] comes[0] from[0] one[0] of[0] my[0] favorite[1] directors[0] james[0] cameron[0] who[0] is[0] unarguably[0] the[0] greatest[2] action[0] director[0] of[0] all[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if you wish to argue that point with me , look at his list of credits : the terminator , aliens , the abyss , terminator 2 , true lies , etc . still care to disagree ? 	if you wish to argue that point with me , look at his list of credits : the terminator , aliens , the abyss , terminator 2 , true lies , etc .<br> still care to disagree ?	2	-3	 if[0] you[0] wish[0] to[0] argue[-1] that[0] point[0] with[0] me[0] look[0] at[0] his[0] list[0] of[0] credits[0] the[0] terminator[0] aliens[0] the[0] abyss[-1] terminator[0] 2[0] true[1] lies[-2] etc[0] [[Sentence=-3,2=word max, 1-5]] still[0] care[1] to[0] disagree[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-3 max of sentences]]]
not only has cameron helmed the directorial duties of this film , he also wrote , produced , and edited it . 	not only has cameron helmed the directorial duties of this film , he also wrote , produced , and edited it .	1	-1	 not[0] only[0] has[0] cameron[0] helmed[0] the[0] directorial[0] duties[0] of[0] this[0] film[0] he[0] also[0] wrote[0] produced[0] and[0] edited[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
