it is simply amazing how " the green mile " developed in its three hour running time . 	Translation	Positive	Negative	EmotionRationale
based on the stephen king series of the same title , the film starts out painfully slow , with underdeveloped characters and idiotic dialogue . 	based on the stephen king series of the same title , the film starts out painfully slow , with underdeveloped characters and idiotic dialogue .	1	-4	 based[0] on[0] the[0] stephen[0] king[0] series[0] of[0] the[0] same[0] title[0] the[0] film[0] starts[0] out[0] painfully[-3] slow[0] with[0] underdeveloped[0] characters[0] and[0] idiotic[-2] dialogue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , as the plot begins to progress , the film turns into pure perfection with outstanding performances and wonderful direction . 	however , as the plot begins to progress , the film turns into pure perfection with outstanding performances and wonderful direction .	3	-1	 however[0] as[0] the[0] plot[0] begins[0] to[0] progress[0] the[0] film[0] turns[0] into[0] pure[0] perfection[1] with[0] outstanding[2] performances[0] and[0] wonderful[2] direction[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
frank darabont , who masterfully followed a prisoner's story in " the shawshank redemption " , this time follows the perspective of a prison guard , paul edgecomb ( tom hanks ) . 	frank darabont , who masterfully followed a prisoner's story in " the shawshank redemption " , this time follows the perspective of a prison guard , paul edgecomb ( tom hanks ) .	1	-2	 frank[0] darabont[0] who[0] masterfully[0] followed[0] a[0] prisoner's[-1] story[0] in[0] the[0] shawshank[0] redemption[0] this[0] time[0] follows[0] the[0] perspective[0] of[0] a[0] prison[-1] guard[0] paul[0] edgecomb[0] tom[0] hanks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
through edgecomb's experiences on a cell block known as the green mile where death row prisoners wait and repent , the audience sees good and evil on both sides of the law . 	through edgecomb's experiences on a cell block known as the green mile where death row prisoners wait and repent , the audience sees good and evil on both sides of the law .	2	-3	 through[0] edgecomb's[0] experiences[0] on[0] a[0] cell[0] block[-1] known[0] as[0] the[0] green[0] mile[0] where[0] death[-2] row[0] prisoners[-1] wait[0] and[0] repent[0] the[0] audience[0] sees[0] good[1] and[0] evil[-2] on[0] both[0] sides[0] of[0] the[0] law[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
from an evil prison guard to an evil prisoner , " the green mile " is successful in creating sympathy for kind-hearted hard working guards and hard thinking prisoners . 	from an evil prison guard to an evil prisoner , " the green mile " is successful in creating sympathy for kind-hearted hard working guards and hard thinking prisoners .	3	-3	 from[0] an[0] evil[-2] prison[-1] guard[0] to[0] an[0] evil[-2] prisoner[-1] the[0] green[0] mile[0] is[0] successful[2] in[0] creating[0] sympathy[0] for[0] kind[1] hearted[0] hard[0] working[0] guards[0] and[0] hard[0] thinking[0] prisoners[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot follows edgecomb and four other guards as they meet a variety of prisoners and after having strong relationships with each eventually are forced to execute them . 	the plot follows edgecomb and four other guards as they meet a variety of prisoners and after having strong relationships with each eventually are forced to execute them .	1	-2	 the[0] plot[0] follows[0] edgecomb[0] and[0] four[0] other[0] guards[0] as[0] they[0] meet[0] a[0] variety[0] of[0] prisoners[-1] and[0] after[0] having[0] strong[0] relationships[0] with[0] each[0] eventually[0] are[0] forced[0] to[0] execute[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances by veterans and new comers to back up these original characters are superb . 	the performances by veterans and new comers to back up these original characters are superb .	1	-1	 the[0] performances[0] by[0] veterans[0] and[0] new[0] comers[0] to[0] back[0] up[0] these[0] original[0] characters[0] are[0] superb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ensemble acting in the film is perfect . 	the ensemble acting in the film is perfect .	2	-1	 the[0] ensemble[0] acting[0] in[0] the[0] film[0] is[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hanks , david morse and barry pepper as guards are wonderful and are fitting for their roles . 	hanks , david morse and barry pepper as guards are wonderful and are fitting for their roles .	3	-1	 hanks[0] david[0] morse[0] and[0] barry[0] pepper[0] as[0] guards[0] are[0] wonderful[2] and[0] are[0] fitting[0] for[0] their[0] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are the characters we most relate to because of their calm less extreme roles . 	they are the characters we most relate to because of their calm less extreme roles .	2	-1	 they[0] are[0] the[0] characters[0] we[0] most[0] relate[0] to[0] because[0] of[0] their[0] calm[1] less[0] extreme[0] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
