many people will not find much to like in what dreams may come , the new film by visionary director vincent ward . 	Translation	Positive	Negative	EmotionRationale
most will come to see the computer animated landscapes and vibrant colors . 	most will come to see the computer animated landscapes and vibrant colors .	1	-1	 most[0] will[0] come[0] to[0] see[0] the[0] computer[0] animated[0] landscapes[0] and[0] vibrant[0] colors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but little do they know ( as i so plainly found out ) that this has quite a complex story to tell . 	but little do they know ( as i so plainly found out ) that this has quite a complex story to tell .	1	-1	 but[0] little[0] do[0] they[0] know[0] as[0] i[0] so[0] plainly[0] found[0] out[0] that[0] this[0] has[0] quite[0] a[0] complex[0] story[0] to[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
walking out of the theater , i could see the audience's disgust . . . 	walking out of the theater , i could see the audience's disgust .<br> .<br> .	1	-4	 walking[0] out[0] of[0] the[0] theater[0] i[0] could[0] see[0] the[0] audience's[0] disgust[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one member even had to be awakened after the film ended . 	one member even had to be awakened after the film ended .	1	-1	 one[0] member[0] even[0] had[0] to[0] be[0] awakened[0] after[0] the[0] film[0] ended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't believe the previews that you see . . . 	don't believe the previews that you see .<br> .<br> .	1	-1	 don't[0] believe[0] the[0] previews[0] that[0] you[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is definitely not a film for everyone . 	this is definitely not a film for everyone .	1	-1	 this[0] is[0] definitely[0] not[0] a[0] film[0] for[0] everyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is quite possibly one of the most adult-oriented films to come out in recent years . 	this is quite possibly one of the most adult-oriented films to come out in recent years .	1	-1	 this[0] is[0] quite[0] possibly[0] one[0] of[0] the[0] most[0] adult[0] oriented[0] films[0] to[0] come[0] out[0] in[0] recent[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kids will get bored with the slow plotting and the complex storyline . 	kids will get bored with the slow plotting and the complex storyline .	1	-2	 kids[0] will[0] get[0] bored[-1] with[0] the[0] slow[0] plotting[0] and[0] the[0] complex[0] storyline[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is just as fluid as the heaven that ward presents to us . 	the plot is just as fluid as the heaven that ward presents to us .	2	-1	 the[0] plot[0] is[0] just[0] as[0] fluid[0] as[0] the[0] heaven[1] that[0] ward[0] presents[0] to[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it goes back and forth in time , as if it has no boundaries . 	it goes back and forth in time , as if it has no boundaries .	1	-1	 it[0] goes[0] back[0] and[0] forth[0] in[0] time[0] as[0] if[0] it[0] has[0] no[0] boundaries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
think of the film city of angels . 	think of the film city of angels .	1	-1	 think[0] of[0] the[0] film[0] city[0] of[0] angels[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now add a more complex screenplay and a more unique vision . 	now add a more complex screenplay and a more unique vision .	1	-1	 now[0] add[0] a[0] more[0] complex[0] screenplay[0] and[0] a[0] more[0] unique[0] vision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both films deal with the afterlife , but i doubt what dreams may come will do well at the box office . 	both films deal with the afterlife , but i doubt what dreams may come will do well at the box office .	1	-2	 both[0] films[0] deal[0] with[0] the[0] afterlife[0] but[0] i[0] doubt[-1] what[0] dreams[0] may[0] come[0] will[0] do[0] well[0] at[0] the[0] box[0] office[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
costing around  85 million to make , the film would have to do extremely well in order to make it's money back . 	costing around  85 million to make , the film would have to do extremely well in order to make it's money back .	1	-1	 costing[0] around[0] 85[0] million[0] to[0] make[0] the[0] film[0] would[0] have[0] to[0] do[0] extremely[0] well[0] in[0] order[0] to[0] make[0] it's[0] money[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but due to it's story , i doubt it will . 	but due to it's story , i doubt it will .	1	-2	 but[0] due[0] to[0] it's[0] story[0] i[0] doubt[-1] it[0] will[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
