hollywood has really done the whole dracula thing to death ( no pun intended - honest ) . 	Translation	Positive	Negative	EmotionRationale
it's a shame , too , because the good count was probably the most frightening out the old b-movie monsters . 	it's a shame , too , because the good count was probably the most frightening out the old b-movie monsters .	2	-4	 it's[0] a[0] shame[-2] too[0] because[0] the[0] good[1] count[0] was[0] probably[0] the[0] most[0] frightening[-3] out[0] the[0] old[0] b[0] movie[0] monsters[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i mean , come on . 	i mean , come on .	1	-1	 i[0] mean[0] come[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are people really going to get that scared over a big green guy named frankenstein that moves at a speed of five miles per hour ? 	are people really going to get that scared over a big green guy named frankenstein that moves at a speed of five miles per hour ?	1	-4	 are[0] people[0] really[0] going[0] to[0] get[0] that[0] scared[-3] over[0] a[0] big[0] green[0] guy[0] named[0] frankenstein[0] that[0] moves[0] at[0] a[0] speed[0] of[0] five[0] miles[0] per[0] hour[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hell no . 	hell no .	1	-2	 hell[-1] no[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and not only was the idea of a vampire frightening as hell , but it also carried with it a kind of sensual feeling as well , not commonly associated with horror films . 	and not only was the idea of a vampire frightening as hell , but it also carried with it a kind of sensual feeling as well , not commonly associated with horror films .	2	-4	 and[0] not[0] only[0] was[0] the[0] idea[0] of[0] a[0] vampire[0] frightening[-3] as[0] hell[-1] but[0] it[0] also[0] carried[0] with[0] it[0] a[0] kind[1] of[0] sensual[0] feeling[0] as[0] well[0] not[0] commonly[0] associated[0] with[0] horror[-3] films[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and not only has the idea been done too many times , but with the possible exception of from dusk 'till dawn , has not been done very well lately , either . 	and not only has the idea been done too many times , but with the possible exception of from dusk 'till dawn , has not been done very well lately , either .	1	-1	 and[0] not[0] only[0] has[0] the[0] idea[0] been[0] done[0] too[0] many[0] times[0] but[0] with[0] the[0] possible[0] exception[0] of[0] from[0] dusk[0] 'till[0] dawn[0] has[0] not[0] been[0] done[0] very[0] well[0] lately[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is precisely why it was so much fun for me watching the original nosferatu . 	this is precisely why it was so much fun for me watching the original nosferatu .	2	-1	 this[0] is[0] precisely[0] why[0] it[0] was[0] so[0] much[0] fun[1] for[0] me[0] watching[0] the[0] original[0] nosferatu[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i got to go back to the times when making movies ( even horror movies ) was considered an art form , and not just done to make cash like nowadays . 	i got to go back to the times when making movies ( even horror movies ) was considered an art form , and not just done to make cash like nowadays .	2	-4	 i[0] got[0] to[0] go[0] back[0] to[0] the[0] times[0] when[0] making[0] movies[0] even[0] horror[-3] movies[0] was[0] considered[0] an[0] art[0] form[0] and[0] not[0] just[0] done[0] to[0] make[0] cash[0] like[1] nowadays[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and that is exactly what this film is ; art . 	and that is exactly what this film is ; art .	1	-1	 and[0] that[0] is[0] exactly[0] what[0] this[0] film[0] is[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've been a horror fan since i was eight years old , and to this day i have not seen any horror film cover the intellectual ground that this film covers . 	i've been a horror fan since i was eight years old , and to this day i have not seen any horror film cover the intellectual ground that this film covers .	1	-4	 i've[0] been[0] a[0] horror[-3] fan[0] since[0] i[0] was[0] eight[0] years[0] old[0] and[0] to[0] this[0] day[0] i[0] have[0] not[0] seen[0] any[0] horror[-3] film[0] cover[0] the[0] intellectual[0] ground[0] that[0] this[0] film[0] covers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
