to me , nicolas cage sounds like an ideal choice for the lead role in a martin scorsese film . 	Translation	Positive	Negative	EmotionRationale
despite the rantings that sean penn so rudely expressed , the actor remains a gifted and versatile screen presence . 	despite the rantings that sean pen so rudely expressed , the actor remains a gifted and versatile screen presence .	1	-3	 despite[0] the[0] rantings[0] that[0] sean[0] penn/pen[0] so[0] rudely[-2] expressed[0] the[0] actor[0] remains[0] a[0] gifted[0] and[0] versatile[0] screen[0] presence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ever since the big success of the action-thriller  face/off' in 1997 , the hollywood road has been a rocky one for mr . cage . 	ever since the big success of the action-thriller  face/off' in 1997 , the hollywood road has been a rocky one for mr .<br> cage .	3	-1	 ever[0] since[0] the[0] big[0] success[2] of[0] the[0] action[0] thriller[1] face/off'[0] in[0] 1997[0] the[0] hollywood[0] road[0] has[0] been[0] a[0] rocky[0] one[0] for[0] mr[0] [[Sentence=-1,3=word max, 1-5]] cage[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the perpetually awful assassination thriller  snake eyes' was one of 1998's worst films . 	the perpetually awful assassination thriller  snake eyes' was one of 1998's worst films .	2	-4	 the[0] perpetually[0] awful[-3] assassination[-2][-1 MultiplePositiveWords] thriller[1] snake[0] eyes'[0] was[0] one[0] of[0] 1998's[0] worst[-2] films[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 8mm' was a disappointing lost cause . 	 8mm' was a disappointing lost cause .	1	-2	 8mm'[0] was[0] a[0] disappointing[-1] lost[0] cause[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but who better than scorsese to match cage's wit and intensity , which he does in miraculous fashion with  bringing out the dead' . 	but who better than scorsese to match cage's wit and intensity , which he does in miraculous fashion with  bringing out the dead' .	3	-1	 but[0] who[0] better[0] than[0] scorsese[0] to[0] match[0] cage's[0] wit[0] and[0] intensity[0] which[0] he[0] does[0] in[0] miraculous[2] fashion[0] with[0] bringing[0] out[0] the[0] dead'[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cage delivers one of his finest performances as frank pierce , a new york city emergency paramedic who is running on fumes from day-to-day . 	cage delivers one of his finest performances as frank pierce , a new york city emergency paramedic who is running on fumes from day-to-day .	1	-2	 cage[0] delivers[0] one[0] of[0] his[0] finest[0] performances[0] as[0] frank[0] pierce[0] a[0] new[0] york[0] city[0] emergency[-1] paramedic[0] who[0] is[0] running[0] on[0] fumes[-1] from[0] day[0] to[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after five years of the stress-inducing job , frank basically just staggers onward , relying on heavy doses of caffeine and booze until his shift finally ends . 	after five years of the stress-inducing job , frank basically just staggers onward , relying on heavy doses of caffeine and booze until his shift finally ends .	1	-2	 after[0] five[0] years[0] of[0] the[0] stress[-1] inducing[0] job[0] frank[0] basically[0] just[0] staggers[0] onward[0] relying[0] on[0] heavy[0] doses[0] of[0] caffeine[0] and[0] booze[0] until[0] his[0] shift[0] finally[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also begins seeing the ghosts of past patients who died under his care , namely a young girl named rose , who stares back at him with pale features at every street corner in new york . 	he also begins seeing the ghosts of past patients who died under his care , namely a young girl named rose , who stares back at him with pale features at every street corner in new york .	2	-1	 he[0] also[0] begins[0] seeing[0] the[0] ghosts[0] of[0] past[0] patients[0] who[0] died[0] under[0] his[0] care[1] namely[0] a[0] young[0] girl[0] named[0] rose[0] who[0] stares[0] back[0] at[0] him[0] with[0] pale[0] features[0] at[0] every[0] street[0] corner[0] in[0] new[0] york[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
frank desperately wants to be fired , but his boss needs him to scour the city and help those in need (  i'll fire you tomorrow . . . ' he promises ) . 	frank desperately wants to be fired , but his boss needs him to scour the city and help those in need (  i'll fire you tomorrow .<br> .<br> .<br> ' he promises ) .	2	-3	 frank[0] desperately[-2] wants[0] to[0] be[0] fired[-2] but[0] his[0] boss[0] needs[0] him[0] to[0] scour[0] the[0] city[0] and[0] help[0] those[0] in[0] need[0] i'll[0] fire[0] you[0] tomorrow[0] [[Sentence=-3,1=word max, 1-5]] '[0] he[0] promises[1] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
frank is accompanied by a fresh face every night in the ambulance . 	frank is accompanied by a fresh face every night in the ambulance .	1	-1	 frank[0] is[0] accompanied[0] by[0] a[0] fresh[0] face[0] every[0] night[0] in[0] the[0] ambulance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
