well i'll be damned , what a most excellent surprise . 	Translation	Positive	Negative	EmotionRationale
not to be confused with the campy and far inferior 1988 remake starring ex-porn star traci lords , this more recent attempt at remaking the 1950's drive-in schlockfest not of this earth is a real gem and was quite possibly the best sci-fi flick of 1995 . 	not to be confused with the campy and far inferior 1988 remake starring ex-porn star traci lords , this more recent attempt at remaking the 1950's drive-in schlockfest not of this earth is a real gem and was quite possibly the best sci-fi flick of 1995 .	2	-2	 not[0] to[0] be[0] confused[-1] with[0] the[0] campy[0] and[0] far[0] inferior[-1] 1988[0] remake[0] starring[0] ex[0] porn[0] star[0] traci[0] lords[0] this[0] more[0] recent[0] attempt[0] at[0] remaking[0] the[0] 1950's[0] drive[0] in[0] schlockfest[0] not[0] of[0] this[0] earth[0] is[0] a[0] real[0] gem[0] and[0] was[0] quite[0] possibly[0] the[0] best[1] sci[0] fi[0] flick[0] of[0] 1995[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once again , b-movie king roger corman is behind this effort ( he directed the original ) but this time he appears only in the role of executive producer . 	once again , b-movie king roger corman is behind this effort ( he directed the original ) but this time he appears only in the role of executive producer .	1	-1	 once[0] again[0] b[0] movie[0] king[0] roger[0] corman[0] is[0] behind[0] this[0] effort[0] he[0] directed[0] the[0] original[0] but[0] this[0] time[0] he[0] appears[0] only[0] in[0] the[0] role[0] of[0] executive[0] producer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the crew and cast are relative unknowns . 	the rest of the crew and cast are relative unknowns .	1	-1	 the[0] rest[0] of[0] the[0] crew[0] and[0] cast[0] are[0] relative[0] unknowns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems criminal that the film was released direct to video in most countries , because it's an absolute must-see for sci-fi fans and a treat for anyone who enjoys decently acted and written thrillers with a kooky bent . 	it seems criminal that the film was released direct to video in most countries , because it's an absolute must-see for sci-fi fans and a treat for anyone who enjoys decently acted and written thrillers with a kooky bent .	3	-2	 it[0] seems[0] criminal[-1] that[0] the[0] film[0] was[0] released[0] direct[0] to[0] video[0] in[0] most[0] countries[0] because[0] it's[0] an[0] absolute[0] must[0] see[0] for[0] sci[0] fi[0] fans[0] and[0] a[0] treat[1] for[0] anyone[0] who[0] enjoys[2] decently[0] acted[0] and[0] written[0] thrillers[1] with[0] a[0] kooky[0] bent[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the plot in brief . 	the plot in brief .	1	-1	 the[0] plot[0] in[0] brief[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul johnson ( michael york ) is an alien posing as an eccentric millionaire who , though needing to kill people to live , is visiting earth for far from selfish reasons . 	paul johnson ( michael york ) is an alien posing as an eccentric millionaire who , though needing to kill people to live , is visiting earth for far from selfish reasons .	1	-4	 paul[0] johnson[0] michael[0] york[0] is[0] an[0] alien[-1] posing[0] as[0] an[0] eccentric[-1] millionaire[0] who[0] though[0] needing[0] to[0] kill[-1] people[0] to[0] live[0] is[0] visiting[0] earth[0] for[0] far[0] from[0] selfish[-3] reasons[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his race is dying of a mysterious blood disease and he desperately is trying to find a cure , the key of which lies in the blood of humans . 	his race is dying of a mysterious blood disease and he desperately is trying to find a cure , the key of which lies in the blood of humans .	1	-3	 his[0] race[0] is[0] dying[-1] of[0] a[0] mysterious[0] blood[0] disease[-2] and[0] he[0] desperately[-2] is[0] trying[0] to[0] find[0] a[0] cure[0] the[0] key[0] of[0] which[0] lies[-2] in[0] the[0] blood[0] of[0] humans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he visits and soon puts under his spell the respected blood physician dr . rochelle , whom he hypnotises into doing secret research on his behalf . 	he visits and soon puts under his spell the respected blood physician dr .<br> rochelle , whom he hypnotises into doing secret research on his behalf .	3	-1	 he[0] visits[0] and[0] soon[0] puts[0] under[0] his[0] spell[0] the[0] respected[2] blood[0] physician[0] dr[0] [[Sentence=-1,3=word max, 1-5]] rochelle[0] whom[0] he[0] hypnotises[0] into[0] doing[0] secret[0] research[0] on[0] his[0] behalf[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
he also has the doctor convince smart and sexy nurse amanda ( elizabeth barondes ) to move in with johnson as his private nurse so as to give him the blood transfusions which he constantly requires . 	he also has the doctor convince smart and sexy nurse amanda ( elizabeth barondes ) to move in with johnson as his private nurse so as to give him the blood transfusions which he constantly requires .	3	-1	 he[0] also[0] has[0] the[0] doctor[0] convince[0] smart[1] and[0] sexy[2] nurse[0] amanda[0] elizabeth[0] barondes[0] to[0] move[0] in[0] with[0] johnson[0] as[0] his[0] private[0] nurse[0] so[0] as[0] to[0] give[0] him[0] the[0] blood[0] transfusions[0] which[0] he[0] constantly[0] requires[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but before long , amanda and johnson's sleazy chauffeur release that johnson is a lot more than just eccentric . 	but before long , amanda and johnson's sleazy chauffeur release that johnson is a lot more than just eccentric .	1	-3	 but[0] before[0] long[0] amanda[0] and[0] johnson's[0] sleazy[-2] chauffeur[0] release[0] that[0] johnson[0] is[0] a[0] lot[0] more[0] than[0] just[0] eccentric[-1][--1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
