how many of us would become strippers ? 	Translation	Positive	Negative	EmotionRationale
for those of us who wouldn't , is it a moral reason , or purely a lack of confidence ? 	for those of us who wouldn't , is it a moral reason , or purely a lack of confidence ?	2	-2	 for[0] those[0] of[0] us[0] who[0] wouldn't[0] is[0] it[0] a[0] moral[0] reason[0] or[0] purely[0] a[0] lack[-1] of[0] confidence[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's probably not a fair question , and for a lot of us , it could very well be for neither of those reasons . 	that's probably not a fair question , and for a lot of us , it could very well be for neither of those reasons .	1	-1	 that's[0] probably[0] not[0] a[0] fair[0] question[0] and[0] for[0] a[0] lot[0] of[0] us[0] it[0] could[0] very[0] well[0] be[0] for[0] neither[0] of[0] those[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as you watch the full monty , however , you may begin asking yourself these kinds of questions . 	as you watch the full monty , however , you may begin asking yourself these kinds of questions .	1	-1	 as[0] you[0] watch[0] the[0] full[0] monty[0] however[0] you[0] may[0] begin[0] asking[0] yourself[0] these[0] kinds[0] of[0] questions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would you be willing to grin and bare it to bring in some much needed dough ? 	would you be willing to grin and bare it to bring in some much needed dough ?	2	-1	 would[0] you[0] be[0] willing[0] to[0] grin[1] and[0] bare[0] it[0] to[0] bring[0] in[0] some[0] much[0] needed[0] dough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in case you haven't guessed , the full monty is about stripping , but striptease it ain't . 	in case you haven't guessed , the full monty is about stripping , but striptease it ain't .	1	-1	 in[0] case[0] you[0] haven't[0] guessed[0] the[0] full[0] monty[0] is[0] about[0] stripping[0] but[0] striptease[0] it[0] ain't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's actually quite a charming comedy that uses its ideas with a great deal of tact and sophistication . 	it's actually quite a charming comedy that uses its ideas with a great deal of tact and sophistication .	3	-1	 it's[0] actually[0] quite[0] a[0] charming[1] comedy[0] that[0] uses[0] its[0] ideas[0] with[0] a[0] great[2] deal[0] of[0] tact[0] and[0] sophistication[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is the story of six out-of-work , out-of-shape blue collar brits whose recent job losses have left the boys penniless , but not without need . 	it is the story of six out-of-work , out-of-shape blue collar brits whose recent job losses have left the boys penniless , but not without need .	1	-3	 it[0] is[0] the[0] story[0] of[0] six[0] out[0] of[0] work[0] out[0] of[0] shape[0] blue[0] collar[0] brits[0] whose[0] recent[0] job[0] losses[-2] have[0] left[0] the[0] boys[0] penniless[0] but[0] not[0] without[0] need[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what to do ? 	what to do ?	1	-1	 what[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it hits our main character gaz ( robert carlyle ) as he notices the large crowds of women who pour into a local male strip club on a regular basis . 	it hits our main character gaz ( robert carlyle ) as he notices the large crowds of women who pour into a local male strip club on a regular basis .	1	-1	 it[0] hits[0] our[0] main[0] character[0] gaz[0] robert[0] carlyle[0] as[0] he[0] notices[0] the[0] large[0] crowds[0] of[0] women[0] who[0] pour[0] into[0] a[0] local[0] male[0] strip[0] club[0] on[0] a[0] regular[0] basis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that simple : take it off and bring in the cash . 	it seems that simple : take it off and bring in the cash .	1	-1	 it[0] seems[0] that[0] simple[0] take[0] it[0] off[0] and[0] bring[0] in[0] the[0] cash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
