in brief : best bleak comedy film since heathers . 	Translation	Positive	Negative	EmotionRationale
full of wonderful swipes at the fifteen minutes of fame mentality that feeds so much of modern american pop culture . 	full of wonderful swipes at the fifteen minutes of fame mentality that feeds so much of modern american pop culture .	3	-1	 full[0] of[0] wonderful[2] swipes[0] at[0] the[0] fifteen[0] minutes[0] of[0] fame[0] mentality[0] that[0] feeds[0] so[0] much[0] of[0] modern[0] american[0] pop[0] culture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
go see it ! 	go see it !	1	-1	 go[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , i prepared for this film by watching a moving interview on " hard copy " with pam smart , the new hampshire media teacher who was convicted of engineering the death of her husband back in the 1980's . 	so , i prepared for this film by watching a moving interview on " hard copy " with pam smart , the new hampshire media teacher who was convicted of engineering the death of her husband back in the 1980's .	2	-3	 so[0] i[0] prepared[0] for[0] this[0] film[0] by[0] watching[0] a[0] moving[0] interview[0] on[0] hard[0] copy[0] with[0] pam[0] smart[1] the[0] new[0] hampshire[0] media[0] teacher[0] who[0] was[0] convicted[-1] of[0] engineering[0] the[0] death[-2] of[0] her[0] husband[0] back[0] in[0] the[0] 1980's[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " hard copy " 's diane diamond asked smart what she thought about nicole kidman's fictionalized portrayal of her in the new film to die for . 	 " hard copy " 's diane diamond asked smart what she thought about nicole kidman's fictionalized portrayal of her in the new film to die for .	2	-1	 hard[0] copy[0] 's[0] diane[0] diamond[0] asked[0] smart[1] what[0] she[0] thought[0] about[0] nicole[0] kidman's[0] fictionalized[0] portrayal[0] of[0] her[0] in[0] the[0] new[0] film[0] to[0] die[0] for[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
smart replied that she thought kidman's character came off as a dumb , vicious tramp and she thought that the publicity the new movie generates might just hurt her chances in her latest court appeal . 	smart replied that she thought kidman's character came off as a dumb , vicious tramp and she thought that the publicity the new movie generates might just hurt her chances in her latest court appeal .	2	-4	 smart[1] replied[0] that[0] she[0] thought[0] kidman's[0] character[0] came[0] off[0] as[0] a[0] dumb[-1] vicious[-3] tramp[-1] and[0] she[0] thought[0] that[0] the[0] publicity[0] the[0] new[0] movie[0] generates[0] might[0] just[0] hurt[-2][--1 LastWordBoosterStrength] her[0] chances[0] in[0] her[0] latest[0] court[0] appeal[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( smart was convicted and given a life sentence for her part in the murder of her husband . ) 	 ( smart was convicted and given a life sentence for her part in the murder of her husband .<br> )	2	-4	 smart[1] was[0] convicted[-1] and[0] given[0] a[0] life[0] sentence[0] for[0] her[0] part[0] in[0] the[0] murder[-3] of[0] her[0] husband[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
smart's got a point . 	smart's got a point .	2	-1	 smart's[1] got[0] a[0] point[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it wouldn't be the first time that the public took the better scripted and well-acted movie version of an event as the absolute truth over the duller and far less artistic real life version . 	it wouldn't be the first time that the public took the better scripted and well-acted movie version of an event as the absolute truth over the duller and far less artistic real life version .	2	-2	 it[0] wouldn't[0] be[0] the[0] first[0] time[0] that[0] the[0] public[0] took[0] the[0] better[0] scripted[0] and[0] well[0] acted[0] movie[0] version[0] of[0] an[0] event[0] as[0] the[0] absolute[0] truth[1] over[0] the[0] duller[-1] and[0] far[0] less[0] artistic[0] real[0] life[0] version[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , given a choice between the mass media 'happening' of the real event and the fictionalized movie , i would definitely opt for the later . 	however , given a choice between the mass media 'happening' of the real event and the fictionalized movie , i would definitely opt for the later .	1	-1	 however[0] given[0] a[0] choice[0] between[0] the[0] mass[0] media[0] 'happening'[0] of[0] the[0] real[0] event[0] and[0] the[0] fictionalized[0] movie[0] i[0] would[0] definitely[0] opt[0] for[0] the[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
real murderers rarely have dialogue as witty as what buck henry has written for this movie and smart , while pretty and alluring , is no match for the cinematic charms of nicole kidman . 	real murderers rarely have dialogue as witty as what buck henry has written for this movie and smart , while pretty and alluring , is no match for the cinematic charms of nicole kidman .	3	-4	 real[0] murderers[-3] rarely[0] have[0] dialogue[0] as[0] witty[0] as[0] what[0] buck[0] henry[0] has[0] written[0] for[0] this[0] movie[0] and[0] smart[1] while[0] pretty[2] and[0] alluring[0] is[0] no[0] match[0] for[0] the[0] cinematic[0] charms[1] of[0] nicole[0] kidman[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
