_in brief : _ this film needs no introduction . 	Translation	Positive	Negative	EmotionRationale
if you haven't heard of it , then you must have been up in space on a sabbatical , and if you haven't seen it -- well , i suspect you're in a small minority ! 	if you haven't heard of it , then you must have been up in space on a sabbatical , and if you haven't seen it - well , i suspect you're in a small minority !	1	-2	 if[0] you[0] haven't[0] heard[0] of[0] it[0] then[0] you[0] must[0] have[0] been[0] up[0] in[0] space[0] on[0] a[0] sabbatical[0] and[0] if[0] you[0] haven't[0] seen[0] it[0] well[0] i[0] suspect[-1] you're[0] in[0] a[0] small[0] minority[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first thing's first ? is it all it's hyped up to be ? 	first thing's first ?<br> is it all it's hyped up to be ?	1	-1	 first[0] thing's[0] first[0] [[Sentence=-1,1=word max, 1-5]] is[0] it[0] all[0] it's[0] hyped[0] up[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , yes ? and no . 	well , yes ?<br> and no .	1	-1	 well[0] yes[0] [[Sentence=-1,1=word max, 1-5]] and[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a good film , and there's a lot to like about it , but it's not without its problems . 	it's a good film , and there's a lot to like about it , but it's not without its problems .	2	-2	 it's[0] a[0] good[1] film[0] and[0] there's[0] a[0] lot[0] to[0] like[1] about[0] it[0] but[0] it's[0] not[0] without[0] its[0] problems[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when i saw the first trailer for " titanic " , it was when i went to see " bean " last summer , i think , my intial reaction was -- ain't that downright sick to make a disaster movie out of such a dreadful , real-life tragedy ? ! 	when i saw the first trailer for " titanic " , it was when i went to see " bean " last summer , i think , my intial reaction was - ain't that downright sick to make a disaster movie out of such a dreadful , real-life tragedy ?<br> !	1	-4	 when[0] i[0] saw[0] the[0] first[0] trailer[0] for[0] titanic[0] it[0] was[0] when[0] i[0] went[0] to[0] see[0] bean[0] last[0] summer[0] i[0] think[0] my[0] intial[0] reaction[0] was[0] ain't[0] that[0] downright[0] sick[-1] to[0] make[0] a[0] disaster[-1] movie[0] out[0] of[0] such[0] a[0] dreadful[-3] real[0] life[0] tragedy[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i mean , what's happened to hollywood's script-writers , have they run entirely out of new ideas ? 	i mean , what's happened to hollywood's script-writers , have they run entirely out of new ideas ?	1	-1	 i[0] mean[0] what's[0] happened[0] to[0] hollywood's[0] script[0] writers[0] have[0] they[0] run[0] entirely[0] out[0] of[0] new[0] ideas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gads , whatever next , i asked myself , how about an action film based on hiroshima starring jean claude van damme ? 	gads , whatever next , i asked myself , how about an action film based on hiroshima starring jean claude van dame ?	1	-1	 gads[0] whatever[0] next[0] i[0] asked[0] myself[0] how[0] about[0] an[0] action[0] film[0] based[0] on[0] hiroshima[0] starring[0] jean[0] claude[0] van[0] damme/dame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was not entirely filled with anticipation , but then i wasn't alone in that respect . 	i was not entirely filled with anticipation , but then i wasn't alone in that respect .	3	-1	 i[0] was[0] not[0] entirely[0] filled[0] with[0] anticipation[0] but[0] then[0] i[0] wasn't[0] alone[0] in[0] that[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's when it came out in the cinema , to rave reviews ( well , mostly ) and anyone who'd been to see it seemed disturbingly obsessed by it that i started to take notice ! 	it's when it came out in the cinema , to rave reviews ( well , mostly ) and anyone who'd been to see it seemed disturbingly obsessed by it that i started to take notice !	1	-3	 it's[0] when[0] it[0] came[0] out[0] in[0] the[0] cinema[0] to[0] rave[0] reviews[0] well[0] mostly[0] and[0] anyone[0] who'd[0] been[0] to[0] see[0] it[0] seemed[0] disturbingly[-1] obsessed[-2] by[0] it[0] that[0] i[0] started[0] to[0] take[0] notice[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i didn't see the film until several months after its release ( by which time my sister had seen it about four times ! ) , 	i didn't see the film until several months after its release ( by which time my sister had seen it about four times !<br> ) ,	1	-1	 i[0] didn't[0] see[0] the[0] film[0] until[0] several[0] months[0] after[0] its[0] release[0] by[0] which[0] time[0] my[0] sister[0] had[0] seen[0] it[0] about[0] four[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
