you've seen this moment before , recently : a particularly troubled character senses danger of the paranormal kind when the room temperature inexplicably plummets to below freezing . 	Translation	Positive	Negative	EmotionRationale
the difference is that when it happens to lili taylor's nell in the haunting , we don't care . 	the difference is that when it happens to lili taylor's nell in the haunting , we don't care .	1	-2	 the[0] difference[0] is[0] that[0] when[0] it[0] happens[0] to[0] lili[0] taylor's[0] nell[0] in[0] the[0] haunting[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the hero of the sixth sense , a young boy named cole , is a rich creation , and we wish nothing more than for the ghosts who haunt him to take a hike . 	the hero of the sixth sense , a young boy named cole , is a rich creation , and we wish nothing more than for the ghosts who haunt him to take a hike .	3	-2	 the[0] hero[2] of[0] the[0] sixth[0] sense[0] a[0] young[0] boy[0] named[0] cole[0] is[0] a[0] rich[0] creation[0] and[0] we[0] wish[0] nothing[0] more[0] than[0] for[0] the[0] ghosts[0] who[0] haunt[-1] him[0] to[0] take[0] a[0] hike[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the seasons have changed since an ex-patient shot jaded child psychologist malcolm crowe ( willis ) in the comfort of his own bedroom . 	the seasons have changed since an ex-patient shot jaded child psychologist malcolm crowe ( willis ) in the comfort of his own bedroom .	2	-3	 the[0] seasons[0] have[0] changed[0] since[0] an[0] ex[0] patient[0] shot[-1] jaded[-2] child[0] psychologist[0] malcolm[0] crowe[0] willis[0] in[0] the[0] comfort[1] of[0] his[0] own[0] bedroom[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
desperate to get his career back on track , even at the expense of his crumbling marriage ( to williams , of rushmore ) , malcolm councils the deeply troubled cole ( osment ) . 	desperate to get his career back on track , even at the expense of his crumbling marriage ( to williams , of rushmore ) , malcolm councils the deeply troubled cole ( osment ) .	1	-3	 desperate[-2] to[0] get[0] his[0] career[0] back[0] on[0] track[0] even[0] at[0] the[0] expense[-1] of[0] his[0] crumbling[0] marriage[0] to[0] williams[0] of[0] rushmore[0] malcolm[0] councils[0] the[0] deeply[0] troubled[-1] cole[0] osment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the preteen displays all the quirks of malcolm's would-be killer : scars on his body ; antisocial behaviour ; and the reluctance to reveal a big secret . 	the preteen displays all the quirks of malcolm's would-be killer : scars on his body ; antisocial behaviour ; and the reluctance to reveal a big secret .	1	-2	 the[0] preteen[0] displays[0] all[0] the[0] quirks[0] of[0] malcolm's[0] would[0] be[0] killer[-1] scars[0] on[0] his[0] body[0] antisocial[0] behaviour[0] and[0] the[0] reluctance[-1] to[0] reveal[0] a[0] big[0] secret[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only after cole is locked in a closet by some bullies ( and hospitalized as a result ) does he divulge to malcolm , in a spine-tingling scene , that he sees dead people walking among us , all the time . 	only after cole is locked in a closet by some bullies ( and hospitalized as a result ) does he divulge to malcolm , in a spine-tingling scene , that he sees dead people walking among us , all the time .	1	-3	 only[0] after[0] cole[0] is[0] locked[0] in[0] a[0] closet[0] by[0] some[0] bullies[0] and[0] hospitalized[0] as[0] a[0] result[0] does[0] he[0] divulge[0] to[0] malcolm[0] in[0] a[0] spine[0] tingling[0] scene[0] that[0] he[0] sees[0] dead[-2] people[0] walking[0] among[0] us[0] all[0] the[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
malcolm assumes , and given his profession , reasonably so , that cole is schizophrenic , not psychic , but the sincerity in cole's anguished confession prevents the doctor from taking drastic measures . 	malcolm assumes , and given his profession , reasonably so , that cole is schizophrenic , not psychic , but the sincerity in cole's anguished confession prevents the doctor from taking drastic measures .	1	-4	 malcolm[0] assumes[0] and[0] given[0] his[0] profession[0] reasonably[0] so[0] that[0] cole[0] is[0] schizophrenic[0] not[0] psychic[0] but[0] the[0] sincerity[0] in[0] cole's[0] anguished[-3] confession[-1] prevents[0] the[0] doctor[0] from[0] taking[0] drastic[0] measures[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he will instead pursue the supernatural angle , becoming a kind of surrogate father to cole ( who lives with his single mother , lynn ( collette ) ) in the process . 	he will instead pursue the supernatural angle , becoming a kind of surrogate father to cole ( who lives with his single mother , lyn ( collette ) ) in the process .	2	-1	 he[0] will[0] instead[0] pursue[0] the[0] supernatural[0] angle[0] becoming[0] a[0] kind[1] of[0] surrogate[0] father[0] to[0] cole[0] who[0] lives[0] with[0] his[0] single[0] mother[0] lynn/lyn[0] collette[0] in[0] the[0] process[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sixth sense has more in common with ghost than poltergeist . 	the sixth sense has more in common with ghost than poltergeist .	1	-1	 the[0] sixth[0] sense[0] has[0] more[0] in[0] common[0] with[0] ghost[0] than[0] poltergeist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( though shyamalan does , somewhat unforgiveably , crib the self-rearranging kitchen business from the latter . ) 	 ( though shyamalan does , somewhat unforgiveably , crib the self-rearranging kitchen business from the latter .<br> )	1	-3	 though[0] shyamalan[-2] does[0] somewhat[0] unforgiveably[0] crib[0] the[0] self[0] rearranging[0] kitchen[0] business[0] from[0] the[0] latter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's far more heartwarming than frightening , and the film would be none the worse for wear without its few pulp shocks . 	it's far more heartwarming than frightening , and the film would be none the worse for wear without its few pulp shocks .	3	-4	 it's[0] far[0] more[0] heartwarming[2] than[0] frightening[-3] and[0] the[0] film[0] would[0] be[0] none[0] the[0] worse[-2] for[0] wear[0] without[0] its[0] few[0] pulp[0] shocks[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
cole attracts the dead for reasons unknown , but they're not out to harm him , really-they just want to be heard , even if it means scaring the bejesus out of the innocent gradeschooler . 	cole attracts the dead for reasons unknown , but they're not out to harm him , really-they just want to be heard , even if it means scaring the bejesus out of the innocent gradeschooler .	2	-4	 cole[0] attracts[1] the[0] dead[-2] for[0] reasons[0] unknown[0] but[0] they're[0] not[0] out[0] to[0] harm[-2] him[0] really[0] they[0] just[0] want[0] to[0] be[0] heard[0] even[0] if[0] it[0] means[0] scaring[-3] the[0] bejesus[0] out[0] of[0] the[0] innocent[1] gradeschooler[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
perhaps the apparitions seem more ghastly to us , at first , than they really are because we're looking at the situation through the eyes of an eight-year-old . 	perhaps the apparitions seem more ghastly to us , at first , than they really are because we're looking at the situation through the eyes of an eight-year-old .	1	-2	 perhaps[0] the[0] apparitions[0] seem[0] more[0] ghastly[-1] to[0] us[0] at[0] first[0] than[0] they[0] really[0] are[0] because[0] we're[0] looking[0] at[0] the[0] situation[0] through[0] the[0] eyes[0] of[0] an[0] eight[0] year[0] old[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's right : willis , for the first time in years , gives up the spotlight to his costar . 	that's right : willis , for the first time in years , gives up the spotlight to his costar .	1	-1	 that's[0] right[0] willis[0] for[0] the[0] first[0] time[0] in[0] years[0] gives[0] up[0] the[0] spotlight[0] to[0] his[0] costar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we appreciate malcolm's domestic dilemma , but we identify with cole , recalling our fears of the bogeyman or the closet monster or the thing under the bed . 	we appreciate malcolm's domestic dilemma , but we identify with cole , recalling our fears of the bogeyman or the closet monster or the thing under the bed .	2	-3	 we[0] appreciate[1] malcolm's[0] domestic[0] dilemma[-1] but[0] we[0] identify[0] with[0] cole[0] recalling[0] our[0] fears[-2] of[0] the[0] bogeyman[0] or[0] the[0] closet[0] monster[-1] or[0] the[0] thing[0] under[0] the[0] bed[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
both actors deliver immensely likable performances , and their dynamic is manifest . 	both actors deliver immensely likable performances , and their dynamic is manifest .	2	-1	 both[0] actors[0] deliver[0] immensely[0] likable[0] performances[0] and[0] their[0] dynamic[1] is[0] manifest[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
willis convinces us that he's a doctor , something he was unable to do as a horndog shrink in the overheated color of night . 	willis convinces us that he's a doctor , something he was unable to do as a horndog shrink in the overheated color of night .	1	-1	 willis[0] convinces[0] us[0] that[0] he's[0] a[0] doctor[0] something[0] he[0] was[0] unable[0] to[0] do[0] as[0] a[0] horndog[0] shrink[0] in[0] the[0] overheated[0] color[0] of[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
osment is phenomenal , a true professional who resists mugging for the camera like some child stars with too much experience in television commercials do . 	osment is phenomenal , a true professional who resists mugging for the camera like some child stars with too much experience in television commercials do .	2	-1	 osment[0] is[0] phenomenal[0] a[0] true[1] professional[0] who[0] resists[0] mugging[0] for[0] the[0] camera[0] like[1] some[0] child[0] stars[0] with[0] too[0] much[0] experience[0] in[0] television[0] commercials[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sixth sense ( atmospherically shot by the silence of the lambs' cinematographer , tak fujimoto ) is actually a drama-its spooky , effective ad campaign is misleading . 	the sixth sense ( atmospherically shot by the silence of the lambs' cinematographer , tak fujimoto ) is actually a drama-its spooky , effective ad campaign is misleading .	1	-2	 the[0] sixth[0] sense[0] atmospherically[0] shot[-1] by[0] the[0] silence[0] of[0] the[0] lambs'[0] cinematographer[0] tak[0] fujimoto[0] is[0] actually[0] a[0] drama[0] its[0] spooky[0] effective[0] ad[0] campaign[0] is[0] misleading[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
