hollywood has a . 750 	Translation	Positive	Negative	EmotionRationale
batting average with elmore leonard adaptations . 	batting average with elmore leonard adaptations .	1	-1	 batting[0] average[0] with[0] elmore[0] leonard[0] adaptations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
last year's touch was ill-conceived and just plain odd but get shorty , jackie brown and now out of sight all were highly entertaining movies . 	last year's touch was ill-conceived and just plain odd but get shorty , jackie brown and now out of sight all were highly entertaining movies .	1	-2	 last[0] year's[0] touch[0] was[0] ill[-1] conceived[0] and[0] just[0] plain[0] odd[0] but[0] get[0] shorty[0] jackie[0] brown[0] and[0] now[0] out[0] of[0] sight[0] all[0] were[0] highly[0] entertaining[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
steven soderburgh , master of sex , lies and videotape , now adds crime to his repertoire in this tale of bank robbery , prison , double-crossing , uncut diamonds and , oh yeah , true love . 	steven soderburgh , master of sex , lies and videotape , now adds crime to his repertoire in this tale of bank robbery , prison , double-crossing , uncut diamonds and , oh yeah , true love .	3	-3	 steven[0] soderburgh[0] master[0] of[0] sex[0] lies[-2] and[0] videotape[0] now[0] adds[0] crime[-1] to[0] his[0] repertoire[0] in[0] this[0] tale[0] of[0] bank[0] robbery[-1] prison[-1] double[0] crossing[0] uncut[0] diamonds[0] and[0] oh[0] yeah[0] true[1] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
george clooney is the protagonist , a risky choice after such duds as batman and robin and the peacemaker , but for once i didn't want to slap the taste out of his mouth . 	george clooney is the protagonist , a risky choice after such duds as batman and robin and the peacemaker , but for once i didn't want to slap the taste out of his mouth .	1	-2	 george[0] clooney[0] is[0] the[0] protagonist[0] a[0] risky[-1] choice[0] after[0] such[0] duds[0] as[0] batman[0] and[0] robin[0] and[0] the[0] peacemaker[0] but[0] for[0] once[0] i[0] didn't[0] want[0] to[0] slap[-1] the[0] taste[0] out[0] of[0] his[0] mouth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he plays his role in out of sight as the suave cary grant-type perfected in hitchcock movies , the kind of guy to whom crime is just a profession like any other . 	he plays his role in out of sight as the suave cary grant-type perfected in hitchcock movies , the kind of guy to whom crime is just a profession like any other .	2	-2	 he[0] plays[1] his[0] role[0] in[0] out[0] of[0] sight[0] as[0] the[0] suave[0] cary[0] grant[0] type[0] perfected[1] in[0] hitchcock[0] movies[0] the[0] kind[1] of[0] guy[0] to[0] whom[0] crime[-1] is[0] just[0] a[0] profession[0] like[1] any[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nowhere present is clooney's usual ain't-i-sexy sneer -- there's just enough leftover lightheartedness to fit in with the leonard style . 	nowhere present is clooney's usual ain't-i-sexy sneer - there's just enough leftover lightheartedness to fit in with the leonard style .	3	-2	 nowhere[0] present[0] is[0] clooney's[0] usual[0] ain't[0] i[0] sexy[2] sneer[-1] there's[0] just[0] enough[0] leftover[0] lightheartedness[0] to[0] fit[0] in[0] with[0] the[0] leonard[0] style[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
clooney is definitely a perfect successor to john travolta in get shorty . 	clooney is definitely a perfect successor to john travolta in get shorty .	2	-1	 clooney[0] is[0] definitely[0] a[0] perfect[1] successor[0] to[0] john[0] travolta[0] in[0] get[0] shorty[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
clooney plays a man who's robbed about 200 banks without ever using a gun . 	clooney plays a man who's robbed about 200 banks without ever using a gun .	2	-2	 clooney[0] plays[1] a[0] man[0] who's[0] robbed[0] about[0] 200[0] banks[0] without[0] ever[0] using[0] a[0] gun[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the opening scene , he walks into one bank and robs it not only with ease but with charm . 	in the opening scene , he walks into one bank and robs it not only with ease but with charm .	2	-1	 in[0] the[0] opening[0] scene[0] he[0] walks[0] into[0] one[0] bank[0] and[0] robs[0] it[0] not[0] only[0] with[0] ease[0] but[0] with[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , he gets caught , so it's not all good . 	of course , he gets caught , so it's not all good .	1	-2	 of[0] course[0] he[0] gets[0] caught[0] so[0] it's[0] not[0] all[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
