 " the fighting sullivans " contains a major plot development in the last ten minutes that every movie guide has seen fit to give away . 	Translation	Positive	Negative	EmotionRationale
there was no dramatic tension for me while watching the film , as i knew exactly what was going to happen . 	there was no dramatic tension for me while watching the film , as i knew exactly what was going to happen .	1	-3	 there[0] was[0] no[0] dramatic[0] tension[-2] for[0] me[0] while[0] watching[0] the[0] film[0] as[0] i[0] knew[0] exactly[0] what[0] was[0] going[0] to[0] happen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and that's the worst thing that can happen before viewing a movie . 	and that's the worst thing that can happen before viewing a movie .	1	-3	 and[0] that's[0] the[0] worst[-2] thing[0] that[0] can[0] happen[0] before[0] viewing[0] a[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
because of this , i will tread lightly so i don't ruin it for anyone reading this review , and it would be very advisable to avoid all other material regarding this film until after you have seen it . 	because of this , i will tread lightly so i don't ruin it for anyone reading this review , and it would be very advisable to avoid all other material regarding this film until after you have seen it .	2	-2	 because[0] of[0] this[0] i[0] will[0] tread[0] lightly[0] so[0] i[0] don't[0] ruin[-1][NegatedDueToPreviousWord] it[0] for[0] anyone[0] reading[0] this[0] review[0] and[0] it[0] would[0] be[0] very[0] advisable[0] to[0] avoid[-1] all[0] other[0] material[0] regarding[0] this[0] film[0] until[0] after[0] you[0] have[0] seen[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the fighting sullivans " revolves around a family that consists of a mother , father , sister , and five brothers . 	 " the fighting sullivans " revolves around a family that consists of a mother , father , sister , and five brothers .	1	-3	 the[0] fighting[-2] sullivans[0] revolves[0] around[0] a[0] family[0] that[0] consists[0] of[0] a[0] mother[0] father[0] sister[0] and[0] five[0] brothers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the brothers are very close , despite the occasional disagreement . 	the brothers are very close , despite the occasional disagreement .	1	-2	 the[0] brothers[0] are[0] very[0] close[0] despite[0] the[0] occasional[0] disagreement[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are inseperable , and never stray from one another . 	they are inseperable , and never stray from one another .	2	-1	 they[0] are[0] inseperable[0] and[0] never[0] stray[-1][NegatedDueToPreviousWord] from[0] one[0] another[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their friendship and loyalty is the foundation of this picture . 	their friendship and loyalty is the foundation of this picture .	2	-1	 their[0] friendship[1] and[0] loyalty[1] is[0] the[0] foundation[0] of[0] this[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first half of the movie follows the brothers as young children , and their various adventures . 	the first half of the movie follows the brothers as young children , and their various adventures .	1	-1	 the[0] first[0] half[0] of[0] the[0] movie[0] follows[0] the[0] brothers[0] as[0] young[0] children[0] and[0] their[0] various[0] adventures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when four of them get into a fight with some local boys , the youngest sullivan , who is inside a church at the time , comes running out to assist , but not before properly exiting the chapel . 	when four of them get into a fight with some local boys , the youngest sullivan , who is inside a church at the time , comes running out to assist , but not before properly exiting the chapel .	1	-3	 when[0] four[0] of[0] them[0] get[0] into[0] a[0] fight[-2] with[0] some[0] local[0] boys[0] the[0] youngest[0] sullivan[0] who[0] is[0] inside[0] a[0] church[0] at[0] the[0] time[0] comes[0] running[0] out[0] to[0] assist[0] but[0] not[0] before[0] properly[0] exiting[0] the[0] chapel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if i'm being awfully vague about details , it's because what i have told you is essentially the first hour and a half . 	if i'm being awfully vague about details , it's because what i have told you is essentially the first hour and a half .	1	-4	 if[0] i'm[0] being[0] awfully[-3] vague[-1] about[0] details[0] it's[0] because[0] what[0] i[0] have[0] told[0] you[0] is[0] essentially[0] the[0] first[0] hour[0] and[0] a[0] half[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
all i can say is go watch this film , because it is a fine portrait of a family that sticks together , through the good and the bad . 	all i can say is go watch this film , because it is a fine portrait of a family that sticks together , through the good and the bad .	3	-2	 all[0] i[0] can[0] say[0] is[0] go[0] watch[0] this[0] film[0] because[0] it[0] is[0] a[0] fine[2] portrait[0] of[0] a[0] family[0] that[0] sticks[0] together[0] through[0] the[0] good[1] and[0] the[0] bad[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and after you see the movie , you will understand why this review has been written the way it has . 	and after you see the movie , you will understand why this review has been written the way it has .	1	-1	 and[0] after[0] you[0] see[0] the[0] movie[0] you[0] will[0] understand[0] why[0] this[0] review[0] has[0] been[0] written[0] the[0] way[0] it[0] has[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
