a cinematic version of one of john irving's novels is always cause for celebration even if , as in the case of " simon birch , " the treatment is merely " suggested by , " rather than strictly based on , the book . 	Translation	Positive	Negative	EmotionRationale
suggested means that irving , author of the acclaimed " the world according to garp , " sold the rights to his novel " a prayer for owen meany " to the disney machine for  1 million , but wouldn't grant them permission to use either the title or any of the character names . 	suggested means that irving , author of the acclaimed " the world according to garp , " sold the rights to his novel " a prayer for owen meany " to the disney machine for  1 million , but wouldn't grant them permission to use either the title or any of the character names .	1	-1	 suggested[0] means[0] that[0] irving[0] author[0] of[0] the[0] acclaimed[0] the[0] world[0] according[0] to[0] garp[0] sold[0] the[0] rights[0] to[0] his[0] novel[0] a[0] prayer[0] for[0] owen[0] meany[0] to[0] the[0] disney[0] machine[0] for[0] 1[0] million[0] but[0] wouldn't[0] grant[0] them[0] permission[0] to[0] use[0] either[0] the[0] title[0] or[0] any[0] of[0] the[0] character[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's an odd decision--irving claims it's to protect both himself and the novel--but it's one that doesn't unduly harm the finished product . 	that's an odd decision-irving claims it's to protect both himself and the novel-but it's one that doesn't unduly harm the finished product .	1	-3	 that's[0] an[0] odd[0] decision[0] irving[0] claims[0] it's[0] to[0] protect[0] both[0] himself[0] and[0] the[0] novel[0] but[0] it's[0] one[0] that[0] doesn't[0] unduly[0] harm[-2] the[0] finished[0] product[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
irving's books are rich and complex works , full of intriguing , colorful characters . 	irving's books are rich and complex works , full of intriguing , colorful characters .	1	-1	 irving's[0] books[0] are[0] rich[0] and[0] complex[0] works[0] full[0] of[0] intriguing[0] colorful[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " a prayer for owen meany " is no exception ; it tells the story of an unusual boy--called simon birch in the film version--who is uncommonly small in stature and possesses a high-pitched falsetto voice , " like strangled mice . " 	 " a prayer for owen meany " is no exception ; it tells the story of an unusual boy-called simon birch in the film version-who is uncommonly small in stature and possesses a high-pitched falsetto voice , " like strangled mice .<br> "	2	-3	 a[0] prayer[0] for[0] owen[0] meany[0] is[0] no[0] exception[0] it[0] tells[0] the[0] story[0] of[0] an[0] unusual[0] boy[0] called[0] simon[0] birch[0] in[0] the[0] film[0] version[0] who[0] is[0] uncommonly[0] small[0] in[0] stature[0] and[0] possesses[0] a[0] high[0] pitched[0] falsetto[0] voice[0] like[1] strangled[-2] mice[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
simon believes himself to be " god's instrument , " placed on this earth to somehow effect god's plan . 	simon believes himself to be " god's instrument , " placed on this earth to somehow effect god's plan .	1	-1	 simon[0] believes[0] himself[0] to[0] be[0] god's[0] instrument[0] placed[0] on[0] this[0] earth[0] to[0] somehow[0] effect[0] god's[0] plan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simon is played by ian michael smith , who suffers from a rare enzyme disorder known as morquio syndrome which , among other things , prevents bones , ligaments , and joints from developing normally . 	simon is played by ian michael smith , who suffers from a rare enzyme disorder known as morquio syndrome which , among other things , prevents bones , ligaments , and joints from developing normally .	1	-4	 simon[0] is[0] played[0] by[0] ian[0] michael[0] smith[0] who[0] suffers[-3] from[0] a[0] rare[0] enzyme[0] disorder[-1] known[0] as[0] morquio[0] syndrome[0] which[0] among[0] other[0] things[0] prevents[0] bones[0] ligaments[0] and[0] joints[0] from[0] developing[0] normally[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
smith's debilitating disease makes him an obvious physical choice for " simon birch " ; however , the producers unwisely favored form over function--smith's acting abilities are limited at best . 	smith's debilitating disease makes him an obvious physical choice for " simon birch " ; however , the producers unwisely favored form over function-smith's acting abilities are limited at best .	2	-3	 smith's[0] debilitating[0] disease[-2] makes[0] him[0] an[0] obvious[0] physical[0] choice[0] for[0] simon[0] birch[0] however[0] the[0] producers[0] unwisely[0] favored[1] form[0] over[0] function[0] smith's[0] acting[0] abilities[0] are[0] limited[0] at[0] best[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
another drawback is that in the book , simon's condition is described the way irving describes any of his characters--in careful , loving detail . 	another drawback is that in the book , simon's condition is described the way irving describes any of his characters-in careful , loving detail .	4	-1	 another[0] drawback[0] is[0] that[0] in[0] the[0] book[0] simon's[0] condition[0] is[0] described[0] the[0] way[0] irving[0] describes[0] any[0] of[0] his[0] characters[0] in[0] careful[0] loving[3] detail[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
watching " simon birch , " however , creates a different feeling altogether ; the audience is forced into a voyeuristic relationship with the character , surely something irving would not have intended . 	watching " simon birch , " however , creates a different feeling altogether ; the audience is forced into a voyeuristic relationship with the character , surely something irving would not have intended .	1	-1	 watching[0] simon[0] birch[0] however[0] creates[0] a[0] different[0] feeling[0] altogether[0] the[0] audience[0] is[0] forced[0] into[0] a[0] voyeuristic[0] relationship[0] with[0] the[0] character[0] surely[0] something[0] irving[0] would[0] not[0] have[0] intended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simon himself tends to be too cute and irritating , a combination of smith's rookie status as an actor and the precocious one-liners he's forced to deliver , courtesy mark steven johnson , the film's director and screenwriter . 	simon himself tends to be too cute and irritating , a combination of smith's rookie status as an actor and the precocious one-liners he's forced to deliver , courtesy mark steven johnson , the film's director and screenwriter .	2	-3	 simon[0] himself[0] tends[0] to[0] be[0] too[0] cute[1] and[0] irritating[-2] a[0] combination[0] of[0] smith's[0] rookie[0] status[0] as[0] an[0] actor[0] and[0] the[0] precocious[0] one[0] liners[0] he's[0] forced[0] to[0] deliver[0] courtesy[0] mark[0] steven[0] johnson[0] the[0] film's[0] director[0] and[0] screenwriter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fortunately , simon birch isn't the real star of the film that bears his name . 	fortunately , simon birch isn't the real star of the film that bears his name .	1	-1	 fortunately[0] simon[0] birch[0] isn't[0] the[0] real[0] star[0] of[0] the[0] film[0] that[0] bears[0] his[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
