bob the happy bastard's quickie review : 	Translation	Positive	Negative	EmotionRationale
the mummy 	the mummy	1	-1	 the[0] mummy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brendan fraser's stuck in the past again , but at least this time he has something better to do than to quote sitcom lines and try to woo alicia silverstone . . . 	brendan fraser's stuck in the past again , but at least this time he has something better to do than to quote sitcom lines and try to woo alicia silverstone .<br> .<br> .	1	-1	 brendan[0] fraser's[0] stuck[0] in[0] the[0] past[0] again[0] but[0] at[0] least[0] this[0] time[0] he[0] has[0] something[0] better[0] to[0] do[0] than[0] to[0] quote[0] sitcom[0] lines[0] and[0] try[0] to[0] woo[0] alicia[0] silverstone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fraser is the lead star of the mummy , the second directorial effort from action director stephen sommers ( who also brought us the decent thrill ride that was deep rising ) . 	fraser is the lead star of the mummy , the second directorial effort from action director stephen sommers ( who also brought us the decent thrill ride that was deep rising ) .	4	-1	 fraser[0] is[0] the[0] lead[0] star[0] of[0] the[0] mummy[0] the[0] second[0] directorial[0] effort[0] from[0] action[0] director[0] stephen[0] sommers[0] who[0] also[0] brought[0] us[0] the[0] decent[0] thrill[3] ride[0] that[0] was[0] deep[0] rising[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's a rough adaptation of the 1932 film , and i say rough because it focuses more on special effects than on some guy in bandages , like boris karloff was engulfed in . 	it's a rough adaptation of the 1932 film , and i say rough because it focuses more on special effects than on some guy in bandages , like boris karloff was engulfed in .	2	-2	 it's[0] a[0] rough[-1] adaptation[0] of[0] the[0] 1932[0] film[0] and[0] i[0] say[0] rough[-1] because[0] it[0] focuses[0] more[0] on[0] special[1] effects[0] than[0] on[0] some[0] guy[0] in[0] bandages[0] like[1] boris[0] karloff[0] was[0] engulfed[-1] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but who cares , the movie has a sort of swashbuckling quality to it you can't get from , oh , say , godzilla or armageddon . 	but who cares , the movie has a sort of swashbuckling quality to it you can't get from , oh , say , godzilla or armageddon .	2	-1	 but[0] who[0] cares[1] the[0] movie[0] has[0] a[0] sort[0] of[0] swashbuckling[0] quality[0] to[0] it[0] you[0] can't[0] get[0] from[0] oh[0] say[0] godzilla[0] or[0] armageddon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fraser plays a soldier who gets a premonition during a battle with soldiers in an egyptian ground . 	fraser plays a soldier who gets a premonition during a battle with soldiers in an egyptian ground .	2	-2	 fraser[0] plays[1] a[0] soldier[0] who[0] gets[0] a[0] premonition[0] during[0] a[0] battle[-1] with[0] soldiers[0] in[0] an[0] egyptian[0] ground[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
basically , it's a little sign from the mummy buried underneath- a priest named ihmoetep who was buried alive for taking part of murdering the king and making out with his mistress . 	basically , it's a little sign from the mummy buried underneath- a priest named ihmoetep who was buried alive for taking part of murdering the king and making out with his mistress .	1	-4	 basically[0] it's[0] a[0] little[0] sign[0] from[0] the[0] mummy[0] buried[-2] underneath[0] a[0] priest[0] named[0] ihmoetep[0] who[0] was[0] buried[-2] alive[0] for[0] taking[0] part[0] of[0] murdering[-3] the[0] king[0] and[0] making[0] out[0] with[0] his[0] mistress[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his plan- wake back up and wake her up also , making him invincible . 	his plan- wake back up and wake her up also , making him invincible .	1	-1	 his[0] plan[0] wake[0] back[0] up[0] and[0] wake[0] her[0] up[0] also[0] making[0] him[0] invincible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , fraser returns to the site years later with a librarian ( rachel weisz ) and her brother ( john hanna ) , along with a former buddy of his ( deep rising's kevin j . o'connor ) and some " americans " . . . and 	of course , fraser returns to the site years later with a librarian ( rachel weisz ) and her brother ( john hanna ) , along with a former buddy of his ( deep rising's kevin j .<br> o'connor ) and some " americans " .<br> .<br> .<br> and	1	-1	 of[0] course[0] fraser[0] returns[0] to[0] the[0] site[0] years[0] later[0] with[0] a[0] librarian[0] rachel[0] weisz[0] and[0] her[0] brother[0] john[0] hanna[0] along[0] with[0] a[0] former[0] buddy[0] of[0] his[0] deep[0] rising's[0] kevin[0] j[0] [[Sentence=-1,1=word max, 1-5]] o'connor[0] and[0] some[0] americans[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guess what ? 	guess what ?	1	-1	 guess[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yup , ihmoetep ( arnold vosloo ) awakens and wreaks havoc . 	yup , ihmoetep ( arnold vosloo ) awakens and wreaks havoc .	1	-2	 yup[0] ihmoetep[0] arnold[0] vosloo[0] awakens[0] and[0] wreaks[0] havoc[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fire flies from the sky , flesh-eating beetles crawl about , and , well , ihmoetep's plan begins to unfold . 	fire flies from the sky , flesh-eating beetles crawl about , and , well , ihmoetep's plan begins to unfold .	1	-1	 fire[0] flies[0] from[0] the[0] sky[0] flesh[0] eating[0] beetles[0] crawl[0] about[0] and[0] well[0] ihmoetep's[0] plan[0] begins[0] to[0] unfold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
