of circumcision , psychic wounds and the family sitcom 	Translation	Positive	Negative	EmotionRationale
the opening segment is something of a foretaste of this film . 	the opening segment is something of a foretaste of this film .	1	-1	 the[0] opening[0] segment[0] is[0] something[0] of[0] a[0] foretaste[0] of[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a guy's voice telling us how he tries to imagine what his biological parents look like , and on the screen we see images of a variety of oldish men and women . 	there's a guy's voice telling us how he tries to imagine what his biological parents look like , and on the screen we see images of a variety of oldish men and women .	2	-1	 there's[0] a[0] guy's[0] voice[0] telling[0] us[0] how[0] he[0] tries[0] to[0] imagine[0] what[0] his[0] biological[0] parents[0] look[0] like[1] and[0] on[0] the[0] screen[0] we[0] see[0] images[0] of[0] a[0] variety[0] of[0] oldish[0] men[0] and[0] women[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as his imagination plays o n , he ( and we ) picture these motley characters in a mix-and-match shuffle of unlikely marriages , businesswomen with bums , matrons with paint salesmen , the images coming on in a faster and faster frenzy . 	as his imagination plays o n , he ( and we ) picture these motley characters in a mix-and-match shuffle of unlikely marriages , businesswomen with bums , matrons with paint salesmen , the images coming on in a faster and faster frenzy .	2	-2	 as[0] his[0] imagination[0] plays[1] o[0] n[0] he[0] and[0] we[0] picture[0] these[0] motley[-1] characters[0] in[0] a[0] mix[0] and[0] match[0] shuffle[0] of[0] unlikely[0] marriages[0] businesswomen[0] with[0] bums[0] matrons[0] with[0] paint[0] salesmen[0] the[0] images[0] coming[0] on[0] in[0] a[0] faster[0] and[0] faster[0] frenzy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not just a witty , funny summing up of the film 's themes - you might not guess it yet , but it sets the pattern for the way the story goes on . 	it's not just a witty , funny summing up of the film 's themes - you might not guess it yet , but it sets the pattern for the way the story goes on .	2	-1	 it's[0] not[0] just[0] a[0] witty[0] funny[1] summing[0] up[0] of[0] the[0] film[0] 's[0] themes[0] you[0] might[0] not[0] guess[0] it[0] yet[0] but[0] it[0] sets[0] the[0] pattern[0] for[0] the[0] way[0] the[0] story[0] goes[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what starts out as a step in a fairly sensible direction , gets taken on a road trip , put through a detour or two and finds itself freewheeling towards an immin ent crash . 	what starts out as a step in a fairly sensible direction , gets taken on a road trip , put through a detour or two and finds itself freewheeling towards an immin ent crash .	1	-1	 what[0] starts[0] out[0] as[0] a[0] step[0] in[0] a[0] fairly[0] sensible[0] direction[0] gets[0] taken[0] on[0] a[0] road[0] trip[0] put[0] through[0] a[0] detour[0] or[0] two[0] and[0] finds[0] itself[0] freewheeling[0] towards[0] an[0] immin[0] ent[0] crash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that may not sound so different from the average family sitcom , and the general idea of the film doesn't , at first , seem so wildly distant from standard-issue hollywood comedy : man who was adopted as a child ( ben still er ) sets out on a journey to meet his real parents , along with his wife ( patricia arquette ) , his baby , and a pretty psychology-researcher ( tea leoni ) in tow . 	that may not sound so different from the average family sitcom , and the general idea of the film doesn't , at first , seem so wildly distant from standard-issue hollywood comedy : man who was adopted as a child ( ben still er ) sets out on a journey to meet his real parents , along with his wife ( patricia arquette ) , his baby , and a pretty psychology-researcher ( tea leoni ) in tow .	3	-1	 that[0] may[0] not[0] sound[0] so[0] different[0] from[0] the[0] average[0] family[0] sitcom[0] and[0] the[0] general[0] idea[0] of[0] the[0] film[0] doesn't[0] at[0] first[0] seem[0] so[0] wildly[0] distant[0] from[0] standard[0] issue[0] hollywood[0] comedy[0] man[0] who[0] was[0] adopted[0] as[0] a[0] child[0] ben[0] still[0] er[0] sets[0] out[0] on[0] a[0] journey[0] to[0] meet[0] his[0] real[0] parents[0] along[0] with[0] his[0] wife[0] patricia[0] arquette[0] his[0] baby[1] and[0] a[0] pretty[2] psychology[0] researcher[0] tea[0] leoni[0] in[0] tow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
various mix-ups , shenanigans , oddball characters and , yup , disasters follow . 	various mix-ups , shenanigans , oddball characters and , yup , disasters follow .	1	-2	 various[0] mix[0] ups[0] shenanigans[0] oddball[0] characters[0] and[0] yup[0] disasters[-1] follow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but if you think you've been here before , the dialogue and the direction ( by david o . russell , who made spanking the monkey ) take it into another dimension . 	but if you think you've been here before , the dialogue and the direction ( by david o .<br> russell , who made spanking the monkey ) take it into another dimension .	1	-1	 but[0] if[0] you[0] think[0] you've[0] been[0] here[0] before[0] the[0] dialogue[0] and[0] the[0] direction[0] by[0] david[0] o[0] [[Sentence=-1,1=word max, 1-5]] russell[0] who[0] made[0] spanking[0] the[0] monkey[0] take[0] it[0] into[0] another[0] dimension[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dreaded t-name seems an inevitable reference point ( what with a drug overdose scene and the casting of arquette from true romance ) but really the point is that the foot-massage master hasn't got a monopoly on plot twists and fast , funny , irreverent lines , or on the absurdities of ordinary speech . 	the dreaded t-name seems an inevitable reference point ( what with a drug overdose scene and the casting of arquette from true romance ) but really the point is that the foot-massage master hasn't got a monopoly on plot twists and fast , funny , irreverent lines , or on the absurdities of ordinary speech .	4	-4	 the[0] dreaded[-3] t[0] name[0] seems[0] an[0] inevitable[0] reference[0] point[0] what[0] with[0] a[0] drug[0] overdose[0] scene[0] and[0] the[0] casting[0] of[0] arquette[0] from[0] true[1] romance[3] but[0] really[0] the[0] point[0] is[0] that[0] the[0] foot[0] massage[0] master[0] hasn't[0] got[0] a[0] monopoly[0] on[0] plot[0] twists[0] and[0] fast[0] funny[1] irreverent[0] lines[0] or[0] on[0] the[0] absurdities[-1] of[0] ordinary[0] speech[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
whether it's about circumcision , psychic wounds , oral sex , carjacking , the beauties of the armpit area , or ronald reagan , the script never seems to run out of hilarious invention . 	whether it's about circumcision , psychic wounds , oral sex , carjacking , the beauties of the armpit area , or ronald reagan , the script never seems to run out of hilarious invention .	3	-2	 whether[0] it's[0] about[0] circumcision[0] psychic[0] wounds[-1] oral[0] sex[0] carjacking[0] the[0] beauties[2] of[0] the[0] armpit[0] area[0] or[0] ronald[0] reagan[0] the[0] script[0] never[0] seems[0] to[0] run[0] out[0] of[0] hilarious[2] invention[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the best thing is how these words aren't just there for the punchlines , but are great precisely because they're said in character , like tea leoni's neurotically-charged psychobabbler who's able to say under assault , " it's understandable if you find this threatening " . 	the best thing is how these words aren't just there for the punchlines , but are great precisely because they're said in character , like tea leoni's neurotically-charged psychobabbler who's able to say under assault , " it's understandable if you find this threatening " .	3	-3	 the[0] best[1] thing[0] is[0] how[0] these[0] words[0] aren't[0] just[0] there[0] for[0] the[0] punchlines[-1] but[0] are[0] great[2] precisely[0] because[0] they're[0] said[0] in[0] character[0] like[1] tea[0] leoni's[0] neurotically[-2] charged[-1] psychobabbler[0] who's[0] able[0] to[0] say[0] under[0] assault[-2] it's[0] understandable[0] if[0] you[0] find[0] this[0] threatening[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the cast is excellent throughout , and , rather than singling out anybody , kudos are due to the fine ensemble acting , with the sometimes frenetically overlapping dialogue and the sense of a dozen different reagents colliding to the point of fission . 	the cast is excellent throughout , and , rather than singling out anybody , kudos are due to the fine ensemble acting , with the sometimes frenetically overlapping dialogue and the sense of a dozen different reagents colliding to the point of fission .	4	-1	 the[0] cast[0] is[0] excellent[3] throughout[0] and[0] rather[0] than[0] singling[0] out[0] anybody[0] kudos[0] are[0] due[0] to[0] the[0] fine[2] ensemble[0] acting[0] with[0] the[0] sometimes[0] frenetically[0] overlapping[0] dialogue[0] and[0] the[0] sense[0] of[0] a[0] dozen[0] different[0] reagents[0] colliding[0] to[0] the[0] point[0] of[0] fission[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there are some elements of a woody allen film in this ( not to mention the hand-held camera and loose , improvisational feel of some scenes ) . 	there are some elements of a woody allen film in this ( not to mention the hand-held camera and loose , improvisational feel of some scenes ) .	1	-1	 there[0] are[0] some[0] elements[0] of[0] a[0] woody[0] allen[0] film[0] in[0] this[0] not[0] to[0] mention[0] the[0] hand[0] held[0] camera[0] and[0] loose[0] improvisational[0] feel[0] of[0] some[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like allen , russell's interests are in the volatile sexual politics of couples and the neurotic obsessions in both pare nts and children ( and everybody , really ) . 	like allen , russell's interests are in the volatile sexual politics of couples and the neurotic obsessions in both pare nts and children ( and everybody , really ) .	2	-4	 like[1] allen[0] russell's[0] interests[1] are[0] in[0] the[0] volatile[-1] sexual[0] politics[0] of[0] couples[0] and[0] the[0] neurotic[-2] obsessions[-2][-1 MultiplePositiveWords] in[0] both[0] pare[0] nts[0] and[0] children[0] and[0] everybody[0] really[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
still , if you're expecting a privileged moment of revelation and emotional outpouring a la " murphy brown " / " frasier " / fill-in-the-blank-american-comedy , well , it won't happen . 	still , if you're expecting a privileged moment of revelation and emotional outpouring a la " murphy brown " / " frasier " / fill-in-the-blank-american-comedy , well , it won't happen .	2	-2	 still[0] if[0] you're[0] expecting[0] a[0] privileged[1] moment[0] of[0] revelation[0] and[0] emotional[-1] outpouring[0] a[0] la[0] murphy[0] brown[0] /[0] frasier[0] /[0] fill[0] in[0] the[0] blank[0] american[0] comedy[0] well[0] it[0] won't[0] happen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film sets up expectations like these , with the lead character's search f or his origins and his hopes of self-healing , only to knock them down . 	the film sets up expectations like these , with the lead character's search f or his origins and his hopes of self-healing , only to knock them down .	2	-1	 the[0] film[0] sets[0] up[0] expectations[0] like[1] these[0] with[0] the[0] lead[0] character's[0] search[0] f[0] or[0] his[0] origins[0] and[0] his[0] hopes[1] of[0] self[0] healing[0] only[0] to[0] knock[0] them[0] down[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the conventional sitcom structure is to put a slightly loopy family in catastrophic conditions only to rediscover their essential lovey one-ness , flirting with disaster's charact ers embark on a journey to seek that essential state but find themselves only plunging into more weirdness and dysfunctional chaos the further they go . 	if the conventional sitcom structure is to put a slightly loopy family in catastrophic conditions only to rediscover their essential lovey one-ness , flirting with disaster's charact ers embark on a journey to seek that essential state but find themselves only plunging into more weirdness and dysfunctional chaos the further they go .	2	-2	 if[0] the[0] conventional[0] sitcom[0] structure[0] is[0] to[0] put[0] a[0] slightly[0] loopy[0] family[0] in[0] catastrophic[0] conditions[0] only[0] to[0] rediscover[0] their[0] essential[0] lovey[0] one[0] ness[0] flirting[1] with[0] disaster's[-1] charact[0] ers[0] embark[0] on[0] a[0] journey[0] to[0] seek[0] that[0] essential[0] state[0] but[0] find[0] themselves[0] only[0] plunging[0] into[0] more[0] weirdness[-1] and[0] dysfunctional[0] chaos[-1] the[0] further[0] they[0] go[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and that , the film suggests , is the essential family state - and you better learn to love it . 	and that , the film suggests , is the essential family state - and you better learn to love it .	3	-1	 and[0] that[0] the[0] film[0] suggests[0] is[0] the[0] essential[0] family[0] state[0] and[0] you[0] better[0] learn[0] to[0] love[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
somehow , this is perversely feelgood cinema , right up to its manic end . 	somehow , this is perversely feelgood cinema , right up to its manic end .	1	-2	 somehow[0] this[0] is[0] perversely[-1] feelgood[0] cinema[0] right[0] up[0] to[0] its[0] manic[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
