i've never been a member of the robin williams fan club . 	Translation	Positive	Negative	EmotionRationale
a little bit of his improvisationaly schtick goes a long way , and i sometimes feel as though i'm watching a 40-year-old class clown . 	a little bit of his improvisationaly schtick goes a long way , and i sometimes feel as though i'm watching a 40-year-old class clown .	1	-1	 a[0] little[0] bit[0] of[0] his[0] improvisationaly[0] schtick[0] goes[0] a[0] long[0] way[0] and[0] i[0] sometimes[0] feel[0] as[0] though[0] i'm[0] watching[0] a[0] 40[0] year[0] old[0] class[0] clown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his films , williams has often tried to balance his mania with touchy-feely emotion , leading to wildly uneven performances . 	in his films , williams has often tried to balance his mania with touchy-feely emotion , leading to wildly uneven performances .	1	-2	 in[0] his[0] films[0] williams[0] has[0] often[0] tried[0] to[0] balance[0] his[0] mania[0] with[0] touchy[-1] feely[0] emotion[0] leading[0] to[0] wildly[0] uneven[-1] performances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mrs . 	mrs .	1	-1	 mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire seemed ready-made for the same problems , but instead it proves to be williams' best comic screen project yet . 	doubtfire seemed ready-made for the same problems , but instead it proves to be williams' best comic screen project yet .	2	-2	 doubtfire[-1] seemed[0] ready[0] made[0] for[0] the[0] same[0] problems[-1] but[0] instead[0] it[0] proves[0] to[0] be[0] williams'[0] best[1] comic[0] screen[0] project[0] yet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while it still contains some characteristic self-indulgence , mrs . 	while it still contains some characteristic self-indulgence , mrs .	1	-1	 while[0] it[0] still[0] contains[0] some[0] characteristic[0] self[0] indulgence[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire is nonetheless an engaging belly-laugh comedy served up with high energy . 	doubtfire is nonetheless an engaging belly-laugh comedy served up with high energy .	2	-2	 doubtfire[-1] is[0] nonetheless[0] an[0] engaging[0] belly[0] laugh[1] comedy[0] served[0] up[0] with[0] high[0] energy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
williams stars as daniel hillard , a cartoon voiceover artist with a penchant for irresponsible behavior . 	williams stars as daniel hillard , a cartoon voiceover artist with a penchant for irresponsible behavior .	1	-2	 williams[0] stars[0] as[0] daniel[0] hillard[0] a[0] cartoon[0] voiceover[0] artist[0] with[0] a[0] penchant[0] for[0] irresponsible[-1] behavior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one such incident proves one too many for wife miranda ( sally field ) , and she files for a divorce . 	one such incident proves one too many for wife miranda ( sally field ) , and she files for a divorce .	1	-2	 one[0] such[0] incident[0] proves[0] one[0] too[0] many[0] for[0] wife[0] miranda[0] sally[0] field[0] and[0] she[0] files[0] for[0] a[0] divorce[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unemployed , living in a disastrously unkempt apartment and faced with limited time with his three beloved children , daniel decides to respond to miranda's ad for an afternoon housekeeper . 	unemployed , living in a disastrously unkempt apartment and faced with limited time with his three beloved children , daniel decides to respond to miranda's ad for an afternoon housekeeper .	3	-4	 unemployed[-1] living[0] in[0] a[0] disastrously[-3] unkempt[0] apartment[0] and[0] faced[0] with[0] limited[0] time[0] with[0] his[0] three[0] beloved[2] children[0] daniel[0] decides[0] to[0] respond[0] to[0] miranda's[0] ad[0] for[0] an[0] afternoon[0] housekeeper[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he turns to his brother frank ( harvey fierstein ) , a theatrical makeup artist , and emerges as euphegenia doubtfire , a matronly 65-year-old englishwoman . 	he turns to his brother frank ( harvey fierstein ) , a theatrical makeup artist , and emerges as euphegenia doubtfire , a matronly 65-year-old englishwoman .	1	-2	 he[0] turns[0] to[0] his[0] brother[0] frank[0] harvey[0] fierstein[0] a[0] theatrical[0] makeup[0] artist[0] and[0] emerges[0] as[0] euphegenia[0] doubtfire[-1] a[0] matronly[0] 65[0] year[0] old[0] englishwoman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
