 " if there's a beast in men , it meets its match in women , too . " 	Translation	Positive	Negative	EmotionRationale
starring sarah patterson , angela lansbury , tusse silberg , david warner directed by neil jordan written by jordan and angela carter , from a story by carter cinematography by bryan loftus 	starring sarah patterson , angela lansbury , tusse silberg , david warner directed by neil jordan written by jordan and angela carter , from a story by carter cinematography by bryan loftus	1	-1	 starring[0] sarah[0] patterson[0] angela[0] lansbury[0] tusse[0] silberg[0] david[0] warner[0] directed[0] by[0] neil[0] jordan[0] written[0] by[0] jordan[0] and[0] angela[0] carter[0] from[0] a[0] story[0] by[0] carter[0] cinematography[0] by[0] bryan[0] loftus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in recent years , there has been a trend in the field of fantasy : writers have been revisiting the fertile world of myth and fairy tale and reclaiming that world , investing it with new life and energy . 	in recent years , there has been a trend in the field of fantasy : writers have been revisiting the fertile world of myth and fairy tale and reclaiming that world , investing it with new life and energy .	1	-1	 in[0] recent[0] years[0] there[0] has[0] been[0] a[0] trend[0] in[0] the[0] field[0] of[0] fantasy[0] writers[0] have[0] been[0] revisiting[0] the[0] fertile[0] world[0] of[0] myth[0] and[0] fairy[0] tale[0] and[0] reclaiming[0] that[0] world[0] investing[0] it[0] with[0] new[0] life[0] and[0] energy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in modern times , fairy tales have become disneyfied and debased ; they have become trite adventures involving leering witches , friendly dwarves , and cuddly talking animals . 	in modern times , fairy tales have become disneyfied and debased ; they have become trite adventures involving leering witches , friendly dwarves , and cuddly talking animals .	3	-3	 in[0] modern[0] times[0] fairy[0] tales[0] have[0] become[0] disneyfied[0] and[0] debased[0] they[0] have[0] become[0] trite[-2] adventures[0] involving[0] leering[0] witches[0] friendly[1] dwarves[0] and[0] cuddly[2] talking[0] animals[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but in their original forms , fairy tales have a dark , wicked edge . 	but in their original forms , fairy tales have a dark , wicked edge .	3	-1	 but[0] in[0] their[0] original[0] forms[0] fairy[0] tales[0] have[0] a[0] dark[0] wicked[2] edge[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
crows tear out the eyes of cinderella's sisters , a gorier fate then they receive in the animated version . 	crows tear out the eyes of cinderella's sisters , a gorier fate then they receive in the animated version .	1	-2	 crows[0] tear[-1] out[0] the[0] eyes[0] of[0] cinderella's[0] sisters[0] a[0] gorier[0] fate[0] then[0] they[0] receive[0] in[0] the[0] animated[0] version[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hansel and gretel relish cooking the witch in her own oven . 	hansel and gretel relish cooking the witch in her own oven .	1	-1	 hansel[0] and[0] gretel[0] relish[0] cooking[0] the[0] witch[0] in[0] her[0] own[0] oven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writers have become fascinated by the bloodier , morally ambivalent aspects of fairy tales , and are now modernizing the old stories while simultaneously going back to their roots . 	writers have become fascinated by the bloodier , morally ambivalent aspects of fairy tales , and are now modernizing the old stories while simultaneously going back to their roots .	1	-2	 writers[0] have[0] become[0] fascinated[0] by[0] the[0] bloodier[0] morally[0] ambivalent[-1] aspects[0] of[0] fairy[0] tales[0] and[0] are[0] now[0] modernizing[0] the[0] old[0] stories[0] while[0] simultaneously[0] going[0] back[0] to[0] their[0] roots[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
before this trend was in vogue , angela carter--whose stories always have a dark , wicked , subversive edge--had been reinventing fairy tales for years . 	before this trend was in vogue , angela carter-whose stories always have a dark , wicked , subversive edge-had been reinventing fairy tales for years .	3	-1	 before[0] this[0] trend[0] was[0] in[0] vogue[0] angela[0] carter[0] whose[0] stories[0] always[0] have[0] a[0] dark[0] wicked[2] subversive[0] edge[0] had[0] been[0] reinventing[0] fairy[0] tales[0] for[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the company of wolves , she and neil jordan retell the story of red riding hood , enlivening it with werewolves , rolls royces , and a visit from satan . 	in the company of wolves , she and neil jordan retell the story of red riding hood , enlivening it with werewolves , rolls royces , and a visit from satan .	1	-3	 in[0] the[0] company[0] of[0] wolves[0] she[0] and[0] neil[0] jordan[0] retell[0] the[0] story[0] of[0] red[0] riding[0] hood[0] enlivening[0] it[0] with[0] werewolves[0] rolls[0] royces[0] and[0] a[0] visit[0] from[0] satan[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is structured as a dream , occurring in the mind of rosaleen ( sarah patterson ) , an adolescent girl about whose 'real' life we learn very little . 	the story is structured as a dream , occurring in the mind of rosaleen ( sarah patterson ) , an adolescent girl about whose 'real' life we learn very little .	1	-1	 the[0] story[0] is[0] structured[0] as[0] a[0] dream[0] occurring[0] in[0] the[0] mind[0] of[0] rosaleen[0] sarah[0] patterson[0] an[0] adolescent[0] girl[0] about[0] whose[0] 'real'[0] life[0] we[0] learn[0] very[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
within the dream , there are a number of inset stories , most told by dream-rosaleen's grandmother ( angela lansbury ) , and these tales gloss the central story in intriguing , suggestive ways . 	within the dream , there are a number of inset stories , most told by dream-rosaleen's grandmother ( angela lansbury ) , and these tales gloss the central story in intriguing , suggestive ways .	1	-1	 within[0] the[0] dream[0] there[0] are[0] a[0] number[0] of[0] inset[0] stories[0] most[0] told[0] by[0] dream[0] rosaleen's[0] grandmother[0] angela[0] lansbury[0] and[0] these[0] tales[0] gloss[0] the[0] central[0] story[0] in[0] intriguing[0] suggestive[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is a surprisingly successful example of a sinister , contemporary fairy tale . 	the result is a surprisingly successful example of a sinister , contemporary fairy tale .	3	-4	 the[0] result[0] is[0] a[0] surprisingly[0] successful[2] example[0] of[0] a[0] sinister[-3] contemporary[0] fairy[0] tale[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i say " surprisingly " because there are so many ways this film could have gone wrong . 	i say " surprisingly " because there are so many ways this film could have gone wrong .	1	-2	 i[0] say[0] surprisingly[0] because[0] there[0] are[0] so[0] many[0] ways[0] this[0] film[0] could[0] have[0] gone[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and there are ways in which it does . 	and there are ways in which it does .	1	-1	 and[0] there[0] are[0] ways[0] in[0] which[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances are mediocre , except for lansbury's--she finds the right note for the prim , apple-cheeked granny , the wise and stern teller of cautionary tales . 	the performances are mediocre , except for lansbury's-she finds the right note for the prim , apple-cheeked granny , the wise and stern teller of cautionary tales .	1	-2	 the[0] performances[0] are[0] mediocre[-1] except[0] for[0] lansbury's[0] she[0] finds[0] the[0] right[0] note[0] for[0] the[0] prim[0] apple[0] cheeked[0] granny[0] the[0] wise[0] and[0] stern[-1] teller[0] of[0] cautionary[0] tales[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the soundtrack , synth-heavy , reminded me of bad 80s horror movies , as did the special effects in the shapechanging scenes . 	the soundtrack , synth-heavy , reminded me of bad 80s horror movies , as did the special effects in the shapechanging scenes .	2	-4	 the[0] soundtrack[0] synth[0] heavy[0] reminded[0] me[0] of[0] bad[-1] 80s[0] horror[-3] movies[0] as[0] did[0] the[0] special[1] effects[0] in[0] the[0] shapechanging[0] scenes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
probably state-of-the-art at the time , they are now laughable . 	probably state-of-the-art at the time , they are now laughable .	1	-2	 probably[0] state[0] of[0] the[0] art[0] at[0] the[0] time[0] they[0] are[0] now[0] laughable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
