what surprises me most about the long-awaited batman is that the movie centers not on the caped crusader but on the joker . 	Translation	Positive	Negative	EmotionRationale
the dark knight actually has less screen time than his homicidal arch nemesis ! 	the dark knight actually has less screen time than his homicidal arch nemesis !	1	-1	 the[0] dark[0] knight[0] actually[0] has[0] less[0] screen[0] time[0] than[0] his[0] homicidal[0] arch[0] nemesis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can hear batfans everywhere protesting : " first they had the nerve to cast michael keaton as batman , and now they think they can get away with making him second banana to the joker ! ! " 	i can hear batfans everywhere protesting : " first they had the nerve to cast michael keaton as batman , and now they think they can get away with making him second banana to the joker !<br> !<br> "	2	-2	 i[0] can[0] hear[0] batfans[0] everywhere[0] protesting[-1] first[0] they[0] had[0] the[0] nerve[0] to[0] cast[0] michael[0] keaton[0] as[0] batman[0] and[0] now[0] they[0] think[0] they[0] can[0] get[0] away[0] with[0] making[0] him[0] second[0] banana[0] to[0] the[0] joker[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , indeed , this situation would have been altogether inappropriate and intolerable were it not for the fact that someone at warner brothers had the savvy to cast jack nicholson in the role he was born to play . 	and , indeed , this situation would have been altogether inappropriate and intolerable were it not for the fact that someone at warner brothers had the savy to cast jack nicholson in the role he was born to play .	1	-4	 and[0] indeed[0] this[0] situation[0] would[0] have[0] been[0] altogether[0] inappropriate[0] and[0] intolerable[-3] were[0] it[0] not[0] for[0] the[0] fact[0] that[0] someone[0] at[0] warner[0] brothers[0] had[0] the[0] savvy/savy[0] to[0] cast[0] jack[0] nicholson[0] in[0] the[0] role[0] he[0] was[0] born[0] to[0] play[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
nicholson deserves the top billing he is receiving in the posters and opening credits since his astounding , oscar-worthy performance as the joker is the highlight of batman . 	nicholson deserves the top billing he is receiving in the posters and opening credits since his astounding , oscar-worthy performance as the joker is the highlight of batman .	2	-1	 nicholson[0] deserves[0] the[0] top[0] billing[0] he[0] is[0] receiving[0] in[0] the[0] posters[0] and[0] opening[0] credits[0] since[0] his[0] astounding[0] oscar[0] worthy[0] performance[0] as[0] the[0] joker[1] is[0] the[0] highlight[0] of[0] batman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nicholson shows no inhibition or shame as he pulls out all the stops to create a joker that makes cesar romero look like bozo the clown ( romero played the joker in the '60s tv series ) . 	nicholson shows no inhibition or shame as he pulls out all the stops to create a joker that makes cesar romero look like bozo the clown ( romero played the joker in the '60s tv series ) .	2	-3	 nicholson[0] shows[0] no[0] inhibition[-1] or[0] shame[-2] as[0] he[0] pulls[0] out[0] all[0] the[0] stops[0] to[0] create[0] a[0] joker[1] that[0] makes[0] cesar[0] romero[0] look[0] like[1] bozo[0] the[0] clown[0] romero[0] played[0] the[0] joker[1] in[0] the[0] '60s[0] tv[0] series[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
on one hand , nicholson's joker is extremely funny . 	on one hand , nicholson's joker is extremely funny .	4	-1	 on[0] one[0] hand[0] nicholson's[0] joker[1] is[0] extremely[0] funny[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his murderous escapades and manic outbursts ( which include defacing paintings in an art museum and invading the television airwaves with hilarious pirate broadcasts ) bring humor and laughter into an otherwise dark film . 	his murderous escapades and manic outbursts ( which include defacing paintings in an art museum and invading the television airwaves with hilarious pirate broadcasts ) bring humor and laughter into an otherwise dark film .	3	-4	 his[0] murderous[-3] escapades[0] and[0] manic[0] outbursts[-1] which[0] include[0] defacing[0] paintings[0] in[0] an[0] art[0] museum[0] and[0] invading[0] the[0] television[0] airwaves[0] with[0] hilarious[2] pirate[0] broadcasts[0] bring[0] humor[2] and[0] laughter[1] into[0] an[0] otherwise[0] dark[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but on the other hand , his outwardly jovial disposition is only a mask for his intense contempt for all of mankind . 	but on the other hand , his outwardly jovial disposition is only a mask for his intense contempt for all of mankind .	1	-4	 but[0] on[0] the[0] other[0] hand[0] his[0] outwardly[0] jovial[0] disposition[0] is[0] only[0] a[0] mask[0] for[0] his[0] intense[0] contempt[-3] for[0] all[0] of[0] mankind[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the joker's cruelty and demented , diabolical nature are truly frightening and sinister . 	the joker's cruelty and demented , diabolical nature are truly frightening and sinister .	2	-4	 the[0] joker's[1] cruelty[-3] and[0] demented[0] diabolical[-1] nature[0] are[0] truly[1] frightening[-3] and[0] sinister[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this guy is off his rocker , and he not only knows it , he flaunts it ! 	this guy is off his rocker , and he not only knows it , he flaunts it !	1	-1	 this[0] guy[0] is[0] off[0] his[0] rocker[0] and[0] he[0] not[0] only[0] knows[0] it[0] he[0] flaunts[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but enough about nicholson as the joker : i'm sure most people are wondering about michael keaton as batman . 	but enough about nicholson as the joker : i'm sure most people are wondering about michael keaton as batman .	2	-1	 but[0] enough[0] about[0] nicholson[0] as[0] the[0] joker[1] i'm[0] sure[0] most[0] people[0] are[0] wondering[0] about[0] michael[0] keaton[0] as[0] batman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like many , i was outraged when warner brothers announced that keaton had been cast as the caped crusader . 	like many , i was outraged when warner brothers announced that keaton had been cast as the caped crusader .	2	-3	 like[1] many[0] i[0] was[0] outraged[-2] when[0] warner[0] brothers[0] announced[0] that[0] keaton[0] had[0] been[0] cast[0] as[0] the[0] caped[0] crusader[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but batfans need not worry because holy unconventional casting ! 	but batfans need not worry because holy unconventional casting !	4	-1	 but[0] batfans[0] need[0] not[0] worry[-3][NegatedDueToPreviousWord] because[0] holy[0] unconventional[0] casting[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
keaton delivers . 	keaton delivers .	1	-1	 keaton[0] delivers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is convincing as the tormented millionaire , bruce wayne , and beneath his hard , black body armor , he is mysterious and formidable as the batman . 	he is convincing as the tormented millionaire , bruce wayne , and beneath his hard , black body armor , he is mysterious and formidable as the batman .	1	-2	 he[0] is[0] convincing[0] as[0] the[0] tormented[0] millionaire[0] bruce[0] wayne[0] and[0] beneath[0] his[0] hard[0] black[0] body[0] armor[0] he[0] is[0] mysterious[0] and[0] formidable[-1] as[0] the[0] batman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though the screenplay only halfheartedly attempts to develop the character , keaton manages to give hints of the inner turmoil and emotional rage that drive wayne to don his bat gear and battle the low life scum of gotham city . 	even though the screenplay only halfheartedly attempts to develop the character , keaton manages to give hints of the inner turmoil and emotional rage that drive wayne to don his bat gear and battle the low life scum of gotham city .	1	-4	 even[0] though[0] the[0] screenplay[0] only[0] halfheartedly[0] attempts[0] to[0] develop[0] the[0] character[0] keaton[0] manages[0] to[0] give[0] hints[0] of[0] the[0] inner[0] turmoil[-2] and[0] emotional[-1] rage[-3] that[0] drive[0] wayne[0] to[0] don[0] his[0] bat[0] gear[0] and[0] battle[-1] the[0] low[-1] life[0] scum[-2] of[0] gotham[0] city[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
visually , batman is a knockout nothing short of a triumph for director tim burton and his production team . 	visually , batman is a knockout nothing short of a triumph for director tim burton and his production team .	3	-1	 visually[0] batman[0] is[0] a[0] knockout[0] nothing[0] short[0] of[0] a[0] triumph[2] for[0] director[0] tim[0] burton[0] and[0] his[0] production[0] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie successfully captures the film noir look and bleak , gloomy atmosphere of such batman comic books as " the dark knight returns " and " the killing joke . " 	the movie successfully captures the film noir look and bleak , gloomy atmosphere of such batman comic books as " the dark knight returns " and " the killing joke .<br> "	3	-3	 the[0] movie[0] successfully[2] captures[-1] the[0] film[0] noir[0] look[0] and[0] bleak[-1] gloomy[-2] atmosphere[0] of[0] such[0] batman[0] comic[0] books[0] as[0] the[0] dark[0] knight[0] returns[0] and[0] the[0] killing[-1] joke[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
burton's film is a feast for the eyes ; the  35 million budget is definitely on the screen . 	burton's film is a feast for the eyes ; the  35 million budget is definitely on the screen .	1	-1	 burton's[0] film[0] is[0] a[0] feast[0] for[0] the[0] eyes[0] the[0] 35[0] million[0] budget[0] is[0] definitely[0] on[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sets , costumes , and make-up are stunning and worthy of oscar nominations . 	the sets , costumes , and make-up are stunning and worthy of oscar nominations .	1	-1	 the[0] sets[0] costumes[0] and[0] make[0] up[0] are[0] stunning[0] and[0] worthy[0] of[0] oscar[0] nominations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicholson isn't joking when he boasts , " wait 'till they get a load of me ! " 	nicholson isn't joking when he boasts , " wait 'till they get a load of me !<br> "	1	-3	 nicholson[0] isn't[0] joking[2][NegatedDueToPreviousWord] when[0] he[0] boasts[-1] wait[0] 'till[0] they[0] get[0] a[0] load[0] of[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his grimacing smile , green hair , and purple suits over orange shirts are colorful and outrageous . 	his grimacing smile , green hair , and purple suits over orange shirts are colorful and outrageous .	3	-3	 his[0] grimacing[-2] smile[2] green[0] hair[0] and[0] purple[0] suits[0] over[0] orange[0] shirts[0] are[0] colorful[0] and[0] outrageous[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
keaton's wardrobe is equally appropriate . 	keaton's wardrobe is equally appropriate .	1	-1	 keaton's[0] wardrobe[0] is[0] equally[0] appropriate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
batman's cape , mask , and body armor make him look threatening , frightening , and invincible bringing to mind not adam west's campy costume in the tv series but peter weir's outfit in robocop . 	batman's cape , mask , and body armor make him look threatening , frightening , and invincible bringing to mind not adam west's campy costume in the tv series but peter weir's outfit in robocop .	1	-5	 batman's[0] cape[0] mask[0] and[0] body[0] armor[0] make[0] him[0] look[0] threatening[-2] frightening[-3][-1 MultiplePositiveWords] and[0] invincible[0] bringing[0] to[0] mind[0] not[0] adam[0] west's[0] campy[0] costume[0] in[0] the[0] tv[0] series[0] but[0] peter[0] weir's[0] outfit[0] in[0] robocop[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
production designer anton furst's sets are a wonder . 	production designer anton furst's sets are a wonder .	1	-1	 production[0] designer[0] anton[0] furst's[0] sets[0] are[0] a[0] wonder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gotham city is dark and foreboding , almost as if it were an expressionist vision of new york . 	gotham city is dark and foreboding , almost as if it were an expressionist vision of new york .	1	-2	 gotham[0] city[0] is[0] dark[0] and[0] foreboding[-1] almost[0] as[0] if[0] it[0] were[0] an[0] expressionist[0] vision[0] of[0] new[0] york[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the batcave is cold , bare , and desolate . 	the batcave is cold , bare , and desolate .	1	-2	 the[0] batcave[0] is[0] cold[-1] bare[0] and[0] desolate[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the world that burton and furst have created in batman is a melancholy nightmare of violence and corruption . 	the world that burton and furst have created in batman is a melancholy nightmare of violence and corruption .	1	-4	 the[0] world[0] that[0] burton[0] and[0] furst[0] have[0] created[0] in[0] batman[0] is[0] a[0] melancholy[-3] nightmare[-2][-1 MultiplePositiveWords] of[0] violence[-3] and[0] corruption[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie's gritty bladerunner/robocop look is a joy to behold . 	the movie's gritty bladerunner/robocop look is a joy to behold .	3	-1	 the[0] movie's[0] gritty[0] bladerunner/robocop[0] look[0] is[0] a[0] joy[2] to[0] behold[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plot , on the other hand , is not as rousing . 	the plot , on the other hand , is not as rousing .	1	-1	 the[0] plot[0] on[0] the[0] other[0] hand[0] is[0] not[0] as[0] rousing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the screenplay is not up to snuff in comparison to the stylized sets and superb acting . 	the screenplay is not up to snuff in comparison to the stylized sets and superb acting .	1	-1	 the[0] screenplay[0] is[0] not[0] up[0] to[0] snuff[0] in[0] comparison[0] to[0] the[0] stylized[0] sets[0] and[0] superb[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it takes forever for what little story there is to finally kick into gear . 	it takes forever for what little story there is to finally kick into gear .	1	-2	 it[0] takes[0] forever[0] for[0] what[0] little[0] story[0] there[0] is[0] to[0] finally[0] kick[-1] into[0] gear[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
batman tries to walk a thin line between action and character psychology , but it fails to give us enough of either one . 	batman tries to walk a thin line between action and character psychology , but it fails to give us enough of either one .	1	-3	 batman[0] tries[0] to[0] walk[0] a[0] thin[0] line[0] between[0] action[0] and[0] character[0] psychology[0] but[0] it[0] fails[-2] to[0] give[0] us[0] enough[0] of[0] either[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as i mentioned earlier , the screenplay gives us plenty of the joker , but it never fully establishes batman's psychological motives and underpinnings . 	as i mentioned earlier , the screenplay gives us plenty of the joker , but it never fully establishes batman's psychological motives and underpinnings .	2	-1	 as[0] i[0] mentioned[0] earlier[0] the[0] screenplay[0] gives[0] us[0] plenty[0] of[0] the[0] joker[1] but[0] it[0] never[0] fully[0] establishes[0] batman's[0] psychological[0] motives[0] and[0] underpinnings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in terms of action , batman is not as thrilling as you might expect . 	in terms of action , batman is not as thrilling as you might expect .	1	-4	 in[0] terms[0] of[0] action[0] batman[0] is[0] not[0] as[0] thrilling[3][NegatedDueToPreviousWord] as[0] you[0] might[0] expect[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
burton seems more concerned with the visual and dramatic elements of the story . 	burton seems more concerned with the visual and dramatic elements of the story .	1	-2	 burton[0] seems[0] more[0] concerned[-1] with[0] the[0] visual[0] and[0] dramatic[0] elements[0] of[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
more than anything , batman is a mood film . 	more than anything , batman is a mood film .	1	-1	 more[0] than[0] anything[0] batman[0] is[0] a[0] mood[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while batman may not completely absorb and excite you , it will likely impress you with its success at bringing to life the style and spirit of the batman comic books . 	while batman may not completely absorb and excite you , it will likely impress you with its success at bringing to life the style and spirit of the batman comic books .	3	-1	 while[0] batman[0] may[0] not[0] completely[0] absorb[0] and[0] excite[2] you[0] it[0] will[0] likely[0] impress[1] you[0] with[0] its[0] success[2] at[0] bringing[0] to[0] life[0] the[0] style[0] and[0] spirit[0] of[0] the[0] batman[0] comic[0] books[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
