not since 1996's shine , which starred geoffrey rush as pianist david helfgott , has a movie so defiantly laid bare the lives of world-class musicians . 	Translation	Positive	Negative	EmotionRationale
in fact , if one were to watch these films together , it would almost certainly stand as a convincing argument that a life of music naturally leads to all varieties of social ills . 	in fact , if one were to watch these films together , it would almost certainly stand as a convincing argument that a life of music naturally leads to all varieties of social ills .	1	-2	 in[0] fact[0] if[0] one[0] were[0] to[0] watch[0] these[0] films[0] together[0] it[0] would[0] almost[0] certainly[0] stand[0] as[0] a[0] convincing[0] argument[-1] that[0] a[0] life[0] of[0] music[0] naturally[0] leads[0] to[0] all[0] varieties[0] of[0] social[0] ills[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet hilary and jackie , the sophomore effort from director anand tucker , has something more to say -- it softly but strongly explores the complex relationships of sibling rivalry and love in a very compelling tale . 	yet hilary and jackie , the sophomore effort from director anand tucker , has something more to say - it softly but strongly explores the complex relationships of sibling rivalry and love in a very compelling tale .	3	-2	 yet[0] hilary[0] and[0] jackie[0] the[0] sophomore[0] effort[0] from[0] director[0] anand[0] tucker[0] has[0] something[0] more[0] to[0] say[0] it[0] softly[0] but[0] strongly[0] explores[0] the[0] complex[0] relationships[0] of[0] sibling[0] rivalry[-1] and[0] love[2] in[0] a[0] very[0] compelling[0] tale[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
emily watson and rachel griffiths are the leads in this tale , playing the sisters du pr ? . 	emily watson and rachel griffiths are the leads in this tale , playing the sisters du pr ?<br> .	2	-1	 emily[0] watson[0] and[0] rachel[0] griffiths[0] are[0] the[0] leads[0] in[0] this[0] tale[0] playing[1] the[0] sisters[0] du[0] pr[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both musicians from childhood , hilary ( griffiths ) is renowned flutist while jacqueline ( watson ) is easily as skilled on the cello . 	both musicians from childhood , hilary ( griffiths ) is renowned flutist while jacqueline ( watson ) is easily as skilled on the cello .	1	-1	 both[0] musicians[0] from[0] childhood[0] hilary[0] griffiths[0] is[0] renowned[0] flutist[0] while[0] jacqueline[0] watson[0] is[0] easily[0] as[0] skilled[0] on[0] the[0] cello[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two comepete for and win many honors as children and as young women , both together and seperate . 	the two comepete for and win many honors as children and as young women , both together and seperate .	1	-1	 the[0] two[0] comepete[0] for[0] and[0] win[0] many[0] honors[0] as[0] children[0] and[0] as[0] young[0] women[0] both[0] together[0] and[0] seperate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their careers as musicians surpass and then bow to one another's , and although their lives take very different paths -- hilary settles down to marriage and a family while rachel skips across the globe on a world concert tour -- they are bound together by their deep family love . 	their careers as musicians surpass and then bow to one another's , and although their lives take very different paths - hilary settles down to marriage and a family while rachel skips across the globe on a world concert tour - they are bound together by their deep family love .	3	-1	 their[0] careers[0] as[0] musicians[0] surpass[0] and[0] then[0] bow[0] to[0] one[0] another's[0] and[0] although[0] their[0] lives[0] take[0] very[0] different[0] paths[0] hilary[0] settles[0] down[0] to[0] marriage[0] and[0] a[0] family[0] while[0] rachel[0] skips[0] across[0] the[0] globe[0] on[0] a[0] world[0] concert[0] tour[0] they[0] are[0] bound[0] together[0] by[0] their[0] deep[0] family[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the performances of watson and griffiths are excellent in style and substance . 	the performances of watson and griffiths are excellent in style and substance .	4	-1	 the[0] performances[0] of[0] watson[0] and[0] griffiths[0] are[0] excellent[3] in[0] style[0] and[0] substance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they contrast each other wonderfully , and while watson's portrayal of jackie du pr ? is at times eccentric and perhaps unsympathetic , both characters are charged with emotion . 	they contrast each other wonderfully , and while watson's portrayal of jackie du pr ?<br> is at times eccentric and perhaps unsympathetic , both characters are charged with emotion .	3	-2	 they[0] contrast[0] each[0] other[0] wonderfully[2] and[0] while[0] watson's[0] portrayal[0] of[0] jackie[0] du[0] pr[0] [[Sentence=-1,3=word max, 1-5]] is[0] at[0] times[0] eccentric[-1] and[0] perhaps[0] unsympathetic[0] both[0] characters[0] are[0] charged[-1] with[0] emotion[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
the frank cottrell boyce script , which is based on the book by hilary and piers du pr ? , brings a great deal of depth to these characters as well . 	the frank cottrell boyce script , which is based on the book by hilary and piers du pr ?<br> , brings a great deal of depth to these characters as well .	3	-1	 the[0] frank[0] cottrell[0] boyce[0] script[0] which[0] is[0] based[0] on[0] the[0] book[0] by[0] hilary[0] and[0] piers[0] du[0] pr[0] [[Sentence=-1,1=word max, 1-5]] brings[0] a[0] great[2] deal[0] of[0] depth[0] to[0] these[0] characters[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script is also to be commended for its well-polished dual nature . 	the script is also to be commended for its well-polished dual nature .	1	-1	 the[0] script[0] is[0] also[0] to[0] be[0] commended[0] for[0] its[0] well[0] polished[0] dual[0] nature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
