a miracle of filmmaking , " some like it hot " is a brilliant film , and maybe the foremost example of slapstick comedy brought to screen with clever sight gags and plot twists . 	Translation	Positive	Negative	EmotionRationale
it is the pinnacle of writer-director billy wilder's career , a stunning feat considering the vast catalogue of films he had helped make . 	it is the pinnacle of writer-director billy wilder's career , a stunning feat considering the vast catalogue of films he had helped make .	1	-1	 it[0] is[0] the[0] pinnacle[0] of[0] writer[0] director[0] billy[0] wilder's[0] career[0] a[0] stunning[0] feat[0] considering[0] the[0] vast[0] catalogue[0] of[0] films[0] he[0] had[0] helped[0] make[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jerry ( lemmon ) and joe ( curtis ) are two stage musicians who go from gig to gig , trying to earn enough money to feed themselves . 	jerry ( lemon ) and joe ( curtis ) are two stage musicians who go from gig to gig , trying to earn enough money to feed themselves .	1	-1	 jerry[0] lemmon/lemon[0] and[0] joe[0] curtis[0] are[0] two[0] stage[0] musicians[0] who[0] go[0] from[0] gig[0] to[0] gig[0] trying[0] to[0] earn[0] enough[0] money[0] to[0] feed[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one night , as they're playing at a banned prohibition speakeasy , the place is raided . 	one night , as they're playing at a banned prohibition speakeasy , the place is raided .	2	-2	 one[0] night[0] as[0] they're[0] playing[1] at[0] a[0] banned[0] prohibition[-1] speakeasy[0] the[0] place[0] is[0] raided[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as it turns out , the owner , spats columbo ( george raft ) was ratted out by toothpick charlie ( george e . stone ) . 	as it turns out , the owner , spats columbo ( george raft ) was rated out by toothpick charlie ( george e .<br> stone ) .	1	-1	 as[0] it[0] turns[0] out[0] the[0] owner[0] spats[0] columbo[0] george[0] raft[0] was[0] ratted/rated[0] out[0] by[0] toothpick[0] charlie[0] george[0] e[0] [[Sentence=-1,1=word max, 1-5]] stone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
several weeks later , on valentine's day , jerry and joe go to a garage to pick up a car and end up witnessing a gangland murder of charlie by columbo in a parking garage . 	several weeks later , on valentine's day , jerry and joe go to a garage to pick up a car and end up witnessing a gangland murder of charlie by columbo in a parking garage .	1	-4	 several[0] weeks[0] later[0] on[0] valentine's[0] day[0] jerry[0] and[0] joe[0] go[0] to[0] a[0] garage[0] to[0] pick[0] up[0] a[0] car[0] and[0] end[0] up[0] witnessing[0] a[0] gangland[0] murder[-3] of[0] charlie[0] by[0] columbo[0] in[0] a[0] parking[0] garage[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
eager to escape , the duo are forced to take a job in florida with all expenses paid . 	eager to escape , the duo are forced to take a job in florida with all expenses paid .	1	-1	 eager[0] to[0] escape[0] the[0] duo[0] are[0] forced[0] to[0] take[0] a[0] job[0] in[0] florida[0] with[0] all[0] expenses[0] paid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only catch . . its a girls band . 	the only catch .<br> .<br> its a girls band .	1	-1	 the[0] only[0] catch[0] [[Sentence=-1,1=word max, 1-5]] its[0] a[0] girls[0] band[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so josephine ( curtis ) and daphne ( lemmon ) , make their way onto the train and go to florida . 	so josephine ( curtis ) and daphne ( lemon ) , make their way onto the train and go to florida .	1	-1	 so[0] josephine[0] curtis[0] and[0] daphne[0] lemmon/lemon[0] make[0] their[0] way[0] onto[0] the[0] train[0] and[0] go[0] to[0] florida[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the way there , they meet sugar kane ( monroe ) , a bombshell singer who is looking for love . 	on the way there , they meet sugar kane ( monroe ) , a bombshell singer who is looking for love .	3	-2	 on[0] the[0] way[0] there[0] they[0] meet[0] sugar[0] kane[0] monroe[0] a[0] bombshell[-1] singer[0] who[0] is[0] looking[0] for[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
jerry and joe immediately fall for the singer , but there's two problems : 1 ) they're in drag , and 2 ) millionaire osgood fielding ( joe e . brown ) falls madly in love with daphne . 	jerry and joe immediately fall for the singer , but there's two problems : 1 ) they're in drag , and 2 ) millionaire osgood fielding ( joe e .<br> brown ) falls madly in love with daphne .	3	-2	 jerry[0] and[0] joe[0] immediately[0] fall[0] for[0] the[0] singer[0] but[0] there's[0] two[0] problems[-1] 1[0] they're[0] in[0] drag[-1] and[0] 2[0] millionaire[0] osgood[0] fielding[0] joe[0] e[0] [[Sentence=-2,1=word max, 1-5]] brown[0] falls[0] madly[1] in[0] love[2] with[0] daphne[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
what follows in pure hysteria , still complicated further by the arrival of spats columbo to florida for the " italian opera lovers festival " . 	what follows in pure hysteria , still complicated further by the arrival of spats columbo to florida for the " italian opera lovers festival " .	4	-2	 what[0] follows[0] in[0] pure[0] hysteria[-1] still[0] complicated[-1] further[0] by[0] the[0] arrival[0] of[0] spats[0] columbo[0] to[0] florida[0] for[0] the[0] italian[0] opera[0] lovers[3] festival[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
tony curtis is hysterical as joe/josephine , especially in his preposterous attempts to woo sugar . 	tony curtis is hysterical as joe/josephine , especially in his preposterous attempts to woo sugar .	1	-2	 tony[0] curtis[0] is[0] hysterical[-1] as[0] joe/josephine[0] especially[0] in[0] his[0] preposterous[-1] attempts[0] to[0] woo[0] sugar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
marilyn monroe , in a wonderfully comic performance , is sugar , providing incredible timing and sex appeal , along with true sincerity . 	marilyn monroe , in a wonderfully comic performance , is sugar , providing incredible timing and sex appeal , along with true sincerity .	3	-1	 marilyn[0] monroe[0] in[0] a[0] wonderfully[2] comic[0] performance[0] is[0] sugar[0] providing[0] incredible[0] timing[0] and[0] sex[0] appeal[0] along[0] with[0] true[1] sincerity[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the scenes , however , are all stolen by either brown or lemmon . 	the scenes , however , are all stolen by either brown or lemon .	1	-2	 the[0] scenes[0] however[0] are[0] all[0] stolen[-1] by[0] either[0] brown[0] or[0] lemmon/lemon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lemmon is hysterical as daphne . 	lemon is hysterical as daphne .	1	-2	 lemmon/lemon[0] is[0] hysterical[-1] as[0] daphne[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cast as the less rational one , lemmon's performance is ridiculously crazy , it is disorder in the style all billy wilder's . 	cast as the less rational one , lemmon's performance is ridiculously crazy , it is disorder in the style all billy wilder's .	1	-3	 cast[0] as[0] the[0] less[0] rational[0] one[0] lemmon's[0] performance[0] is[0] ridiculously[-2] crazy[-1] it[0] is[0] disorder[-1] in[0] the[0] style[0] all[0] billy[0] wilder's[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
brown is particularly hilarious as osgood , as we are treated to the finest kind of comedic irony . 	brown is particularly hilarious as osgood , as we are treated to the finest kind of comedic irony .	3	-2	 brown[0] is[0] particularly[0] hilarious[2] as[0] osgood[0] as[0] we[0] are[0] treated[0] to[0] the[0] finest[0] kind[1] of[0] comedic[0] irony[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he manages to use lemmon's ingenious performance as a springboard for an even loonier performance as a completely eccentric millionaire . 	he manages to use lemmon's ingenious performance as a springboard for an even loonier performance as a completely eccentric millionaire .	1	-3	 he[0] manages[0] to[0] use[0] lemmon's[0] ingenious[0] performance[0] as[0] a[0] springboard[0] for[0] an[0] even[0] loonier[0] performance[0] as[0] a[0] completely[0] eccentric[-1][-1 LastWordBoosterStrength] millionaire[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
every set-piece is flawless , as wilder brilliantly changes settings constantly , and uses every comic trick in the book to make his picture . 	every set-piece is flawless , as wilder brilliantly changes settings constantly , and uses every comic trick in the book to make his picture .	2	-2	 every[0] set[0] piece[0] is[0] flawless[1] as[0] wilder[0] brilliantly[1] changes[0] settings[0] constantly[0] and[0] uses[0] every[0] comic[0] trick[-1] in[0] the[0] book[0] to[0] make[0] his[0] picture[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wilder's script is stunning , as he carefully combines gangsters , cross-dressing , romance , sex , music , gender roles , and social taboos in a riotous blend of wit and oddball craziness . 	wilder's script is stunning , as he carefully combines gangsters , cross-dressing , romance , sex , music , gender roles , and social taboos in a riotous blend of wit and oddball craziness .	4	-2	 wilder's[0] script[0] is[0] stunning[0] as[0] he[0] carefully[0] combines[0] gangsters[0] cross[-1] dressing[0] romance[3] sex[0] music[0] gender[0] roles[0] and[0] social[0] taboos[-1] in[0] a[0] riotous[0] blend[0] of[0] wit[0] and[0] oddball[0] craziness[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
