airplane ! is considered among many to be the epitome of satire film-making . 	Translation	Positive	Negative	EmotionRationale
after all , it's brought to us by one of the best known satire writing/directing teams . 	after all , it's brought to us by one of the best known satire writing/directing teams .	2	-1	 after[0] all[0] it's[0] brought[0] to[0] us[0] by[0] one[0] of[0] the[0] best[1] known[0] satire[0] writing/directing[0] teams[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even if most people don't recognize the names behind the films , they are bound to recognize the titles : airplane ! , top secret , the naked gun , and hot shots to name a few . 	even if most people don't recognize the names behind the films , they are bound to recognize the titles : airplane !<br> , top secret , the naked gun , and hot shots to name a few .	1	-2	 even[0] if[0] most[0] people[0] don't[0] recognize[0] the[0] names[0] behind[0] the[0] films[0] they[0] are[0] bound[0] to[0] recognize[0] the[0] titles[0] airplane[0] [[Sentence=-1,1=word max, 1-5]] top[0] secret[0] the[0] naked[0] gun[-1] and[0] hot[0] shots[0] to[0] name[0] a[0] few[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but although the zucker/abrahams/zucker team was first introduced with the kentucky fried movie in 1977 , airplane ! 	but although the zucker/abrahams/zucker team was first introduced with the kentucky fried movie in 1977 , airplane !	1	-1	 but[0] although[0] the[0] zucker/abrahams/zucker[0] team[0] was[0] first[0] introduced[0] with[0] the[0] kentucky[0] fried[0] movie[0] in[0] 1977[0] airplane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remains the true cornerstone of their work , and their directorial debuts . 	remains the true cornerstone of their work , and their directorial debuts .	2	-1	 remains[0] the[0] true[1] cornerstone[0] of[0] their[0] work[0] and[0] their[0] directorial[0] debuts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the seventies , disaster films seemed to be at an all time high . 	in the seventies , disaster films seemed to be at an all time high .	1	-2	 in[0] the[0] seventies[0] disaster[-1] films[0] seemed[0] to[0] be[0] at[0] an[0] all[0] time[0] high[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
films like earthquake , the towering inferno , and the poseidon adventure were big hits . 	films like earthquake , the towering inferno , and the poseidon adventure were big hits .	2	-1	 films[0] like[1] earthquake[0] the[0] towering[0] inferno[0] and[0] the[0] poseidon[0] adventure[0] were[0] big[0] hits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there was also a series about the disasters that can arise when traveling by plane - a series that spanned the entire decade . 	there was also a series about the disasters that can arise when traveling by plane - a series that spanned the entire decade .	1	-2	 there[0] was[0] also[0] a[0] series[0] about[0] the[0] disasters[-1] that[0] can[0] arise[0] when[0] traveling[0] by[0] plane[0] a[0] series[0] that[0] spanned[0] the[0] entire[0] decade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and so , in 1980 , we were introduced to a new airplane disaster film . 	and so , in 1980 , we were introduced to a new airplane disaster film .	1	-2	 and[0] so[0] in[0] 1980[0] we[0] were[0] introduced[0] to[0] a[0] new[0] airplane[0] disaster[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time the disaster had nothing to do with a maniacal hijacker or crashing into the ocean . 	this time the disaster had nothing to do with a maniacal hijacker or crashing into the ocean .	1	-3	 this[0] time[0] the[0] disaster[-1] had[0] nothing[0] to[0] do[0] with[0] a[0] maniacal[-2] hijacker[-1] or[0] crashing[0] into[0] the[0] ocean[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
it had to do with bad fish . 	it had to do with bad fish .	1	-2	 it[0] had[0] to[0] do[0] with[0] bad[-1] fish[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
