when people are talking about good old times , they actually want to make some bad times look better . 	Translation	Positive	Negative	EmotionRationale
nice example of such behaviour is contemporary attitude of popular media towards the 1970s . 	nice example of such behaviour is contemporary attitude of popular media towards the 1970s .	2	-1	 nice[1] example[0] of[0] such[0] behaviour[0] is[0] contemporary[0] attitude[0] of[0] popular[0] media[0] towards[0] the[0] 1970s[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for new generations , superseventies are the lost golden age of chic fashion , cult tv shows and sexual freedom unchecked by aids . 	for new generations , superseventies are the lost golden age of chic fashion , cult tv shows and sexual freedom unchecked by aids .	1	-1	 for[0] new[0] generations[0] superseventies[0] are[0] the[0] lost[0] golden[0] age[0] of[0] chic[0] fashion[0] cult[0] tv[0] shows[0] and[0] sexual[0] freedom[0] unchecked[0] by[0] aids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for people who actually had to live in that period , it was the gloomy decade , marked by lost ideals of 1968 , rampant inflation and unemployment , international terrorism , fuel crisis and loss of faith in almost anything that previous generation stood for . 	for people who actually had to live in that period , it was the gloomy decade , marked by lost ideals of 1968 , rampant inflation and unemployment , international terrorism , fuel crisis and loss of faith in almost anything that previous generation stood for .	2	-3	 for[0] people[0] who[0] actually[0] had[0] to[0] live[0] in[0] that[0] period[0] it[0] was[0] the[0] gloomy[-2] decade[0] marked[0] by[0] lost[0] ideals[0] of[0] 1968[0] rampant[-1] inflation[-1] and[0] unemployment[0] international[0] terrorism[-2] fuel[0] crisis[-2] and[0] loss[-2] of[0] faith[1] in[0] almost[0] anything[0] that[0] previous[0] generation[0] stood[0] for[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
feelings of despair and nihilism found its reflections in many films of that era . 	feelings of despair and nihilism found its reflections in many films of that era .	1	-4	 feelings[0] of[0] despair[-3] and[0] nihilism[0] found[0] its[0] reflections[0] in[0] many[0] films[0] of[0] that[0] era[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
martin scorsese's taxi driver , which symbolises both the glory and despair of the seventies , is most celebrated of them all . 	martin scorsese's taxi driver , which symbolises both the glory and despair of the seventies , is most celebrated of them all .	2	-4	 martin[0] scorsese's[0] taxi[-1] driver[0] which[0] symbolises[0] both[0] the[0] glory[1] and[0] despair[-3] of[0] the[0] seventies[0] is[0] most[0] celebrated[1] of[0] them[0] all[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie's protagonist is travis bickle ( robert de niro ) , 26-year old former marine who takes the job of taxi driver in new york city because he can't sleep at nights . 	the movie's protagonist is travis bickle ( robert de niro ) , 26-year old former marine who takes the job of taxi driver in new york city because he can't sleep at nights .	1	-2	 the[0] movie's[0] protagonist[0] is[0] travis[0] bickle[0] robert[0] de[0] niro[0] 26[0] year[0] old[0] former[0] marine[0] who[0] takes[0] the[0] job[0] of[0] taxi[-1] driver[0] in[0] new[0] york[0] city[0] because[0] he[0] can't[0] sleep[0] at[0] nights[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the job gets him exposed to the dark side of apocalyptic megalopolis , and travis gradually gets alienated from the rest of world . 	the job gets him exposed to the dark side of apocalyptic megalopolis , and travis gradually gets alienated from the rest of world .	1	-2	 the[0] job[0] gets[0] him[0] exposed[-1] to[0] the[0] dark[0] side[0] of[0] apocalyptic[0] megalopolis[0] and[0] travis[0] gradually[0] gets[0] alienated[-1] from[0] the[0] rest[0] of[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only bright spot in his life is betsy ( cybil sheperd ) , attractive woman working in senator palantine's presidential campaign . 	the only bright spot in his life is betsy ( cybil sheperd ) , attractive woman working in senator palantine's presidential campaign .	2	-1	 the[0] only[0] bright[0] spot[0] in[0] his[0] life[0] is[0] betsy[0] cybil[0] sheperd[0] attractive[1] woman[0] working[0] in[0] senator[0] palantine's[0] presidential[0] campaign[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their date ends as humiliating fiasco because travis makes fatal mistake by inviting her to porno movie theatre . 	their date ends as humiliating fiasco because travis makes fatal mistake by inviting her to porno movie theatre .	1	-4	 their[0] date[0] ends[0] as[0] humiliating[-3] fiasco[-1] because[0] travis[0] makes[0] fatal[-2] mistake[-1] by[0] inviting[0] her[0] to[0] porno[0] movie[0] theatre[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
losing his only link to better side of the world , travis gradually descends into psychosis , becoming convinced that his mission in life is to battle scum on the street . 	losing his only link to better side of the world , travis gradually descends into psychosis , becoming convinced that his mission in life is to battle scum on the street .	1	-3	 losing[-2] his[0] only[0] link[0] to[0] better[0] side[0] of[0] the[0] world[0] travis[0] gradually[0] descends[0] into[0] psychosis[0] becoming[0] convinced[0] that[0] his[0] mission[0] in[0] life[0] is[0] to[0] battle[-1] scum[-2] on[0] the[0] street[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
