it was only a matter of time before a dilbert-esque office comedy hit the screens . 	Translation	Positive	Negative	EmotionRationale
however , rather than coming from dilbert creator scott adams , office space is instead based on the work of another animator , mike judge , creator of beavis and butthead and king of the hill . 	however , rather than coming from dilbert creator scot adams , office space is instead based on the work of another animator , mike judge , creator of beavis and butthead and king of the hill .	1	-1	 however[0] rather[0] than[0] coming[0] from[0] dilbert[0] creator[0] scott/scot[0] adams[0] office[0] space[0] is[0] instead[0] based[0] on[0] the[0] work[0] of[0] another[0] animator[0] mike[0] judge[0] creator[0] of[0] beavis[0] and[0] butthead[0] and[0] king[0] of[0] the[0] hill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his live-action directoral debut , judge aptly spoofs corporate culture . 	in his live-action directoral debut , judge aptly spoofs corporate culture .	1	-1	 in[0] his[0] live[0] action[0] directoral[0] debut[0] judge[0] aptly[0] spoofs[0] corporate[0] culture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is certainly not very involved , but there is plenty of truth and humor to fill the gaps . 	the story is certainly not very involved , but there is plenty of truth and humor to fill the gaps .	3	-1	 the[0] story[0] is[0] certainly[0] not[0] very[0] involved[0] but[0] there[0] is[0] plenty[0] of[0] truth[1] and[0] humor[2] to[0] fill[0] the[0] gaps[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
peter ( ron livingston ) is a programmer working at the initech corporation . 	peter ( ron livingston ) is a programmer working at the initech corporation .	1	-1	 peter[0] ron[0] livingston[0] is[0] a[0] programmer[0] working[0] at[0] the[0] initech[0] corporation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every day in his mundane life is worse than the one before . . . in 	every day in his mundane life is worse than the one before .<br> .<br> .<br> in	1	-3	 every[0] day[0] in[0] his[0] mundane[-1] life[0] is[0] worse[-2] than[0] the[0] one[0] before[0] [[Sentence=-3,1=word max, 1-5]] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
other words , every day is the worst day in his entire life . 	other words , every day is the worst day in his entire life .	1	-3	 other[0] words[0] every[0] day[0] is[0] the[0] worst[-2] day[0] in[0] his[0] entire[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's stuck in a boring job with eight different supervisors , all obsessed with administrative trivialities . 	he's stuck in a boring job with eight different supervisors , all obsessed with administrative trivialities .	1	-3	 he's[0] stuck[0] in[0] a[0] boring[-1] job[0] with[0] eight[0] different[0] supervisors[0] all[0] obsessed[-2] with[0] administrative[0] trivialities[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's smitten with joanna ( jennifer aniston ) , a local waitress , but hasn't the guts to even introduce himself . 	he's smitten with joanna ( jennifer aniston ) , a local waitress , but hasn't the guts to even introduce himself .	1	-1	 he's[0] smitten[0] with[0] joanna[0] jennifer[0] aniston[0] a[0] local[0] waitress[0] but[0] hasn't[0] the[0] guts[0] to[0] even[0] introduce[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything has simply made him a complete , nervous wreck . 	everything has simply made him a complete , nervous wreck .	1	-4	 everything[0] has[0] simply[0] made[0] him[0] a[0] complete[0] nervous[-2][-1 LastWordBoosterStrength] wreck[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but all of that changes when , after an unintentionally over-effective visit to a hypnotherapist , peter loses all of his inhibitions . 	but all of that changes when , after an unintentionally over-effective visit to a hypnotherapist , peter loses all of his inhibitions .	1	-2	 but[0] all[0] of[0] that[0] changes[0] when[0] after[0] an[0] unintentionally[0] over[0] effective[0] visit[0] to[0] a[0] hypnotherapist[0] peter[0] loses[-1] all[0] of[0] his[0] inhibitions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he realizes his lifelong dream : to do absolutely nothing . 	he realizes his lifelong dream : to do absolutely nothing .	1	-1	 he[0] realizes[0] his[0] lifelong[0] dream[0] to[0] do[0] absolutely[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he begins to blatantly disregard the nonsensical instructions of his boss , bill lumbergh ( gary cole ) , doing whatever he feels like . 	he begins to blatantly disregard the nonsensical instructions of his boss , bill lumbergh ( gary cole ) , doing whatever he feels like .	2	-2	 he[0] begins[0] to[0] blatantly[-1] disregard[-1] the[0] nonsensical[-1] instructions[0] of[0] his[0] boss[0] bill[0] lumbergh[0] gary[0] cole[0] doing[0] whatever[0] he[0] feels[0] like[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
peter's friends and co-workers , samir ( ajay naidu ) and michael bolton ( david herman ) . . . no , 	peter's friends and co-workers , samir ( ajay naidu ) and michael bolton ( david herman ) .<br> .<br> .<br> no ,	2	-2	 peter's[0] friends[1] and[0] co[0] workers[0] samir[0] ajay[0] naidu[0] and[0] michael[0] bolton[-1] david[0] herman[0] [[Sentence=-2,2=word max, 1-5]] no[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
not that michael bolton , are perplexed by their friend's sudden change in attitude . 	not that michael bolton , are perplexed by their friend's sudden change in attitude .	2	-2	 not[0] that[0] michael[0] bolton[-1] are[0] perplexed[-1] by[0] their[0] friend's[1] sudden[0] change[0] in[0] attitude[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but , they have larger things to worry about : rumors about that initech is about to begin downsizing . . . 	but , they have larger things to worry about : rumors about that initech is about to begin downsizing .<br> .<br> .	1	-4	 but[0] they[0] have[0] larger[0] things[0] to[0] worry[-3] about[0] rumors[0] about[0] that[0] initech[0] is[0] about[0] to[0] begin[0] downsizing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as bleak as much of this sounds , let me assure you that office space is a comedy , and quite a funny one . 	as bleak as much of this sounds , let me assure you that office space is a comedy , and quite a funny one .	2	-2	 as[0] bleak[-1] as[0] much[0] of[0] this[0] sounds[0] let[0] me[0] assure[0] you[0] that[0] office[0] space[0] is[0] a[0] comedy[0] and[0] quite[0] a[0] funny[1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although it shares the same absurdist office humor of the dilbert comic strip , office space is actually based loosely on the series of milton cartoons which aired on saturday night life . 	although it shares the same absurdist office humor of the dilbert comic strip , office space is actually based loosely on the series of milton cartoons which aired on saturday night life .	3	-2	 although[0] it[0] shares[0] the[0] same[0] absurdist[-1] office[0] humor[2] of[0] the[0] dilbert[0] comic[0] strip[0] office[0] space[0] is[0] actually[0] based[0] loosely[0] on[0] the[0] series[0] of[0] milton[0] cartoons[0] which[0] aired[0] on[0] saturday[0] night[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
each mundane detail , taken by itself , seems completely , regrettably , plausible . 	each mundane detail , taken by itself , seems completely , regrettably , plausible .	1	-3	 each[0] mundane[-1] detail[0] taken[0] by[0] itself[0] seems[0] completely[0] regrettably[-1][-1 LastWordBoosterStrength] plausible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yet , when combined into a whole , the picture which results is absolutely surreal . 	yet , when combined into a whole , the picture which results is absolutely surreal .	1	-1	 yet[0] when[0] combined[0] into[0] a[0] whole[0] the[0] picture[0] which[0] results[0] is[0] absolutely[0] surreal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ron livingston tackles his role straight-faced , and becomes much funnier because of it . 	ron livingston tackles his role straight-faced , and becomes much funnier because of it .	2	-1	 ron[0] livingston[0] tackles[0] his[0] role[0] straight[0] faced[0] and[0] becomes[0] much[0] funnier[1] because[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his character isn't simply being a clown lampooning around the office , but rather seems possessed by a zen-like clarity . 	his character isn't simply being a clown lampooning around the office , but rather seems possessed by a zen-like clarity .	2	-1	 his[0] character[0] isn't[0] simply[0] being[0] a[0] clown[0] lampooning[0] around[0] the[0] office[0] but[0] rather[0] seems[0] possessed[0] by[0] a[0] zen[0] like[1] clarity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is operating on a higher plane , where everything suddenly makes sense , and from this vantage point , he allows the audience to smirk at the absurdities of life . 	he is operating on a higher plane , where everything suddenly makes sense , and from this vantage point , he allows the audience to smirk at the absurdities of life .	1	-2	 he[0] is[0] operating[0] on[0] a[0] higher[0] plane[0] where[0] everything[0] suddenly[0] makes[0] sense[0] and[0] from[0] this[0] vantage[0] point[0] he[0] allows[0] the[0] audience[0] to[0] smirk[0] at[0] the[0] absurdities[-1] of[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyone who has had to deal with the inefficiencies of corporate bureaucracy , or who has ever been frustrated with the technology of modern life , will recognize many of the characters and situations in the film . 	anyone who has had to deal with the inefficiencies of corporate bureaucracy , or who has ever been frustrated with the technology of modern life , will recognize many of the characters and situations in the film .	1	-3	 anyone[0] who[0] has[0] had[0] to[0] deal[0] with[0] the[0] inefficiencies[0] of[0] corporate[0] bureaucracy[0] or[0] who[0] has[0] ever[0] been[0] frustrated[-2] with[0] the[0] technology[0] of[0] modern[0] life[0] will[0] recognize[0] many[0] of[0] the[0] characters[0] and[0] situations[0] in[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , in addition to being wildly humorous , the film may actually prove to be cathartic . 	in fact , in addition to being wildly humorous , the film may actually prove to be cathartic .	3	-1	 in[0] fact[0] in[0] addition[0] to[0] being[0] wildly[0] humorous[2] the[0] film[0] may[0] actually[0] prove[0] to[0] be[0] cathartic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the animated roots of office space show in the film's lack of complexity . 	the animated roots of office space show in the film's lack of complexity .	1	-2	 the[0] animated[0] roots[0] of[0] office[0] space[0] show[0] in[0] the[0] film's[0] lack[-1] of[0] complexity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the characters in the film can be quickly summarized by a particular personality quirk . 	most of the characters in the film can be quickly summarized by a particular personality quirk .	1	-1	 most[0] of[0] the[0] characters[0] in[0] the[0] film[0] can[0] be[0] quickly[0] summarized[0] by[0] a[0] particular[0] personality[0] quirk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one employee , milton ( stephen root ) , is practically a flesh-and-blood cartoon . 	one employee , milton ( stephen root ) , is practically a flesh-and-blood cartoon .	1	-1	 one[0] employee[0] milton[0] stephen[0] root[0] is[0] practically[0] a[0] flesh[0] and[0] blood[0] cartoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , despite their simple nature , the characters still manage to be surprisingly funny . 	however , despite their simple nature , the characters still manage to be surprisingly funny .	2	-1	 however[0] despite[0] their[0] simple[0] nature[0] the[0] characters[0] still[0] manage[0] to[0] be[0] surprisingly[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not required to have a corporate background to enjoy this film ( though the situations may seem exceedingly far-fetched if you are unfamiliar with just how close to reality they really are ) . 	it's not required to have a corporate background to enjoy this film ( though the situations may seem exceedingly far-fetched if you are unfamiliar with just how close to reality they really are ) .	3	-2	 it's[0] not[0] required[0] to[0] have[0] a[0] corporate[0] background[0] to[0] enjoy[2] this[0] film[0] though[0] the[0] situations[0] may[0] seem[0] exceedingly[0] far[0] fetched[0] if[0] you[0] are[0] unfamiliar[-1] with[0] just[0] how[0] close[0] to[0] reality[0] they[0] really[0] are[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film is flimsy and absurd , but also very funny . 	the film is flimsy and absurd , but also very funny .	3	-2	 the[0] film[0] is[0] flimsy[-1] and[0] absurd[-1] but[0] also[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
