 " desperate measures " was something i was excited about seeing back when it was originally scheduled to be released : summer '97 . 	Translation	Positive	Negative	EmotionRationale
for some reason , it was delayed until hollywood's traditional dumping ground : january . 	for some reason , it was delayed until hollywood's traditional dumping ground : january .	1	-2	 for[0] some[0] reason[0] it[0] was[0] delayed[0] until[0] hollywood's[0] traditional[0] dumping[-1] ground[0] january[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now that it's out , i see no real reason for that delay , as it's a simple yet highly entertaining film . 	now that it's out , i see no real reason for that delay , as it's a simple yet highly entertaining film .	1	-2	 now[0] that[0] it's[0] out[0] i[0] see[0] no[0] real[0] reason[0] for[0] that[0] delay[-1] as[0] it's[0] a[0] simple[0] yet[0] highly[0] entertaining[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michael keaton stars as a maniacial murderer who's bone marrow can save the life of the dying son of a san francisco police detective ( garcia ) . 	michael keaton stars as a maniacial murderer who's bone marrow can save the life of the dying son of a san francisco police detective ( garcia ) .	2	-5	 michael[0] keaton[0] stars[0] as[0] a[0] maniacial[-2] murderer[-3][-1 MultiplePositiveWords] who's[0] bone[0] marrow[0] can[0] save[1] the[0] life[0] of[0] the[0] dying[-1] son[0] of[0] a[0] san[0] francisco[0] police[0] detective[0] garcia[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
keaton agrees to the transplant , only so he can attempt escape . 	keaton agrees to the transplant , only so he can attempt escape .	1	-1	 keaton[0] agrees[0] to[0] the[0] transplant[0] only[0] so[0] he[0] can[0] attempt[0] escape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he succeeds , in a plan that of course could only work in the movies . 	he succeeds , in a plan that of course could only work in the movies .	3	-1	 he[0] succeeds[2] in[0] a[0] plan[0] that[0] of[0] course[0] could[0] only[0] work[0] in[0] the[0] movies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the police force is now trying to kill keaton , while garcia is working against them trying to keep keaton alive in order to save his son . 	the police force is now trying to kill keaton , while garcia is working against them trying to keep keaton alive in order to save his son .	2	-2	 the[0] police[0] force[-1] is[0] now[0] trying[0] to[0] kill[-1] keaton[0] while[0] garcia[0] is[0] working[0] against[-1] them[0] trying[0] to[0] keep[0] keaton[0] alive[0] in[0] order[0] to[0] save[1] his[0] son[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film definately has it's flaws . 	the film definately has it's flaws .	1	-1	 the[0] film[0] definately[0] has[0] it's[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is strictly tv movie of the week fare , but the acting and direction certainly boost it far above that status . 	the plot is strictly tv movie of the week fare , but the acting and direction certainly boost it far above that status .	1	-2	 the[0] plot[0] is[0] strictly[-1] tv[0] movie[0] of[0] the[0] week[0] fare[0] but[0] the[0] acting[0] and[0] direction[0] certainly[0] boost[0] it[0] far[0] above[0] that[0] status[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , after keaton's escape , garcia's captain barks at him " how many men have to die to save your kid's life ? " 	also , after keaton's escape , garcia's captain barks at him " how many men have to die to save your kid's life ?<br> "	2	-1	 also[0] after[0] keaton's[0] escape[0] garcia's[0] captain[0] barks[0] at[0] him[0] how[0] many[0] men[0] have[0] to[0] die[0] to[0] save[1] your[0] kid's[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
which the film treats as such an evil and insignificant remark . 	which the film treats as such an evil and insignificant remark .	1	-3	 which[0] the[0] film[0] treats[0] as[0] such[0] an[0] evil[-2] and[0] insignificant[-1] remark[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the thing is , it's a vaild point . 	the thing is , it's a vaild point .	1	-1	 the[0] thing[0] is[0] it's[0] a[0] vaild[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how many people have to be needlessly crippled , burned , and killed just to save this one child ? 	how many people have to be needlessly crippled , burned , and killed just to save this one child ?	2	-4	 how[0] many[0] people[0] have[0] to[0] be[0] needlessly[0] crippled[-1] burned[-1] and[0] killed[-3] just[0] to[0] save[1] this[0] one[0] child[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what's the greater good here ? 	what's the greater good here ?	3	-1	 what's[0] the[0] greater[2] good[1] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
