in chocolat , a chocolate shop owner tells her customers to look into a spinning object of obscure textures , patterns , and lines , hoping she'll be able to foresee the kind of chocolate they'll most enjoy . 	Translation	Positive	Negative	EmotionRationale
some scoff the idea , but everyone who gazes into the complexity of the spinning object winds up seeing something different than the next , revealing personality traits which the person may not have known they had before . 	some scoff the idea , but everyone who gazes into the complexity of the spinning object winds up seeing something different than the next , revealing personality traits which the person may not have known they had before .	1	-1	 some[0] scoff[-1][--1 LastWordBoosterStrength] the[0] idea[0] but[0] everyone[0] who[0] gazes[0] into[0] the[0] complexity[0] of[0] the[0] spinning[0] object[0] winds[0] up[0] seeing[0] something[0] different[0] than[0] the[0] next[0] revealing[0] personality[0] traits[0] which[0] the[0] person[0] may[0] not[0] have[0] known[0] they[0] had[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this can easily stand as a model for chocolat as a whole : on the surface , it appears to be a light , fluffy fable with no depth or true worth , but when one takes a second , deeper look , chocolat's true colors begin to shine through . 	this can easily stand as a model for chocolat as a whole : on the surface , it appears to be a light , fluffy fable with no depth or true worth , but when one takes a second , deeper look , chocolat's true colors begin to shine through .	2	-1	 this[0] can[0] easily[0] stand[0] as[0] a[0] model[0] for[0] chocolat[0] as[0] a[0] whole[0] on[0] the[0] surface[0] it[0] appears[0] to[0] be[0] a[0] light[0] fluffy[0] fable[0] with[0] no[0] depth[0] or[0] true[1] worth[0] but[0] when[0] one[0] takes[0] a[0] second[0] deeper[0] look[0] chocolat's[0] true[1] colors[0] begin[0] to[0] shine[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
making a bold statement about organized religion and those who practice it , lasse hallstrom's chocolat is flawlessly acted and meticulously crafted-not to mention one of the best films of the year . 	making a bold statement about organized religion and those who practice it , lase hallstrom's chocolat is flawlessly acted and meticulously crafted-not to mention one of the best films of the year .	2	-1	 making[0] a[0] bold[0] statement[0] about[0] organized[0] religion[0] and[0] those[0] who[0] practice[0] it[0] lasse/lase[0] hallstrom's[0] chocolat[0] is[0] flawlessly[1] acted[0] and[0] meticulously[0] crafted[0] not[0] to[0] mention[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what gives chocolat its magic , much like hallstrom's 1999 winner of two academy awards , the cider house rules , is its willingness to say what's on its mind without holding back to prevent offending audiences . 	what gives chocolat its magic , much like hallstrom's 199 winner of two academy awards , the cider house rules , is its willingness to say what's on its mind without holding back to prevent offending audiences .	2	-3	 what[0] gives[0] chocolat[0] its[0] magic[0] much[0] like[1] hallstrom's[0] 1999/199[0] winner[1] of[0] two[0] academy[0] awards[0] the[0] cider[0] house[0] rules[0] is[0] its[0] willingness[0] to[0] say[0] what's[0] on[0] its[0] mind[0] without[0] holding[0] back[0] to[0] prevent[0] offending[-2] audiences[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the bold and honest message hallstrom conveys with chocolat will no doubt outrage a select group of viewers , but those who are willing to suspend their bitterness because they feel they are being intimidated or attacked should find themselves to be in agreement with what the film says about narrow-mindedness . 	the bold and honest message hallstrom conveys with chocolat will no doubt outrage a select group of viewers , but those who are willing to suspend their bitterness because they feel they are being intimidated or attacked should find themselves to be in agreement with what the film says about narrow-mindedness .	1	-4	 the[0] bold[0] and[0] honest[0] message[0] hallstrom[0] conveys[0] with[0] chocolat[0] will[0] no[0] doubt[-1] outrage[-2] a[0] select[0] group[0] of[0] viewers[0] but[0] those[0] who[0] are[0] willing[0] to[0] suspend[-1] their[0] bitterness[-1] because[0] they[0] feel[0] they[0] are[0] being[0] intimidated[-3] or[0] attacked[-2] should[0] find[0] themselves[0] to[0] be[0] in[0] agreement[0] with[0] what[0] the[0] film[0] says[0] about[0] narrow[0] mindedness[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
chocolat centers its story around the small french village of lansquenet , where majority rules , and the majority lives by only one law : religion . 	chocolat centers its story around the small french village of lansquenet , where majority rules , and the majority lives by only one law : religion .	1	-1	 chocolat[0] centers[0] its[0] story[0] around[0] the[0] small[0] french[0] village[0] of[0] lansquenet[0] where[0] majority[0] rules[0] and[0] the[0] majority[0] lives[0] by[0] only[0] one[0] law[0] religion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bulk of the townspeople ( with few exceptions ) are preparing for the sacred time of abstinence , lent , but when the independent thinking , seemingly non-religious vianne rocher ( juliette binoche ) and her daughter anouk ( victoire thivisol ) make the village their home , the people will be tempted beyond belief by the mouth-watering confections in the chocolate shop vianne opens . 	the bulk of the townspeople ( with few exceptions ) are preparing for the sacred time of abstinence , lent , but when the independent thinking , seemingly non-religious vianne rocher ( juliette binoche ) and her daughter anouk ( victoire thivisol ) make the village their home , the people will be tempted beyond belief by the mouth-watering confections in the chocolate shop vianne opens .	1	-1	 the[0] bulk[0] of[0] the[0] townspeople[0] with[0] few[0] exceptions[0] are[0] preparing[0] for[0] the[0] sacred[0] time[0] of[0] abstinence[0] lent[0] but[0] when[0] the[0] independent[0] thinking[0] seemingly[0] non[0] religious[0] vianne[0] rocher[0] juliette[0] binoche[0] and[0] her[0] daughter[0] anouk[0] victoire[0] thivisol[0] make[0] the[0] village[0] their[0] home[0] the[0] people[0] will[0] be[0] tempted[0] beyond[0] belief[0] by[0] the[0] mouth[0] watering[0] confections[0] in[0] the[0] chocolate[0] shop[0] vianne[0] opens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many are predictably opposed and deeply offended by vianne's opening of the chocolate shop just in time for lent , especially the mayor , comte de reynaud ( a cartoon-like alfred molina ) , who will stop at nothing to put her out of business . 	many are predictably opposed and deeply offended by vianne's opening of the chocolate shop just in time for lent , especially the mayor , comte de reynaud ( a cartoon-like alfred molina ) , who will stop at nothing to put her out of business .	2	-3	 many[0] are[0] predictably[0] opposed[0] and[0] deeply[0] offended[-2] by[0] vianne's[0] opening[0] of[0] the[0] chocolate[0] shop[0] just[0] in[0] time[0] for[0] lent[0] especially[0] the[0] mayor[0] comte[0] de[0] reynaud[0] a[0] cartoon[0] like[1] alfred[0] molina[0] who[0] will[0] stop[0] at[0] nothing[0] to[0] put[0] her[0] out[0] of[0] business[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
on the other hand , the shop is a delight to others , including the cranky armande voizin ( judi dench ) , who sits day by day in vianne's shop , telling the single mother about her unfortunate detached relationship with her grandson ( aurelien parent-koening ) , which comes as a result of his mother ( carrie-ann moss ) believing armande is a bad influence , as she does not hold the same , strict religious beliefs that she does . 	on the other hand , the shop is a delight to others , including the cranky armande voizin ( judi dench ) , who sits day by day in vianne's shop , telling the single mother about her unfortunate detached relationship with her grandson ( aurelien parent-koening ) , which comes as a result of his mother ( carrie-an moss ) believing armande is a bad influence , as she does not hold the same , strict religious beliefs that she does .	3	-2	 on[0] the[0] other[0] hand[0] the[0] shop[0] is[0] a[0] delight[2] to[0] others[0] including[0] the[0] cranky[-1] armande[0] voizin[0] judi[0] dench[0] who[0] sits[0] day[0] by[0] day[0] in[0] vianne's[0] shop[0] telling[0] the[0] single[0] mother[0] about[0] her[0] unfortunate[-1] detached[0] relationship[0] with[0] her[0] grandson[0] aurelien[0] parent[0] koening[0] which[0] comes[0] as[0] a[0] result[0] of[0] his[0] mother[0] carrie[0] ann/an[0] moss[0] believing[0] armande[0] is[0] a[0] bad[-1] influence[0] as[0] she[0] does[0] not[0] hold[0] the[0] same[0] strict[-1] religious[0] beliefs[0] that[0] she[0] does[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
also a fan of the chocolate is the nervous wreck josephine muscat , whose husband is constantly beating her , to whom vianne offers a home and befriends . 	also a fan of the chocolate is the nervous wreck josephine muscat , whose husband is constantly beating her , to whom vianne offers a home and befriends .	1	-3	 also[0] a[0] fan[0] of[0] the[0] chocolate[0] is[0] the[0] nervous[-2] wreck[-1] josephine[0] muscat[0] whose[0] husband[0] is[0] constantly[0] beating[0] her[0] to[0] whom[0] vianne[0] offers[0] a[0] home[0] and[0] befriends[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
juliette binoche is charming and honest as vianne , genuinely capturing her character's determination to turn the narrow-minded townspeople into more happy , independent human beings , but most of chocolat's success is unquestionably a result of the remarkable performances of the supporting actresses . 	juliette binoche is charming and honest as vianne , genuinely capturing her character's determination to turn the narrow-minded townspeople into more happy , independent human beings , but most of chocolat's success is unquestionably a result of the remarkable performances of the supporting actresses .	3	-1	 juliette[0] binoche[0] is[0] charming[1] and[0] honest[0] as[0] vianne[0] genuinely[0] capturing[0] her[0] character's[0] determination[0] to[0] turn[0] the[0] narrow[0] minded[0] townspeople[0] into[0] more[0] happy[1] independent[0] human[0] beings[0] but[0] most[0] of[0] chocolat's[0] success[2] is[0] unquestionably[0] a[0] result[0] of[0] the[0] remarkable[0] performances[0] of[0] the[0] supporting[1] actresses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lena olin , previously nominated for an oscar in 1989 , deserves her second nomination for her earnest , moving portrayal of a lost , scared woman torn between staying true to her battering , manipulative husband or leaving him to live the life which for which she longs . 	lena olin , previously nominated for an oscar in 1989 , deserves her second nomination for her earnest , moving portrayal of a lost , scared woman torn between staying true to her battering , manipulative husband or leaving him to live the life which for which she longs .	2	-4	 lena[0] olin[0] previously[0] nominated[0] for[0] an[0] oscar[0] in[0] 1989[0] deserves[0] her[0] second[0] nomination[0] for[0] her[0] earnest[0] moving[0] portrayal[0] of[0] a[0] lost[0] scared[-3] woman[0] torn[0] between[0] staying[0] true[1] to[0] her[0] battering[0] manipulative[-1] husband[0] or[0] leaving[0] him[0] to[0] live[0] the[0] life[0] which[0] for[0] which[0] she[0] longs[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
judi dench is sharp , incisive , and occasionally greatly touching as armande voizin . 	judi dench is sharp , incisive , and occasionally greatly touching as armande voizin .	3	-1	 judi[0] dench[0] is[0] sharp[0] incisive[0] and[0] occasionally[0] greatly[2] touching[0] as[0] armande[0] voizin[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
carrie ann-moss , in what is likely to be her first largely noticed ( and acclaimed ) role since the matrix , shows a more solid side of her acting skills not previously seen , crafting a character that the viewer both sympathizes with and despises simultaneously . 	carrie an-moss , in what is likely to be her first largely noticed ( and acclaimed ) role since the matrix , shows a more solid side of her acting skills not previously seen , crafting a character that the viewer both sympathizes with and despises simultaneously .	1	-4	 carrie[0] ann/an[0] moss[0] in[0] what[0] is[0] likely[0] to[0] be[0] her[0] first[0] largely[0] noticed[0] and[0] acclaimed[0] role[0] since[0] the[0] matrix[0] shows[0] a[0] more[0] solid[0] side[0] of[0] her[0] acting[0] skills[0] not[0] previously[0] seen[0] crafting[0] a[0] character[0] that[0] the[0] viewer[0] both[0] sympathizes[0] with[0] and[0] despises[-3] simultaneously[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
