i think the first thing this reviewer should mention is wether or not i am a fan of the x-files . 	Translation	Positive	Negative	EmotionRationale
first , let me assure you that no prior experience with the series is required to fully enjoy this movie . 	first , let me assure you that no prior experience with the series is required to fully enjoy this movie .	3	-1	 first[0] let[0] me[0] assure[0] you[0] that[0] no[0] prior[0] experience[0] with[0] the[0] series[0] is[0] required[0] to[0] fully[0] enjoy[2] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the producers are not stupid , making a movie just for fans of the series is not profitable . 	the producers are not stupid , making a movie just for fans of the series is not profitable .	2	-2	 the[0] producers[0] are[0] not[0] stupid[-1][NegatedDueToPreviousWord] making[0] a[0] movie[0] just[0] for[0] fans[0] of[0] the[0] series[0] is[0] not[0] profitable[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you have to reach for a larger audience . 	you have to reach for a larger audience .	1	-1	 you[0] have[0] to[0] reach[0] for[0] a[0] larger[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
therefore , the movie is quite user-friendly . 	therefore , the movie is quite user-friendly .	2	-1	 therefore[0] the[0] movie[0] is[0] quite[0] user[0] friendly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
altough , non-fans will only fail to understand certain emotions behind the looks many characters exchange . 	altough , non-fans will only fail to understand certain emotions behind the looks many characters exchange .	1	-3	 altough[0] non[0] fans[0] will[0] only[0] fail[-2] to[0] understand[0] certain[0] emotions[0] behind[0] the[0] looks[0] many[0] characters[0] exchange[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but fear not , duchovny and another man later on provide more than adequate background info on what is going on . 	but fear not , duchovny and another man later on provide more than adequate background info on what is going on .	1	-4	 but[0] fear[-3] not[0] duchovny[0] and[0] another[0] man[0] later[0] on[0] provide[0] more[0] than[0] adequate[0] background[0] info[0] on[0] what[0] is[0] going[0] on[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you will never feel as if you just walked in on the third act of some great opera . 	you will never feel as if you just walked in on the third act of some great opera .	2	-1	 you[0] will[0] never[0] feel[0] as[0] if[0] you[0] just[0] walked[0] in[0] on[0] the[0] third[0] act[0] of[0] some[0] great[2][-1 LastWordBoosterStrength] opera[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in any case , the answer is no . 	in any case , the answer is no .	1	-1	 in[0] any[0] case[0] the[0] answer[0] is[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am not a fan of the x-files , i only watch it when nothing else is on and i prefer millennium . 	i am not a fan of the x-files , i only watch it when nothing else is on and i prefer millennium .	2	-1	 i[0] am[0] not[0] a[0] fan[0] of[0] the[0] x[1] files[0] i[0] only[0] watch[0] it[0] when[0] nothing[0] else[0] is[0] on[0] and[0] i[0] prefer[0] millennium[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , since the fox network as been so kind as to air several key episodes for several weeks before the movie's opening weekend i took that opportunity to test the movie . 	however , since the fox network as been so kind as to air several key episodes for several weeks before the movie's opening weekend i took that opportunity to test the movie .	2	-1	 however[0] since[0] the[0] fox[0] network[0] as[0] been[0] so[0] kind[1] as[0] to[0] air[0] several[0] key[0] episodes[0] for[0] several[0] weeks[0] before[0] the[0] movie's[0] opening[0] weekend[0] i[0] took[0] that[0] opportunity[0] to[0] test[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i taped all of these episodes and watched them only after seing the movie , i am glad to report that i learned nothing new . 	i taped all of these episodes and watched them only after seing the movie , i am glad to report that i learned nothing new .	2	-1	 i[0] taped[0] all[0] of[0] these[0] episodes[0] and[0] watched[0] them[0] only[0] after[0] seing[0] the[0] movie[0] i[0] am[0] glad[1] to[0] report[0] that[0] i[0] learned[0] nothing[0] new[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything you need to know is explained to the viewer by duchovny and others . 	everything you need to know is explained to the viewer by duchovny and others .	1	-1	 everything[0] you[0] need[0] to[0] know[0] is[0] explained[0] to[0] the[0] viewer[0] by[0] duchovny[0] and[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know i am going maybe a bit too far to make my point but everybody should get the chance to experience this movie . 	i know i am going maybe a bit too far to make my point but everybody should get the chance to experience this movie .	1	-1	 i[0] know[0] i[0] am[0] going[0] maybe[0] a[0] bit[0] too[0] far[0] to[0] make[0] my[0] point[0] but[0] everybody[0] should[0] get[0] the[0] chance[0] to[0] experience[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
warning : major spoilers follow ! 	warning : major spoilers follow !	1	-2	 warning[0] major[0] spoilers[-1] follow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
please do not read , to fully enjoy this movie you must not be able know what is coming , what exactly is over that hill and what that weird " hummm " sound is all about . 	please do not read , to fully enjoy this movie you must not be able know what is coming , what exactly is over that hill and what that weird " hum " sound is all about .	3	-2	 please[1] do[0] not[0] read[0] to[0] fully[0] enjoy[2] this[0] movie[0] you[0] must[0] not[0] be[0] able[0] know[0] what[0] is[0] coming[0] what[0] exactly[0] is[0] over[0] that[0] hill[0] and[0] what[0] that[0] weird[-1] hummm/hum[0][+0.6 MultipleLetters] sound[0] is[0] all[0] about[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you have been warned . 	you have been warned .	1	-1	 you[0] have[0] been[0] warned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the x-files is what a summer should be . 	the x-files is what a summer should be .	2	-1	 the[0] x[1] files[0] is[0] what[0] a[0] summer[0] should[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
