in 1998 , director brett ratner and his stars , jackie chan and chris tucker , breathed new life into the buddy-action film genre with the cross-cultural " rush hour " - to the tune of about $250 million . 	Translation	Positive	Negative	EmotionRationale
you don't mess with success , so the team is back again , and better , in " rush hour 2 . " 	you don't mess with success , so the team is back again , and better , in " rush hour 2 .<br> "	3	-1	 you[0] don't[0] mess[0] with[0] success[2] so[0] the[0] team[0] is[0] back[0] again[0] and[0] better[0] in[0] rush[0] hour[0] 2[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the combo of the terrific physical talents of chan and the non-stop motor mouth of tucker made for an ethnically unusual duet in " rush hour " that played well to audiences around the world . 	the combo of the terrific physical talents of chan and the non-stop motor mouth of tucker made for an ethnically unusual duet in " rush hour " that played well to audiences around the world .	4	-1	 the[0] combo[0] of[0] the[0] terrific[3] physical[0] talents[1] of[0] chan[0] and[0] the[0] non[0] stop[0] motor[0] mouth[0] of[0] tucker[0] made[0] for[0] an[0] ethnically[0] unusual[0] duet[0] in[0] rush[0] hour[0] that[0] played[0] well[0] to[0] audiences[0] around[0] the[0] world[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the formula worked so well , in fact , that the sequel was inevitable . 	the formula worked so well , in fact , that the sequel was inevitable .	1	-1	 the[0] formula[0] worked[0] so[0] well[0] in[0] fact[0] that[0] the[0] sequel[0] was[0] inevitable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm never thrilled with the idea of a follow-up to a successful original since they rarely meet the previously set expectations . 	i'm never thrilled with the idea of a follow-up to a successful original since they rarely meet the previously set expectations .	3	-4	 i'm[0] never[0] thrilled[3][NegatedDueToPreviousWord] with[0] the[0] idea[0] of[0] a[0] follow[0] up[0] to[0] a[0] successful[2] original[0] since[0] they[0] rarely[0] meet[0] the[0] previously[0] set[0] expectations[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
surprisingly , " rush hour 2 " wastes no time getting down to business and turns out to be better than the flick that spawned it . 	surprisingly , " rush hour 2 " wastes no time getting down to business and turns out to be better than the flick that spawned it .	1	-2	 surprisingly[0] rush[0] hour[0] 2[0] wastes[-1] no[0] time[0] getting[0] down[0] to[0] business[0] and[0] turns[0] out[0] to[0] be[0] better[0] than[0] the[0] flick[0] that[0] spawned[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script , by jeff nathanson ( utilizing the characters developed by ross lamanna in the first film ) , wastes no time getting to the point right from the start . 	the script , by jeff nathanson ( utilizing the characters developed by ross lamanna in the first film ) , wastes no time getting to the point right from the start .	1	-2	 the[0] script[0] by[0] jeff[0] nathanson[0] utilizing[0] the[0] characters[0] developed[0] by[0] ross[0] lamanna[0] in[0] the[0] first[0] film[0] wastes[-1] no[0] time[0] getting[0] to[0] the[0] point[0] right[0] from[0] the[0] start[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
terrorists have bombed the us embassy in hong kong , killing two american translators , and chief inspector lee ( jackie chan ) is handed the job of solving the crime . 	terrorists have bombed the us embassy in hong kong , killing two american translators , and chief inspector lee ( jackie chan ) is handed the job of solving the crime .	1	-3	 terrorists[-2] have[0] bombed[-1] the[0] us[0] embassy[0] in[0] hong[0] kong[0] killing[-1] two[0] american[0] translators[0] and[0] chief[0] inspector[0] lee[0] jackie[0] chan[0] is[0] handed[0] the[0] job[0] of[0] solving[0] the[0] crime[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
concurrently , his friend james carter ( chris tucker ) arrives on the island for some much needed r&r and expects his friend to spend some time and show him the sights . 	concurrently , his friend james carter ( chris tucker ) arrives on the island for some much needed r&r and expects his friend to spend some time and show him the sights .	2	-1	 concurrently[0] his[0] friend[1] james[0] carter[0] chris[0] tucker[0] arrives[0] on[0] the[0] island[0] for[0] some[0] much[0] needed[0] r&r[0] and[0] expects[0] his[0] friend[1] to[0] spend[0] some[0] time[0] and[0] show[0] him[0] the[0] sights[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , lee drags carter into the case and the duo get involved in stopping a conspiracy to counterfeit hundreds of million of us dollars . 	instead , lee drags carter into the case and the duo get involved in stopping a conspiracy to counterfeit hundreds of million of us dollars .	1	-2	 instead[0] lee[0] drags[0] carter[0] into[0] the[0] case[0] and[0] the[0] duo[0] get[0] involved[0] in[0] stopping[0] a[0] conspiracy[-1] to[0] counterfeit[-1] hundreds[0] of[0] million[0] of[0] us[0] dollars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the makers of " rush hour 2 " are working at a distinct advantage over the original . 	the makers of " rush hour 2 " are working at a distinct advantage over the original .	1	-1	 the[0] makers[0] of[0] rush[0] hour[0] 2[0] are[0] working[0] at[0] a[0] distinct[0] advantage[0] over[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
