after watching the first ten minutes of this japanese film , you will never eat a bowl of ramen the same way again . 	Translation	Positive	Negative	EmotionRationale
there is a scene where an old man is teaching a young one how to eat the soupy bowl of noodles , as a master would teach an eager apprentice . 	there is a scene where an old man is teaching a young one how to eat the soupy bowl of noodles , as a master would teach an eager apprentice .	1	-1	 there[0] is[0] a[0] scene[0] where[0] an[0] old[0] man[0] is[0] teaching[0] a[0] young[0] one[0] how[0] to[0] eat[0] the[0] soupy[0] bowl[0] of[0] noodles[0] as[0] a[0] master[0] would[0] teach[0] an[0] eager[0] apprentice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you caress the noodles with the chopsticks , " he says , " then put the roast pork on the side of the bowl and apologize to it by saying , 'see you soon . ' " 	 " you caress the noodles with the chopsticks , " he says , " then put the roast pork on the side of the bowl and apologize to it by saying , 'see you soon .<br> ' "	1	-1	 you[0] caress[0] the[0] noodles[0] with[0] the[0] chopsticks[0] he[0] says[0] then[0] put[0] the[0] roast[0] pork[0] on[0] the[0] side[0] of[0] the[0] bowl[0] and[0] apologize[0] to[0] it[0] by[0] saying[0] 'see[0] you[0] soon[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , it's meant to be a parody , but there is an earnestness underneath the silliness that makes you take it with a certain degree of sobriety . 	of course , it's meant to be a parody , but there is an earnestness underneath the silliness that makes you take it with a certain degree of sobriety .	2	-1	 of[0] course[0] it's[0] meant[0] to[0] be[0] a[0] parody[0] but[0] there[0] is[0] an[0] earnestness[0] underneath[0] the[0] silliness[1] that[0] makes[0] you[0] take[0] it[0] with[0] a[0] certain[0] degree[0] of[0] sobriety[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you begin to appreciate the food as not merely something you eat , not something you like , not something you enjoy , but rather something you experience . 	you begin to appreciate the food as not merely something you eat , not something you like , not something you enjoy , but rather something you experience .	3	-1	 you[0] begin[0] to[0] appreciate[1] the[0] food[0] as[0] not[0] merely[0] something[0] you[0] eat[0] not[0] something[0] you[0] like[1] not[0] something[0] you[0] enjoy[2] but[0] rather[0] something[0] you[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
experiencing it is a process which engages all of the senses , fulfilling each one on its own terms and weaving them so that the total is a pleasure that is more than the sum of its parts . 	experiencing it is a process which engages all of the senses , fulfilling each one on its own terms and weaving them so that the total is a pleasure that is more than the sum of its parts .	3	-1	 experiencing[0] it[0] is[0] a[0] process[0] which[0] engages[0] all[0] of[0] the[0] senses[0] fulfilling[0] each[0] one[0] on[0] its[0] own[0] terms[0] and[0] weaving[0] them[0] so[0] that[0] the[0] total[0] is[0] a[0] pleasure[2] that[0] is[0] more[0] than[0] the[0] sum[0] of[0] its[0] parts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
trust me , you really want to go find a noodle shop at this point . 	trust me , you really want to go find a noodle shop at this point .	2	-1	 trust[1] me[0] you[0] really[0] want[0] to[0] go[0] find[0] a[0] noodle[0] shop[0] at[0] this[0] point[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
juzo itami's tampopo brings the same sense of the serious parody of food to the forefront by making the story follow the pattern of an american western , set in modern day japan . 	juzo itami's tampopo brings the same sense of the serious parody of food to the forefront by making the story follow the pattern of an american western , set in modern day japan .	1	-2	 juzo[0] itami's[0] tampopo[0] brings[0] the[0] same[0] sense[0] of[0] the[0] serious[-1] parody[0] of[0] food[0] to[0] the[0] forefront[0] by[0] making[0] the[0] story[0] follow[0] the[0] pattern[0] of[0] an[0] american[0] western[0] set[0] in[0] modern[0] day[0] japan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a stranger , goro ( tsutomu yamazaki ) , comes into town and finds tampopo ( nobuko miyamoto ) , the proprietor of a small , hole-in-the-wall noodle shop , trying to fend off the insults of the local strongman , pisken ( rikiya yasuoka ) . 	a stranger , goro ( tsutomu yamazaki ) , comes into town and finds tampopo ( nobuko miyamoto ) , the proprietor of a small , hole-in-the-wall noodle shop , trying to fend off the insults of the local strongman , pisken ( rikiya yasuoka ) .	1	-3	 a[0] stranger[0] goro[0] tsutomu[0] yamazaki[0] comes[0] into[0] town[0] and[0] finds[0] tampopo[0] nobuko[0] miyamoto[0] the[0] proprietor[0] of[0] a[0] small[0] hole[0] in[0] the[0] wall[0] noodle[0] shop[0] trying[0] to[0] fend[0] off[0] the[0] insults[-2] of[0] the[0] local[0] strongman[0] pisken[0] rikiya[0] yasuoka[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
goro , to defend the honor of this woman and her noodles , gets into a fight with the ringleader and his henchmen , emerging bloodied , but victorious . 	goro , to defend the honor of this woman and her noodles , gets into a fight with the ringleader and his henchmen , emerging bloodied , but victorious .	1	-3	 goro[0] to[0] defend[0] the[0] honor[0] of[0] this[0] woman[0] and[0] her[0] noodles[0] gets[0] into[0] a[0] fight[-2] with[0] the[0] ringleader[0] and[0] his[0] henchmen[0] emerging[0] bloodied[0] but[0] victorious[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
goro finds that tampopo's ambition is to have a shop that people would flock to from far away , just to eat a bowl of her ramen . 	goro finds that tampopo's ambition is to have a shop that people would flock to from far away , just to eat a bowl of her ramen .	1	-1	 goro[0] finds[0] that[0] tampopo's[0] ambition[0] is[0] to[0] have[0] a[0] shop[0] that[0] people[0] would[0] flock[0] to[0] from[0] far[0] away[0] just[0] to[0] eat[0] a[0] bowl[0] of[0] her[0] ramen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
