i'm not really sure what to think about " crash . " 	Translation	Positive	Negative	EmotionRationale
on the surface , it's a cold , boring , unerotic porn with name starts , a name director , and some cool camerawork . 	on the surface , it's a cold , boring , unerotic porn with name starts , a name director , and some cool camerawork .	1	-2	 on[0] the[0] surface[0] it's[0] a[0] cold[-1] boring[-1] unerotic[0] porn[0] with[0] name[0] starts[0] a[0] name[0] director[0] and[0] some[0] cool[1][-1 LastWordBoosterStrength] camerawork[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i mean , it left me completely bored , unsatisfied , and generally kinda weirded out . 	i mean , it left me completely bored , unsatisfied , and generally kinda weirded out .	1	-3	 i[0] mean[0] it[0] left[0] me[0] completely[0] bored[-1][-1 LastWordBoosterStrength] unsatisfied[0] and[0] generally[0] kinda[0] weirded[-1] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but then again , not every film's supposed to leave you entertained . 	but then again , not every film's supposed to leave you entertained .	1	-1	 but[0] then[0] again[0] not[0] every[0] film's[0] supposed[0] to[0] leave[0] you[0] entertained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " crash " is structured to play like a porn flick , but with significantly more plot and dialogue . 	 " crash " is structured to play like a porn flick , but with significantly more plot and dialogue .	2	-1	 crash[0] is[0] structured[0] to[0] play[0] like[1] a[0] porn[0] flick[0] but[0] with[0] significantly[0] more[0] plot[0] and[0] dialogue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while we see several extremely taboo scenes of weirdo sex , we also have a skimpy little plot going on ( mostly towards the beginning ) , and maybe just a hair of characterization . 	while we see several extremely taboo scenes of weirdo sex , we also have a skimpy little plot going on ( mostly towards the beginning ) , and maybe just a hair of characterization .	1	-4	 while[0] we[0] see[0] several[0] extremely[0] taboo[-1][-2 LastWordBoosterStrength] scenes[0] of[0] weirdo[-1] sex[0] we[0] also[0] have[0] a[0] skimpy[0] little[0] plot[0] going[0] on[0] mostly[0] towards[0] the[0] beginning[0] and[0] maybe[0] just[0] a[0] hair[0] of[0] characterization[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not to mention the acting is generally pretty good , and we don't really see a lot of the actors completely exposed . 	not to mention the acting is generally pretty good , and we don't really see a lot of the actors completely exposed .	3	-3	 not[0] to[0] mention[0] the[0] acting[0] is[0] generally[0] pretty[2] good[1] and[0] we[0] don't[0] really[0] see[0] a[0] lot[0] of[0] the[0] actors[0] completely[0] exposed[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but what makes it supremely different from a porn is the fact that this is not an erotic experience . 	but what makes it supremely different from a porn is the fact that this is not an erotic experience .	3	-1	 but[0] what[0] makes[0] it[0] supremely[2] different[0] from[0] a[0] porn[0] is[0] the[0] fact[0] that[0] this[0] is[0] not[0] an[0] erotic[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film does not posess the erotic hypnotism of " henry and june " or the just plain horniness of , say , " deep throat " ( not that i've seen it ) . 	this film does not poses the erotic hypnotism of " henry and june " or the just plain horniness of , say , " deep throat " ( not that i've seen it ) .	1	-1	 this[0] film[0] does[0] not[0] posess/poses[0] the[0] erotic[0] hypnotism[0] of[0] henry[0] and[0] june[0] or[0] the[0] just[0] plain[0] horniness[0] of[0] say[0] deep[0] throat[0] not[0] that[0] i've[0] seen[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if one was to be made completely hot by this film , it would probably mean they were also into the whole " auto eroticism " thing . 	if one was to be made completely hot by this film , it would probably mean they were also into the whole " auto eroticism " thing .	1	-1	 if[0] one[0] was[0] to[0] be[0] made[0] completely[0] hot[0] by[0] this[0] film[0] it[0] would[0] probably[0] mean[0] they[0] were[0] also[0] into[0] the[0] whole[0] auto[0] eroticism[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film leaves you cold erotically ( and maybe in many other ways ) , but what it does is present a group of people who live on the edge . 	the film leaves you cold erotically ( and maybe in many other ways ) , but what it does is present a group of people who live on the edge .	1	-2	 the[0] film[0] leaves[0] you[0] cold[-1] erotically[0] and[0] maybe[0] in[0] many[0] other[0] ways[0] but[0] what[0] it[0] does[0] is[0] present[0] a[0] group[0] of[0] people[0] who[0] live[0] on[0] the[0] edge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
