near the end of 1996 , analysts remarked that the year would be the last in which disney would stand alone as the animation king . 	Translation	Positive	Negative	EmotionRationale
the following year , 1997 , saw the first sleeper entry into the genre from a studio other than the magic kingdom : twentieth century fox gave baronial russia to the masses in the form of anastasia . 	the following year , 1997 , saw the first sleeper entry into the genre from a studio other than the magic kingdom : twentieth century fox gave baronial russia to the masses in the form of anastasia .	1	-1	 the[0] following[0] year[0] 1997[0] saw[0] the[0] first[0] sleeper[0] entry[0] into[0] the[0] genre[0] from[0] a[0] studio[0] other[0] than[0] the[0] magic[0] kingdom[0] twentieth[0] century[0] fox[0] gave[0] baronial[0] russia[0] to[0] the[0] masses[0] in[0] the[0] form[0] of[0] anastasia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at best , that's all it was -- a sleeper hit , designed to surprise but not shake the industry . 	at best , that's all it was - a sleeper hit , designed to surprise but not shake the industry .	2	-1	 at[0] best[1] that's[0] all[0] it[0] was[0] a[0] sleeper[0] hit[0] designed[0] to[0] surprise[0] but[0] not[0] shake[-1][NegatedDueToPreviousWord] the[0] industry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in 1998 , however , things have been decidedly different . 	in 1998 , however , things have been decidedly different .	1	-1	 in[0] 1998[0] however[0] things[0] have[0] been[0] decidedly[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there have been a number of pushes on disney's death grip on the market , and fifty-one weeks into '98 , a new champion has emerged . 	there have been a number of pushes on disney's death grip on the market , and fifty-one weeks into '98 , a new champion has emerged .	1	-3	 there[0] have[0] been[0] a[0] number[0] of[0] pushes[0] on[0] disney's[0] death[-2] grip[0] on[0] the[0] market[0] and[0] fifty[0] one[0] weeks[0] into[0] '98[0] a[0] new[0] champion[0] has[0] emerged[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dreamworks' the prince of egypt succeeds where all of the other conventionally animated products have failed . 	dreamworks' the prince of egypt succeeds where all of the other conventionally animated products have failed .	3	-3	 dreamworks'[0] the[0] prince[0] of[0] egypt[0] succeeds[2] where[0] all[0] of[0] the[0] other[0] conventionally[0] animated[0] products[0] have[0] failed[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the other two contenders , warner brothers' quest for camelot and disney's own annual entry , mulan , lacked inspiration and drive respectively . 	the other two contenders , warner brothers' quest for camelot and disney's own annual entry , mulan , lacked inspiration and drive respectively .	3	-1	 the[0] other[0] two[0] contenders[0] warner[0] brothers'[0] quest[0] for[0] camelot[0] and[0] disney's[0] own[0] annual[0] entry[0] mulan[0] lacked[0] inspiration[2] and[0] drive[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although camelot was borderline-abysmal , and can't really be considered a shot at the title , mulan had the makings of winner . 	although camelot was borderline-abysmal , and can't really be considered a shot at the title , mulan had the makings of winner .	2	-2	 although[0] camelot[0] was[0] borderline[0] abysmal[0] and[0] can't[0] really[0] be[0] considered[0] a[0] shot[-1] at[0] the[0] title[0] mulan[0] had[0] the[0] makings[0] of[0] winner[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , it was saturated with traditional , disney-cute animation , and lost points against the rapidly-changing face of the competition . 	unfortunately , it was saturated with traditional , disney-cute animation , and lost points against the rapidly-changing face of the competition .	2	-2	 unfortunately[-1] it[0] was[0] saturated[0] with[0] traditional[0] disney[0] cute[1] animation[0] and[0] lost[0] points[0] against[-1] the[0] rapidly[0] changing[0] face[0] of[0] the[0] competition[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in making the prince of egypt , dreamworks has strayed from all of these hallmarks and created a genuinely unique product . 	in making the prince of egypt , dreamworks has strayed from all of these hallmarks and created a genuinely unique product .	1	-1	 in[0] making[0] the[0] prince[0] of[0] egypt[0] dreamworks[0] has[0] strayed[0] from[0] all[0] of[0] these[0] hallmarks[0] and[0] created[0] a[0] genuinely[0] unique[0] product[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the animation is flawless , and , aside from a bug's life , is the best-looking movie to date . 	the animation is flawless , and , aside from a bug's life , is the best-looking movie to date .	2	-1	 the[0] animation[0] is[0] flawless[1] and[0] aside[0] from[0] a[0] bug's[0] life[0] is[0] the[0] best[1] looking[0] movie[0] to[0] date[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the animators have nimbly mixed both flat and spatial effects , and the 2d/3d combination is something that artists from disney and fox have heretofore struggled with . 	the animators have nimbly mixed both flat and spatial effects , and the 2d/3d combination is something that artists from disney and fox have heretofore struggled with .	1	-2	 the[0] animators[0] have[0] nimbly[0] mixed[0] both[0] flat[0] and[0] spatial[0] effects[0] and[0] the[0] 2d/3d[0] combination[0] is[0] something[0] that[0] artists[0] from[0] disney[0] and[0] fox[0] have[0] heretofore[0] struggled[-1] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the key to success , however , was that the visuals were used not just because they looked cool but also as a method of advancing the plot . 	the key to success , however , was that the visuals were used not just because they looked cool but also as a method of advancing the plot .	3	-1	 the[0] key[0] to[0] success[2] however[0] was[0] that[0] the[0] visuals[0] were[0] used[0] not[0] just[0] because[0] they[0] looked[0] cool[1] but[0] also[0] as[0] a[0] method[0] of[0] advancing[0] the[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
