i was born in 1970 , which makes me barely old enough to remember bell buttons , 8 tracks and disco . 	Translation	Positive	Negative	EmotionRationale
however , since i was 17 years old i've seen more than my share of adult films . 	however , since i was 17 years old i've seen more than my share of adult films .	1	-1	 however[0] since[0] i[0] was[0] 17[0] years[0] old[0] i've[0] seen[0] more[0] than[0] my[0] share[0] of[0] adult[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mention this only because i thinks its important to state up front that i'm not against pornogrpahy . 	i mention this only because i thinks its important to state up front that i'm not against pornogrpahy .	2	-1	 i[0] mention[0] this[0] only[0] because[0] i[0] thinks[0] its[0] important[0] to[0] state[0] up[0] front[0] that[0] i'm[0] not[0] against[-1][NegatedDueToPreviousWord] pornogrpahy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i've seen enough of these films to know the range of content and quality available . 	i've seen enough of these films to know the range of content and quality available .	1	-1	 i've[0] seen[0] enough[0] of[0] these[0] films[0] to[0] know[0] the[0] range[0] of[0] content[0] and[0] quality[0] available[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director paul thomas anderson's boogie nights offers us a view into the world of porn during the period considered to be the golden age of adult cinema , the mid to late 70s . 	director paul thomas anderson's boogie nights offers us a view into the world of porn during the period considered to be the golden age of adult cinema , the mid to late 70s .	1	-1	 director[0] paul[0] thomas[0] anderson's[0] boogie[0] nights[0] offers[0] us[0] a[0] view[0] into[0] the[0] world[0] of[0] porn[0] during[0] the[0] period[0] considered[0] to[0] be[0] the[0] golden[0] age[0] of[0] adult[0] cinema[0] the[0] mid[0] to[0] late[0] 70s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this was the period when x-rated movies were real movies , shot on film , shown in movie theaters and even reviewed by legitimate critics . 	this was the period when x-rated movies were real movies , shot on film , shown in movie theaters and even reviewed by legitimate critics .	2	-2	 this[0] was[0] the[0] period[0] when[0] x[1] rated[0] movies[0] were[0] real[0] movies[0] shot[-1] on[0] film[0] shown[0] in[0] movie[0] theaters[0] and[0] even[0] reviewed[0] by[0] legitimate[0] critics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this was an age when porn directors actually aspired to make innovative often educational films , films that attempted to tell a real story . 	this was an age when porn directors actually aspired to make innovative often educational films , films that attempted to tell a real story .	1	-1	 this[0] was[0] an[0] age[0] when[0] porn[0] directors[0] actually[0] aspired[0] to[0] make[0] innovative[0] often[0] educational[0] films[0] films[0] that[0] attempted[0] to[0] tell[0] a[0] real[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the more fascinating aspects of this film is how , like in an any other billion dollar industry , the creative visionaries tend to be ignorant to the trends that will soon make them obsolete . 	one of the more fascinating aspects of this film is how , like in an any other billion dollar industry , the creative visionaries tend to be ignorant to the trends that will soon make them obsolete .	2	-3	 one[0] of[0] the[0] more[0] fascinating[0] aspects[0] of[0] this[0] film[0] is[0] how[0] like[1] in[0] an[0] any[0] other[0] billion[0] dollar[0] industry[0] the[0] creative[0] visionaries[0] tend[0] to[0] be[0] ignorant[-2] to[0] the[0] trends[0] that[0] will[0] soon[0] make[0] them[0] obsolete[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in this case , the arrival of the now ubiquitous videocassette . 	in this case , the arrival of the now ubiquitous videocassette .	1	-1	 in[0] this[0] case[0] the[0] arrival[0] of[0] the[0] now[0] ubiquitous[0] videocassette[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
burt reynold's manages to resuscitate his career portraying such an auteur , known as jack horner . 	burt reynold's manages to resuscitate his career portraying such an auteur , known as jack horner .	1	-1	 burt[0] reynold's[0] manages[0] to[0] resuscitate[0] his[0] career[0] portraying[0] such[0] an[0] auteur[0] known[0] as[0] jack[0] horner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
horner's has a steady " family " of performers , some of whom live in his plush l . a . home . 	horner's has a steady " family " of performers , some of whom live in his plush l .<br> a .<br> home .	1	-1	 horner's[0] has[0] a[0] steady[0] family[0] of[0] performers[0] some[0] of[0] whom[0] live[0] in[0] his[0] plush[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but in the world of porn , performers are a commodity - the fresher , the better . 	but in the world of porn , performers are a commodity - the fresher , the better .	1	-1	 but[0] in[0] the[0] world[0] of[0] porn[0] performers[0] are[0] a[0] commodity[0] the[0] fresher[0] the[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when horner scouts a fresh faced stud bussing tables at his favorite discotheque , he decides to add him to his stable . 	when horner scouts a fresh faced stud bussing tables at his favorite discotheque , he decides to add him to his stable .	2	-2	 when[0] horner[0] scouts[0] a[0] fresh[0] faced[0] stud[0] bussing[0] tables[0] at[0] his[0] favorite[1] discotheque[0] he[0] decides[0] to[0] add[0] him[0] to[0] his[0] stable[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
