director jan de bont certainly knows how to make top quality action films . 	Translation	Positive	Negative	EmotionRationale
you need look no further than die hard ( he was director of photography ) , speed and last years twister for examples of his hi- octane , edge of your seat thrill prowess . 	you need look no further than die hard ( he was director of photography ) , speed and last years twister for examples of his hi- octane , edge of your seat thrill prowess .	4	-1	 you[0] need[0] look[0] no[0] further[0] than[0] die[0] hard[0] he[0] was[0] director[0] of[0] photography[0] speed[0] and[0] last[0] years[0] twister[0] for[0] examples[0] of[0] his[0] hi[0] octane[0] edge[0] of[0] your[0] seat[0] thrill[3] prowess[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
speed 2 is no exception . 	speed 2 is no exception .	1	-1	 speed[0] 2[0] is[0] no[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , the action takes place on a huge cruise liner , on which sandra bullock and jason patrick are trying to develop their relationship . 	this time , the action takes place on a huge cruise liner , on which sandra bullock and jason patrick are trying to develop their relationship .	1	-1	 this[0] time[0] the[0] action[0] takes[0] place[0] on[0] a[0] huge[0] cruise[0] liner[0] on[0] which[0] sandra[0] bullock[0] and[0] jason[0] patrick[0] are[0] trying[0] to[0] develop[0] their[0] relationship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yep , that's right , no keanu reeves this time , but fear not , jason patrick is more than up to the job . 	yep , that's right , no keanu reeves this time , but fear not , jason patrick is more than up to the job .	1	-4	 yep[0] that's[0] right[0] no[0] keanu[0] reeves[0] this[0] time[0] but[0] fear[-3] not[0] jason[0] patrick[0] is[0] more[0] than[0] up[0] to[0] the[0] job[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
speaking of which , the job at hand is to stop completely bonkers terrorist , willem dafoe , from crashing the liner into a huge island , after stealing a diamond collection . 	speaking of which , the job at hand is to stop completely bonkers terrorist , willem dafoe , from crashing the liner into a huge island , after stealing a diamond collection .	1	-3	 speaking[0] of[0] which[0] the[0] job[0] at[0] hand[0] is[0] to[0] stop[0] completely[0] bonkers[0] terrorist[-2] willem[0] dafoe[0] from[0] crashing[0] the[0] liner[0] into[0] a[0] huge[0] island[0] after[0] stealing[-2] a[0] diamond[0] collection[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the reason for this act of destruction is revenge . 	the reason for this act of destruction is revenge .	1	-2	 the[0] reason[0] for[0] this[0] act[0] of[0] destruction[-1] is[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after years of working for the company that builds cruise liner computers , he contracts copper poisoning and is retired . 	after years of working for the company that builds cruise liner computers , he contracts copper poisoning and is retired .	1	-3	 after[0] years[0] of[0] working[0] for[0] the[0] company[0] that[0] builds[0] cruise[0] liner[0] computers[0] he[0] contracts[0] copper[0] poisoning[-2] and[0] is[0] retired[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
naturally , what entails next is a lot of running/jumping about and general high quality action as jason patrick does his level best to save the day . 	naturally , what entails next is a lot of running/jumping about and general high quality action as jason patrick does his level best to save the day .	2	-1	 naturally[0] what[0] entails[0] next[0] is[0] a[0] lot[0] of[0] running/jumping[0] about[0] and[0] general[0] high[0] quality[0] action[0] as[0] jason[0] patrick[0] does[0] his[0] level[0] best[1] to[0] save[1] the[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thinking back on this film , you can't help , but admire it's structure . 	thinking back on this film , you can't help , but admire it's structure .	3	-1	 thinking[0] back[0] on[0] this[0] film[0] you[0] can't[0] help[0] but[0] admire[2] it's[0] structure[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the way , willem dafoe initiates his plan and throws red herrings to the crew and passengers . 	the way , willem dafoe initiates his plan and throws red herrings to the crew and passengers .	1	-1	 the[0] way[0] willem[0] dafoe[0] initiates[0] his[0] plan[0] and[0] throws[0] red[0] herrings[0] to[0] the[0] crew[0] and[0] passengers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the race against time to save the liner from crashing , and of course , the finale chase scence . 	the race against time to save the liner from crashing , and of course , the finale chase scence .	2	-2	 the[0] race[0] against[-1] time[0] to[0] save[1] the[0] liner[0] from[0] crashing[0] and[0] of[0] course[0] the[0] finale[0] chase[-1] scence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
