synopsis : captain picard and the crew of the starship enterprise disobey federation orders and defend a peaceful community of 600 , the ba'ku , from the evil admiral dougherty and ru'afro . 	Translation	Positive	Negative	EmotionRationale
the enterprise crew , in the meantime , experience the rejuvenating qualities of the ba'ku homeworld : lt . worf grows a pimple , data sings opera pieces , picard scores with a ba'ku chick , riker shaves while sharing a bubblebath with troi , and the enterprise women note their firmer breasts . 	the enterprise crew , in the meantime , experience the rejuvenating qualities of the ba'ku homeworld : lt .<br> worf grows a pimple , data sings opera pieces , picard scores with a ba'ku chick , riker shaves while sharing a bubblebath with troi , and the enterprise women note their firmer breasts .	1	-1	 the[0] enterprise[0] crew[0] in[0] the[0] meantime[0] experience[0] the[0] rejuvenating[0] qualities[0] of[0] the[0] ba'ku[0] homeworld[0] lt[0] [[Sentence=-1,1=word max, 1-5]] worf[0] grows[0] a[0] pimple[0] data[0] sings[0] opera[0] pieces[0] picard[0] scores[0] with[0] a[0] ba'ku[0] chick[0] riker[0] shaves[0] while[0] sharing[0] a[0] bubblebath[0] with[0] troi[0] and[0] the[0] enterprise[0] women[0] note[0] their[0] firmer[0] breasts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comments : " star trek : the next generation " was a hugely successful sequel tv series to " star trek , " a science fiction series which developed a devoted fan following in the 1970s . 	comments : " star trek : the next generation " was a hugely successful sequel tv series to " star trek , " a science fiction series which developed a devoted fan following in the 1970s .	5	-1	 comments[0] star[0] trek[0] the[0] next[0] generation[0] was[0] a[0] hugely[0] successful[2][2 LastWordBoosterStrength] sequel[0] tv[0] series[0] to[0] star[0] trek[0] a[0] science[0] fiction[0] series[0] which[0] developed[0] a[0] devoted[2] fan[0] following[0] in[0] the[0] 1970s[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
even though it still enjoyed high ratings , " star trek : the next generation " ended production after seven years so that the cast could replace the original " star trek " 's cast in paramount's film franchise centering on the voyages of the starship enterprise . 	even though it still enjoyed high ratings , " star trek : the next generation " ended production after seven years so that the cast could replace the original " star trek " 's cast in paramount's film franchise centering on the voyages of the starship enterprise .	3	-1	 even[0] though[0] it[0] still[0] enjoyed[2] high[0] ratings[0] star[0] trek[0] the[0] next[0] generation[0] ended[0] production[0] after[0] seven[0] years[0] so[0] that[0] the[0] cast[0] could[0] replace[0] the[0] original[0] star[0] trek[0] 's[0] cast[0] in[0] paramount's[0] film[0] franchise[0] centering[0] on[0] the[0] voyages[0] of[0] the[0] starship[0] enterprise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
star trek : insurrection is the ninth " star trek " movie and the third to focus on the " star trek : the next generation " crew . 	star trek : insurrection is the ninth " star trek " movie and the third to focus on the " star trek : the next generation " crew .	1	-1	 star[0] trek[0] insurrection[0] is[0] the[0] ninth[0] star[0] trek[0] movie[0] and[0] the[0] third[0] to[0] focus[0] on[0] the[0] star[0] trek[0] the[0] next[0] generation[0] crew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
star trek : insurrection qualifies as one of those movies star trek fans , such as myself , would rate somewhere between " okay " and " good . " 	star trek : insurrection qualifies as one of those movies star trek fans , such as myself , would rate somewhere between " okay " and " good .<br> "	2	-1	 star[0] trek[0] insurrection[0] qualifies[0] as[0] one[0] of[0] those[0] movies[0] star[0] trek[0] fans[0] such[0] as[0] myself[0] would[0] rate[0] somewhere[0] between[0] okay[0] and[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after star trek v : the final frontier , a nearly awful movie almost as bad as the repugnant " star trek : voyager " tv series , " star trek " fans could probably swallow anything paramount throws out in the trek film franchise . 	after star trek v : the final frontier , a nearly awful movie almost as bad as the repugnant " star trek : voyager " tv series , " star trek " fans could probably swallow anything paramount throws out in the trek film franchise .	1	-4	 after[0] star[0] trek[0] v[0] the[0] final[0] frontier[0] a[0] nearly[0] awful[-3] movie[0] almost[0] as[0] bad[-1] as[0] the[0] repugnant[-2] star[0] trek[0] voyager[0] tv[0] series[0] star[0] trek[0] fans[0] could[0] probably[0] swallow[0] anything[0] paramount[0] throws[0] out[0] in[0] the[0] trek[0] film[0] franchise[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i don't wish to spend this review comparing insurrection to the eight other trek movies . 	i don't wish to spend this review comparing insurrection to the eight other trek movies .	1	-1	 i[0] don't[0] wish[0] to[0] spend[0] this[0] review[0] comparing[0] insurrection[0] to[0] the[0] eight[0] other[0] trek[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most people reading this probably haven't followed " star trek " anyway , so a comparison would seem tedious at best . 	most people reading this probably haven't followed " star trek " anyway , so a comparison would seem tedious at best .	2	-3	 most[0] people[0] reading[0] this[0] probably[0] haven't[0] followed[0] star[0] trek[0] anyway[0] so[0] a[0] comparison[0] would[0] seem[0] tedious[-2] at[0] best[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
let me , thus , make my comparisons briefly so that it's out of my system : star trek : insurrection is not as good as the previous installment , star trek : first contact ; star trek : insurrection's comic tone may be best compared to star trek iv : the voyage home ; star trek ii : the wrath of khan is still the best trek movie . 	let me , thus , make my comparisons briefly so that it's out of my system : star trek : insurrection is not as good as the previous instalment , star trek : first contact ; star trek : insurrection's comic tone may be best compared to star trek iv : the voyage home ; star trek i : the wrath of khan is still the best trek movie .	2	-2	 let[0] me[0] thus[0] make[0] my[0] comparisons[0] briefly[0] so[0] that[0] it's[0] out[0] of[0] my[0] system[0] star[0] trek[0] insurrection[0] is[0] not[0] as[0] good[1][NegatedDueToPreviousWord] as[0] the[0] previous[0] installment/instalment[0] star[0] trek[0] first[0] contact[0] star[0] trek[0] insurrection's[0] comic[0] tone[0] may[0] be[0] best[1] compared[0] to[0] star[0] trek[0] iv[0] the[0] voyage[0] home[0] star[0] trek[0] ii/i[0] the[0] wrath[-1] of[0] khan[0] is[0] still[0] the[0] best[1] trek[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
okay . let's move to the movie itself . 	okay .<br> let's move to the movie itself .	1	-1	 okay[0] [[Sentence=-1,1=word max, 1-5]] let's[0] move[0] to[0] the[0] movie[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
