with the exception of their surrealistic satire barton fink , the films of joel and ethan coen fit into two broad categories : quirky and sometimes darkly humorous takes on the " film noir " genre in which crime schemes go wrong and spin increasingly out of control ( fargo , miller's crossing , blood simple ) , and off-the-wall comedies centered around an eccentric , scatter-brained lead character ( raising arizona , the hudsucker proxy ) . 	Translation	Positive	Negative	EmotionRationale
their latest offering , the big lebowski , falls within the latter category , though there are elements of the crime-gone-wrong theme and even a touch of satire to be found in this film . 	their latest offering , the big lebowski , falls within the latter category , though there are elements of the crime-gone-wrong theme and even a touch of satire to be found in this film .	1	-2	 their[0] latest[0] offering[0] the[0] big[0] lebowski[0] falls[0] within[0] the[0] latter[0] category[0] though[0] there[0] are[0] elements[0] of[0] the[0] crime[-1] gone[0] wrong[-1] theme[0] and[0] even[0] a[0] touch[0] of[0] satire[0] to[0] be[0] found[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main difference , however , is that while the protagonists of raising arizona and the hudsucker proxy had lofty aspirations and ideals but didn't quite have the brains to get it all together , the main character of the big lebowski seems like a fairly intelligent guy who's wise to the world , but he doesn't really want to do much of anything besides go bowling , smoke pot , and generally relax . 	the main difference , however , is that while the protagonists of raising arizona and the hudsucker proxy had lofty aspirations and ideals but didn't quite have the brains to get it all together , the main character of the big lebowski seems like a fairly intelligent guy who's wise to the world , but he doesn't really want to do much of anything besides go bowling , smoke pot , and generally relax .	3	-1	 the[0] main[0] difference[0] however[0] is[0] that[0] while[0] the[0] protagonists[0] of[0] raising[0] arizona[0] and[0] the[0] hudsucker[0] proxy[0] had[0] lofty[0] aspirations[0] and[0] ideals[0] but[0] didn't[0] quite[0] have[0] the[0] brains[0] to[0] get[0] it[0] all[0] together[0] the[0] main[0] character[0] of[0] the[0] big[0] lebowski[0] seems[0] like[1] a[0] fairly[0] intelligent[1] guy[0] who's[0] wise[0] to[0] the[0] world[0] but[0] he[0] doesn't[0] really[0] want[0] to[0] do[0] much[0] of[0] anything[0] besides[0] go[0] bowling[0] smoke[0] pot[0] and[0] generally[0] relax[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that main character is jeffrey " the dude " lebowski ( jeff bridges ) , introduced by the film's rambling narrator ( sam elliott ) as " quite possibly the laziest man in los angeles county . " 	that main character is jeffrey " the dude " lebowski ( jeff bridges ) , introduced by the film's rambling narrator ( sam elliott ) as " quite possibly the laziest man in los angeles county .<br> "	1	-2	 that[0] main[0] character[0] is[0] jeffrey[0] the[0] dude[0] lebowski[0] jeff[0] bridges[0] introduced[0] by[0] the[0] film's[0] rambling[0] narrator[0] sam[0] elliott[0] as[0] quite[0] possibly[0] the[0] laziest[-1] man[0] in[0] los[0] angeles[0] county[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dude is unemployed , needless to say , and spends most of his time at the bowling alley with his two best friends , walter ( john goodman ) , a borderline-psychotic who's in the habit of pulling a gun when he thinks somebody's cheating in a bowling match ( " has the whole world gone crazy ? ! " he shouts at a suspected cheater ) , and donny ( steve buscemi ) , who's always a few steps behind the conversation and is constantly berated by walter for it ( " donny , you have no frame of reference here ! " ) . 	the dude is unemployed , needless to say , and spends most of his time at the bowling alley with his two best friends , walter ( john goodman ) , a borderline-psychotic who's in the habit of pulling a gun when he thinks somebody's cheating in a bowling match ( " has the whole world gone crazy ?<br> !<br> " he shouts at a suspected cheater ) , and donny ( steve buscemi ) , who's always a few steps behind the conversation and is constantly berated by walter for it ( " donny , you have no frame of reference here !<br> " ) .	2	-3	 the[0] dude[0] is[0] unemployed[-1] needless[0] to[0] say[0] and[0] spends[0] most[0] of[0] his[0] time[0] at[0] the[0] bowling[0] alley[0] with[0] his[0] two[0] best[1] friends[1] walter[0] john[0] goodman[0] a[0] borderline[0] psychotic[0] who's[0] in[0] the[0] habit[0] of[0] pulling[0] a[0] gun[-1] when[0] he[0] thinks[0] somebody's[0] cheating[-2] in[0] a[0] bowling[0] match[0] has[0] the[0] whole[0] world[0] gone[0] crazy[-1] [[Sentence=-3,2=word max, 1-5]] he[0] shouts[0] at[0] a[0] suspected[0] cheater[-2] and[0] donny[0] steve[0] buscemi[0] who's[0] always[0] a[0] few[0] steps[0] behind[0] the[0] conversation[0] and[0] is[0] constantly[0] berated[0] by[0] walter[0] for[0] it[0] donny[0] you[0] have[0] no[0] frame[0] of[0] reference[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
these three seem to more or less live for bowling tournaments , and as the film begins they are anticipating an important match with rival bowler jesus quintana ( john turturro ) , who , when we first meet him , is doing a dance in the bowling lane to accompany a spanish version of " hotel california " and , if it's possible , seems to be even more of a head case than walter . 	these three seem to more or less live for bowling tournaments , and as the film begins they are anticipating an important match with rival bowler jesus quintana ( john turturro ) , who , when we first meet him , is doing a dance in the bowling lane to accompany a spanish version of " hotel california " and , if it's possible , seems to be even more of a head case than walter .	1	-2	 these[0] three[0] seem[0] to[0] more[0] or[0] less[0] live[0] for[0] bowling[0] tournaments[0] and[0] as[0] the[0] film[0] begins[0] they[0] are[0] anticipating[0] an[0] important[0] match[0] with[0] rival[-1] bowler[0] jesus[0] quintana[0] john[0] turturro[0] who[0] when[0] we[0] first[0] meet[0] him[0] is[0] doing[0] a[0] dance[0] in[0] the[0] bowling[0] lane[0] to[0] accompany[0] a[0] spanish[0] version[0] of[0] hotel[0] california[0] and[0] if[0] it's[0] possible[0] seems[0] to[0] be[0] even[0] more[0] of[0] a[0] head[0] case[0] than[0] walter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if that doesn't give you a good idea of this film's absurdist tone , then perhaps this will : the entire scenario which drives the story is set in motion by two thugs mistakenly urinating on the dude's rug . 	if that doesn't give you a good idea of this film's absurdist tone , then perhaps this will : the entire scenario which drives the story is set in motion by two thugs mistakenly urinating on the dude's rug .	2	-2	 if[0] that[0] doesn't[0] give[0] you[0] a[0] good[1] idea[0] of[0] this[0] film's[0] absurdist[-1] tone[0] then[0] perhaps[0] this[0] will[0] the[0] entire[0] scenario[0] which[0] drives[0] the[0] story[0] is[0] set[0] in[0] motion[0] by[0] two[0] thugs[0] mistakenly[-1] urinating[0] on[0] the[0] dude's[0] rug[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they've mistaken him for a millionaire of the same name who is also known as the " big " lebowski ( david huddleston ) and whose nymphomaniac wife bunny ( tara reid ) owes money to porn producer jackie treehorn ( ben gazzara ) . 	they've mistaken him for a millionaire of the same name who is also known as the " big " lebowski ( david huddleston ) and whose nymphomaniac wife bunny ( tara reid ) owes money to porn producer jackie treehorn ( ben gazara ) .	1	-2	 they've[0] mistaken[-1] him[0] for[0] a[0] millionaire[0] of[0] the[0] same[0] name[0] who[0] is[0] also[0] known[0] as[0] the[0] big[0] lebowski[0] david[0] huddleston[0] and[0] whose[0] nymphomaniac[0] wife[0] bunny[0] tara[0] reid[0] owes[0] money[0] to[0] porn[0] producer[0] jackie[0] treehorn[0] ben[0] gazzara/gazara[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dude goes to the big lebowski seeking compensation for his ruined rug ; he doesn't have any luck , but when bunny is apparently kidnapped , the elder lebowski asks him to deliver the  1 million ransom . 	the dude goes to the big lebowski seeking compensation for his ruined rug ; he doesn't have any luck , but when bunny is apparently kidnapped , the elder lebowski asks him to deliver the  1 million ransom .	3	-2	 the[0] dude[0] goes[0] to[0] the[0] big[0] lebowski[0] seeking[0] compensation[0] for[0] his[0] ruined[-1] rug[0] he[0] doesn't[0] have[0] any[0] luck[2] but[0] when[0] bunny[0] is[0] apparently[0] kidnapped[0] the[0] elder[0] lebowski[0] asks[0] him[0] to[0] deliver[0] the[0] 1[0] million[0] ransom[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , walter gets involved and fouls up the drop-off , and before they can try again to get the money to the supposed kidnappers , the dude's car gets stolen , along with the briefcase containing the money . 	unfortunately , walter gets involved and fouls up the drop-off , and before they can try again to get the money to the supposed kidnappers , the dude's car gets stolen , along with the briefcase containing the money .	1	-2	 unfortunately[-1] walter[0] gets[0] involved[0] and[0] fouls[0] up[0] the[0] drop[-1] off[0] and[0] before[0] they[0] can[0] try[0] again[0] to[0] get[0] the[0] money[0] to[0] the[0] supposed[0] kidnappers[0] the[0] dude's[0] car[0] gets[0] stolen[-1] along[0] with[0] the[0] briefcase[0] containing[0] the[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon , the dude is being harassed not only by the big lebowski himself but also by treehorn and by a group of german " nihilists " who demand the ransom money even though they may not have been involved in the kidnapping in the first place ; the dude and walter suspect that bunny may well have kidnapped herself in order to extort money from her husband to repay her debts to treehorn . 	soon , the dude is being harassed not only by the big lebowski himself but also by treehorn and by a group of german " nihilists " who demand the ransom money even though they may not have been involved in the kidnapping in the first place ; the dude and walter suspect that bunny may well have kidnapped herself in order to extort money from her husband to repay her debts to treehorn .	1	-3	 soon[0] the[0] dude[0] is[0] being[0] harassed[-2] not[0] only[0] by[0] the[0] big[0] lebowski[0] himself[0] but[0] also[0] by[0] treehorn[0] and[0] by[0] a[0] group[0] of[0] german[-1] nihilists[0] who[0] demand[0] the[0] ransom[0] money[0] even[0] though[0] they[0] may[0] not[0] have[0] been[0] involved[0] in[0] the[0] kidnapping[0] in[0] the[0] first[0] place[0] the[0] dude[0] and[0] walter[0] suspect[-1] that[0] bunny[0] may[0] well[0] have[0] kidnapped[0] herself[0] in[0] order[0] to[0] extort[0] money[0] from[0] her[0] husband[0] to[0] repay[0] her[0] debts[0] to[0] treehorn[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
