like the great musical pieces of mozart himself , amadeus is a true work of art . 	Translation	Positive	Negative	EmotionRationale
it is one of those few movies of the 80's that will be known for its class , its style , and its intelligence . 	it is one of those few movies of the 80's that will be known for its class , its style , and its intelligence .	1	-1	 it[0] is[0] one[0] of[0] those[0] few[0] movies[0] of[0] the[0] 80's[0] that[0] will[0] be[0] known[0] for[0] its[0] class[0] its[0] style[0] and[0] its[0] intelligence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why is this such a good film ? 	why is this such a good film ?	2	-1	 why[0] is[0] this[0] such[0] a[0] good[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are almost too many reasons to explain . 	there are almost too many reasons to explain .	1	-1	 there[0] are[0] almost[0] too[0] many[0] reasons[0] to[0] explain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story : court composer salieri ( f . 	the story : court composer salieri ( f .	1	-1	 the[0] story[0] court[0] composer[0] salieri[0] f[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
murray abraham ) feels waves of different emotions going through his head as wolfgang amadeus mozart ( tom hulce ) comes into his life as the young genius composer . 	murray abraham ) feels waves of different emotions going through his head as wolfgang amadeus mozart ( tom hulce ) comes into his life as the young genius composer .	1	-1	 murray[0] abraham[0] feels[0] waves[0] of[0] different[0] emotions[0] going[0] through[0] his[0] head[0] as[0] wolfgang[0] amadeus[0] mozart[0] tom[0] hulce[0] comes[0] into[0] his[0] life[0] as[0] the[0] young[0] genius[0] composer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
salieri feels envy , and jealousy , but at the same time is fascinated with mozart's brilliance and ingenious . 	salieri feels envy , and jealousy , but at the same time is fascinated with mozart's brilliance and ingenious .	2	-3	 salieri[0] feels[0] envy[-2] and[0] jealousy[-2] but[0] at[0] the[0] same[0] time[0] is[0] fascinated[0] with[0] mozart's[0] brilliance[1] and[0] ingenious[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we travel through mozart's life as a composer , through his struggles , his triumphs , and ultimately , his demise . 	we travel through mozart's life as a composer , through his struggles , his triumphs , and ultimately , his demise .	3	-2	 we[0] travel[0] through[0] mozart's[0] life[0] as[0] a[0] composer[0] through[0] his[0] struggles[-1] his[0] triumphs[2] and[0] ultimately[0] his[0] demise[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the acting : abraham is magnificient as salieri ; his acting range enables him to focus on each individual emotion and express it through his speech and body language . 	the acting : abraham is magnificient as salieri ; his acting range enables him to focus on each individual emotion and express it through his speech and body language .	4	-1	 the[0] acting[0] abraham[0] is[0] magnificient[3] as[0] salieri[0] his[0] acting[0] range[0] enables[0] him[0] to[0] focus[0] on[0] each[0] individual[0] emotion[0] and[0] express[0] it[0] through[0] his[0] speech[0] and[0] body[0] language[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this performance earned him a well deserved oscar . 	this performance earned him a well deserved oscar .	1	-1	 this[0] performance[0] earned[0] him[0] a[0] well[0] deserved[0] oscar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tom hulce is interesting as well as mozart , a quirky , annoying bratty kid with an annoying laugh . 	tom hulce is interesting as well as mozart , a quirky , annoying bratty kid with an annoying laugh .	2	-3	 tom[0] hulce[0] is[0] interesting[1] as[0] well[0] as[0] mozart[0] a[0] quirky[0] annoying[-2] bratty[0] kid[0] with[0] an[0] annoying[-2] laugh[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
