elizabeth is a potent historical drama set in england in the mid-1500s . 	Translation	Positive	Negative	EmotionRationale
it is a time when stately royal ceremonies are as commonplace as public burnings . 	it is a time when stately royal ceremonies are as commonplace as public burnings .	1	-2	 it[0] is[0] a[0] time[0] when[0] stately[0] royal[0] ceremonies[0] are[0] as[0] commonplace[0] as[0] public[0] burnings[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
internally , the catholics wage war against the protestants . 	internally , the catholics wage war against the protestants .	1	-3	 internally[0] the[0] catholics[0] wage[0] war[-2] against[-1] the[0] protestants[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , spain , scotland and france strategize their next moves in the struggle for power . 	meanwhile , spain , scotland and france strategize their next moves in the struggle for power .	1	-2	 meanwhile[0] spain[0] scotland[0] and[0] france[0] strategize[0] their[0] next[0] moves[0] in[0] the[0] struggle[-1] for[0] power[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
little does england know that a young woman named elizabeth ( cate blanchett ) will be their greatest hope for survival . 	little does england know that a young woman named elizabeth ( cate blanchett ) will be their greatest hope for survival .	4	-1	 little[0] does[0] england[0] know[0] that[0] a[0] young[0] woman[0] named[0] elizabeth[0] cate[0] blanchett[0] will[0] be[0] their[0] greatest[2] hope[2][+1 MultiplePositiveWords] for[0] survival[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film charts elizabeth's tumultuous struggle to gain true power over her kingdom . 	the film charts elizabeth's tumultuous struggle to gain true power over her kingdom .	2	-2	 the[0] film[0] charts[0] elizabeth's[0] tumultuous[0] struggle[-1] to[0] gain[0] true[1] power[0] over[0] her[0] kingdom[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a protestant , she is the last person any of the catholic royalty would want to be queen . 	as a protestant , she is the last person any of the catholic royalty would want to be queen .	1	-2	 as[0] a[0] protestant[-1] she[0] is[0] the[0] last[0] person[0] any[0] of[0] the[0] catholic[0] royalty[0] would[0] want[0] to[0] be[0] queen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but her half-sister queen mary ( kathy burke ) , deathly ill and unable to conceive a child , pleas with elizabeth to take over the throne . 	but her half-sister queen mary ( kathy burke ) , deathly ill and unable to conceive a child , pleas with elizabeth to take over the throne .	1	-3	 but[0] her[0] half[0] sister[0] queen[0] mary[0] kathy[0] burke[0] deathly[-2] ill[-1] and[0] unable[0] to[0] conceive[0] a[0] child[0] pleas[0] with[0] elizabeth[0] to[0] take[0] over[0] the[0] throne[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mary gives her her blessing on only one condition : that elizabeth renounce her faith and uphold the teachings of catholicism across the land . 	mary gives her her blessing on only one condition : that elizabeth renounce her faith and uphold the teachings of catholicism across the land .	2	-2	 mary[0] gives[0] her[0] her[0] blessing[1] on[0] only[0] one[0] condition[0] that[0] elizabeth[0] renounce[-1] her[0] faith[1] and[0] uphold[0] the[0] teachings[0] of[0] catholicism[0] across[0] the[0] land[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once declared queen , elizabeth immediately finds herself under assault , both by her own subjects ( including the duke of norfolk , played with steely-eyed grace by christopher eccleston ) and by forces abroad . 	once declared queen , elizabeth immediately finds herself under assault , both by her own subjects ( including the duke of norfolk , played with steely-eyed grace by christopher eccleston ) and by forces abroad .	3	-3	 once[0] declared[0] queen[0] elizabeth[0] immediately[0] finds[0] herself[0] under[0] assault[-2] both[0] by[0] her[0] own[0] subjects[0] including[0] the[0] duke[0] of[0] norfolk[0] played[0] with[0] steely[0] eyed[0] grace[2] by[0] christopher[0] eccleston[0] and[0] by[0] forces[0] abroad[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
slowly but surely , the neophyte ruler takes england by its reigns and forges a new path for her kingdom . 	slowly but surely , the neophyte ruler takes england by its reigns and forges a new path for her kingdom .	1	-1	 slowly[0] but[0] surely[0] the[0] neophyte[0] ruler[0] takes[0] england[0] by[0] its[0] reigns[0] and[0] forges[0] a[0] new[0] path[0] for[0] her[0] kingdom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
elizabeth is surrounded by a keenly drawn cadre of subjects and advisers . 	elizabeth is surrounded by a keenly drawn cadre of subjects and advisers .	1	-1	 elizabeth[0] is[0] surrounded[0] by[0] a[0] keenly[0] drawn[0] cadre[0] of[0] subjects[0] and[0] advisers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her closest ally is the mysterious sir francis walsingham ( geoffrey rush , in a perfectly subtle performance ) . 	her closest ally is the mysterious sir francis walsingham ( geoffrey rush , in a perfectly subtle performance ) .	2	-1	 her[0] closest[0] ally[0] is[0] the[0] mysterious[0] sir[0] francis[0] walsingham[0] geoffrey[0] rush[0] in[0] a[0] perfectly[1] subtle[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also on her side is sir william cecil ( sir richard attenborough ) , her well-meaning but misguided chief adviser . 	also on her side is sir william cecil ( sir richard attenborough ) , her well-meaning but misguided chief adviser .	1	-1	 also[0] on[0] her[0] side[0] is[0] sir[0] william[0] cecil[0] sir[0] richard[0] attenborough[0] her[0] well[0] meaning[0] but[0] misguided[0] chief[0] adviser[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with few people she can trust , elizabeth must prove her self-worth any way she can , even if it means being the iron-fisted ruler she secretly despises . 	with few people she can trust , elizabeth must prove her self-worth any way she can , even if it means being the iron-fisted ruler she secretly despises .	2	-4	 with[0] few[0] people[0] she[0] can[0] trust[1] elizabeth[0] must[0] prove[0] her[0] self[0] worth[0] any[0] way[0] she[0] can[0] even[0] if[0] it[0] means[0] being[0] the[0] iron[0] fisted[0] ruler[0] she[0] secretly[0] despises[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
blanchett deserves an oscar for her performance as elizabeth . 	blanchett deserves an oscar for her performance as elizabeth .	1	-1	 blanchett[0] deserves[0] an[0] oscar[0] for[0] her[0] performance[0] as[0] elizabeth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she portrays the young queen with just the right balance of gawky self-consciousness and shrewd charisma . 	she portrays the young queen with just the right balance of gawky self-consciousness and shrewd charisma .	1	-1	 she[0] portrays[0] the[0] young[0] queen[0] with[0] just[0] the[0] right[0] balance[0] of[0] gawky[0] self[0] consciousness[0] and[0] shrewd[0] charisma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though not a classical beauty , blanchett is able to entrance the viewer with just a coy smile or an impish smirk . 	though not a classical beauty , blanchett is able to entrance the viewer with just a coy smile or an impish smirk .	3	-1	 though[0] not[0] a[0] classical[0] beauty[2] blanchett[0] is[0] able[0] to[0] entrance[0] the[0] viewer[0] with[0] just[0] a[0] coy[0] smile[2] or[0] an[0] impish[0] smirk[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she is at home with her character's playful tendencies , particularly in one scene where elizabeth dances unabashedly with childhood friend and lover lord robert dudley ( joseph fiennes ) . 	she is at home with her character's playful tendencies , particularly in one scene where elizabeth dances unabashedly with childhood friend and lover lord robert dudley ( joseph fiennes ) .	4	-1	 she[0] is[0] at[0] home[0] with[0] her[0] character's[0] playful[1] tendencies[0] particularly[0] in[0] one[0] scene[0] where[0] elizabeth[0] dances[0] unabashedly[0] with[0] childhood[0] friend[1] and[0] lover[3] lord[0] robert[0] dudley[0] joseph[0] fiennes[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
whether fending off unctuous suitors or " playing " the houses in court , blanchett's elizabeth radiates a confidence which impossible to dislike . 	whether fending off unctuous suitors or " playing " the houses in court , blanchett's elizabeth radiates a confidence which impossible to dislike .	2	-3	 whether[0] fending[0] off[0] unctuous[0] suitors[0] or[0] playing[1] the[0] houses[0] in[0] court[0] blanchett's[0] elizabeth[0] radiates[0] a[0] confidence[1] which[0] impossible[0] to[0] dislike[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
almost as interesting as the character of elizabeth are shekhar kapur's visual delights . 	almost as interesting as the character of elizabeth are shekhar kapur's visual delights .	3	-1	 almost[0] as[0] interesting[1] as[0] the[0] character[0] of[0] elizabeth[0] are[0] shekhar[0] kapur's[0] visual[0] delights[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he and cinematographer remi adefarasin have crafted a film with a rich color palette that is a feast for the eyes . 	he and cinematographer remi adefarasin have crafted a film with a rich color palette that is a feast for the eyes .	1	-1	 he[0] and[0] cinematographer[0] remi[0] adefarasin[0] have[0] crafted[0] a[0] film[0] with[0] a[0] rich[0] color[0] palette[0] that[0] is[0] a[0] feast[0] for[0] the[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rolling green hills , extravagant ceremonial galas , dark and foreboding corridors -- all are depicted with a real sense of artistic appreciation . 	rolling green hills , extravagant ceremonial galas , dark and foreboding corridors - all are depicted with a real sense of artistic appreciation .	2	-2	 rolling[0] green[0] hills[0] extravagant[-1] ceremonial[0] galas[0] dark[0] and[0] foreboding[-1] corridors[0] all[0] are[0] depicted[0] with[0] a[0] real[0] sense[0] of[0] artistic[0] appreciation[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the castles and cathedrals of europe have rarely been doted on so lovingly as they are here . 	the castles and cathedrals of europe have rarely been doted on so lovingly as they are here .	4	-1	 the[0] castles[0] and[0] cathedrals[0] of[0] europe[0] have[0] rarely[0] been[0] doted[0] on[0] so[0] lovingly[3] as[0] they[0] are[0] here[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
