the reunion film is not an original idea in any way , shape , or form . 	Translation	Positive	Negative	EmotionRationale
it's been done throughout film history over and over again , and has become one of the many sub-genres , like the prep school sub-genre , the angst-filled teen sub-genre , and the slasher sub-genre . 	it's been done throughout film history over and over again , and has become one of the many sub-genres , like the prep school sub-genre , the angst-filled teen sub-genre , and the slasher sub-genre .	2	-2	 it's[0] been[0] done[0] throughout[0] film[0] history[0] over[0] and[0] over[0] again[0] and[0] has[0] become[0] one[0] of[0] the[0] many[0] sub[0] genres[0] like[1] the[0] prep[0] school[0] sub[0] genre[0] the[0] angst[0] filled[0] teen[0] sub[0] genre[0] and[0] the[0] slasher[-1] sub[0] genre[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what makes " peter's friends " so remarkable is not how it doesn't follow the rules of this sub-genre , but how it follows it so well , and creates characters that i wouldn't mind hanging with . 	what makes " peter's friends " so remarkable is not how it doesn't follow the rules of this sub-genre , but how it follows it so well , and creates characters that i wouldn't mind hanging with .	2	-1	 what[0] makes[0] peter's[0] friends[1] so[0] remarkable[0] is[0] not[0] how[0] it[0] doesn't[0] follow[0] the[0] rules[0] of[0] this[0] sub[0] genre[0] but[0] how[0] it[0] follows[0] it[0] so[0] well[0] and[0] creates[0] characters[0] that[0] i[0] wouldn't[0] mind[0] hanging[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what are the rules of the reunion sub-genre ? 	what are the rules of the reunion sub-genre ?	1	-1	 what[0] are[0] the[0] rules[0] of[0] the[0] reunion[0] sub[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well . . . . 	well .<br> .<br> .<br> .	1	-1	 well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 . you need a group of friends , most of them married or at least dating , and sometimes even married or dating eachother . 	1 .<br> you need a group of friends , most of them married or at least dating , and sometimes even married or dating eachother .	2	-1	 1[0] [[Sentence=-1,1=word max, 1-5]] you[0] need[0] a[0] group[0] of[0] friends[1] most[0] of[0] them[0] married[0] or[0] at[0] least[0] dating[0] and[0] sometimes[0] even[0] married[0] or[0] dating[0] eachother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2 . you need to have them brought back together over some sort of a crisis . 	2 .<br> you need to have them brought back together over some sort of a crisis .	1	-3	 2[0] [[Sentence=-1,1=word max, 1-5]] you[0] need[0] to[0] have[0] them[0] brought[0] back[0] together[0] over[0] some[0] sort[0] of[0] a[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
3 . they are not to have spoken together much since they split apart . 	3 .<br> they are not to have spoken together much since they split apart .	1	-1	 3[0] [[Sentence=-1,1=word max, 1-5]] they[0] are[0] not[0] to[0] have[0] spoken[0] together[0] much[0] since[0] they[0] split[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4 . the reunion has to come in intervals divisible by 10 . 	4 .<br> the reunion has to come in intervals divisible by 10 .	1	-1	 4[0] [[Sentence=-1,1=word max, 1-5]] the[0] reunion[0] has[0] to[0] come[0] in[0] intervals[0] divisible[0] by[0] 10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5 . they all have to be slightly to highly neurotic . 	5 .<br> they all have to be slightly to highly neurotic .	1	-3	 5[0] [[Sentence=-1,1=word max, 1-5]] they[0] all[0] have[0] to[0] be[0] slightly[0] to[0] highly[0] neurotic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
6 . the reunion has to bring them together , seperate them with little crises , then bring them back together because , after all , they're friends . 	6 .<br> the reunion has to bring them together , seperate them with little crises , then bring them back together because , after all , they're friends .	2	-1	 6[0] [[Sentence=-1,1=word max, 1-5]] the[0] reunion[0] has[0] to[0] bring[0] them[0] together[0] seperate[0] them[0] with[0] little[0] crises[0] then[0] bring[0] them[0] back[0] together[0] because[0] after[0] all[0] they're[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
