i don't know how many other people have had the idea cross their mind that their life could be an ongoing television show watched by another world of people , but it's something i used to wonder about when i was younger . 	Translation	Positive	Negative	EmotionRationale
i can't decide if i first thought it because i watched a lot of tv or because my brother hit me in the head with a baseball bat , but i'm pretty sure andrew niccol , screenwriter for the truman show , has had the same curious thought . 	i can't decide if i first thought it because i watched a lot of tv or because my brother hit me in the head with a baseball bat , but i'm pretty sure andrew niccol , screenwriter for the truman show , has had the same curious thought .	3	-1	 i[0] can't[0] decide[0] if[0] i[0] first[0] thought[0] it[0] because[0] i[0] watched[0] a[0] lot[0] of[0] tv[0] or[0] because[0] my[0] brother[0] hit[0] me[0] in[0] the[0] head[0] with[0] a[0] baseball[0] bat[0] but[0] i'm[0] pretty[2] sure[0] andrew[0] niccol[0] screenwriter[0] for[0] the[0] truman[0] show[0] has[0] had[0] the[0] same[0] curious[0] thought[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the truman show is about a man ( jim carrey ) whose entire life has been engineered by a corporation and marketed to the public . 	the truman show is about a man ( jim carrey ) whose entire life has been engineered by a corporation and marketed to the public .	1	-1	 the[0] truman[0] show[0] is[0] about[0] a[0] man[0] jim[0] carrey[0] whose[0] entire[0] life[0] has[0] been[0] engineered[0] by[0] a[0] corporation[0] and[0] marketed[0] to[0] the[0] public[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since birth , he's been living in the fictional island town of seahaven , fla . , which actually exists as a giant domed set just beyond the hollywood sign . 	since birth , he's been living in the fictional island town of seahaven , fla .<br> , which actually exists as a giant domed set just beyond the hollywood sign .	1	-1	 since[0] birth[0] he's[0] been[0] living[0] in[0] the[0] fictional[0] island[0] town[0] of[0] seahaven[0] fla[0] [[Sentence=-1,1=word max, 1-5]] which[0] actually[0] exists[0] as[0] a[0] giant[0] domed[0] set[0] just[0] beyond[0] the[0] hollywood[0] sign[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the people in truman burbank's life are actors , and the anonymous townfolk paid extras . 	all the people in truman burbank's life are actors , and the anonymous townfolk paid extras .	1	-1	 all[0] the[0] people[0] in[0] truman[0] burbank's[0] life[0] are[0] actors[0] and[0] the[0] anonymous[0] townfolk[0] paid[0] extras[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people watch truman's life 24 hours a day , live , with no commercial interruptions . 	people watch truman's life 24 hours a day , live , with no commercial interruptions .	1	-2	 people[0] watch[0] truman's[0] life[0] 24[0] hours[0] a[0] day[0] live[0] with[0] no[0] commercial[0] interruptions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
revenue comes instead from product placement , a staple of contemporary hollywood , with truman's friends and relatives describing their consumer items in cheerful and optimistic tones . 	revenue comes instead from product placement , a staple of contemporary hollywood , with truman's friends and relatives describing their consumer items in cheerful and optimistic tones .	3	-1	 revenue[0] comes[0] instead[0] from[0] product[0] placement[0] a[0] staple[0] of[0] contemporary[0] hollywood[0] with[0] truman's[0] friends[1] and[0] relatives[0] describing[0] their[0] consumer[0] items[0] in[0] cheerful[2] and[0] optimistic[1] tones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the sun rises and sets on cue and everyone likes everyone else . 	the sun rises and sets on cue and everyone likes everyone else .	3	-1	 the[0] sun[0] rises[0] and[0] sets[0] on[0] cue[0] and[0] everyone[0] likes[2] everyone[0] else[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even if you haven't seen the truman show , you've probably learned most of the crucial details from the commercials , the trailer and other promotion blitzes . 	even if you haven't seen the truman show , you've probably learned most of the crucial details from the commercials , the trailer and other promotion blitzes .	1	-1	 even[0] if[0] you[0] haven't[0] seen[0] the[0] truman[0] show[0] you've[0] probably[0] learned[0] most[0] of[0] the[0] crucial[0] details[0] from[0] the[0] commercials[0] the[0] trailer[0] and[0] other[0] promotion[0] blitzes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if anything i've written so far is a surprise to you , then i pity you for making me a primary source for your entertainment news . 	if anything i've written so far is a surprise to you , then i pity you for making me a primary source for your entertainment news .	1	-2	 if[0] anything[0] i've[0] written[0] so[0] far[0] is[0] a[0] surprise[0] to[0] you[0] then[0] i[0] pity[-1] you[0] for[0] making[0] me[0] a[0] primary[0] source[-1] for[0] your[0] entertainment[0] news[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
either way , you should probably know the premise of the truman show going into it , because otherwise you'll probably think it sucks . 	either way , you should probably know the premise of the truman show going into it , because otherwise you'll probably think it sucks .	1	-2	 either[0] way[0] you[0] should[0] probably[0] know[0] the[0] premise[0] of[0] the[0] truman[0] show[0] going[0] into[0] it[0] because[0] otherwise[0] you'll[0] probably[0] think[0] it[0] sucks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
