american pie acknowledges a cold , hard fact that most movies don't : it is very difficult to get laid . 	Translation	Positive	Negative	EmotionRationale
its four virgin heroes are jim ( biggs ) , a chronic masturbator , kev ( nicholas ) , who desperately wants to deflower his girlfriend ( reid ) , oz ( klein ) , a lacrosse player whose approach requires some fine tuning , and finch ( eddie kaye thomas ) , a germphobe ( his crass nickname is hilarious , but i won't spoil it here ) who pays a classmate to spread rumours about the size of his member . 	its four virgin heroes are jim ( biggs ) , a chronic masturbator , kev ( nicholas ) , who desperately wants to deflower his girlfriend ( reid ) , oz ( klein ) , a lacrosse player whose approach requires some fine tuning , and finch ( eddie kaye thomas ) , a germphobe ( his crass nickname is hilarious , but i won't spoil it here ) who pays a classmate to spread rumours about the size of his member .	3	-3	 its[0] four[0] virgin[0] heroes[2] are[0] jim[0] biggs[0] a[0] chronic[-2] masturbator[0] kev[0] nicholas[0] who[0] desperately[-2] wants[0] to[0] deflower[0] his[0] girlfriend[0] reid[0] oz[0] klein[0] a[0] lacrosse[0] player[0] whose[0] approach[0] requires[0] some[0] fine[2][-1 LastWordBoosterStrength] tuning[0] and[0] finch[0] eddie[0] kaye[0] thomas[0] a[0] germphobe[-1] his[0] crass[-1] nickname[0] is[0] hilarious[2] but[0] i[0] won't[0] spoil[-1][NegatedDueToPreviousWord] it[0] here[0] who[0] pays[0] a[0] classmate[0] to[0] spread[0] rumours[0] about[0] the[0] size[0] of[0] his[0] member[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jim , kev , oz and finch attend a high school in suburban michigan full of so many impossibly beautiful women it's no wonder they're horny all the time . 	jim , kev , oz and finch attend a high school in suburban michigan full of so many impossibly beautiful women it's no wonder they're horny all the time .	3	-1	 jim[0] kev[0] oz[0] and[0] finch[0] attend[0] a[0] high[0] school[0] in[0] suburban[0] michigan[0] full[0] of[0] so[0] many[0] impossibly[0] beautiful[2] women[0] it's[0] no[0] wonder[0] they're[0] horny[0] all[0] the[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after a party at their studly friend stifler's ( seann william scott , in the film's sharpest performance ) house leaves them sexually unsatisfied , the quartet make a pact : to " lose it " by graduation-specifically , prom night , which is only a few weeks away . 	after a party at their studly friend stifler's ( sean william scot , in the film's sharpest performance ) house leaves them sexually unsatisfied , the quartet make a pact : to " lose it " by graduation-specifically , prom night , which is only a few weeks away .	2	-2	 after[0] a[0] party[0] at[0] their[0] studly[0] friend[1] stifler's[-1] seann/sean[0] william[0] scott/scot[0] in[0] the[0] film's[0] sharpest[0] performance[0] house[0] leaves[0] them[0] sexually[0] unsatisfied[0] the[0] quartet[0] make[0] a[0] pact[0] to[0] lose[-1] it[0] by[0] graduation[0] specifically[0] prom[0] night[0] which[0] is[0] only[0] a[0] few[0] weeks[0] away[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
american pie is in the tradition of bachelor party or revenge of the nerds . 	american pie is in the tradition of bachelor party or revenge of the nerds .	1	-3	 american[0] pie[0] is[0] in[0] the[0] tradition[0] of[0] bachelor[0] party[0] or[0] revenge[-1] of[0] the[0] nerds[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
almost every conversation these characters have revolves around makin' whoopee . 	almost every conversation these characters have revolves around makin' whoopee .	1	-1	 almost[0] every[0] conversation[0] these[0] characters[0] have[0] revolves[0] around[0] makin'[0] whoopee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all women are there to be ogled . 	all women are there to be ogled .	1	-1	 all[0] women[0] are[0] there[0] to[0] be[0] ogled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( alyson hannigan's perky music student is the only memorable female of the bunch . ) 	 ( alyson hannigan's perky music student is the only memorable female of the bunch .<br> )	1	-1	 alyson[0] hannigan's[0] perky[0] music[0] student[0] is[0] the[0] only[0] memorable[0] female[0] of[0] the[0] bunch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
situations abound that defy logic only to arouse and/or amuse its core audience , adolescent boys . 	situations abound that defy logic only to arouse and/or amuse its core audience , adolescent boys .	2	-2	 situations[0] abound[0] that[0] defy[-1] logic[0] only[0] to[0] arouse[0] and/or[0] amuse[1] its[0] core[0] audience[0] adolescent[0] boys[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( to arouse : nadia's ( shannon elizabeth ) internet striptease-an unexpectedly raucous ( and guiltily pleasurable ) sequence . 	 ( to arouse : nadia's ( shannon elizabeth ) internet striptease-an unexpectedly raucous ( and guiltily pleasurable ) sequence .	3	-4	 to[0] arouse[0] nadia's[0] shannon[0] elizabeth[0] internet[0] striptease[0] an[0] unexpectedly[-1] raucous[0] and[0] guiltily[-3] pleasurable[2] sequence[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
to amuse : jim's lusty encounter with a hot apple pie . ) 	to amuse : jim's lusty encounter with a hot apple pie .<br> )	2	-1	 to[0] amuse[1] jim's[0] lusty[0] encounter[0] with[0] a[0] hot[0] apple[0] pie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what differentiates american pie from those dirty eighties comedies , aside from a very nineties obsession with bodily fluids * , is a cast that's light years more appealing than that of , say , just one of the guys . 	what differentiates american pie from those dirty eighties comedies , aside from a very nineties obsession with bodily fluids * , is a cast that's light years more appealing than that of , say , just one of the guys .	1	-3	 what[0] differentiates[0] american[0] pie[0] from[0] those[0] dirty[-1] eighties[0] comedies[0] aside[0] from[0] a[0] very[0] nineties[0] obsession[-2] with[0] bodily[0] fluids[0] is[0] a[0] cast[0] that's[0] light[0] years[0] more[0] appealing[0] than[0] that[0] of[0] say[0] just[0] one[0] of[0] the[0] guys[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
two more standouts : klein and " sctv " 's eugene levy . 	two more standouts : klein and " sctv " 's eugene levy .	1	-1	 two[0] more[0] standouts[0] klein[0] and[0] sctv[0] 's[0] eugene[0] levy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
klein plays a kind-hearted athlete for the second time in a row , after alexander payne's underappreciated election . 	klein plays a kind-hearted athlete for the second time in a row , after alexander payne's underappreciated election .	2	-1	 klein[0] plays[1] a[0] kind[1] hearted[0] athlete[0] for[0] the[0] second[0] time[0] in[0] a[0] row[0] after[0] alexander[0] payne's[0] underappreciated[0] election[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i hope to see more of this warm actor with the disarmingly honest face very soon . 	i hope to see more of this warm actor with the disarmingly honest face very soon .	3	-1	 i[0] hope[2] to[0] see[0] more[0] of[0] this[0] warm[0] actor[0] with[0] the[0] disarmingly[0] honest[0] face[0] very[0] soon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
levy's is the most crowd-pleasing performance , and indeed , it's nice to see him back on the big screen in a role that makes wonderful use of that expressive brow . 	levy's is the most crowd-pleasing performance , and indeed , it's nice to see him back on the big screen in a role that makes wonderful use of that expressive brow .	3	-1	 levy's[0] is[0] the[0] most[0] crowd[0] pleasing[2] performance[0] and[0] indeed[0] it's[0] nice[1] to[0] see[0] him[0] back[0] on[0] the[0] big[0] screen[0] in[0] a[0] role[0] that[0] makes[0] wonderful[2] use[0] of[0] that[0] expressive[0] brow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
american pie also wants to emulate the teen flicks your parents _would_ let you watch growing up . 	american pie also wants to emulate the teen flicks your parents _would_ let you watch growing up .	1	-1	 american[0] pie[0] also[0] wants[0] to[0] emulate[0] the[0] teen[0] flicks[0] your[0] parents[0] _would_[0] let[0] you[0] watch[0] growing[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it skillfully employs a broad mix of pop tunes , much like john hughes' movies did , and even pays homage to the breakfast club a couple of times , most evidently when the prom band covers simple minds' " don't you ( forget about me ) . " 	it skilfully employs a broad mix of pop tunes , much like john hughes' movies did , and even pays homage to the breakfast club a couple of times , most evidently when the prom band covers simple minds' " don't you ( forget about me ) .<br> "	2	-1	 it[0] skillfully/skilfully[0] employs[0] a[0] broad[0] mix[0] of[0] pop[0] tunes[0] much[0] like[1] john[0] hughes'[0] movies[0] did[0] and[0] even[0] pays[0] homage[0] to[0] the[0] breakfast[0] club[0] a[0] couple[0] of[0] times[0] most[0] evidently[0] when[0] the[0] prom[0] band[0] covers[0] simple[0] minds'[0] don't[0] you[0] forget[0] about[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the picture ultimately has a healthy , if obligatory , attitude towards safe sex-even at their most libidinous , american pie's protagonists first whip out a condom . 	the picture ultimately has a healthy , if obligatory , attitude towards safe sex-even at their most libidinous , american pie's protagonists first whip out a condom .	2	-2	 the[0] picture[0] ultimately[0] has[0] a[0] healthy[0] if[0] obligatory[0] attitude[0] towards[0] safe[1] sex[0] even[0] at[0] their[0] most[0] libidinous[0] american[0] pie's[0] protagonists[0] first[0] whip[-1] out[0] a[0] condom[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the filmmakers prove that socially responsible raunch is possible . 	the filmmakers prove that socially responsible raunch is possible .	1	-1	 the[0] filmmakers[0] prove[0] that[0] socially[0] responsible[0] raunch[0] is[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for its familiarity and for its charming leads , i recommend american pie , but the buzz on this film had me expecting something . . . fresher . 	for its familiarity and for its charming leads , i recommend american pie , but the buz on this film had me expecting something .<br> .<br> .<br> fresher .	2	-1	 for[0] its[0] familiarity[0] and[0] for[0] its[0] charming[1] leads[0] i[0] recommend[0] american[0] pie[0] but[0] the[0] buzz/buz[0] on[0] this[0] film[0] had[0] me[0] expecting[0] something[0] [[Sentence=-1,2=word max, 1-5]] fresher[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
as far as the new teen cinema goes , it's at the top of the heap . 	as far as the new teen cinema goes , it's at the top of the heap .	1	-1	 as[0] far[0] as[0] the[0] new[0] teen[0] cinema[0] goes[0] it's[0] at[0] the[0] top[0] of[0] the[0] heap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * don't say i didn't warn you about the party scene . 	 * don't say i didn't warn you about the party scene .	1	-1	 don't[0] say[0] i[0] didn't[0] warn[0] you[0] about[0] the[0] party[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
