this film is based on the campy tv show from the 1960's under the same appellation . 	Translation	Positive	Negative	EmotionRationale
mind you , most people ( including yours truly ) who will see this movie will not have seen any episodes from the original series . 	mind you , most people ( including yours truly ) who will see this movie will not have seen any episodes from the original series .	2	-1	 mind[0] you[0] most[0] people[0] including[0] yours[0] truly[1] who[0] will[0] see[0] this[0] movie[0] will[0] not[0] have[0] seen[0] any[0] episodes[0] from[0] the[0] original[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is really a stand alone in that regard . 	the movie is really a stand alone in that regard .	1	-1	 the[0] movie[0] is[0] really[0] a[0] stand[0] alone[0] in[0] that[0] regard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the family robinson . . . lost in space . 	the family robinson .<br> .<br> .<br> lost in space .	1	-1	 the[0] family[0] robinson[0] [[Sentence=-1,1=word max, 1-5]] lost[0] in[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plot : set in the year 2058 , the family robinson is chosen to sail out into space in search of other planets that might contain the natural resources earth needs in order to survive its future . 	plot : set in the year 2058 , the family robinson is chosen to sail out into space in search of other planets that might contain the natural resources earth needs in order to survive its future .	1	-1	 plot[0] set[0] in[0] the[0] year[0] 2058[0] the[0] family[0] robinson[0] is[0] chosen[0] to[0] sail[0] out[0] into[0] space[0] in[0] search[0] of[0] other[0] planets[0] that[0] might[0] contain[0] the[0] natural[0] resources[0] earth[0] needs[0] in[0] order[0] to[0] survive[0] its[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a colonization process , if you will . 	a colonization process , if you will .	1	-1	 a[0] colonization[0] process[0] if[0] you[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are joined by able pilot west ( leblanc ) , and evil uninvited stowaway ( oldman ) , who does not want to see the trip conclude on a successful tip . 	they are joined by able pilot west ( leblanc ) , and evil uninvited stowaway ( oldman ) , who does not want to see the trip conclude on a successful tip .	3	-3	 they[0] are[0] joined[0] by[0] able[0] pilot[0] west[0] leblanc[0] and[0] evil[-2] uninvited[0] stowaway[0] oldman[0] who[0] does[0] not[0] want[0] to[0] see[0] the[0] trip[0] conclude[0] on[0] a[0] successful[2] tip[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
eventually , their trek goes awry , and all are " lost in space " . 	eventually , their trek goes awry , and all are " lost in space " .	1	-1	 eventually[0] their[0] trek[0] goes[0] awry[0] and[0] all[0] are[0] lost[0] in[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " how do get back to earth ? " 	 " how do get back to earth ?<br> "	1	-1	 how[0] do[0] get[0] back[0] to[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is the question that infests the rest of this sci-fi epic . 	is the question that infests the rest of this sci-fi epic .	1	-3	 is[0] the[0] question[0] that[0] infests[-2] the[0] rest[0] of[0] this[0] sci[0] fi[0] epic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : this film reminded me a lot of the fifth element ( 6 . 5/10 ) from the summer of 1997 . 	critique : this film reminded me a lot of the fifth element ( 6 .<br> 5/10 ) from the summer of 1997 .	1	-1	 critique[0] this[0] film[0] reminded[0] me[0] a[0] lot[0] of[0] the[0] fifth[0] element[0] 6[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] from[0] the[0] summer[0] of[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
