'contact' shows why jodie foster is one of our best actresses . 	Translation	Positive	Negative	EmotionRationale
see contact with your family . 	see contact with your family .	1	-1	 see[0] contact[0] with[0] your[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a movie for all ages . 	it is a movie for all ages .	1	-1	 it[0] is[0] a[0] movie[0] for[0] all[0] ages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--a review by stuart cracraft 	-a review by stuart cracraft	1	-1	 a[0] review[0] by[0] stuart[0] cracraft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
contact starring : jodie foster , matthew mcconaughey , john hurt director : robert zemeckis star 	contact starring : jodie foster , matthew mcconaughey , john hurt director : robert zemeckis star	1	-3	 contact[0] starring[0] jodie[0] foster[0] matthew[0] mcconaughey[0] john[0] hurt[-2] director[0] robert[0] zemeckis[0] star[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a predictable mit phillip morrison powers-of-10 zoom-out start ( which can be surprising to those not familiar with prof . morrison's work ) , contact picks up steam , gradually , building , by-the-end , an irresistable juggernaut and a very good movie that does not as is so often the case fall out-of-balance in terms of too much pandering to the technological " geek " side . 	after a predictable mit phillip morrison powers-of-10 zoom-out start ( which can be surprising to those not familiar with prof .<br> morrison's work ) , contact picks up steam , gradually , building , by-the-end , an irresistable juggernaut and a very good movie that does not as is so often the case fall out-of-balance in terms of too much pandering to the technological " geek " side .	3	-1	 after[0] a[0] predictable[0] mit[0] phillip[0] morrison[0] powers[0] of[0] -10[0] zoom[0] out[0] start[0] which[0] can[0] be[0] surprising[0] to[0] those[0] not[0] familiar[0] with[0] prof[0] [[Sentence=-1,1=word max, 1-5]] morrison's[0] work[0] contact[0] picks[0] up[0] steam[0] gradually[0] building[0] by[0] the[0] end[0] an[0] irresistable[0] juggernaut[0] and[0] a[0] very[0] good[1][1 LastWordBoosterStrength] movie[0] that[0] does[0] not[0] as[0] is[0] so[0] often[0] the[0] case[0] fall[0] out[0] of[0] balance[0] in[0] terms[0] of[0] too[0] much[0] pandering[0] to[0] the[0] technological[0] geek[0] side[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
by the end , the audience is left with what good science fiction is supposed to do : evoke a sense of wonder about the universe and evoke questions in your mind about what's out there . 	by the end , the audience is left with what good science fiction is supposed to do : evoke a sense of wonder about the universe and evoke questions in your mind about what's out there .	2	-1	 by[0] the[0] end[0] the[0] audience[0] is[0] left[0] with[0] what[0] good[1] science[0] fiction[0] is[0] supposed[0] to[0] do[0] evoke[0] a[0] sense[0] of[0] wonder[0] about[0] the[0] universe[0] and[0] evoke[0] questions[0] in[0] your[0] mind[0] about[0] what's[0] out[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie does not let technology overshadow characterization and in this sense it is unusual amongst high-tech movies . 	this movie does not let technology overshadow characterization and in this sense it is unusual amongst high-tech movies .	1	-1	 this[0] movie[0] does[0] not[0] let[0] technology[0] overshadow[0] characterization[0] and[0] in[0] this[0] sense[0] it[0] is[0] unusual[0] amongst[0] high[0] tech[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , except for jodie foster ( elie arroway ) and john hurt ( s . r . 	however , except for jodie foster ( elie arroway ) and john hurt ( s .<br> are .	1	-3	 however[0] except[0] for[0] jodie[0] foster[0] elie[0] arroway[0] and[0] john[0] hurt[-2] s[0] [[Sentence=-3,1=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
hadden ) , who are both actors of exceptional caliber , the supporting cast are not especially impressive . 	hadden ) , who are both actors of exceptional caliber , the supporting cast are not especially impressive .	2	-3	 hadden[0] who[0] are[0] both[0] actors[0] of[0] exceptional[0] caliber[0] the[0] supporting[1] cast[0] are[0] not[0] especially[0] impressive[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hurt certainly has had better roles ( stephen ward in scandal ) . 	hurt certainly has had better roles ( stephen ward in scandal ) .	1	-3	 hurt[-2] certainly[0] has[0] had[0] better[0] roles[0] stephen[0] ward[0] in[0] scandal[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this one , as the multi-billionare hadden , does not do his acting skills justice . 	this one , as the multi-billionare hadden , does not do his acting skills justice .	1	-1	 this[0] one[0] as[0] the[0] multi[0] billionare[0] hadden[0] does[0] not[0] do[0] his[0] acting[0] skills[0] justice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is clearly a foster movie by one of the great hollywood lights of our generation . 	this is clearly a foster movie by one of the great hollywood lights of our generation .	3	-1	 this[0] is[0] clearly[0] a[0] foster[0] movie[0] by[0] one[0] of[0] the[0] great[2] hollywood[0] lights[0] of[0] our[0] generation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
foster's radiance has never been more strong than in the scene where she finally meets the vegans on their terms . 	foster's radiance has never been more strong than in the scene where she finally meets the vegans on their terms .	3	-1	 foster's[0] radiance[2] has[0] never[0] been[0] more[0] strong[0] than[0] in[0] the[0] scene[0] where[0] she[0] finally[0] meets[0] the[0] vegans[0] on[0] their[0] terms[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
early scenes take a long , long time to build up to this . 	early scenes take a long , long time to build up to this .	1	-1	 early[0] scenes[0] take[0] a[0] long[0] long[0] time[0] to[0] build[0] up[0] to[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's pacing is very good and subtle . 	the movie's pacing is very good and subtle .	3	-1	 the[0] movie's[0] pacing[0] is[0] very[0] good[1][1 LastWordBoosterStrength] and[0] subtle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the panoramas of the radio dishes at arecibo and ceti in new mexico and puerto rico are beautiful . 	the panoramas of the radio dishes at arecibo and ceti in new mexico and puerto rico are beautiful .	3	-1	 the[0] panoramas[0] of[0] the[0] radio[0] dishes[0] at[0] arecibo[0] and[0] ceti[0] in[0] new[0] mexico[0] and[0] puerto[0] rico[0] are[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the politics of foster's character attempting to obtain funding for research at these places are trite and predictable however . 	the politics of foster's character attempting to obtain funding for research at these places are trite and predictable however .	1	-3	 the[0] politics[0] of[0] foster's[0] character[0] attempting[0] to[0] obtain[0] funding[0] for[0] research[0] at[0] these[0] places[0] are[0] trite[-2] and[0] predictable[0] however[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the most entertaining , but very short scenes , is when foster is confronted by rob lowe , during a cabinet-level presidential meeting to discuss the alien invitation . 	one of the most entertaining , but very short scenes , is when foster is confronted by rob lowe , during a cabinet-level presidential meeting to discuss the alien invitation .	1	-3	 one[0] of[0] the[0] most[0] entertaining[0] but[0] very[0] short[0] scenes[0] is[0] when[0] foster[0] is[0] confronted[-2] by[0] rob[0] lowe[-1] during[0] a[0] cabinet[0] level[0] presidential[0] meeting[0] to[0] discuss[0] the[0] alien[-1] invitation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there were real sparks in this scene between foster and lowe and it would behoove them to consider other vehicles in which this dynamism could be explored . 	there were real sparks in this scene between foster and lowe and it would behoove them to consider other vehicles in which this dynamism could be explored .	2	-2	 there[0] were[0] real[0] sparks[0] in[0] this[0] scene[0] between[0] foster[0] and[0] lowe[-1] and[0] it[0] would[0] behoove[0] them[0] to[0] consider[0] other[0] vehicles[0] in[0] which[0] this[0] dynamism[1] could[0] be[0] explored[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is the only scene in the movie in which there were tremendous dynamics between two characters . 	it is the only scene in the movie in which there were tremendous dynamics between two characters .	2	-1	 it[0] is[0] the[0] only[0] scene[0] in[0] the[0] movie[0] in[0] which[0] there[0] were[0] tremendous[0] dynamics[1] between[0] two[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
