a common complaint amongst film critics is " why aren't there more literate scripts available ? " 	Translation	Positive	Negative	EmotionRationale
quiz show gives signs of hope that the art of writing isn't dead in hollywood and that we need not only look to independent films for thoughtful content . 	quiz show gives signs of hope that the art of writing isn't dead in hollywood and that we need not only look to independent films for thoughtful content .	3	-1	 quiz[0] show[0] gives[0] signs[0] of[0] hope[2] that[0] the[0] art[0] of[0] writing[0] isn't[0] dead[-2][NegatedDueToPreviousWord] in[0] hollywood[0] and[0] that[0] we[0] need[0] not[0] only[0] look[0] to[0] independent[0] films[0] for[0] thoughtful[1] content[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
paul attanasio's script takes what could have been a tepid thriller ( the quiz show scandals of the late 50s ) and delivers a telling parable about the emptiness of the post war american dream and the golden bubble that surrounds and protects tv networks and their sponsors . 	paul attanasio's script takes what could have been a tepid thriller ( the quiz show scandals of the late 50s ) and delivers a telling parable about the emptiness of the post war american dream and the golden bubble that surrounds and protects tv networks and their sponsors .	2	-3	 paul[0] attanasio's[0] script[0] takes[0] what[0] could[0] have[0] been[0] a[0] tepid[0] thriller[1] the[0] quiz[0] show[0] scandals[-2] of[0] the[0] late[0] 50s[0] and[0] delivers[0] a[0] telling[0] parable[0] about[0] the[0] emptiness[-2] of[0] the[0] post[0] war[-2] american[0] dream[0] and[0] the[0] golden[0] bubble[0] that[0] surrounds[0] and[0] protects[0] tv[0] networks[0] and[0] their[0] sponsors[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film is riddled with telling symbols ( e . g . 	the film is riddled with telling symbols ( e .<br> grin� .	1	-1	 the[0] film[0] is[0] riddled[0] with[0] telling[0] symbols[0] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a '58 chrysler , a radio announcement of sputnik ) but is never heavy handed . 	a '58 chrysler , a radio announcement of sputnik ) but is never heavy handed .	1	-1	 a[0] '58[0] chrysler[0] a[0] radio[0] announcement[0] of[0] sputnik[0] but[0] is[0] never[0] heavy[0] handed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deft direction by robert redford and keen performances by ralph fiennes , john turturro and rob morrow dovetail perfectly with the carefully honed script . 	deft direction by robert redford and keen performances by ralph fiennes , john turturro and rob morrow dovetail perfectly with the carefully honed script .	2	-1	 deft[0] direction[0] by[0] robert[0] redford[0] and[0] keen[0] performances[0] by[0] ralph[0] fiennes[0] john[0] turturro[0] and[0] rob[0] morrow[0] dovetail[0] perfectly[1] with[0] the[0] carefully[0] honed[0] script[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
redford departs from the usually overlight , " cable tv quality " sets and camera work so common in recent 20th century period pieces . 	redford departs from the usually overlight , " cable tv quality " sets and camera work so common in recent 20th century period pieces .	1	-1	 redford[0] departs[0] from[0] the[0] usually[0] overlight[0] cable[0] tv[0] quality[0] sets[0] and[0] camera[0] work[0] so[0] common[0] in[0] recent[0] 20th[0] century[0] period[0] pieces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quiz show perfectly captures the colors and textures of the eisenhower years . 	quiz show perfectly captures the colors and textures of the eisenhower years .	2	-2	 quiz[0] show[0] perfectly[1] captures[-1] the[0] colors[0] and[0] textures[0] of[0] the[0] eisenhower[0] years[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although i was only 4 years old when the " twenty one " scandal broke , enough of the 50s icons survived throughout my childhood for me to recognize the authenticity of redford's almost tangible palette . 	although i was only 4 years old when the " twenty one " scandal broke , enough of the 50s icons survived throughout my childhood for me to recognize the authenticity of redford's almost tangible palette .	1	-3	 although[0] i[0] was[0] only[0] 4[0] years[0] old[0] when[0] the[0] twenty[0] one[0] scandal[-2] broke[-1] enough[0] of[0] the[0] 50s[0] icons[0] survived[0] throughout[0] my[0] childhood[0] for[0] me[0] to[0] recognize[0] the[0] authenticity[0] of[0] redford's[0] almost[0] tangible[0] palette[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from plastic covered furniture to carefully coifed contestants , the images ring true from that era of rampant consumerism , of a generation that had gone through 15 years of depression and world war without " disposable income , " before the manifestation of its american dream . 	from plastic covered furniture to carefully coifed contestants , the images ring true from that era of rampant consumerism , of a generation that had gone through 15 years of depression and world war without " disposable income , " before the manifestation of its american dream .	2	-4	 from[0] plastic[0] covered[0] furniture[0] to[0] carefully[0] coifed[0] contestants[0] the[0] images[0] ring[0] true[1] from[0] that[0] era[0] of[0] rampant[-1] consumerism[0] of[0] a[0] generation[0] that[0] had[0] gone[0] through[0] 15[0] years[0] of[0] depression[-3] and[0] world[0] war[-2] without[0] disposable[0] income[0] before[0] the[0] manifestation[0] of[0] its[0] american[0] dream[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film deftly weaves several themes together , from assimilation and exclusion of jews from " the good life , " to the lengths that a scion of a literary family will go to to match his father's fame . 	the film deftly weaves several themes together , from assimilation and exclusion of jews from " the good life , " to the lengths that a scion of a literary family will go to to match his father's fame .	2	-2	 the[0] film[0] deftly[0] weaves[0] several[0] themes[0] together[0] from[0] assimilation[0] and[0] exclusion[-1] of[0] jews[0] from[0] the[0] good[1] life[0] to[0] the[0] lengths[0] that[0] a[0] scion[0] of[0] a[0] literary[0] family[0] will[0] go[0] to[0] to[0] match[0] his[0] father's[0] fame[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
though the 50s audience that is " rocked " by this scandal may initially seem naive to us , they should appear all too familiar , with our current national passion for the rise and fall of icons like michael jackson or tonya harding . 	though the 50s audience that is " rocked " by this scandal may initially seem naive to us , they should appear all too familiar , with our current national passion for the rise and fall of icons like michael jackson or tonya harding .	3	-3	 though[0] the[0] 50s[0] audience[0] that[0] is[0] rocked[0] by[0] this[0] scandal[-2] may[0] initially[0] seem[0] naive[-1] to[0] us[0] they[0] should[0] appear[0] all[0] too[0] familiar[0] with[0] our[0] current[0] national[0] passion[2] for[0] the[0] rise[0] and[0] fall[0] of[0] icons[0] like[1] michael[0] jackson[0] or[0] tonya[0] harding[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
