like the wonderful 1990 drama , " awakenings , " starring robin williams and robert de niro , " at first sight , " directed by irwin winkler , is inspired by a true story documented by physicfirst sight , " directed by irwin winkler , is inspired by a true story documented by physician oliver sacks . 	Translation	Positive	Negative	EmotionRationale
since " awakenings " was so very good , and made my top ten list the year it was released , " at first sight " is not quite as strong since it is not directed with as sure a hand as penny marshall , but is still an intelligent and vibrantly-acted drama . 	since " awakenings " was so very good , and made my top ten list the year it was released , " at first sight " is not quite as strong since it is not directed with as sure a hand as penny marshal , but is still an intelligent and vibrantly-acted drama .	3	-1	 since[0] awakenings[0] was[0] so[0] very[0] good[1][1 LastWordBoosterStrength] and[0] made[0] my[0] top[0] ten[0] list[0] the[0] year[0] it[0] was[0] released[0] at[0] first[0] sight[0] is[0] not[0] quite[0] as[0] strong[0] since[0] it[0] is[0] not[0] directed[0] with[0] as[0] sure[0] a[0] hand[0] as[0] penny[0] marshall/marshal[0] but[0] is[0] still[0] an[0] intelligent[1] and[0] vibrantly[0] acted[0] drama[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film begins as amy ( mira sorvino ) , a stressed-out new york architect , decides to take some time off and travel upstate to the country . 	the film begins as amy ( mira sorvino ) , a stressed-out new york architect , decides to take some time off and travel upstate to the country .	1	-2	 the[0] film[0] begins[0] as[0] amy[0] mira[0] sorvino[0] a[0] stressed[-1] out[0] new[0] york[0] architect[0] decides[0] to[0] take[0] some[0] time[0] off[0] and[0] travel[0] upstate[0] to[0] the[0] country[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the hotel she is staying at , she makes a massage appointment and after a long , soothing session which ends with her crying as a release of emotions , she strikes up a conversation with the handsome masseur virgil ( val kilmer ) , only to find out later that he is actually blind . 	at the hotel she is staying at , she makes a massage appointment and after a long , soothing session which ends with her crying as a release of emotions , she strikes up a conversation with the handsome masseur virgil ( val kilmer ) , only to find out later that he is actually blind .	2	-4	 at[0] the[0] hotel[0] she[0] is[0] staying[0] at[0] she[0] makes[0] a[0] massage[0] appointment[0] and[0] after[0] a[0] long[0] soothing[0] session[0] which[0] ends[0] with[0] her[0] crying[-3] as[0] a[0] release[0] of[0] emotions[0] she[0] strikes[0] up[0] a[0] conversation[0] with[0] the[0] handsome[1] masseur[0] virgil[0] val[0] kilmer[0] only[0] to[0] find[0] out[0] later[0] that[0] he[0] is[0] actually[0] blind[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
amy doesn't really care if he has a handicap or not , and begins to spend time with him more and more until they finally start to fall in love . 	amy doesn't really care if he has a handicap or not , and begins to spend time with him more and more until they finally start to fall in love .	3	-2	 amy[0] doesn't[0] really[0] care[1][1 LastWordBoosterStrength] if[0] he[0] has[0] a[0] handicap[-1] or[0] not[0] and[0] begins[0] to[0] spend[0] time[0] with[0] him[0] more[0] and[0] more[0] until[0] they[0] finally[0] start[0] to[0] fall[0] in[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
once she has returned to new york , amy begins to research on virgil's certain type of retinal blindness , which he has had since three years of age , and out of a stroke of luck , comes into contact with a doctor ( bruce davison ) who believes he can repair virgil's sight , even though there have only been thirty similar cases in history . 	once she has returned to new york , amy begins to research on virgil's certain type of retinal blindness , which he has had since three years of age , and out of a stroke of luck , comes into contact with a doctor ( bruce davison ) who believes he can repair virgil's sight , even though there have only been thirty similar cases in history .	3	-2	 once[0] she[0] has[0] returned[0] to[0] new[0] york[0] amy[0] begins[0] to[0] research[0] on[0] virgil's[0] certain[0] type[0] of[0] retinal[0] blindness[-1] which[0] he[0] has[0] had[0] since[0] three[0] years[0] of[0] age[0] and[0] out[0] of[0] a[0] stroke[0] of[0] luck[2] comes[0] into[0] contact[0] with[0] a[0] doctor[0] bruce[0] davison[0] who[0] believes[0] he[0] can[0] repair[0] virgil's[0] sight[0] even[0] though[0] there[0] have[0] only[0] been[0] thirty[0] similar[0] cases[0] in[0] history[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at first reluctant , virgil finally travels with amy to nyc and agrees to the surgery , much to the hesitance of his overbearing , but loving older sister ( kelly mcgillis ) . 	at first reluctant , virgil finally travels with amy to nyc and agrees to the surgery , much to the hesitance of his overbearing , but loving older sister ( kelly mcgillis ) .	4	-2	 at[0] first[0] reluctant[-1] virgil[0] finally[0] travels[0] with[0] amy[0] to[0] nyc[0] and[0] agrees[0] to[0] the[0] surgery[0] much[0] to[0] the[0] hesitance[0] of[0] his[0] overbearing[-1] but[0] loving[3] older[0] sister[0] kelly[0] mcgillis[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
ultimately , the surgery is a success , but problems arise since virgil cannot relate to what he sees , since he has never visually seen anything before , only touched objects . 	ultimately , the surgery is a success , but problems arise since virgil cannot relate to what he sees , since he has never visually seen anything before , only touched objects .	3	-2	 ultimately[0] the[0] surgery[0] is[0] a[0] success[2] but[0] problems[-1] arise[0] since[0] virgil[0] cannot[0] relate[0] to[0] what[0] he[0] sees[0] since[0] he[0] has[0] never[0] visually[0] seen[0] anything[0] before[0] only[0] touched[0] objects[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he moves into amy's apartment and she is eager to stand by him , but virgil's maladjustment begins to put a strain on their relationship . 	he moves into amy's apartment and she is eager to stand by him , but virgil's maladjustment begins to put a strain on their relationship .	1	-2	 he[0] moves[0] into[0] amy's[0] apartment[0] and[0] she[0] is[0] eager[0] to[0] stand[0] by[0] him[0] but[0] virgil's[0] maladjustment[-1] begins[0] to[0] put[0] a[0] strain[-1] on[0] their[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the basis of the overall story , " at first sight " is indeed a film that has been done many times before , and owes a great deal to its predecessor , " awakenings . " 	on the basis of the overall story , " at first sight " is indeed a film that has been done many times before , and owes a great deal to its predecessor , " awakenings .<br> "	3	-1	 on[0] the[0] basis[0] of[0] the[0] overall[0] story[0] at[0] first[0] sight[0] is[0] indeed[0] a[0] film[0] that[0] has[0] been[0] done[0] many[0] times[0] before[0] and[0] owes[0] a[0] great[2] deal[0] to[0] its[0] predecessor[0] awakenings[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what will happen throughout the film can also be easily telegraphed in advance . 	what will happen throughout the film can also be easily telegraphed in advance .	1	-1	 what[0] will[0] happen[0] throughout[0] the[0] film[0] can[0] also[0] be[0] easily[0] telegraphed[0] in[0] advance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
