i had a chance to see a sneak preview of city slickers ii on campus last night . 	Translation	Positive	Negative	EmotionRationale
i went in with the expectation of a film with the similar flavor which made the original such a success : personal growth and insightful humor about life . 	i went in with the expectation of a film with the similar flavor which made the original such a success : personal growth and insightful humor about life .	3	-1	 i[0] went[0] in[0] with[0] the[0] expectation[0] of[0] a[0] film[0] with[0] the[0] similar[0] flavor[0] which[0] made[0] the[0] original[0] such[0] a[0] success[2] personal[0] growth[0] and[0] insightful[0] humor[2] about[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i came away somewhat disappointed in this regard , getting some of the latter and not much of the former . 	i came away somewhat disappointed in this regard , getting some of the latter and not much of the former .	1	-2	 i[0] came[0] away[0] somewhat[0] disappointed[-1] in[0] this[0] regard[0] getting[0] some[0] of[0] the[0] latter[0] and[0] not[0] much[0] of[0] the[0] former[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the basic plot revolves around billy crystal , who plays mitch robbins , turning forty . 	the basic plot revolves around billy crystal , who plays mitch robins , turning forty .	2	-1	 the[0] basic[0] plot[0] revolves[0] around[0] billy[0] crystal[0] who[0] plays[1] mitch[0] robbins/robins[0] turning[0] forty[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's now become the station manager of the radio station in which he worked in the original . 	he's now become the station manager of the radio station in which he worked in the original .	1	-1	 he's[0] now[0] become[0] the[0] station[0] manager[0] of[0] the[0] radio[0] station[0] in[0] which[0] he[0] worked[0] in[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's given a job at the radio station to his best friend , played by daniel stern , out of sympathy while stern's character works through his divorce . 	he's given a job at the radio station to his best friend , played by daniel stern , out of sympathy while stern's character works through his divorce .	2	-2	 he's[0] given[0] a[0] job[0] at[0] the[0] radio[0] station[0] to[0] his[0] best[1] friend[1] played[0] by[0] daniel[0] stern[-1] out[0] of[0] sympathy[0] while[0] stern's[0] character[0] works[0] through[0] his[0] divorce[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his loser younger brother ( john lovitz ) comes to mitch's house to bum a money and place to live , all while mitch and his wife try to celebrate his birthday . 	his loser younger brother ( john lovitz ) comes to mitch's house to bum a money and place to live , all while mitch and his wife try to celebrate his birthday .	2	-3	 his[0] loser[-2] younger[0] brother[0] john[0] lovitz[0] comes[0] to[0] mitch's[0] house[0] to[0] bum[-1] a[0] money[0] and[0] place[0] to[0] live[0] all[0] while[0] mitch[0] and[0] his[0] wife[0] try[0] to[0] celebrate[1] his[0] birthday[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
during the celebration , mitch discovers what appears to be a treasure map in curly's ( the cattle drive leader in the original played by jack palance ) old hat . 	during the celebration , mitch discovers what appears to be a treasure map in curly's ( the cattle drive leader in the original played by jack palance ) old hat .	2	-1	 during[0] the[0] celebration[1] mitch[0] discovers[0] what[0] appears[0] to[0] be[0] a[0] treasure[1] map[0] in[0] curly's[0] the[0] cattle[0] drive[0] leader[0] in[0] the[0] original[0] played[0] by[0] jack[0] palance[0] old[0] hat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after a business trip to las vegas , crystal , stern , and lovitz stay a few extra days to go off in search of the treasure . 	after a business trip to las vegas , crystal , stern , and lovitz stay a few extra days to go off in search of the treasure .	2	-2	 after[0] a[0] business[0] trip[0] to[0] las[0] vegas[0] crystal[0] stern[-1] and[0] lovitz[0] stay[0] a[0] few[0] extra[0] days[0] to[0] go[0] off[0] in[0] search[0] of[0] the[0] treasure[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the way , they run into curly's twin brother , duke , played by ( you know who ) jack palance . 	on the way , they run into curly's twin brother , duke , played by ( you know who ) jack palance .	1	-1	 on[0] the[0] way[0] they[0] run[0] into[0] curly's[0] twin[0] brother[0] duke[0] played[0] by[0] you[0] know[0] who[0] jack[0] palance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first of all , the cinematography was beautifully done , especially the outdoor scenes in the desert . 	first of all , the cinematography was beautifully done , especially the outdoor scenes in the desert .	3	-1	 first[0] of[0] all[0] the[0] cinematography[0] was[0] beautifully[2] done[0] especially[0] the[0] outdoor[0] scenes[0] in[0] the[0] desert[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
